Type,SKU,Name,Published,Visibility in catalog,In stock?,Stock,Backorders allowed?,Regular price,Sale price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_price_tiers,meta:_kryp_prodnum
variation,12332-sz02,ASLAN Sparkle Colour 12332 Hot Pink - per 25m roll,1,visible,1,,0,924.00,,12332,1370mm wide,per 25m roll,1,1,,12332
variation,12345-sz01,ASLAN Sparkle Colour 12345 Sky Blue - per metre,1,visible,1,,0,38.90,,12345,1370mm wide,per metre,1,1,,12345
variation,12345-sz02,ASLAN Sparkle Colour 12345 Sky Blue - per 25m roll,1,visible,1,,0,924.00,,12345,1370mm wide,per 25m roll,1,1,,12345
variation,12348-sz01,ASLAN Sparkle Colour 12348 Baby Pink - per metre,1,visible,1,,0,38.90,,12348,1370mm wide,per metre,1,1,,12348
variation,12348-sz02,ASLAN Sparkle Colour 12348 Baby Pink - per 25m roll,1,visible,1,,0,924.00,,12348,1370mm wide,per 25m roll,1,1,,12348
variation,12350-sz01,ASLAN Sparkle Colour 12350 Silver - per metre,1,visible,1,,0,38.90,,12350,1370mm wide,per metre,1,1,,12350
variation,12350-sz02,ASLAN Sparkle Colour 12350 Silver - per 25m roll,1,visible,1,,0,924.00,,12350,1370mm wide,per 25m roll,1,1,,12350
variation,12351-sz01,ASLAN Sparkle Colour 12351 Gold - per metre,1,visible,1,,0,38.90,,12351,1370mm wide,per metre,1,1,,12351
variation,12351-sz02,ASLAN Sparkle Colour 12351 Gold - per 25m roll,1,visible,1,,0,924.00,,12351,1370mm wide,per 25m roll,1,1,,12351
variation,12355-sz01,ASLAN Sparkle Colour 12355 Green - per metre,1,visible,1,,0,38.90,,12355,1370mm wide,per metre,1,1,,12355
variation,12355-sz02,ASLAN Sparkle Colour 12355 Green - per 25m roll,1,visible,1,,0,924.00,,12355,1370mm wide,per 25m roll,1,1,,12355
variation,12356-sz01,ASLAN Sparkle Colour 12356 Red - per metre,1,visible,1,,0,38.90,,12356,1370mm wide,per metre,1,1,,12356
variation,12356-sz02,ASLAN Sparkle Colour 12356 Red - per 25m roll,1,visible,1,,0,924.00,,12356,1370mm wide,per 25m roll,1,1,,12356
variation,12358-sz01,ASLAN Sparkle Colour 12358 Black - per metre,1,visible,1,,0,38.90,,12358,1370mm wide,per metre,1,1,,12358
variation,12358-sz02,ASLAN Sparkle Colour 12358 Black - per 25m roll,1,visible,1,,0,924.00,,12358,1370mm wide,per 25m roll,1,1,,12358
variation,12381-sz01,ASLAN Sparkle Colour 12381 Baby Blue - per metre,1,visible,1,,0,38.90,,12381,1370mm wide,per metre,1,1,,12381
variation,12381-sz02,ASLAN Sparkle Colour 12381 Baby Blue - per 25m roll,1,visible,1,,0,924.00,,12381,1370mm wide,per 25m roll,1,1,,12381
variation,12386-sz01,ASLAN Sparkle Colour 12386 Rose Gold - per metre,1,visible,1,,0,38.90,,12386,1370mm wide,per metre,1,1,,12386
variation,12386-sz02,ASLAN Sparkle Colour 12386 Rose Gold - per 25m roll,1,visible,1,,0,924.00,,12386,1370mm wide,per 25m roll,1,1,,12386
variation,12388-sz01,ASLAN Sparkle Colour 12388 Rainbow White - per metre,1,visible,1,,0,38.90,,12388,1370mm wide,per metre,1,1,,12388
variation,12388-sz02,ASLAN Sparkle Colour 12388 Rainbow White - per 25m roll,1,visible,1,,0,924.00,,12388,1370mm wide,per 25m roll,1,1,,12388
variation,12389-sz01,ASLAN Sparkle Colour 12389 Royal Blue - per metre,1,visible,1,,0,38.90,,12389,1370mm wide,per metre,1,1,,12389
variation,12389-sz02,ASLAN Sparkle Colour 12389 Royal Blue - per 25m roll,1,visible,1,,0,924.00,,12389,1370mm wide,per 25m roll,1,1,,12389
variation,12390-sz01,ASLAN Sparkle Colour 12390 Champagne - per metre,1,visible,1,,0,38.90,,12390,1370mm wide,per metre,1,1,,12390
variation,12390-sz02,ASLAN Sparkle Colour 12390 Champagne - per 25m roll,1,visible,1,,0,924.00,,12390,1370mm wide,per 25m roll,1,1,,12390
variation,12407-sz01,ASLAN Caress Colour 12407 Anthracite - per metre,1,visible,1,,0,27.34,,12407,1370mm wide,per metre,1,1,,12407
variation,12407-sz02,ASLAN Caress Colour 12407 Anthracite - per 25m roll,1,visible,1,,0,615.15,,12407,1370mm wide,per 25m roll,1,1,,12407
variation,12408-sz01,ASLAN Caress Colour 12408 White - per metre,1,visible,1,,0,27.34,,12408,1370mm wide,per metre,1,1,,12408
variation,12408-sz02,ASLAN Caress Colour 12408 White - per 25m roll,1,visible,1,,0,615.15,,12408,1370mm wide,per 25m roll,1,1,,12408
variation,12409-sz01,ASLAN Caress Colour 12409 Red - per metre,1,visible,1,,0,27.34,,12409,1370mm wide,per metre,1,1,,12409
variation,12409-sz02,ASLAN Caress Colour 12409 Red - per 25m roll,1,visible,1,,0,615.15,,12409,1370mm wide,per 25m roll,1,1,,12409
variation,12413-sz01,ASLAN Caress Colour 12413 Blue - per metre,1,visible,1,,0,27.34,,12413,1370mm wide,per metre,1,1,,12413
variation,12413-sz02,ASLAN Caress Colour 12413 Blue - per 25m roll,1,visible,1,,0,615.15,,12413,1370mm wide,per 25m roll,1,1,,12413
variation,12418-sz01,ASLAN Caress Colour 12418 Black - per metre,1,visible,1,,0,27.34,,12418,1370mm wide,per metre,1,1,,12418
variation,12418-sz02,ASLAN Caress Colour 12418 Black - per 25m roll,1,visible,1,,0,615.15,,12418,1370mm wide,per 25m roll,1,1,,12418
variation,12419-sz01,ASLAN Caress Colour 12419 Lemon - per metre,1,visible,1,,0,27.34,,12419,1370mm wide,per metre,1,1,,12419
variation,12419-sz02,ASLAN Caress Colour 12419 Lemon - per 25m roll,1,visible,1,,0,615.15,,12419,1370mm wide,per 25m roll,1,1,,12419
variation,12420-sz01,ASLAN Caress Colour 12420 Neon Yellow - per metre,1,visible,1,,0,27.34,,12420,1370mm wide,per metre,1,1,,12420
variation,12420-sz02,ASLAN Caress Colour 12420 Neon Yellow - per 25m roll,1,visible,1,,0,615.15,,12420,1370mm wide,per 25m roll,1,1,,12420
variation,12422-sz01,ASLAN Caress Colour 12422 Orange - per metre,1,visible,1,,0,27.34,,12422,1370mm wide,per metre,1,1,,12422
variation,12422-sz02,ASLAN Caress Colour 12422 Orange - per 25m roll,1,visible,1,,0,615.15,,12422,1370mm wide,per 25m roll,1,1,,12422
variation,12423-sz01,ASLAN Caress Colour 12423 Magenta - per metre,1,visible,1,,0,27.34,,12423,1370mm wide,per metre,1,1,,12423
variation,12423-sz02,ASLAN Caress Colour 12423 Magenta - per 25m roll,1,visible,1,,0,615.15,,12423,1370mm wide,per 25m roll,1,1,,12423
variation,12425-sz01,ASLAN Caress Colour 12425 Neon Green - per metre,1,visible,1,,0,27.34,,12425,1370mm wide,per metre,1,1,,12425
variation,12425-sz02,ASLAN Caress Colour 12425 Neon Green - per 25m roll,1,visible,1,,0,615.15,,12425,1370mm wide,per 25m roll,1,1,,12425
variation,12427-sz01,ASLAN Caress Colour 12427 Grey - per metre,1,visible,1,,0,27.34,,12427,1370mm wide,per metre,1,1,,12427
variation,12427-sz02,ASLAN Caress Colour 12427 Grey - per 25m roll,1,visible,1,,0,615.15,,12427,1370mm wide,per 25m roll,1,1,,12427
variation,12440-sz01,ASLAN Caress Colour 12440 Green - per metre,1,visible,1,,0,27.34,,12440,1370mm wide,per metre,1,1,,12440
variation,12440-sz02,ASLAN Caress Colour 12440 Green - per 25m roll,1,visible,1,,0,615.15,,12440,1370mm wide,per 25m roll,1,1,,12440
variation,12492-sz01,ASLAN Caress Colour 12492 Neon Orange - per metre,1,visible,1,,0,27.34,,12492,1370mm wide,per metre,1,1,,12492
variation,12492-sz02,ASLAN Caress Colour 12492 Neon Orange - per 25m roll,1,visible,1,,0,615.15,,12492,1370mm wide,per 25m roll,1,1,,12492
variation,13101-sz01,ASLAN 13101 Polished Rose Gold - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13101,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13101
variation,13101-sz02,ASLAN 13101 Polished Rose Gold - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13101,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13101
variation,13101-sz03,ASLAN 13101 Polished Rose Gold - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13101,Size / Format,Size / Format — part roll - price per mtr,1,1,,13101
variation,13101-sz04,ASLAN 13101 Polished Rose Gold - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13101,Size / Format,Size / Format — full 25 mtr roll,1,1,,13101
variation,13102-sz01,ASLAN 13102 Polished Silver - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13102,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13102
variation,13102-sz02,ASLAN 13102 Polished Silver - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13102,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13102
variation,13102-sz03,ASLAN 13102 Polished Silver - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13102,Size / Format,Size / Format — part roll - price per mtr,1,1,,13102
variation,13102-sz04,ASLAN 13102 Polished Silver - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13102,Size / Format,Size / Format — full 25 mtr roll,1,1,,13102
variation,13103-sz01,ASLAN 13103 Polished Gold - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13103,Size / Format,Size / Format — part roll - price per mtr,1,1,,13103
variation,13103-sz02,ASLAN 13103 Polished Gold - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13103,Size / Format,Size / Format — full 25 mtr roll,1,1,,13103
variation,13103-sz03,ASLAN 13103 Polished Gold - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13103,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13103
variation,13103-sz04,ASLAN 13103 Polished Gold - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13103,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13103
variation,13104-sz01,ASLAN 13104 Brushed Aluminium - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13104,Size / Format,Size / Format — part roll - price per mtr,1,1,,13104
variation,13104-sz02,ASLAN 13104 Brushed Aluminium - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13104,Size / Format,Size / Format — full 25 mtr roll,1,1,,13104
variation,13104-sz03,ASLAN 13104 Brushed Aluminium - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13104,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13104
variation,13104-sz04,ASLAN 13104 Brushed Aluminium - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13104,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13104
variation,13105-sz01,ASLAN 13105 Brushed Copper - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13105,Size / Format,Size / Format — part roll - price per mtr,1,1,,13105
variation,13105-sz02,ASLAN 13105 Brushed Copper - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13105,Size / Format,Size / Format — full 25 mtr roll,1,1,,13105
variation,13105-sz03,ASLAN 13105 Brushed Copper - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13105,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13105
variation,13105-sz04,ASLAN 13105 Brushed Copper - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13105,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13105
variation,13106-sz01,ASLAN 13106 Brushed Gold - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13106,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13106
variation,13106-sz02,ASLAN 13106 Brushed Gold - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13106,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13106
variation,13106-sz03,ASLAN 13106 Brushed Gold - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13106,Size / Format,Size / Format — part roll - price per mtr,1,1,,13106
variation,13106-sz04,ASLAN 13106 Brushed Gold - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13106,Size / Format,Size / Format — full 25 mtr roll,1,1,,13106
variation,13107-sz01,ASLAN 13107 Polished Copper - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13107,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13107
variation,13107-sz02,ASLAN 13107 Polished Copper - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13107,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13107
variation,13107-sz03,ASLAN 13107 Polished Copper - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13107,Size / Format,Size / Format — part roll - price per mtr,1,1,,13107
variation,13107-sz04,ASLAN 13107 Polished Copper - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13107,Size / Format,Size / Format — full 25 mtr roll,1,1,,13107
variation,13109-sz01,ASLAN 13109 Brushed Steel - or 1250mm wide — part roll - price per mtr,1,visible,1,,0,19.16,,13109,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,13109
variation,13109-sz02,ASLAN 13109 Brushed Steel - or 1250mm wide — full 25 mtr roll,1,visible,1,,0,431.00,,13109,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,13109
variation,13109-sz03,ASLAN 13109 Brushed Steel - Size / Format — part roll - price per mtr,1,visible,1,,0,9.58,,13109,Size / Format,Size / Format — part roll - price per mtr,1,1,,13109
variation,13109-sz04,ASLAN 13109 Brushed Steel - Size / Format — full 25 mtr roll,1,visible,1,,0,215.50,,13109,Size / Format,Size / Format — full 25 mtr roll,1,1,,13109
variation,13111-sz01,ASLAN 13111 Polished Cherry Red - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,20.22,,13111,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,13111
variation,13111-sz02,ASLAN 13111 Polished Cherry Red - or 1220mm wide — full 24 mtr roll,1,visible,1,,0,436.76,,13111,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,13111
variation,13111-sz03,ASLAN 13111 Polished Cherry Red - Size / Format — part roll - price per mtr,1,visible,1,,0,10.11,,13111,Size / Format,Size / Format — part roll - price per mtr,1,1,,13111
variation,13111-sz04,ASLAN 13111 Polished Cherry Red - Size / Format — full 24 mtr roll,1,visible,1,,0,218.38,,13111,Size / Format,Size / Format — full 24 mtr roll,1,1,,13111
variation,13112-sz01,ASLAN 13112 Polished Emerald Green - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,20.22,,13112,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,13112
variation,13112-sz02,ASLAN 13112 Polished Emerald Green - or 1220mm wide — full 24 mtr roll,1,visible,1,,0,436.76,,13112,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,13112
variation,13112-sz03,ASLAN 13112 Polished Emerald Green - Size / Format — part roll - price per mtr,1,visible,1,,0,10.11,,13112,Size / Format,Size / Format — part roll - price per mtr,1,1,,13112
variation,13112-sz04,ASLAN 13112 Polished Emerald Green - Size / Format — full 24 mtr roll,1,visible,1,,0,218.38,,13112,Size / Format,Size / Format — full 24 mtr roll,1,1,,13112
variation,13113-sz01,ASLAN 13113 Polished Violet - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,20.22,,13113,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,13113
variation,13113-sz02,ASLAN 13113 Polished Violet - or 1220mm wide — full 24 mtr roll,1,visible,1,,0,436.76,,13113,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,13113
variation,13113-sz03,ASLAN 13113 Polished Violet - Size / Format — part roll - price per mtr,1,visible,1,,0,10.11,,13113,Size / Format,Size / Format — part roll - price per mtr,1,1,,13113
variation,13113-sz04,ASLAN 13113 Polished Violet - Size / Format — full 24 mtr roll,1,visible,1,,0,218.38,,13113,Size / Format,Size / Format — full 24 mtr roll,1,1,,13113
variation,13114-sz01,ASLAN 13114 Polished Azure Blue - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,20.22,,13114,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,13114
variation,13114-sz02,ASLAN 13114 Polished Azure Blue - or 1220mm wide — full 24 mtr roll,1,visible,1,,0,436.76,,13114,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,13114
variation,13114-sz03,ASLAN 13114 Polished Azure Blue - Size / Format — part roll - price per mtr,1,visible,1,,0,10.11,,13114,Size / Format,Size / Format — part roll - price per mtr,1,1,,13114
variation,13114-sz04,ASLAN 13114 Polished Azure Blue - Size / Format — full 24 mtr roll,1,visible,1,,0,218.38,,13114,Size / Format,Size / Format — full 24 mtr roll,1,1,,13114
variation,13115-sz01,ASLAN 13115 Polished Magenta - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,20.22,,13115,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,13115
variation,13115-sz02,ASLAN 13115 Polished Magenta - or 1220mm wide — full 24 mtr roll,1,visible,1,,0,436.76,,13115,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,13115
variation,13115-sz03,ASLAN 13115 Polished Magenta - Size / Format — part roll - price per mtr,1,visible,1,,0,10.11,,13115,Size / Format,Size / Format — part roll - price per mtr,1,1,,13115
variation,13115-sz04,ASLAN 13115 Polished Magenta - Size / Format — full 24 mtr roll,1,visible,1,,0,218.38,,13115,Size / Format,Size / Format — full 24 mtr roll,1,1,,13115
variation,13117-sz01,ASLAN 13117 PrintMetal Polished Gold - part roll - price per mtr,1,visible,1,,0,24.84,,13117,1250mm wide,part roll - price per mtr,1,1,,13117
variation,13117-sz02,ASLAN 13117 PrintMetal Polished Gold - full 25 mtr roll,1,visible,1,,0,558.90,,13117,1250mm wide,full 25 mtr roll,1,1,,13117
variation,13119-sz01,ASLAN 13119 PrintMetal Polished Silver - part roll - price per mtr,1,visible,1,,0,24.84,,13119,1250mm wide,part roll - price per mtr,1,1,,13119
variation,13119-sz02,ASLAN 13119 PrintMetal Polished Silver - full 25 mtr roll,1,visible,1,,0,558.90,,13119,1250mm wide,full 25 mtr roll,1,1,,13119
variation,13122-sz01,ASLAN 13122 Polished Steel - part roll - price per mtr,1,visible,1,,0,23.36,,13122,Size / Format,part roll - price per mtr,1,1,,13122
variation,13122-sz02,ASLAN 13122 Polished Steel - full 24 mtr roll,1,visible,1,,0,504.58,,13122,Size / Format,full 24 mtr roll,1,1,,13122
variation,13123-sz01,ASLAN 13123 Polished Gun Metal - part roll - price per mtr,1,visible,1,,0,23.36,,13123,Size / Format,part roll - price per mtr,1,1,,13123
variation,13123-sz02,ASLAN 13123 Polished Gun Metal - full 24 mtr roll,1,visible,1,,0,504.58,,13123,Size / Format,full 24 mtr roll,1,1,,13123
variation,13124-sz01,ASLAN 13124 PrintMetal Brushed Aluminium - part roll - price per mtr,1,visible,1,,0,24.84,,13124,1250mm wide,part roll - price per mtr,1,1,,13124
variation,13124-sz02,ASLAN 13124 PrintMetal Brushed Aluminium - full 25 mtr roll,1,visible,1,,0,558.90,,13124,1250mm wide,full 25 mtr roll,1,1,,13124
variation,13125-sz01,ASLAN 13125 PrintMetal Brushed Copper - part roll - price per mtr,1,visible,1,,0,24.84,,13125,1250mm wide,part roll - price per mtr,1,1,,13125
variation,13125-sz02,ASLAN 13125 PrintMetal Brushed Copper - full 25 mtr roll,1,visible,1,,0,558.90,,13125,1250mm wide,full 25 mtr roll,1,1,,13125
variation,13126-sz01,ASLAN 13126 PrintMetal Brushed Gold - part roll - price per mtr,1,visible,1,,0,24.84,,13126,1250mm wide,part roll - price per mtr,1,1,,13126
variation,13126-sz02,ASLAN 13126 PrintMetal Brushed Gold - full 25 mtr roll,1,visible,1,,0,558.90,,13126,1250mm wide,full 25 mtr roll,1,1,,13126
variation,13127-sz01,ASLAN CRA31 Polished Silver printable film made with 70% post-consumer recycled PET - 1370mm x 5m roll,1,visible,1,,0,105.30,,13127,Choose Roll Size Below,1370mm x 5m roll,1,1,,13127
variation,13127-sz02,ASLAN CRA31 Polished Silver printable film made with 70% post-consumer recycled PET - 1370mm x 25m roll,1,visible,1,,0,473.75,,13127,Choose Roll Size Below,1370mm x 25m roll,1,1,,13127
variation,13128-sz01,ASLAN CRA31 Polished Gold printable film made with 70% post-consumer recycled PET - 1370mm x 5m roll,1,visible,1,,0,105.30,,13128,Choose Roll Size Below,1370mm x 5m roll,1,1,,13128
variation,13128-sz02,ASLAN CRA31 Polished Gold printable film made with 70% post-consumer recycled PET - 1370mm x 25m roll,1,visible,1,,0,473.75,,13128,Choose Roll Size Below,1370mm x 25m roll,1,1,,13128
variation,13129-sz01,ASLAN 13129 PrintMetal Brushed Steel - part roll - price per mtr,1,visible,1,,0,24.84,,13129,1250mm wide,part roll - price per mtr,1,1,,13129
variation,13129-sz02,ASLAN 13129 PrintMetal Brushed Steel - full 25 mtr roll,1,visible,1,,0,558.90,,13129,1250mm wide,full 25 mtr roll,1,1,,13129
variation,13158-sz01,ASLAN 13158 PrintMetal Polished Rose Gold - part roll - price per mtr,1,visible,1,,0,24.84,,13158,1250mm wide,part roll - price per mtr,1,1,,13158
variation,13158-sz02,ASLAN 13158 PrintMetal Polished Rose Gold - full 25 mtr roll,1,visible,1,,0,558.90,,13158,1250mm wide,full 25 mtr roll,1,1,,13158
variation,14215-sz01,ASLAN 14215 Red Fluorescent - Size / Format — part roll - price per mtr,1,visible,1,,0,7.39,,14215,Size / Format,Size / Format — part roll - price per mtr,1,1,,14215
variation,14215-sz02,ASLAN 14215 Red Fluorescent - Size / Format — full 25 mtr roll,1,visible,1,,0,166.28,,14215,Size / Format,Size / Format — full 25 mtr roll,1,1,,14215
variation,14215-sz03,ASLAN 14215 Red Fluorescent - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,14.78,,14215,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,14215
variation,14215-sz04,ASLAN 14215 Red Fluorescent - or 1220mm wide — full 25 mtr roll,1,visible,1,,0,332.56,,14215,Size / Format,or 1220mm wide — full 25 mtr roll,1,1,,14215
variation,14215-sz05,ASLAN 14215 Red Fluorescent - or 'Sheet' size here — A4,1,visible,1,,0,0.95,,14215,Size / Format,or 'Sheet' size here — A4,1,1,,14215
variation,14215-sz06,ASLAN 14215 Red Fluorescent - or 'Sheet' size here — 203mm x 500mm,1,visible,1,,0,2.00,,14215,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,14215
variation,14215-sz07,ASLAN 14215 Red Fluorescent - or 'Sheet' size here — 305mm x 500mm,1,visible,1,,0,2.98,,14215,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,14215
variation,14215-sz08,ASLAN 14215 Red Fluorescent - Size / Format — 203mm x 1m,1,visible,1,,0,2.85,,14215,Size / Format,Size / Format — 203mm x 1m,1,1,,14215
variation,14215-sz09,ASLAN 14215 Red Fluorescent - Size / Format — 203mm x 5m,1,visible,1,,0,14.25,,14215,Size / Format,Size / Format — 203mm x 5m,1,1,,14215
variation,14215-sz10,ASLAN 14215 Red Fluorescent - Size / Format — 305mm x 1m,1,visible,1,,0,4.25,,14215,Size / Format,Size / Format — 305mm x 1m,1,1,,14215
variation,14215-sz11,ASLAN 14215 Red Fluorescent - Size / Format — 305mm x 5m,1,visible,1,,0,21.25,,14215,Size / Format,Size / Format — 305mm x 5m,1,1,,14215
variation,14215-sz12,ASLAN 14215 Red Fluorescent - Size / Format — 500mm x 1m,1,visible,1,,0,7.55,,14215,Size / Format,Size / Format — 500mm x 1m,1,1,,14215
variation,14215-sz13,ASLAN 14215 Red Fluorescent - Size / Format — 500mm x 5m,1,visible,1,,0,37.75,,14215,Size / Format,Size / Format — 500mm x 5m,1,1,,14215
variation,14216-sz01,ASLAN 14216 Yellow Fluorescent - Size / Format — part roll - price per mtr,1,visible,1,,0,7.39,,14216,Size / Format,Size / Format — part roll - price per mtr,1,1,,14216
variation,14216-sz02,ASLAN 14216 Yellow Fluorescent - Size / Format — full 25 mtr roll,1,visible,1,,0,166.28,,14216,Size / Format,Size / Format — full 25 mtr roll,1,1,,14216
variation,14216-sz03,ASLAN 14216 Yellow Fluorescent - or 1220mm wide — part roll - price per mtr,1,visible,1,,0,14.78,,14216,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,14216
variation,14216-sz04,ASLAN 14216 Yellow Fluorescent - or 1220mm wide — full 25 mtr roll,1,visible,1,,0,332.56,,14216,Size / Format,or 1220mm wide — full 25 mtr roll,1,1,,14216
variation,14216-sz05,ASLAN 14216 Yellow Fluorescent - or 'Sheet' size here — A4,1,visible,1,,0,0.95,,14216,Size / Format,or 'Sheet' size here — A4,1,1,,14216
variation,14216-sz06,ASLAN 14216 Yellow Fluorescent - or 'Sheet' size here — 203mm x 500mm,1,visible,1,,0,2.00,,14216,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,14216
