"cid","cowner","cname","ctype","cnumeric","crequired","cinsdisplaytype","cinsdisplaydata","cinsdisplayinclude","cinsdefaultvalue","cupddisplaytype","cupddisplaydata","cupddisplayinclude","cbackendlist","cdescription","csection"
"cms_bannermain.bannerthin","SYSTEM","Thin Display Mode (Mobile) Image","text","100","0","FILE-UPLOAD","{PUBLIC}/media/cms/bannermainthin","","","FILE-UPLOAD","{PUBLIC}/media/cms/bannermainthin","","0","This thin display mode (mobile) image is used to display this main banner in thin display mode (mobile).  If this image is not specified, the mid display mode (tablet) image will be used in thin display mode (mobile).","Images"
"cms_bannermain.bannerwide","SYSTEM","Wide Display Mode (Desktop) Image","text","100","0","FILE-UPLOAD","{PUBLIC}/media/cms/bannermainwide","","","FILE-UPLOAD","{PUBLIC}/media/cms/bannermainwide","","0","This wide display mode (desktop) image is used to display this main banner in wide display mode (desktop).  If this image is not specified, the mid display mode (tablet) image will be used in wide display mode (desktop).","Images"
"cms_bannermain.id","SYSTEM","Identifier","text","180","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Enter a unique identifier for this main banner.  Because this identifier is used in XHTML elements, do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the dash and underscore characters.","Main Banner"
"cms_bannermain.linkanchor","SYSTEM","Link Anchor","text","200","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","If you have selected a link type which is not an external URL, enter an option link anchor id here to link to a particular anchor on the page.","Placement and Link"
"cms_bannermain.linkid","SYSTEM","Link Reference Identifier or External URL","text","200","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","If you have selected a link type, enter the reference identifier for the item you wish to target for your link. For example, if you have selected to target an HTML page, enter the reference identifier for that HTML page here.  If you have selected an external URL link type, enter a full external URL in this field.","Placement and Link"
"cms_bannermain.linktype","SYSTEM","Link Type","text","50","0","SELECT-CUSTOM","cms.bannerslink","","","SELECT-CUSTOM","cms.bannerslink","","0","Select the link type for this main banner.  If you do not specify a link type, a link will not be used for this banner.","Placement and Link"
"cms_bannermain.name","SYSTEM","Display Name","text","200","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This is the main banner display name.  It is used to identify the main banner.","Main Banner"
"cms_bannermain.sortorder","SYSTEM","Sort Order","integer","10","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","1","The sort order numeric allows display of main banners in a particular order.  Banner advertisements are sorted in ascending order based on this numeric indicator.","Placement and Link"
"cms_bannermain.status","SYSTEM","Active Status","integer","1","1","SELECT-BOOL","","","1","SELECT-BOOL","","","1","Select below whether to activate this banner (true), or deactivate it (false).","Main Banner"
"cms_bannermain.xmultisite","SYSTEM","MultiSite Limit","clob","","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","1","If MultiSite is active, you can select to display this main banner on only the MultiSites selected.  If you make no selection, this main banner will be available on all MultiSites.","MultiSite"
"cms_dynformfields.defaultvalue","SYSTEM","Default Value","text","150","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter the default value to be used to pre-populate this field.","Field Settings"
"cms_dynformfields.description","SYSTEM","Display Description","clob","","0","TEXTAREA-WYSIWYG","","","","TEXTAREA-WYSIWYG","","","0","The description to be displayed for the form field in XHTML output.","Form Field"
"cms_dynformfields.fieldinclude","SYSTEM","Form Field Include","text","100","0","HIDDEN-REG","","","","HIDDEN-REG","","","0","","Hidden"
"cms_dynformfields.fieldorder","SYSTEM","Field Order","integer","5","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","1","The field order numeric allows display of the fields in the form in a particular order.  The fields are sorted in ascending order based on this numeric indicator.","Form Field"
"cms_dynformfields.formid","SYSTEM","Controlling Dynamic Form","text","150","1","SELECT-TABLE","SELECT {COLS} FROM cms_dynforms","","","SELECT-TABLE","SELECT {COLS} FROM cms_dynforms","","1","The form that controls the form field.","Form Field"
"cms_dynformfields.id","SYSTEM","Identifier","text","150","1","TEXTBOX-REG","","","","DISPLAY-REG","","","0","This is the unique id for this dynamic form field.","Form Field"
"cms_dynformfields.isemailfield","SYSTEM","Email Field Indicator","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","0","Set this field to true if this field is an email address field and it should be used to populate the from email address in the dynamic form mail message.","Field Settings"
"cms_dynformfields.list_1","SYSTEM","Selection Item 1","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_10","SYSTEM","Selection Item 10","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_11","SYSTEM","Selection Item 11","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_12","SYSTEM","Selection Item 12","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_13","SYSTEM","Selection Item 13","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_14","SYSTEM","Selection Item 14","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_15","SYSTEM","Selection Item 15","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_16","SYSTEM","Selection Item 16","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_17","SYSTEM","Selection Item 17","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_18","SYSTEM","Selection Item 18","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_19","SYSTEM","Selection Item 19","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_2","SYSTEM","Selection Item 2","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_20","SYSTEM","Selection Item 20","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_3","SYSTEM","Selection Item 3","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_4","SYSTEM","Selection Item 4","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_5","SYSTEM","Selection Item 5","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_6","SYSTEM","Selection Item 6","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_7","SYSTEM","Selection Item 7","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_8","SYSTEM","Selection Item 8","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.list_9","SYSTEM","Selection Item 9","text","75","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","","Selection Items (List Fields)"
"cms_dynformfields.name","SYSTEM","Display Name","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","The display name for the field used in XHTML output and in mail messages.","Form Field"
"cms_dynformfields.required","SYSTEM","Required Indicator","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","0","Indicator used to determine whether an entry for the form field is required.","Field Settings"
"cms_dynformfields.section","SYSTEM","Form Section","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","The name of the section of the form this field should be printed in.   To create a new section, simply enter in a section that has not yet been used.","Form Field"
"cms_dynformfields.type","SYSTEM","Form Field Type","text","150","1","SELECT-CUSTOM","cms.dynformtypes","","","SELECT-CUSTOM","cms.dynformtypes","","0","This is the XHTML form field type used to display the dynamic form field.  If you select a field type of Selection, Checkboxes or Radio Buttons, be sure to enter at least one Selection Item below.","Field Settings"
"cms_dynforms.defaultbcc","SYSTEM","Bcc Email Addresses","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter the email addresses for the blind carbon copied (Bcc) recipients of the mail message.  You can enter a single address or a comma-delimited list of addresses.","Mail Message"
"cms_dynforms.defaultcc","SYSTEM","Cc Email Addresses","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter the email addresses for the carbon copied (Cc) recipients of the mail message.  You can enter a single address or a comma-delimited list of addresses.","Mail Message"
"cms_dynforms.defaultfrom","SYSTEM","Default From Email Address","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter the email address which should be used as the from email address for the mail message in the event that no form fields are marked as the from email address field.","Mail Message"
"cms_dynforms.defaultto","SYSTEM","To Email Addresses","clob","","1","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter the email addresses for the mail (To) recipients of the mail message.  You can enter a single address or a comma-delimited list of addresses.","Mail Message"
"cms_dynforms.description","SYSTEM","Form Description Header","clob","","1","TEXTAREA-WYSIWYG","","","","TEXTAREA-WYSIWYG","","","0","The description containing form instructions used during XHTML output.","Form"
"cms_dynforms.id","SYSTEM","Identifier","text","150","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","This is the unique id for this dynamic form.  It is used as a reference string in URLs to identify this form.    Because this identifier is used in URLs, do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the dash and underscore characters.","Form"
"cms_dynforms.metadesc","SYSTEM","Meta Description","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter a description to be used in the meta description tag for this dynamic form.  The default meta description for this software will be used if one isn't entered here.","Search Engine Optimization"
"cms_dynforms.metakeywords","SYSTEM","Meta Keywords","text","250","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter keywords to be used in the meta keywords tag for this dynamic form.  The default meta keywords for this software will be used if none are entered here.","Search Engine Optimization"
"cms_dynforms.metatitle","SYSTEM","Meta Title","text","255","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a title to be used in the meta title tag for this dynamic form.  The Display Name will be used for the meta title tag if a title isn't entered here.","Search Engine Optimization"
"cms_dynforms.msghead","SYSTEM","Message Header Text","clob","","1","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter text to be presented at the top of the mail message sent for this dynamic form.  Do not include XHTML tags in this text.  XHTML tags will be added automatically if an XHTML message is to be sent.","Mail Message"
"cms_dynforms.name","SYSTEM","Display Name","text","150","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","The display name of this dynamic form.","Form"
"cms_dynforms.seourl","SYSTEM","Search Engine Optimized URL Identifier","text","200","0","TEXTBOX-SEOURL","cms.dynform","","","TEXTBOX-SEOURL","cms.dynform","","1","Enter a search engine optimized URL identifier for this dynamic form.  If you do not enter a engine optimized URL identifier, the identifier for this dynamic form will be used by default.","Search Engine Optimization"
"cms_dynforms.subject","SYSTEM","Message Subject","text","250","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter the subject for mail messages sent for this dynamic form.","Mail Message"
"cms_dynforms.usexhtml","SYSTEM","Send XHTML Message (In Addition to Text)","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","0","Indicator used to control whether an XHTML message will be sent in addition to a text message for this mail message.","Mail Message"
"cms_html.bannergroup","SYSTEM","Banner Advertisement Group","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a banner advertisement group name if you would like to display a group banner advertisements in the display skin when this page is viewed.  Leave blank to suppress banner advertisements for this page.","Banner Advertisements"
"cms_html.dispname","SYSTEM","Page Display Name","text","200","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This is the page display name.  It is used in menus and recent actions to identify the page.","Web Page"
"cms_html.htmlcontent","SYSTEM","HTML Content","clob","","1","TEXTAREA-WYSIWYG","","","","TEXTAREA-WYSIWYG","","","0","Enter the content for this page below.  This content should be written in standards compliant XHTML and can contain PHP code.  If you choose to use PHP code in the page content, base your PHP code on the includes used by this software.","Web Page"
"cms_html.htmlview","SYSTEM","Page Visibility Selection","text","5","1","SELECT-CUSTOM","cms.htmlview","","A","SELECT-CUSTOM","cms.htmlview","","0","This field allows you to control which users can view this page.  You can set this page up to be viewed by anyone, only users belonging to the groups you specify using the Page Visibility Groups field, or to be hidden from everyone.","Visibility"
"cms_html.htmlviewg","SYSTEM","Page Visibility Groups","text","250","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","0","If you selected to allow only certain user groups to access this page under the Page Visibility Selection field, select the groups for which this page should be made visible.","Visibility"
"cms_html.id","SYSTEM","Identifier","text","180","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Enter a unique identifier for this page.  This identifier will be used in URLs to link to this page.  Because this identifier is used in URLs, do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the dash and underscore characters.","Web Page"
"cms_html.menudisp","SYSTEM","Top Level Menu Display","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","0","Select below whether to include this page in top level menu displays.  Select true to display, false to suppress.","Display"
"cms_html.menuorder","SYSTEM","Menu Order","integer","5","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","0","The menu order numeric allows display of pages in menus in a particular order.  Menu options are sorted in ascending order based on this numeric indicator.","Display"
"cms_html.metadesc","SYSTEM","Meta Description","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter a description to be used in the meta description tag for this page.  The default meta description for this software will be used if one isn't entered here.","Search Engine Optimization"
"cms_html.metakeywords","SYSTEM","Meta Keywords","text","250","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter keywords to be used in the meta keywords tag for this page.  The default meta keywords for this software will be used if none are entered here.","Search Engine Optimization"
"cms_html.metatitle","SYSTEM","Meta Title","text","255","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a title to be used in the meta title tag for this page.  The Page Display Name will be used for the meta title tag if a title isn't entered here.","Search Engine Optimization"
"cms_html.seoexact","SYSTEM","Use Exact SEO","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to use the exact SEO parameters defined for this item, or false (0) to allow the software to optimize SEO parameters.","Search Engine Optimization"
"cms_html.seourl","SYSTEM","Search Engine Optimized URL Identifier","text","200","0","TEXTBOX-SEOURL","cms.display","","","TEXTBOX-SEOURL","cms.display","","1","Enter a search engine optimized URL identifier for this web page.  If you do not enter a engine optimized URL identifier, the identifier for this web page will be used by default.","Search Engine Optimization"
"cms_html.submenudisp","SYSTEM","Related Web Pages Menu Display","integer","1","1","SELECT-BOOL","","","1","SELECT-BOOL","","","0","Select below whether to include this page in related web pages menu displays.  Select true to display, false to suppress.","Related Pages"
"cms_html.titledisp","SYSTEM","Page Title Display","integer","1","1","SELECT-BOOL","","","","SELECT-BOOL","","","0","Select below whether to show a page title in the XHTML display for this page.","Display"
"cms_html.xmultisite","SYSTEM","MultiSite Limits","clob","","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","1","If MultiSite is active, select multisites on which to make available.  This designation is applicable for all pages except the splash page.  If content needs to be different for multisite sites on the splash page, use PHP in the content to recognize and produce content for each multisite site.","MultiSite"
"cms_html.xpages","SYSTEM","Related Web Pages","clob","","0","TEXTAREA-RELATE","cms_html:managepages","","","TEXTAREA-RELATE","cms_html:managepages","","0","Select the web pages which are to be displayed as sub-pages of this web page.","Related Pages"
"cms_xmodarticles.articlesortorder","SYSTEM","Related Articles Sort Status","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to sort related articles using the sort order entered for each article, or false (0) to sort by the article creation date in decending order.","Relationships"
"cms_xmodarticles.articleview","SYSTEM","Article Visibility Selection","text","5","1","SELECT-CUSTOM","cms.xmodarticleview","","A","SELECT-CUSTOM","cms.xmodarticleview","","0","This field allows you to control which users can view this article.  You can set this article up to be viewed by anyone, only users belonging to the groups you specify using the Article Visibility Groups field, or to be hidden from everyone.","MultiSite and Visibility"
"cms_xmodarticles.articleviewg","SYSTEM","Article Visibility Groups","text","250","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","0","If you selected to allow only certain user groups to access this article under the Article Visibility Selection field, select the groups for which this article should be made visible.","MultiSite and Visibility"
"cms_xmodarticles.bannergroup","SYSTEM","Banner Advertisement Group","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a banner advertisement group name if you would like to display a group banner advertisements in the display skin when this article is viewed.  Leave blank to suppress banner advertisements for this article.","Banner Advertisements"
"cms_xmodarticles.catparent","SYSTEM","Direct Category Parent","text","250","1","SELECT-TABLE","cms_xmodarticlescat","","","SELECT-TABLE","cms_xmodarticlescat","","0","Select the article category which is the direct parent of this article.  This designation is used for breadcrumbs and navigation.","Relationships"
"cms_xmodarticles.createdate","SYSTEM","Creation Date/Time","text","30","1","DISPLAY-DATE","","","","DISPLAY-DATE","","","0","This is the date and time on which this article was created.  Articles can be sorted within category and related article displays in ascending order based on this numeric indicator.","Article"
"cms_xmodarticles.dispname","SYSTEM","Title","text","200","1","TEXTBOX-REG","","","","TEXTBOX-REG","","","1","This is the article title.  It is used in menus and article category listings to identify the article.","Article"
"cms_xmodarticles.featuredisp","SYSTEM","Featured Article","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select below whether to include this article in the featured articles listing.  Select true to display, false to suppress.","Article"
"cms_xmodarticles.htmlcontent","SYSTEM","Content","clob","","1","TEXTAREA-WYSIWYG","","","","TEXTAREA-WYSIWYG","","","0","Enter the content for this article below.  This content should be written in standards compliant XHTML and can contain PHP code.  If you choose to use PHP code in the article content, base your PHP code on the includes used by this software.","Article"
"cms_xmodarticles.htmlsummary","SYSTEM","Summary","clob","","1","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter an article summary below.  This summary must not contain XHTML tags.","Article"
"cms_xmodarticles.id","SYSTEM","Identifier","text","180","1","TEXTBOX-REG","","","","DISPLAY-REG","","","1","Enter a unique identifier for this article.  This identifier will be used in URLs to link to this article.  Because this identifier is used in URLs, do not use spaces, periods or special characters.  Recommended characters are 0-9, a-z, A-Z and the dash and underscore characters.","Article"
"cms_xmodarticles.imgstash","SYSTEM","Content Images","clob","","0","FILE-UPLOAD-MULT","{PUBLIC}/media/cms/articlestash","","","FILE-UPLOAD-MULT","{PUBLIC}/media/cms/articlestash","","0","These images can be used in your Article Content.  You can upload and use a single image, or multiple images.  Reference using a standard image tag.","Media"
"cms_xmodarticles.imgthumb","SYSTEM","Article Thumbnail Image","text","100","0","FILE-UPLOAD","{PUBLIC}/media/cms/articlethumb","","","FILE-UPLOAD","{PUBLIC}/media/cms/articlethumb","","0","This image is used in article category displays for this article as a thumbnail image.","Media"
"cms_xmodarticles.metadesc","SYSTEM","Meta Description","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter a description to be used in the meta description tag for this article.  The default meta description for this software will be used if one isn't entered here.","Search Engine Optimization"
"cms_xmodarticles.metakeywords","SYSTEM","Meta Keywords","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","Enter keywords to be used in the meta keywords tag for this article.  The default meta keywords for this software will be used if none are entered here.","Search Engine Optimization"
"cms_xmodarticles.metatitle","SYSTEM","Meta Title","text","255","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a title to be used in the meta title tag for this article.  The Article Title will be used for the meta title tag if a title isn't entered here.","Search Engine Optimization"
"cms_xmodarticles.seoexact","SYSTEM","Use Exact SEO","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to use the exact SEO parameters defined for this item, or false (0) to allow the software to optimize SEO parameters.","Search Engine Optimization"
"cms_xmodarticles.seourl","SYSTEM","Search Engine Optimized URL Identifier","text","200","0","TEXTBOX-SEOURL","cms.xmodarticle","","","TEXTBOX-SEOURL","cms.xmodarticle","","1","Enter a search engine optimized URL identifier for this article.  If you do not enter a engine optimized URL identifier, the identifier for this article will be used by default.","Search Engine Optimization"
"cms_xmodarticles.sortorder","SYSTEM","Article Sort Order","integer","10","1","TEXTBOX-REG","","","1","TEXTBOX-REG","","","0","This sort order numeric allows display of articless in a particular order.  Articles can be sorted within category and related article displays in ascending order based on this numeric indicator.","Article"
"cms_xmodarticles.videourl","SYSTEM","Video URL","text","250","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter the URL for a video, if one is available for this article.  Do not enter embed code, just the video URL.","Media"
"cms_xmodarticles.xarticles","SYSTEM","Related Articles","clob","","0","TEXTAREA-RELATE","cms_xmodarticles:managexmodarticles","","","TEXTAREA-RELATE","cms_xmodarticles:managexmodarticles","","0","Select the articles which are to be displayed as related to this article.","Relationships"
"cms_xmodarticles.xcat","SYSTEM","Related Categories","clob","","0","TEXTAREA-RELATE","cms_xmodarticlescat:managexmodarticlescat","","","TEXTAREA-RELATE","cms_xmodarticlescat:managexmodarticlescat","","0","Select the article categories that this article should be displayed in.","Relationships"
"cms_xmodarticles.xmultisite","SYSTEM","MultiSite Limits","clob","","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_multisite","","1","If MultiSite is active, select multisites on which to make available.","MultiSite and Visibility"
"cms_xmodarticles.xprod","SYSTEM","Related Products","clob","","0","TEXTAREA-RELATE","ecom_prod:managexmodarticlesprod","","","TEXTAREA-RELATE","ecom_prod:managexmodarticlesprod","","0","Select related products to be displayed with the Article Content for this article.","Relationships"
"cms_xmodarticlescat.articlecatview","SYSTEM","Category Visibility Selection","text","5","1","SELECT-CUSTOM","cms.xmodarticlecatview","","A","SELECT-CUSTOM","cms.xmodarticlecatview","","0","This field allows you to control which users can view this article category.  You can set this article category up to be viewed by anyone, only users belonging to the groups you specify using the Article Visibility Groups field, or to be hidden from everyone.","MultiSite and Visibility"
"cms_xmodarticlescat.articlecatviewg","SYSTEM","Category Visibility Groups","text","250","0","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","0","If you selected to allow only certain user groups to access this article category under the Category Visibility Selection field, select the groups for which this article category should be made visible.","MultiSite and Visibility"
"cms_xmodarticlescat.articlesortorder","SYSTEM","Articles Sort Status","integer","1","1","SELECT-BOOL","","","0","SELECT-BOOL","","","0","Select true (1) to sort articles displayed in this category using the sort order entered for each article, or false (0) to sort by the article creation date in decending order.","Article Category"
"cms_xmodarticlescat.bannergroup","SYSTEM","Banner Advertisement Group","text","100","0","TEXTBOX-REG","","","","TEXTBOX-REG","","","0","Enter a banner advertisement group name if you would like to display a group banner advertisements in the display skin when this article is viewed.  Leave blank to suppress banner advertisements for this article.","Banner Advertisements"
"cms_xmodarticlescat.catimg","SYSTEM","Article Category Image","text","100","0","FILE-UPLOAD","{PUBLIC}/media/cms/articlecat","","","FILE-UPLOAD","{PUBLIC}/media/cms/articlecat","","0","This image is used in article category displays.","Article Category"
"cms_xmodarticlescat.catparent","SYSTEM","Direct Category Parent","text","250","0","SELECT-TABLE","cms_xmodarticlescat","","","SELECT-TABLE","cms_xmodarticlescat","","0","Select the category which is the direct parent of this category.  This designation is used for breadcrumbs and navigation.","Parent and Related Categories"
"cms_xmodarticlescat.description","SYSTEM","Description","clob","","1","TEXTAREA-WYSIWYG","","","","TEXTAREA-WYSIWYG","","","0","This is a description for this article category.  This description can contain XHTML tags.","Article Category"
"cms_xmodarticlescat.descshort","SYSTEM","Short Description","clob","","0","TEXTAREA-SMALL","","","","TEXTAREA-SMALL","","","0","This is a short description for this article category.  This short description is used in category listings, and must not contain XHTML tags.","Article Category"
