"id","app","name","description","nspost","outputtype"
"core.changeemail","core","Change Email Address Form","Please complete the information below to change your email address.","changeemail_proc","DEFAULT"
"core.changepass","core","Change Password Form","Please complete the information below to change your password.","changepass_proc","DEFAULT"
"core.changeusername","core","Change Username Form","Please complete the information below to change your username.","changeusername_proc","DEFAULT"
"core.contact","core","Contact Form","It's easy to get in touch with us. Just complete the form below to send a contact message and we'll get back to you right away.","contact_proc","DEFAULT"
"core.createaccount","core","Create Account Form (Billing Fields Only)","Please complete the information below to create a new account.  Remember to save your account password as you will need it to review any online orders you place.","createaccount_proc","DEFAULT"
"core.createaccountauth","core","Create Account Authorization Form (Billing Fields Only)","For security purposes, the email address you entered has been sent an authorization code which must be entered to continue.  Please allow a few minutes for mail message containing the authorization code to arrive in your mailbox.","createaccountauth_proc","DEFAULT"
"core.createaccountship","core","Create Account Form (Billing and Delivery Fields","Please complete the information below to create a new account.  Remember to save your account password as you will need it to review any online orders you place.","createaccount_proc","DEFAULT"
"core.createaccountshipauth","core","Create Account Authorization Form (Billing and Delivery Fields)","For security purposes, the email address you entered has been sent an authorization code which must be entered to continue.  Please allow a few minutes for mail message containing the authorization code to arrive in your mailbox.","createaccountauth_proc","DEFAULT"
"core.dbsearch","core","Management Interface: Database Search Form","Interactively search for items below.","dbmanager","DEFAULT"
"core.emaillistsub","core","Marketing Email List Subscribe","Enter your contact information below to subscribe and receive email list messages via email.","emaillistp","DEFAULT"
"core.emaillistunsub","core","Marketing Email List Unsubscribe","Enter your email address below to unsubscribe and no longer receive email list messages via email.","emaillistp","DEFAULT"
"core.login","core","Login","Please enter your email address or username and password below to login.","login_proc","DEFAULT"
"core.loginchangepass","core","Change Password Required","Please complete the information below to change your password.","loginchangepass_proc","DEFAULT"
"core.logindevauth","core","Device Authorization","Please enter the authorization code you received to authorize this device.","logindevauth_proc","DEFAULT"
"core.mailsend","core","Management Interface: Send Mail Message Form","Use the form below to formulate and send a mail message.","mailsendp","DEFAULT"
"core.postcodeanywhere_changeinfo","core","Address Lookup Results","Select from the listing of addresses found for the postal code you entered.","postcodeanywhere_changeinfo","DEFAULT"
"core.postcodeanywhere_lookupshow","core","Address Lookup","Please enter your postal code to find your correct address using our lookup system.","postcodeanywhere_lookupproc","DEFAULT"
"core.rawdbcoladdk","core","Management Interface: Raw Database Add Primary Column Form","Use the form below to add a column to the selected database table for use within the Primary Connection.","rawdb","DEFAULT"
"core.rawdbcoladdr","core","Management Interface: Raw Database Add Column Form","Use the form below to add a new column to the selected database table for use within the selected database connection.","rawdb","DEFAULT"
"core.rawdbcolmod","core","Management Interface: Raw Database Modify Primary Column Form","Use the form below to modify the definition for the selected column in the selected database table.","rawdb","DEFAULT"
"core.rawdbcsvexp","core","Management Interface: Raw Database CSV Export Form","Use the form below to export data to a CSV file from the selected table.","rawdb","DEFAULT"
"core.rawdbcsvimp","core","Management Interface: Raw Database CSV Import Form","<p>Use the form below to import data from a CSV file into the selected table.  Any records submitted with a primary key that exists in the database table already will be used to update the existing record.  Any records submitted with a primary primary key that does not exist in the database table already will be inserted as new rows into the table.</p><p>It is recommended that you import a maximum of 1,000 rows of data at a time using this function.  Importing data is a resource intensive task that may timeout with data sets larger than 1,000 rows.</p><p>Ensure your CSV file contains all of the following column headings:</p>","rawdb","DEFAULT"
"core.rawdbgsql","core","Management Interface: Guided Select SQL Form","Use the form below to create an SQL statement to execute against the database table selected.  Use of this form allows for paged browsing of data sets matching the criteria entered on this form.","rawdb","DEFAULT"
"core.rawdbinsert","core","Management Interface: Raw Database Insert Form","Use the form below to insert a new row into this database table.","rawdb","DEFAULT"
"core.rawdbsql","core","Management Interface: Raw Database SQL Form","Enter an SQL statement below to execute against any database table or tables.  This is a raw statement that is unguided and unmanaged.  All types of statements are allowed.  When issuing statements that return result sets, use a LIMIT clause to control the size of the result set.  It is possible here to return all rows from a database table or tables, so be careful with the amount of data you choose to return.","rawdb","DEFAULT"
"core.rawdbswitchdb","core","Management Interface: Raw Database Switch Database Form","Use the form below to change the active database connection used for Raw Database Admin.","rawdb","DEFAULT"
"core.rawdbtbladdk","core","Management Interface: Raw Database Add Primary Table Form","Use the form below to add a new database table for use within the Primary Connection.  When tables are created using this software only the primary key is added to the table in this step.  To add additional columns, choose to Maintain the table using the Raw Database Admin function.","rawdb","DEFAULT"
"core.rawdbtbladdr","core","Management Interface: Raw Database Add Table Form","Use the form below to add a new database table for use within the selected database connection.  When tables are created using this software only the primary key is added to the table in this step.  To add additional columns, choose to Maintain the table using the Raw Database Admin function.","rawdb","DEFAULT"
"core.rawdbtblcopy","core","Management Interface: Raw Database Copy Table Form","Use the form below to copy the selected database table.  Tables copied by this software are created as exact replicas of the source table including all column definitions and data.","rawdb","DEFAULT"
"core.rawdbtblmod","core","Management Interface: Raw Database Modify Primary Table Form","Use the form below to modify the definition for the selected database table.","rawdb","DEFAULT"
"core.rawdbupdate","core","Management Interface: Raw Database Update Form","Use the form below to update the row you selected.","rawdb","DEFAULT"
"core.redirectadd","core","Management Interface: Add Redirect","Complete the information below to add a redirect for an item which has been deleted.","redirectaddp","DEFAULT"
"core.resetpass","core","Reset Password","Please complete the information below to create a new password for your account.","resetpass_proc","DEFAULT"
"core.resetpassreq","core","Reset Password Request","Enter your email address or username below to receive an email containing instructions for creating a new password for your account.","resetpassreq_proc","DEFAULT"
"core.settingsform","core","Management Interface: Settings Update Form","Use the form below to update settings.","settingsformproc","DEFAULT"
"core.skinclone","core","Management Interface: Skin Clone Form","The skin you selected will be cloned after completing the form below.  Update the information presented with the information you would like saved for the new skin created as a result of the clone process.","skinclonep","DEFAULT"
"core.skininstall","core","Management Interface: Skin Installation Form","Use the form below to install a new skin.  Skins installed via this form should be stored in a properly formatted skin TAR archive file.  If you choose to install a skin that already exists, the installed skin id will be appended with a numeric character in order to provide the newly installed skin with a unique id.","installskinp","DEFAULT"
"core.skinupdate","core","Management Interface: Skin Update Form","Use the form below to update the information on record for the skin you selected to update.","skinprofilep","DEFAULT"
"core.skinupdfile","core","Management Interface: Skin Controlled File Update Form","Use the form below to updated the contents of the skin controlled file you chose to update.  If you chose to update a PHP file, be aware that any errors you make could result in parse errors when displaying the skin selected.  It is good policy to copy the contents of any PHP files prior to updating them so such errors can easilly be corrected.","skinupdfilep","DEFAULT"
"core.skinupdupload","core","Management Interface: Skin Update Upload Form","Use the form below to upload a new file to a directory controlled by the skin skin you selected to update.","skinupduploadp","DEFAULT"
"core.userschangeemail","core","Management Interface: Change User Account Email Address","Complete the information below to change the email address for the selected user account.","userschangeemailp","DEFAULT"
"ecom.coaddressverifybill","ecom","Address Verification Edit Form - Billing","Edit the address you selected by completing the fields below.","coaddressverifyupdp","DEFAULT"
"ecom.coaddressverifyship","ecom","Address Verification Edit Form - Delivery","Edit the address you selected by completing the fields below.","coaddressverifyupdp","DEFAULT"
"ecom.connamazon","ecom","Amazon Channel Connection Form (Developer Key)","Complete the information below to configure your Amazon Channel connection.","connamazonp","DEFAULT"
"ecom.connamazontoken","ecom","Amazon Channel Connection Form (Application Token)","Complete the information below to configure your Amazon Channel connection.","connamazonp","DEFAULT"
"ecom.connebay","ecom","eBay Channel Connection Form","Complete the information below to configure your eBay Channel connection.","connebayp","DEFAULT"
"ecom.connfedex","ecom","FedEx Connection Form","Complete the information below to configure your FedEx Web Services connection.","connectfedexp","DEFAULT"
"ecom.connfedexapi","ecom","FedEx Connection Form","Complete the information below to configure your FedEx Web Services connection.","connectfedexp","DEFAULT"
"ecom.connfedexdeact","ecom","FedEx Deactivation Form","Currently your FedEx Web Services connection is active.  If you would like to reconfigure this connection, select to deactivate the connection below.","disconnectfedex","DEFAULT"
"ecom.connups","ecom","UPS Connection Form","Complete the information below to configure your UPS OnLine&reg; Tools connection.","connectupsp","DEFAULT"
"ecom.connupsapi","ecom","UPS Connection Form","Complete the information below to configure your UPS OnLine&reg; Tools connection.","connectupsp","DEFAULT"
"ecom.connupsdeact","ecom","UPS Deactivation Form","Currently your UPS OnLine&reg; Tools connection is active.  If you would like to reconfigure this connection, select to deactivate the connection below.","disconnectups","DEFAULT"
"ecom.connusps","ecom","USPS Connection Form","Complete the information below to configure your USPS WebTools connection.","connectuspsp","DEFAULT"
"ecom.connuspsapi","ecom","USPS Connection Form","Complete the information below to configure your USPS API connection.","connectuspsp","DEFAULT"
"ecom.connuspsdeact","ecom","USPS Deactivation Form","Currently your USPS API connection is active.  If you would like to reconfigure this connection, select to deactivate the connection below.","disconnectusps","DEFAULT"
"ecom.creditman_applycredit","ecom","Apply Credit","Select an open order to which you would like this credit applied, enter an amount and click the Submit the form below to apply this credit.","creditman_applycreditp","DEFAULT"
"ecom.creditman_changeusage","ecom","Change Usage","Submit the form below to change the usage for this credit.","creditman_changeusagep","DEFAULT"
"ecom.creditman_refundcredit","ecom","Refund Credit","Submit the form below to refund this credit.  Processing a refund for a credit requires you to pay the refund using a payment processing gateway, or by issuing a check.","creditman_refundcreditp","DEFAULT"
"ecom.guestco","ecom","Guest Checkout Form (Billing Fields Only)","Please complete the information below to checkout as a guest.","guestcop","DEFAULT"
"ecom.guestcoship","ecom","Guest Checkout Form (Billing and Delivery Fields)","Please complete the information below to checkout as a guest.","guestcop","DEFAULT"
"ecom.notifystock","ecom","Product Stock Notification Form","Use the form below to receive a notification when this product becomes available.  You will be emailed when this product becomes available if you sign up to receive a stock notification for this product.","notifystockp","DEFAULT"
"ecom.onlineorderlookup","ecom","Online Order Lookup","Please complete the information below to look up an online order.","onlineorderlookupp","DEFAULT"
"ecom.orderman_markpaid","ecom","Order Manager: Payment Entry","Submit the form below to enter a payment for this order.","orderman_markpaidp","DEFAULT"
"ecom.orderman_piichange","ecom","Order Manager: Update Customer Information","Use the form below to update customer information for this order.  All customer information will be updated using the information below, including the contact infomration for the order, and the billing and shipping address.","orderman_piichangep","DEFAULT"
"ecom.orderman_sendmails","ecom","Order Manager: Mail Messages","Submit the form below to send mail messages for this order.","orderman_sendmailsp","DEFAULT"
"ecom.orderman_shipaddchange","ecom","Order Manager: Delivery Address Change","","orderman_shipaddchangep","DEFAULT"
"ecom.orderman_shipmethodchange","ecom","Order Manager: Delivery Method Change","","orderman_shipmethodchangep","DEFAULT"
"ecom.orderman_shiptotalchange","ecom","Order Manager: Increase Delivery Total","Increase the delivery total for this order by submitting the form below.","orderman_shiptotalchangep","DEFAULT"
"ecom.orderman_splitcomp","ecom","Order Manager: Move Incomplete Items to New Order","Move incomplete items from this order to a new order using the form below.  This functionality is available for partially complete online store and Point of Sale orders without payments and returns.","orderman_splitcompp","DEFAULT"
"ecom.paypalsfprocexp","ecom","PayPal Express Checkout Setup Form","Please complete the information below to set up PayPal Express Checkout.","paypalsfproc","DEFAULT"
"ecom.paypalsfprocpro","ecom","PayPal Website Payments Pro Setup Form","Please complete the information below to set up PayPal Website Payments Pro.","paypalsfproc","DEFAULT"
"ecom.paypalsfprocstd","ecom","PayPal Standard Setup Form","Please complete the information below to set up PayPal Standard.","paypalsfproc","DEFAULT"
"ecom.prodsearch","ecom","Online Store Search Form","Interactively search the online store for items below.","prodsearchp","DEFAULT"
"ecom.purchordman_close","ecom","Purchase Order Manager: Close","Submit the form below to close this purchase order.","purchordman_closep","DEFAULT"
"ecom.purchordman_sendmails","ecom","Purchase Order Manager: Vendor Mail Message","Submit the form below to send the vendor a mail message for this purchase order.","purchordman_sendmailsp","DEFAULT"
"ecom.reviews","ecom","Reviews","Submit a review for this item by completing the information below.","reviewsp","DEFAULT"
"ecom.shipestimator","ecom","Shipping Estimator","Provide your delivery information below to get a shipping estimate for the items in your shopping cart.","shipestimatorp","DEFAULT"
