term_id,wc_name,catimg
116,High Tack Digital Print Vinyl,Digital_High_Tack.png
52,Holographic Vinyl,Holographic-Cat.png
115,Intermediate Grade Digital Print Vinyl (3-4yr),DVMT.jpg
31,Kernow Metalik Films,Kernow_Metalik_Cat.png
121,Knives and Cutting Tools,Knives-Cutting.jpg
88,Laminates for UV Curable Inks,UV_Laminate_Cat.png
95,Laminates made from Recycled PET,PCRP-Cat.png
20,Laminating Films,laminating-films.webp
145,Low Tack Digital Print Vinyl,Digital_Low_Tack.png
77,Magnetic Vinyl & Ferrous Film,Magnetic_Ferrous_Cat.png
126,Matt Laminates,Matt_laminate_Cat.jpg
91,Media for Aqueous Inks,Aqueous_Cat.jpg
63,Metal Effect Heat Transfer Vinyl,Pro-Flex-Bright-Metal-Cat.png
30,Metallised Vinyl & Films,Metallized_Cat.jpg
118,Mirrored Films,SE75_Mirror_Cat.jpg
164,Mount Films,Mounting_Cat.jpg
57,Nekoosa VinylEfx Indoor Decorative,EFXI.jpg
155,Nekoosa VinylEfx Outdoor Durable,EFX-Outdoor.png
157,Neschen Easy Dot PET,Easy-Dot-PET-Cat.jpg
69,Nylo Flex,Nylo_Flex_Cat.png
74,Oracal 7510 Premium Cast Fluorescent Vinyl,Oracal_7510_Fluorescent.jpg
71,ORALITE 4 Year Reflective 5400 Commercial Grade,Oralite_5400.jpg
72,ORALITE 7 Year Reflective 5510 Engineer Grade,Oralite-5510.png
75,Paint Masking Stencil Films,Paint-Mask-Cat.jpg
61,Paper Application Tapes,Paper_App_Tape.jpg
65,Patterned Heat Transfer Vinyl,Patterned-Flex-Cat.png
82,Pavement Signs & Wall Signs,a_board_category.jpg
161,Photo Luminescent Vinyl,Photoluminescent Cat.webp
162,Plotter Cutting Blades,Plotter-Blades.jpg
66,Poli-Flex Premium Heat Transfer Vinyl,Pro-Flex-Colours-Cat.png
68,Poli-Flex Turbo Heat Transfer Vinyl,Poli_Flex_Turbo_Cat.png
160,Poli-Print Digital Print Media and Laminates,Poli_Print_Monomeric_Cat.jpg
159,Poli-Print Monomeric Digital Print Media and Laminates,Poli_Print_Monomeric_Cat.jpg
168,Pop-Up & Roll-Up Films,Roll-Up-Pop-Up_Cat.jpg
44,Printable Media made from Recycled PET,PCRP-Cat.png
119,Promotional Grade Digital Print Vinyl (1-2yr),DVST.jpg
56,Promotional Grade Fluorescent Vinyl,Fluorescent_Cat.png
33,PVC Free Digital Print Materials,PVC_Free_Cat.png
87,PVC Free Laminates,PVC_Free_Cat.png
32,PVC Free Sign & Display Materials,PVC_Free_Cat.png
55,Reflective and Fluorescent Vinyl,Reflective_Cat.jpg
67,Reflective Heat Transfer Vinyl,Reflective_Fluorescent_Flex.png
190,Reflexite VC104 Conspicuity Tape,Vehicle_Conspicuity_Cat.jpg
175,Regulus Stencil Papers,Regulus_Cat.jpg
37,Retail Display,Retail-Display.jpg
26,Ritrama F-Sign Platinum Range 10 Year Polymeric Sign Vinyl,Ri_Mark_Platinum_Cat.jpg
382,Ritrama F-Sign Platinum Range 10 Year Polymeric Sign Vinyl,Ri_Mark_Platinum_Cat.jpg
146,Ritrama Glass Etch Films,Fedrigoni_Etch.jpg
171,Ritrama Ri-Mark Event Grade 5 Year Monomeric Sign Vinyl,Ri_Mark_Event_Cat.jpg
346,Ritrama Ri-Mark Event Grade 5 Year Monomeric Sign Vinyl,Ri_Mark_Event_Cat.jpg
176,Ritrama Ri-Mark Optima Range 6 Year Polymeric Sign Vinyl,Ri_Mark_Optima_Cat.jpg
395,Ritrama Ri-Mark Optima Range 6 Year Polymeric Sign Vinyl,Ri_Mark_Optima_Cat.jpg
189,Ritrama Translucent Vinyl,Ritrama_TRL_Cat.jpg
178,Roland BN20 Maintenance,BN20-Cleaning-Cat.png
158,Roland Digital Print Inks,Digital_Print_Inks.jpg
179,Roll Up Banner Stands,Banner-Stand-Cat.jpg
186,SALE,deals-and-offers.jpg
89,Sandblasting Stencil Films,Sandblast_Cat.jpg
107,Shot Peening Stencil Films,Shotpeen_Cat.jpg
45,Sign & Display Materials made from Recycled PET,PCRP-Cat.png
16,Sign & Display Vinyl,sign-display-vinyl.webp
337,Signmaking Vinyl,Coloured-Sign-Vinyl-Cat.jpg
38,Silver Films,Silver-Films.jpg
122,Single Sided Tapes,Tape.jpg
163,Smart Knives,Smart-Knives.jpg
110,Soft Touch Laminates,Soft_Touch_Lam_Cat.jpg
174,Solar Protection Window Films,Window_Solar_Films_Cat.jpg
166,Stahls Hotronix Heat Presses,Stahls-Heat-Presses.png
129,Static Cling Vinyl,Cling_Cat.jpg
21,Stencil Masking Films,stencil-masking-films.webp
180,Storage Solutions,Storage_Cat.jpg
102,Textured Laminates,Tex_Lam_Cat.jpg
23,Tools & Accessories,Tools-Accessories.webp
112,Translucent Vinyl,TRL_Cat.jpg
97,Transparent Vinyl,TRP_Cat.jpg
177,Ultimate Performance Digital Print Vinyl (8-10yr),Digital Print Vehicle Wrap Vinyl.jpg
191,Vehicle Wrap Laminates,Wrap_Lam_Cat.jpg
59,Vehicle Wrapping Tools,Vehicle-Wrap-Tools.jpg
39,Velvet Flock Vinyl,ASLAN_SC124.jpg
143,Wall Graphic Films,DVWD.jpg
120,Weeding & Handling Tools,Weeding-Handling.jpg
93,Whiteboard & Blackboard Films,ASLAN_Memoboard.jpg
50,Window Films,Solar_Films_Cat.jpg
188,Window Safety Films,Window_Safety_Films_Cat.jpg
18,override-18,Application-Tape.webp
17,override-17,Glass-Decoration-and-Branding.webp
124,override-124,BN20-Cleaning-Cat.png
125,override-125,BN20-Media-Cat.png
123,override-123,BN20-Media-Cat.png
