product,sold_as,codes_and_prices,discount,status,note
ASLAN CT11356 Golden Yellow Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113561250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11357 Orange Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113571250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11359 Dark Red Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113591250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11360 Violet Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113601250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11364 Mint Green Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113641250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11368 Dove Grey Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113681250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11369 Medium Grey Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113691250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11371 Bright Yellow Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113711250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11373 Bright Red Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113731250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11374 Red Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113741250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11377 Magenta Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113771250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11379 Ultra Blue Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113791250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11381 Azure Blue Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113811250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11383 Light Blue Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113831250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11385 Medium Green Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113851250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11388 Apple Green Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113881250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11392 Blue Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113921250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN CT11395 Purple Transparent Vinyl,"Per metre, in 5m steps. The 5m and 25m fixed rolls go.",CT113951250 at 7.62/m,25m and over: 6.86/m,BUILD,Rate from Sage. Break rate is the site's existing 25m roll price divided by 25.
ASLAN D160 Diffuser,"Two widths, per metre.",D1601350 14.08; D160675 7.04,50m and over: 12.67 and 6.34,BUILD,The site already had 6.34 but at 25m. We are moving the break to 50m as you asked.
ASLAN DFP08 UltraTack Matt,"Two options, per metre, in 10m steps.",DFP081370 8.40; DFP08G1370 8.74 (grey adhesive),50m and over: 7.56 and 7.87,BUILD,"Built to match DFP07 exactly, as you asked. Your answer said DFP08; the Sage code is DFP081370."
ASLAN EL300 Dry Apply Glass Etch,"Three widths, per metre.",EL3001520 14.14; EL3001260 11.70; EL300630 5.85,"50m and over: 12.73, 10.53 and 5.27",BUILD,
ASLAN FF410 Ferrous Film,"Two options, by the roll.",FF410FERRO 218.00 (1010mm x 12m); FF410FERRO1370 221.90 (1370mm x 9m),None given,BUILD,
ASLAN MP326 Floor Protect Laminate,"Per metre, in 5m steps.",MP3261370 at 12.32/m,25m and over: 8.62/m,BUILD,Break rate is the site's 215.60 roll price divided by 25.
ASLAN S41 Stencil Paint Mask,"Two widths, by the roll. Rolls are 25m.",S411250 244.50 per roll; S41625 122.25 per roll,None given,BUILD,Roll length worked out from the site's 244.50 against Sage's 9.78/m.
ASLAN S62 Heavy Duty Sandblast,"Three widths, per metre, in 10m steps. Rolls are 10m.",S621250 24.00/m; S62625 12.00/m; S62416 8.00/m,"Your existing levels, converted to metres: 30m 12% off, 60m 15% off, 120m 20% off",BUILD,You offered by the roll or in 10m steps with the same levels. We have taken the 10m steps to match the rest of the range. Say the word if you want rolls.
ASLAN S64 Heavy Duty Sandblast,"Two widths, per metre.",S641250 19.04; S64625 9.52,25m and over: 17.14 and 8.57,BUILD,
ASLAN S66 White Sandblast,"Two widths, per metre.",S661250 14.00; S66625 7.00,25m and over: 12.60 and 6.30,BUILD,
ASLAN S68 Medium Duty Sandblast,"Two widths, per metre.",S681250 11.74; S68625 5.87,25m and over: 10.57 and 5.28,BUILD,
ASLAN SL99 Graffiti Repellent Laminate,"Per metre, in 10m steps.",SL991370 at 17.48/m,50m and over: 15.73/m,BUILD,Break rate is the site's 786.60 roll price divided by 50.
ASLAN SRL96 rPET Anti-Graffiti Laminate,"Two widths, per metre, in 10m steps.",SRL96 (1370mm) 14.68/m; SRL961520 16.34/m,50m and over: 13.21 and 14.70,BUILD,"Your new prices, not the Sage ones. Two small things: your sheet wrote 1502 where we have read 1520, and the 1370mm code in Sage is SRL96 rather than SRL961370."
ASLAN TF200 Clear PET Application Tape,By the roll.,TF200 at 40.60 per roll,5 rolls and over: 36.54,BUILD,Your new price. Sage currently shows 39.40.
Anti-static Cleaner,Each.,ANT at 11.40,12 and over: 10.03,BUILD,
Automotive Charcoal Window Tint,"Renamed from Slate Charcoal. Three tints, per metre.","SC051524, SC351524, SC501524, all 9.30/m",30m and over: 8.37/m,BUILD,"The 8.37 was already on the product, so no new number needed from you. Sage also holds 508mm and 760mm versions of all three; those are not being built, since your answer says three options."
Black Glitter,Per metre.,GL9 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Blue Glitter,Per metre.,GL11 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Blue Masking Tape 50mm x 50m,Each.,MTBLUE2 at 3.60,24 and over: 3.24,BUILD,
Butter Glitter,Per metre.,GL17 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Chinagraph Aquarellable Pencils,"Renamed from Stabilo. Five options, each.","the four single colours plus CHIMIX (pack of 12, four colours) at 16.90",None,BUILD,
Copper Glitter,Per metre.,GL10 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
D-View Micro Perforated Vinyl,"Two widths, both per metre, in 5m steps.",D-VIEW1370 at 10.18/m; D-VIEW1520 at 11.94/m,50m and over: 9.67/m and 11.34/m,BUILD,
Digi-Fab,"Three widths, all per metre, in 15m steps.",DIGI-FAB1067 at 9.32/m; DIGI-FAB1370 at 11.98/m; DIGI-FAB1524 at 13.30/m,"30m and over: 8.39, 10.78 and 11.97/m",BUILD,"Your sheet says three width options, so the 500mm option (DIGI-FAB500) comes off."
Easy Dot PET Silver L-UV,"Deleted, as you asked.",was EASYDOTPETSILVER,n/a,BUILD,
FF200 Printable Ferrous Film (non-adhesive),"Per metre, in 25m steps.",FF200FERRO at 7.60/m,50m and over: 7.22/m,BUILD,Sage calls this 1270mm; the site says 1260mm. We are using Sage's 1270mm.
GlassApeel,"One product, four finishes, all per metre, in 10m steps.",GLASSAPPCLEAR 9.30; GLASSAPPWHITE 10.50; GLASSAPPFROST 9.30; GLASSAPPSOLAR 12.75,"30m and over: 8.37, 9.45, 8.37 and 11.47/m",BUILD,
Gold Glitter,Per metre.,GL5 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Green Flock Heat Transfer Vinyl,"Deleted, as you asked.",n/a,n/a,BUILD,
Green Glitter,Per metre.,GL12 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Image Flex Pro Soft White 4030,"Two widths, per metre.",IMAPSW500 6.64; IMAPSW750 9.96,25m and over: 5.98 and 8.96,BUILD,
Image Flex Turbo Print 4036,"Two widths, per metre.",IMATP500 7.04; IMATP750 10.56,25m and over: 6.34 and 9.50,BUILD,
Image Flex Turbo Print Sub Block 4010,"Two widths, per metre.",IMAPSB500 8.65; IMAPSB750 12.99,25m and over: 7.79 and 11.69,BUILD,
Kernowjet Metalik Gold Permanent 1372mm,"Per metre, in 5m steps.",056SGO1372 at 15.50/m,45m and over: 13.95/m,BUILD,"Keeping the break the site already had, as you asked."
Kernowjet Metalik Gold Permanent 1524mm,"Per metre, in 5m steps.",056SGO1524 at 17.22/m,45m and over: 15.50/m,BUILD,"Keeping the break the site already had, as you asked."
Kernowjet Metalik Gold Removable 1524mm,"Per metre, in 5m steps.",054CGO1524 at 17.22/m,45m and over: 15.50/m,BUILD,"Keeping the break the site already had, as you asked."
Kernowjet Metalik Silver Permanent 1524mm,"Per metre, in 5m steps.",056SSI1524 at 17.22/m,45m and over: 15.50/m,BUILD,"Keeping the break the site already had, as you asked."
M8 Bright Yellow,"Deleted, as you asked.",was M8,n/a,BUILD,
Magenta Glitter,Per metre.,GL13 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Magnetic Tape,"One product, four options, all by the roll.",MAGTAP 14.20; MAGTAP2 28.40; MAGTAP3 14.20; MAGTAP4 28.40,5 rolls and over: 13.35 and 26.70,BUILD,Two widths x two polarities. The two 0.00 polarity lines on the site go.
Masking Tape 25mm x 50m,Each.,MT1 at 1.00,36 and over: 0.87,BUILD,
Masking Tape 50mm x 50m,Each.,MT2 at 2.00,24 and over: 1.74,BUILD,
Navy Blue Glitter,Per metre.,GL15 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Oracal 7510 Yellow Fluorescent,"Renamed from Yellow Fluorescent. Two widths, per metre.",ORA75101260 29.86; ORA7510630 14.93,50m and over: 26.87 and 13.44,BUILD,"Your email gave ORA75101220 and ORA7510610, which are not in the Sage export we hold. The pair on your sheet are, and they match the site prices exactly, so we have used those. The 10% break is the rate you used everywhere else."
Plastic Squeegees,"Each, in packs of 5.",0.69 each,250 and over: 0.53 each,BUILD,
Plotter Pens,"One product, three options, each.",PLO 14.30 (Graphtec); PLO1 11.50 (Roland and Mutoh); PLO2 11.50 (Summagraphics),None,BUILD,"Sage puts Roland and Mutoh on one pen, PLO1. The site lists them as two products both using PLO1, which is a duplicate code. PLO2 and PLO are not on the site at all yet."
Poly Canvas,"Two widths, per metre, in 25m steps.",CANPOL500 1.61; CANPOL760 2.41,None. Your sheet repeats the same price at 50m.,BUILD,
Red Glitter,Per metre.,GL8 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Reeded Glass Film,"Two flute sizes, per metre.",RGF121520 18.80; RGF061520 18.80,50m and over: 16.92/m,BUILD,"The 16.92 was already on the product, so no new number needed from you."
Regusign P20 Stencil Paper,"Two widths, by the roll.",P201200 233.90 (1200mm x 50m); P20600 116.95 (600mm x 50m),None given,BUILD,
Regusign PF2 High Tack Stencil Paper,"Two widths, by the roll.",PF2-1200 203.90 (1200mm x 25m); PF2-600 101.95 (600mm x 25m),None given,BUILD,
Ri-Jet C50 Ultimate Slide & Tack Airflow,"Three widths, per metre, in 5m steps.",RJ50STA/F760 7.36; RJ50STA/F1370 12.04; RJ50STA/F1524 13.36,"50m and over: 6.62, 10.84 and 12.02",BUILD,"Every option on this product is currently in our trash, so nothing on it can be bought. It is being rebuilt from scratch."
Ri-Lam C30 Ultra Clear Vehicle Wrap Laminate,"Per metre, in 5m steps.",VEH1370 at 12.04/m,50m and over: 10.84/m,BUILD,"The product currently carries the code VEH, which Sage marks DO NOT USE, OBSOLETE. Changing it to VEH1370 from your sheet."
Ri-Mark Optima 402 Anthracite,"Two widths, per metre. Built to match 405.",SC4021260 5.12; SC402630 2.56,50m and over: 4.62 and 2.31,BUILD,"Copied from Ri-Mark Optima 405, which you pointed us at and which is already built this way."
Ri-Mark Optima 412 Yellow,"Two widths, per metre. Built to match 405.",SC4121260 5.12; SC412630 2.56,50m and over: 4.62 and 2.31,BUILD,"Copied from Ri-Mark Optima 405, which you pointed us at and which is already built this way."
Ri-Mark Optima 420 Orange,"Two widths, per metre. Built to match 405.",SC4201260 5.12; SC420630 2.56,50m and over: 4.62 and 2.31,BUILD,"Copied from Ri-Mark Optima 405, which you pointed us at and which is already built this way."
Ri-Mark Optima 485 Green,"Two widths, per metre. Built to match 405.",SC4851260 5.12; SC485630 2.56,50m and over: 4.62 and 2.31,BUILD,"Copied from Ri-Mark Optima 405, which you pointed us at and which is already built this way."
Ritrama CF01 Pink Fluorescent,"Two widths per metre, plus sheet sizes.","CF01610 7.69/m; CF011220 15.38/m; then CF01500, CF01305, CF01203 and CF01A4 as sheets",None given,BUILD,"Your email says two width options rather than roll and per metre, so the 25m roll line comes off. The sheet sizes are untouched."
Ritrama PTA Silver Etch,"Widths per metre, sheet sizes each.","PTA1520, PTA1220, PTA610 per metre; PTA305, PTA203, PTAA4 as sheets",None given,BUILD,
Ritrama PTAS Dark Silver Etch,"Widths per metre, sheet sizes each.","PTAS1520, PTAS1220, PTAS610 per metre; PTAS305, PTAS203, PTASA4 as sheets",None given,BUILD,
Ritrama PTF Dusted Etch,"Widths per metre, sheet sizes each.","PTF1520, PTF1220, PTF610 per metre; PTF305, PTF203, PTFA4 as sheets",None given,BUILD,
Ritrama Ri-Jet M150 White Static Cling,"Per metre, in 25m steps.",RJM1501400 at 4.36/m,50m and over: 3.92/m,BUILD,
Salmon Glitter,Per metre.,GL18 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Silver Glitter,Per metre.,GL7 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
Silver Turbo Heat Transfer Vinyl,"Per metre, matching Gold Turbo.",4930500 at 6.99/m,25m and over: 6.15/m,BUILD,This is the only colour in the range still built with options; every other colour is already a single per-metre product. See the question about sheet sizes on the other tab.
Universal Canvas,"Three widths, per metre, in 25m steps.",CANUNI1067 6.54; CANUNI1370 8.44; CANUNI1520 9.34,"30m and over: 5.95, 7.68 and 8.50",BUILD,"Keeping the breaks the site already had. The 500mm and 760mm options come off, as you asked."
Yellow Glitter,Per metre.,GL6 at 34.64/m,30m and over: 32.90/m,BUILD,Break rate is the site's 30m roll price divided by 30.
ASLAN CT11382 Olympic Blue Transparent Vinyl,No change needed.,already correct,already correct,NONE,
ASLAN DFP07 UltraTack,No change needed.,already correct,already correct,NONE,"You were right that this should not have been on the list. It was our fault: two deleted copies of the product were still holding DFP071370 and DFP07500, which made them look unassigned. Cleared."
ASLAN Glassline Series Colour Selectors,No change needed.,already correct,already correct,NONE,
ASLAN MetalEffect Series Colour Selectors,No change needed.,already correct,already correct,NONE,
Neschen UVprint Easy Dot PP Digital Print Vinyl,No change needed.,already correct,already correct,NONE,
Ri-Mark Event Series Colour Selectors,No change needed.,already correct,already correct,NONE,
Ri-Mark Optima Series Colour Selectors,No change needed.,already correct,already correct,NONE,
Ri-Mark Platinum Series Colour Selectors,No change needed.,already correct,already correct,NONE,
Swann Morton No:10A Scalpel Blades,No change needed.,already correct,already correct,NONE,
Swann Morton No:3 Scalpel Handle,No change needed.,already correct,already correct,NONE,
