"id","type","name","data","xns"
"core.managegroups.DBOVERCUSTTEXT","TABLE","DBOVERCUSTTEXT","Use the interface below to manage user groups.  If you wish to clone a group, use the Clone function.  The Clone function will copy all the permissions of the group you are cloning over to the new group you create.  If you choose to delete a group which contains users, those users will be reassigned to the Basic Account (users) group.","core.managegroups"
"core.managegroups.DISABLEDEL.admin","ID","DISABLEDEL","admin","core.managegroups"
"core.managegroups.DISABLEDEL.reports","ID","DISABLEDEL","reports","core.managegroups"
"core.managegroups.DISABLEDEL.superuser","ID","DISABLEDEL","superuser","core.managegroups"
"core.managegroups.DISABLEDEL.users","ID","DISABLEDEL","users","core.managegroups"
"core.managegroups.DISABLEDEL.wholesale","ID","DISABLEDEL","wholesale","core.managegroups"
"core.managegroups.TBLDELETEMODPROC","TABLE","TBLDELETEMODPROC","deletegroup","core.managegroups"
"core.managegroups.TBLINSERTMODPROC","TABLE","TBLINSERTMODPROC","insertgroup","core.managegroups"
"core.managemultisite.DISABLEDEL.DEFAULT","ID","DISABLEDEL","DEFAULT","core.managemultisite"
"core.managemultisite.DISABLEUPD.DEFAULT","ID","DISABLEUPD","DEFAULT","core.managemultisite"
"core.managemultisite.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","core.managemultisite"
"core.managemultisite.matchhost.TBLISUNIQUE","COLUMN","TBLISUNIQUE","matchhost","core.managemultisite"
"core.managemultisite.matchhost.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","matchhost","core.managemultisite"
"core.managemultisite.settings_ecom_ordernumprefix.TBLISUNIQUE","COLUMN","TBLISUNIQUE","settings_ecom_ordernumprefix","core.managemultisite"
"core.managemultisite.settings_ecom_ordernumprefix.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","settings_ecom_ordernumprefix","core.managemultisite"
"core.manageredirects.TBLSPECIAL1D","TABLE","TBLSPECIAL1D","Add New Redirect","core.manageredirects"
"core.manageredirects.TBLSPECIAL1NS","TABLE","TBLSPECIAL1NS","redirectadd","core.manageredirects"
"core.manageskinwidgets.DISABLEDEL.cms.skinwidget_banneradverts","ID","DISABLEDEL","cms.skinwidget_banneradverts","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.cms.skinwidget_bannermain","ID","DISABLEDEL","cms.skinwidget_bannermain","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.cms.skinwidget_pages","ID","DISABLEDEL","cms.skinwidget_pages","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.cms.xmodarticleswidgetbreads","ID","DISABLEDEL","cms.xmodarticleswidgetbreads","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.cms.xmodarticleswidgetcat","ID","DISABLEDEL","cms.xmodarticleswidgetcat","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.cms.xmodarticleswidgetfeed","ID","DISABLEDEL","cms.xmodarticleswidgetfeed","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.cms.xmodarticleswidgetrecent","ID","DISABLEDEL","cms.xmodarticleswidgetrecent","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.core.skinwidget_account","ID","DISABLEDEL","core.skinwidget_account","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.core.skinwidget_companyinfo","ID","DISABLEDEL","core.skinwidget_companyinfo","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.core.skinwidget_currency","ID","DISABLEDEL","core.skinwidget_currency","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.core.skinwidget_miniacctlogin","ID","DISABLEDEL","core.skinwidget_miniacctlogin","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.core.skinwidget_social","ID","DISABLEDEL","core.skinwidget_social","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.ecom.skinwidget_breadcrumbs","ID","DISABLEDEL","ecom.skinwidget_breadcrumbs","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.ecom.skinwidget_categories","ID","DISABLEDEL","ecom.skinwidget_categories","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.ecom.skinwidget_loyaltypointsmult","ID","DISABLEDEL","ecom.skinwidget_loyaltypointsmult","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.ecom.skinwidget_menustore","ID","DISABLEDEL","ecom.skinwidget_menustore","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.ecom.skinwidget_minicart","ID","DISABLEDEL","ecom.skinwidget_minicart","core.manageskinwidgets"
"core.manageskinwidgets.DISABLEDEL.ecom.skinwidget_minisearch","ID","DISABLEDEL","ecom.skinwidget_minisearch","core.manageskinwidgets"
"core.managestateprov.DISABLEDEL.Not Applicable","ID","DISABLEDEL","Not Applicable","core.managestateprov"
"core.manageusers.acctsysalt.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysalt","core.manageusers"
"core.manageusers.acctsysaltmod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysaltmod","core.manageusers"
"core.manageusers.acctsyspri.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsyspri","core.manageusers"
"core.manageusers.acctsysprimod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysprimod","core.manageusers"
"core.manageusers.affilcommearned.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affilcommearned","core.manageusers"
"core.manageusers.affilcommowed.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affilcommowed","core.manageusers"
"core.manageusers.affilcommpaid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affilcommpaid","core.manageusers"
"core.manageusers.affilid.TBLISUNIQUE","COLUMN","TBLISUNIQUE","affilid","core.manageusers"
"core.manageusers.affilid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affilid","core.manageusers"
"core.manageusers.affillockid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affillockid","core.manageusers"
"core.manageusers.affilmaxcommpct.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affilmaxcommpct","core.manageusers"
"core.manageusers.affilsalestodate.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","affilsalestodate","core.manageusers"
"core.manageusers.autocommentsext.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","autocommentsext","core.manageusers"
"core.manageusers.autocommentsint.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","autocommentsint","core.manageusers"
"core.manageusers.COLSPECIAL1D","TABLE","COLSPECIAL1D","Change Email","core.manageusers"
"core.manageusers.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","userschangeemail","core.manageusers"
"core.manageusers.customdata.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","customdata","core.manageusers"
"core.manageusers.custorderemails.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","custorderemails","core.manageusers"
"core.manageusers.id.COLFORMATEMAIL","COLUMN","COLFORMATEMAIL","id","core.manageusers"
"core.manageusers.intorderemails.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","intorderemails","core.manageusers"
"core.manageusers.invoicedisp.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","invoicedisp","core.manageusers"
"core.manageusers.invoicemail.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","invoicemail","core.manageusers"
"core.manageusers.kcodeauth.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","kcodeauth","core.manageusers"
"core.manageusers.ktokenauth.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","ktokenauth","core.manageusers"
"core.manageusers.ktokendevauth.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","ktokendevauth","core.manageusers"
"core.manageusers.ktokenuser.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","ktokenuser","core.manageusers"
"core.manageusers.loginfaillast.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","loginfaillast","core.manageusers"
"core.manageusers.loginfails.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","loginfails","core.manageusers"
"core.manageusers.loginlocked.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","loginlocked","core.manageusers"
"core.manageusers.loyaltypoints.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","loyaltypoints","core.manageusers"
"core.manageusers.lphistearn.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","lphistearn","core.manageusers"
"core.manageusers.lphistspend.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","lphistspend","core.manageusers"
"core.manageusers.olpdata.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","olpdata","core.manageusers"
"core.manageusers.passchangehist.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","passchangehist","core.manageusers"
"core.manageusers.passchangelast.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","passchangelast","core.manageusers"
"core.manageusers.sessdata.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","sessdata","core.manageusers"
"core.manageusers.TBLINSERTMODPROC","TABLE","TBLINSERTMODPROC","insertuser","core.manageusers"
"core.manageusers.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateuser","core.manageusers"
"core.manageusers.username.TBLISUNIQUE","COLUMN","TBLISUNIQUE","username","core.manageusers"
"core.manageusers.username.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","username","core.manageusers"
"core.reportsadv.COLSPECIAL1D","TABLE","COLSPECIAL1D","View Report","core.reportsadv"
"core.reportsadv.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","reportsadvdetail","core.reportsadv"
"ecom.manageacctsysitems.acctsysalt.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysalt","ecom.manageacctsysitems"
"ecom.manageacctsysitems.acctsysaltmod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysaltmod","ecom.manageacctsysitems"
"ecom.manageacctsysitems.acctsyspri.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsyspri","ecom.manageacctsysitems"
"ecom.manageacctsysitems.acctsysprimod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysprimod","ecom.manageacctsysitems"
"ecom.manageacctsysitems.prodnum.TBLISUNIQUE","COLUMN","TBLISUNIQUE","prodnum","ecom.manageacctsysitems"
"ecom.manageacctsysitems.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateacctsysitem","ecom.manageacctsysitems"
"ecom.manageacctsysterms.DISABLEDEL.Due on receipt","ID","DISABLEDEL","Due on receipt","ecom.manageacctsysterms"
"ecom.manageacctsysterms.DISABLEDEL.Net 15","ID","DISABLEDEL","Net 15","ecom.manageacctsysterms"
"ecom.manageacctsysterms.DISABLEDEL.Net 30","ID","DISABLEDEL","Net 30","ecom.manageacctsysterms"
"ecom.manageacctsysterms.DISABLEDEL.Net 60","ID","DISABLEDEL","Net 60","ecom.manageacctsysterms"
"ecom.manageamazonprod.cacheinv.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cacheinv","ecom.manageamazonprod"
"ecom.manageamazonprod.cacheinvsource.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cacheinvsource","ecom.manageamazonprod"
"ecom.manageamazonprod.cachematchofferid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cachematchofferid","ecom.manageamazonprod"
"ecom.manageamazonprod.cachematchofferinfo.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cachematchofferinfo","ecom.manageamazonprod"
"ecom.manageamazonprod.cacheprice.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cacheprice","ecom.manageamazonprod"
"ecom.manageamazonprod.channelitemid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelitemid","ecom.manageamazonprod"
"ecom.manageamazonprod.channelitemstatus.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelitemstatus","ecom.manageamazonprod"
"ecom.manageamazonprod.channelupderrors.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelupderrors","ecom.manageamazonprod"
"ecom.manageamazonprod.channelupdpending.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelupdpending","ecom.manageamazonprod"
"ecom.manageamazonprod.channelupdqueue.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelupdqueue","ecom.manageamazonprod"
"ecom.manageamazonprod.createtimestamp.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","createtimestamp","ecom.manageamazonprod"
"ecom.manageamazonprod.datetimestamp.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","datetimestamp","ecom.manageamazonprod"
"ecom.manageamazonprod.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.manageamazonprod"
"ecom.manageamazonprod.publishtimestamp.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","publishtimestamp","ecom.manageamazonprod"
"ecom.manageamazonprod.status.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","status","ecom.manageamazonprod"
"ecom.manageamazonprod.TBLDELETEMODPROC","TABLE","TBLDELETEMODPROC","deleteamazonprod","ecom.manageamazonprod"
"ecom.manageamazonprod.TBLINSERTMODPROC","TABLE","TBLINSERTMODPROC","insertamazonprod","ecom.manageamazonprod"
"ecom.manageamazonprod.TBLUPDATELOADPROC","TABLE","TBLUPDATELOADPROC","updateloadamazonprod","ecom.manageamazonprod"
"ecom.manageamazonprod.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateamazonprod","ecom.manageamazonprod"
"ecom.managecat.AUDITIOND","TABLE","AUDITIOND","Audition Category","ecom.managecat"
"ecom.managecat.AUDITIONNS","TABLE","AUDITIONNS","catshow","ecom.managecat"
"ecom.managecat.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.managecat"
"ecom.managecat.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","ecom.managecat"
"ecom.managecreditsc.COLSPECIAL1D","TABLE","COLSPECIAL1D","Credit Manager","ecom.managecreditsc"
"ecom.managecreditsc.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","creditmandisplay","ecom.managecreditsc"
"ecom.managecreditso.COLSPECIAL1D","TABLE","COLSPECIAL1D","Credit Manager","ecom.managecreditso"
"ecom.managecreditso.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","creditmandisplay","ecom.managecreditso"
"ecom.managedisc.acctsysalt.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysalt","ecom.managedisc"
"ecom.managedisc.acctsysaltmod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysaltmod","ecom.managedisc"
"ecom.managedisc.acctsyspri.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsyspri","ecom.managedisc"
"ecom.managedisc.acctsysprimod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysprimod","ecom.managedisc"
"ecom.managedisc.createdate.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","createdate","ecom.managedisc"
"ecom.managedisc.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updatedisc","ecom.managedisc"
"ecom.manageebayprod.cacheinv.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cacheinv","ecom.manageebayprod"
"ecom.manageebayprod.cachematchofferid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cachematchofferid","ecom.manageebayprod"
"ecom.manageebayprod.cachematchofferinfo.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cachematchofferinfo","ecom.manageebayprod"
"ecom.manageebayprod.cacheprice.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","cacheprice","ecom.manageebayprod"
"ecom.manageebayprod.channelitemid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelitemid","ecom.manageebayprod"
"ecom.manageebayprod.channelitemsku.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelitemsku","ecom.manageebayprod"
"ecom.manageebayprod.channelitemstatus.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelitemstatus","ecom.manageebayprod"
"ecom.manageebayprod.channelupderrors.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelupderrors","ecom.manageebayprod"
"ecom.manageebayprod.channelupdpending.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","channelupdpending","ecom.manageebayprod"
"ecom.manageebayprod.createtimestamp.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","createtimestamp","ecom.manageebayprod"
"ecom.manageebayprod.datetimestamp.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","datetimestamp","ecom.manageebayprod"
"ecom.manageebayprod.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.manageebayprod"
"ecom.manageebayprod.status.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","status","ecom.manageebayprod"
"ecom.manageebayprod.TBLDELETEMODPROC","TABLE","TBLDELETEMODPROC","deleteebayprod","ecom.manageebayprod"
"ecom.manageebayprod.TBLINSERTMODPROC","TABLE","TBLINSERTMODPROC","insertebayprod","ecom.manageebayprod"
"ecom.manageebayprod.TBLUPDATELOADPROC","TABLE","TBLUPDATELOADPROC","updateloadebayprod","ecom.manageebayprod"
"ecom.manageebayprod.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateebayprod","ecom.manageebayprod"
"ecom.managegiftcert.createdate.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","createdate","ecom.managegiftcert"
"ecom.managegiftcert.orderid.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","orderid","ecom.managegiftcert"
"ecom.manageinventory.acctsysalt.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysalt","ecom.manageinventory"
"ecom.manageinventory.acctsysaltmod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysaltmod","ecom.manageinventory"
"ecom.manageinventory.acctsyspri.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsyspri","ecom.manageinventory"
"ecom.manageinventory.acctsysprimod.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","acctsysprimod","ecom.manageinventory"
"ecom.manageinventory.DISABLEDEL.CHANNELNOMATCH","ID","DISABLEDEL","CHANNELNOMATCH","ecom.manageinventory"
"ecom.manageinventory.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.manageinventory"
"ecom.manageinventory.notifystock.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","notifystock","ecom.manageinventory"
"ecom.manageinventory.TBLDELETEMODPROC","TABLE","TBLDELETEMODPROC","deleteinventory","ecom.manageinventory"
"ecom.manageinventory.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateinventory","ecom.manageinventory"
"ecom.managemanus.DISABLEDEL.DEFAULT","ID","DISABLEDEL","DEFAULT","ecom.managemanus"
"ecom.managemanus.id.COLNOSPCHARS","COLUMN","COLNOSPCHARS","id","ecom.managemanus"
"ecom.managemanus.seourl.TBLSUPRESSCLONE","COLUMN","TBLSUPRESSCLONE","seourl","ecom.managemanus"
"ecom.manageorderitems.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorderitem","ecom.manageorderitems"
"ecom.manageorders.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageorders"
"ecom.manageorders.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageorders"
"ecom.manageorders.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageorders"
"ecom.manageorders.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageorders"
"ecom.manageorders.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageorders"
"ecom.manageordersa.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersa"
"ecom.manageordersa.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersa"
"ecom.manageordersa.TBLSUPPRESSDEL","TABLE","TBLSUPPRESSDEL","1","ecom.manageordersa"
"ecom.manageordersa.TBLSUPPRESSINS","TABLE","TBLSUPPRESSINS","1","ecom.manageordersa"
"ecom.manageordersa.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersa"
"ecom.manageordersc.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersc"
"ecom.manageordersc.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersc"
"ecom.manageordersc.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersc"
"ecom.manageordersc.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersc"
"ecom.manageordersc.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersc"
"ecom.manageordersf.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersf"
"ecom.manageordersf.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersf"
"ecom.manageordersf.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersf"
"ecom.manageordersf.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersf"
"ecom.manageordersf.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersf"
"ecom.manageordersppc.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersppc"
"ecom.manageordersppc.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersppc"
"ecom.manageordersppc.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersppc"
"ecom.manageordersppc.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersppc"
"ecom.manageordersppc.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersppc"
"ecom.manageordersppr.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersppr"
"ecom.manageordersppr.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersppr"
"ecom.manageordersppr.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersppr"
"ecom.manageordersppr.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersppr"
"ecom.manageordersppr.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersppr"
"ecom.manageordersr.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageordersr"
"ecom.manageordersr.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageordersr"
"ecom.manageordersr.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageordersr"
"ecom.manageordersr.TBLUPDATEMODPOST","TABLE","TBLUPDATEMODPOST","updateorder","ecom.manageordersr"
"ecom.manageordersr.TBLUPDATEMODPROC","TABLE","TBLUPDATEMODPROC","updateorderproc","ecom.manageordersr"
"ecom.manageorderst.COLSPECIAL1D","TABLE","COLSPECIAL1D","Order Manager","ecom.manageorderst"
"ecom.manageorderst.COLSPECIAL1NS","TABLE","COLSPECIAL1NS","beordersummary","ecom.manageorderst"
"ecom.manageorderst.TBLSUPPRESSUPD","TABLE","TBLSUPPRESSUPD","1","ecom.manageorderst"
