original_sku,assigned_sku,name,reason
PP810,PP810-v2,Poli Print 810 - 4 Year Gloss Transparent Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP1230,PP1230-v1,PP1230 Premium Gloss Laminating Film :: 500mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP1230,PP1230-v2,Poli Print 1230 - 5 Year Polymeric Transparent Digital Vinyl / Laminate,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DIGPA200,DIGPA200-v1,Poster Paper :: 500mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DIGPA200,DIGPA200-v2,Digi-Paper 200,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP800,PP800-v1,PP800 4 Year Gloss White Digital Print Vinyl :: 500mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP800,PP800-v2,Poli Print 800 - 4 Year Gloss White Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP805,PP805-v1,PP805 4 Year Matt White Digital Print Vinyl :: 500mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP805,PP805-v2,Poli Print 805 - 4 Year Matt White Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP1200,PP1200-v1,PP1200 Gloss White 5 Year Digital Print Vinyl :: 500mm x 50m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
PP1200,PP1200-v2,Poli Print 1200 - 5 Year Polymeric Gloss White Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DFP07,DFP07-v1,DFP07 White Gloss High Tack Digital Print Vinyl :: 500mm x 25m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DFP07,DFP07-v2,ASLAN DFP07 UltraTack,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
3268,3268-v1,Orajet 3268 Matt White Wall Sticker Vinyl :: 500mm x 25m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
3268,3268-v2,Orajet 3268 Ultra Removable Matt Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DIGI-FAB,DIGI-FAB-v1,Digi-Fab Wallcovering and Furniture Wrap Fabric :: 500mm x 15m,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DIGI-FAB,DIGI-FAB-v2,Digi-Fab,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
Cover Styl' CT35,Cover Styl' CT35-v1,CT35 Aged Golden Pine,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
Cover Styl' CT35,Cover Styl' CT35-v2,CT69 Cream Brown,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DJ100,DJ100-v1,D-Jet 100 - 4 Year Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DJ100,DJ100-v2,Orajet 3164 - 4 Year Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DJ100R,DJ100R-v1,D-Jet 100R - Removable 4 Year Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
DJ100R,DJ100R-v2,Orajet 3162 - 4 Year Removable Digital Vinyl,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
12056,12056-v1,A4 Sheets 5 pack - 3mm Foamed PVC Sheet,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
12056,12056-v2,A4 Sheets 5 pack - 5mm Foamed PVC Sheet,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
3017,3017-v1,Gorilla Gripper,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
3017,3017-v2,Liquid Chalk Pen,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
L181,L181-v1,Ri-Mark Event 171 Gloss Gold,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
L181,L181-v2,Ri-Mark Event 181 Gloss Silver,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
MSK,MSK-v1,Mimaki Smart Knives,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
MSK,MSK-v2,Mutoh Smart Knives,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
UNG,UNG-v1,Unger Squeegee,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
UNG,UNG-v2,Unger Squeegee Blade,Excluded pending review in sku_review.csv. Return the reviewed file to include these products.
