Type,Product,Option,"Post ID","Old value","New value",Result
SKU,"ASLAN CT11373 Bright Red Transparent Vinyl","1250mm x 5m Roll",3487,11373-sz01,CT113731250,OK
SKU,"ASLAN CT11374 Red Transparent Vinyl","1250mm x 5m Roll",3489,11374-sz01,CT113741250,OK
SKU,"ASLAN CT11377 Magenta Transparent Vinyl","1250mm x 5m Roll",3491,11377-sz01,CT113771250,OK
SKU,"ASLAN CT11379 Ultra Blue Transparent Vinyl","1250mm x 5m Roll",3493,11379-sz01,CT113791250,OK
SKU,"ASLAN CT11381 Azure Blue Transparent Vinyl","1250mm x 5m Roll",3495,11381-sz01,CT113811250,OK
SKU,"ASLAN CT11383 Light Blue Transparent Vinyl","1250mm x 25m Roll",3499,11383-sz02,CT113831250,OK
SKU,"ASLAN CT11385 Medium Green Transparent Vinyl","1250mm x 25m Roll",3501,11385-sz02,CT113851250,OK
SKU,"ASLAN CT11388 Apple Green Transparent Vinyl","1250mm x 25m Roll",3503,11388-sz02,CT113881250,OK
SKU,"ASLAN CT11392 Blue Transparent Vinyl","1250mm x 25m Roll",3505,11392-sz02,CT113921250,OK
SKU,"ASLAN CT11395 Purple Transparent Vinyl","1250mm x 25m Roll",3507,11395-sz02,CT113951250,OK
SKU,"ASLAN DFP07 UltraTack","1370mm x 50m Roll",6572,DFP07-sz03,DFP071370,OK
SKU,"ASLAN DFP33 Print N Go",,887,DFP33,DFP331370,OK
SKU,"ASLAN FF480 Printable Self-adhesive Ferrous Film :: 1010mm x 12m roll",,960,FF480,FF480FERRO,OK
SKU,"ASLAN FF490 Self-adhesive Matt Dry Wipe Ferrous Film :: 1370mm wide",,961,FF490,FF490FERRO1370,OK
SKU,"ASLAN FF540 Self-adhesive Blackboard Ferrous Film (PVC Free) :: 1250mm wide",,962,FF540,FF540FERRO1250,OK
SKU,"ASLAN Glassline Series Colour Selectors","Aslan Glassline 2 Page A4 Colour Card",6673,Aslan-Glassline-Colour-Cards,COLSELGLASSLINEA4,OK
SKU,"ASLAN Glassline Series Colour Selectors","Aslan Glassline Colour Pocket Swatch",6674,Aslan-Glassline-Pocket-Swatch,COLSELGLASSLINEPS,OK
SKU,"ASLAN MetalEffect Series Colour Selectors","Aslan MetalEffect 3 Page A4 Colour Card",6675,Aslan-MetalEffect-Colour-Cards,COLSELMETALEFFECTA4,OK
SKU,"ASLAN MetalEffect Series Colour Selectors","Aslan MetalEffect Colour Pocket Swatch",6676,Aslan-MetalEffect-Pocket-Swatch,COLSELMETALEFFECTPS,OK
SKU,"ASLAN MP326 Floor Protect Laminate","1370mm x 25m roll",3695,MP326-sz02,MP3261370,OK
SKU,"ASLAN SE71 Andromeda Opaque Dichroic Film",,509,13144S,13144S1200,OK
SKU,"ASLAN SE71 Plasma Opaque Dichroic Film",,510,13145S,13145S1200,OK
SKU,"ASLAN SL99 Graffiti Repellent Laminate","Size / Format — 1370mm x 10m",2078,SL99-sz01,SL991370,OK
SKU,"ATP GP412 :: Monomeric High Tack Vinyl 1370mm x 50m",,765,ATP-GP412,ATP-GP412WGHTG,OK
SKU,"Black Engineer Grade Reflective",,634,5510-070,5.510070122E10,OK
SKU,"Black Flock Heat Transfer Vinyl",,644,700,7510500,OK
SKU,"Blast Tape 330 :: 1000mm x 25m",,787,BT300,BT3301020,OK
SKU,"Boss Crystal Matt Laminate","1040mm x 100m Roll",2120,BOSSLAMCRYSTAL-sz02,BOSSLAMCRYSTALMATT1040,OK
SKU,"Boss Crystal Matt Laminate","1370mm x 50m Roll",2121,BOSSLAMCRYSTAL-sz03,BOSSLAMCRYSTALMATT1370,OK
SKU,"Boss Crystal Matt Laminate","1520mm x 50m Roll",2122,BOSSLAMCRYSTAL-sz04,BOSSLAMCRYSTALMATT1520,OK
SKU,"Boss Crystal Matt Laminate","650mm x 50m Roll",2119,BOSSLAMCRYSTAL-sz01,BOSSLAMCRYSTALMATT650,OK
SKU,"Brass Eyelet Kit",,953,1895,EYE3,OK
SKU,"Contour Squeegee","Green - Soft Flex",2157,S.8-sz03,S.8-CG,OK
SKU,"Contour Squeegee","Grey - Stiff Flex",2155,S.8-sz01,S.8-CP,OK
SKU,"Contour Squeegee","Yellow - Medium Flex",2156,S.8-sz02,S.8-CY,OK
SKU,"D-Jet 200 - Thick and easy to apply",,917,DJ200,DJ2001400,OK
SKU,"D-View Micro Perforated Vinyl","1370mm x 50m Roll",2159,D-VIEW-sz02,D-VIEW1370,OK
SKU,"D-View Micro Perforated Vinyl","1520mm x 50m Roll",2161,D-VIEW-sz04,D-VIEW1520,OK
SKU,Digi-Fab,"1067mm x 15m Roll",6581,DIGI-FAB-sz01,DIGI-FAB1067,OK
SKU,Digi-Fab,"1370mm x 15m Roll",6583,DIGI-FAB-sz03,DIGI-FAB1370,OK
SKU,Digi-Fab,"1520mm x 15m Roll",6585,DIGI-FAB-sz05,DIGI-FAB1524,OK
SKU,"Doro 9050 White Gloss Vehicle Grade Magnetic Vinyl :: 630mm Wide",,841,9050,9050610,OK
SKU,"Doro 9052 White Matt Magnetic Vinyl","1000mm Wide",1521,9052-1000mmWide,9.0521E7,OK
SKU,"Doro 9052 White Matt Magnetic Vinyl","1000mm wide matt",1576,9052-Matt-1000mmWide,9052M1000,OK
SKU,"Doro 9052 White Matt Magnetic Vinyl","1260mm x 10m",1520,9052-1260mmx10m,9.052126E7,OK
SKU,"Doro-Fix 3900","50mm x 50m",1535,390025-50mmx50m,390050,OK
SKU,"Doro-Fix 4402 :: 50mm x 50m",,858,44250,440250,OK
SKU,"Doro-Fix 465 :: 50mm x 50m",,6568,46525,46550,OK
SKU,"FF200 Printable Ferrous Film (Non adhesive) :: 1260mm Wide","1260mm x 25m Roll",4141,FF200-sz01,FF200FERRO,OK
SKU,"Floor Rack",,1360,ROLL,FLOO,OK
SKU,Floorappeal,"HT - High Tac Removable",3599,FLOORAPP-sz02,FLOORAPPHT,OK
SKU,Floorappeal,"HTX - Extreme Tac Removable",3600,FLOORAPP-sz03,FLOORAPPHTX,OK
SKU,Floorappeal,"LT - Low Tac Removable",3598,FLOORAPP-sz01,FLOORAPPLT,OK
SKU,GlassApeel,"Frosted 1370mm x 10m",3613,GLASSAPP-sz05,GLASSAPPFROST,OK
SKU,GlassApeel,"Solar UV 1370mm x 10m",3615,GLASSAPP-sz07,GLASSAPPSOLAR,OK
SKU,GlassApeel,"Transparent 1370mm x 10m",3609,GLASSAPP-sz01,GLASSAPPCLEAR,OK
SKU,GlassApeel,"White 1370mm x 10m",3611,GLASSAPP-sz03,GLASSAPPWHITE,OK
SKU,"Grey Flock Heat Transfer Vinyl",,645,730,7511500,OK
SKU,"Gudy 804",,992,804,NES-001228,OK
SKU,"Heat Tape",,994,61SL,61SL10,OK
SKU,"Hotronix Auto Open Clam / Sprint Mag Digital Heatpress","38cm x 28cm",5182,STX11,PRESS-STX11,OK
SKU,"Hotronix Auto Open Clam / Sprint Mag Digital Heatpress","40cm x 40cm",5183,STX16,PRESS-STX16,OK
SKU,"Hotronix Auto Open Clam / Sprint Mag Digital Heatpress","50cm x 40cm",5184,STX20,PRESS-STX20,OK
SKU,"Hotronix Heatpress Caddie","Heat Press Caddie_x0099_ Stand",6542,CAD1-sz01,CAD1-2310-2,OK
SKU,"Hotronix Heatpress Interchangable Lower Platens","Tag Along Platen",6632,PLA3-sz01,PLA5,OK
SKU,"Image Flex Clear 4625",,1005,4625,IMAC500,OK
SKU,"Image Flex Pro Nylon 4035","500mm Width",1545,4035-500mmWidth,IMAPN500,OK
SKU,"Image Flex Pro Nylon 4035","750mm Width",1546,4035-750mmWidth,IMAPN750,OK
SKU,"IPA100 Cleaner","1 litre can",3635,IPA100-sz01,IPA1001LTR,OK
SKU,"IPA100 Cleaner","5 litre tin",3636,IPA100-sz02,IPA1005LTR,OK
SKU,"Kernow 165SML Roll-Up Film","1270mm x 30m Roll",3624,165SML-sz01,165SML1270,OK
SKU,"Laser Thermometer",,1070,3019,LASE,OK
SKU,"Lemon Flock Heat Transfer Vinyl",,447,100,7551500,OK
SKU,"M8 Bright Yellow","full roll - 1220mm x 50 mtr",6678,M8_Bright_Yellow-sz02,M8,OK
SKU,"Mini Power Tabs",,1135,21004,MINPOW,OK
SKU,"Mutoh Plotter Cutting Blades","MSC 500V :: Sprung blade",6679,Mutoh_Plotter_Blade-sz01,MSC500V,OK
SKU,"Mutoh Plotter Cutting Blades","V500V :: Plain blade",6680,Mutoh_Plotter_Blade-sz02,V500V,OK
SKU,"Neschen Easy Dot – Digital Print Vinyl","Neschen Easy Dot - Digital Print Vinyl - Choose Colour Below — Clear Matt 6032517",3723,EASYDOT-sz02,EASYDOTCMATT1370,OK
SKU,"Neschen Easy Dot – Digital Print Vinyl","Neschen Easy Dot - Digital Print Vinyl - Choose Colour Below — Matt White 6030349",3722,EASYDOT-sz01,EASYDOTWMATT1370,OK
SKU,"Neschen UVprint Easy Dot PP – Digital Print Vinyl","Neschen UVprint Easy Dot PP - Digital Print Vinyl - Choose Colour Below — Transparent 6042598",3724,EASYDOTPP-sz01,EASYDOTPPTRANS,OK
SKU,"OLFA®  Premium Art Knife",,1206,AK-4,AK4,OK
SKU,"OLFA® Art Knife",,1192,AK-1,AK1,OK
SKU,"OLFA® RTY2DX Rotary Knife",,1210,RTY-2/DX,RTY-2,OK
SKU,"OLFA® SAC1 Graphic Precision Knife",,1199,SAC-1,SAC1,OK
SKU,"OLFA® SVR2 Precision Knife",,1207,SVR-2,SVR2,OK
SKU,"OLFA® XA1 X-Design Comfort Grip Precision Knife",,1193,XA1,XA-1,OK
SKU,"Orange Flock Heat Transfer Vinyl",,518,180,7533500,OK
SKU,"Plotter Pens","To fit Graphtec cutters",6636,"PLO PLO1 PLO2-sz03",PLO,OK
SKU,"Poli Print 815 – 4 Year Matt Transparent Digital Vinyl","Poli Print 815 - 4 Year Matt Transparent Digital Vinyl - Size / Format — 1372mm x 50m",4133,PP815-sz01,PP8151370,OK
SKU,"Red Flock Heat Transfer Vinyl",,519,200,7532500,OK
SKU,"Ri-Jet M100 Gloss Clear Removable SB - 3 Year Transparent Digital Vinyl",,1336,RJ100CLEAR,RJ100CR1370,OK
SKU,"Ri-Mark Event Series Colour Selectors","Ri-Mark Event Series 2 Page A4 Colour Card",6681,Ri-Mark-Event-Colour-Cards,COLSELEVENTA4,OK
SKU,"Ri-Mark Event Series Colour Selectors","Ri-Mark Event Series Colour Pocket Swatch",6682,Ri-Mark-Event-Colour-Pocket-Swatch,COLSELEVENTPS,OK
SKU,"Ri-Mark Optima Series Colour Selectors","Ri-Mark Optima Series 2 Page A4 Colour Card",6683,Ri-Mark-Optima-Colour-Cards,COLSELOPTIMAA4,OK
SKU,"Ri-Mark Optima Series Colour Selectors","Ri-Mark Optima Series Colour Pocket Swatch",6684,Ri-Mark-Optima-Colour-Pocket-Swatch,COLSELOPTIMAPS,OK
SKU,"Ri-Mark Platinum Series Colour Selectors","Ri-Mark Platinum Series 2 Page A4 Colour Card",6685,Ri-Mark-Platinum-Colour-Cards,COLSELPLATINUMA4,OK
SKU,"Ri-Mark Platinum Series Colour Selectors","Ri-Mark Platinum Series Colour Pocket Swatch",6686,Ri-Mark-Platinum-Colour-Pocket-Swatch,COLSELPLATINUMPS,OK
SKU,"Right-Off Cleaner","1 Ltr with Trigger Spray Bottle",4151,RIG-sz01,RIG1,OK
SKU,"Right-Off Cleaner","5 Ltr Refill Bottle",4152,RIG-sz02,RIG5,OK
SKU,"Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 440cc Black",2779,10002-sz04,ROLINKM2004,OK
SKU,"Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 440cc Cyan",2776,10002-sz01,ROLINKM2001,OK
SKU,"Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 440cc Light Cyan",2780,10002-sz05,ROLINKM2005,OK
SKU,"Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 440cc Light Magenta",2781,10002-sz06,ROLINKM2006,OK
SKU,"Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 440cc Magenta",2777,10002-sz02,ROLINKM2002,OK
SKU,"Roland Eco Sol Max 2 Inks","Roland Eco Sol Max 2 440cc Yellow",2778,10002-sz03,ROLINKM2003,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 220cc Black",2796,10003-sz11,ROLINKM3004,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 220cc Cyan",2793,10003-sz08,ROLINKM3001,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 220cc Magenta",2794,10003-sz09,ROLINKM3002,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 220cc Yellow",2795,10003-sz10,ROLINKM3003,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 500cc Black",2789,10003-sz04,ROLINKM3008,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 500cc Cyan",2786,10003-sz01,ROLINKM3005,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 500cc Magenta",2787,10003-sz02,ROLINKM3006,OK
SKU,"Roland Eco Sol Max 3 Inks","Roland Eco Sol Max 3 500cc Yellow",2788,10003-sz03,ROLINKM3007,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 220cc Black",2809,10001-sz10,ROLINK018,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 220cc Cyan",2806,10001-sz07,ROLINK015,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 220cc Light Cyan",2810,10001-sz11,ROLINK019,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 220cc Magenta",2807,10001-sz08,ROLINK016,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 220cc Yellow",2808,10001-sz09,ROLINK017,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 440cc Black",2803,10001-sz04,ROLINK010,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 440cc Cyan",2800,10001-sz01,ROLINK007,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 440cc Magenta",2801,10001-sz02,ROLINK008,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max 440cc Yellow",2802,10001-sz03,ROLINK009,OK
SKU,"Roland Eco Sol Max Inks","Roland Eco Sol Max Cleaning Cartridge",2813,10001-sz14,ROLCLEAN,OK
SKU,"Roland Plotter Cutting Blades","R10 V :: Standard Vinyl blade",4174,"R10 / R20-sz01",R10V,OK
SKU,"Roland Plotter Cutting Blades","R20 F :: Flock 60 degree blade",4175,"R10 / R20-sz02",R20F,OK
SKU,"Roland Plotter Cutting Blades","R20 R :: Rubber Sandblast Film blade",4176,"R10 / R20-sz03",R20R,OK
SKU,"Roland Smart Knives","Choose type of cutting blade — MSK500F for cutting reflective, glitter, some sandblast films and flock (Red collar)",4179,"RSK / MSK-sz03",MSK500F,OK
SKU,"Roland Smart Knives","Choose type of cutting blade — MSK750F for cutting the thickest sandblast stencil films (Green collar)",4180,"RSK / MSK-sz04",MSK750F,OK
SKU,"Roland Smart Knives","Choose type of cutting blade — RSK250V for cutting standard vinyl & heat transfer vinyl (Blue collar)",4177,"RSK / MSK-sz01",RSK,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Black",4423,ROLINKTR-sz04,ROLINKTR2BK,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Cleaning",4428,ROLINKTR-sz09,ROLINKTR2CL,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Cyan",4420,ROLINKTR-sz01,ROLINKTR2CY,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Green",4427,ROLINKTR-sz08,ROLINKTR2GR,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Light Cyan",4424,ROLINKTR-sz05,ROLINKTR2LC,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Light Magenta",4425,ROLINKTR-sz06,ROLINKTR2LM,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Magenta",4421,ROLINKTR-sz02,ROLINKTR2MG,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Orange",4426,ROLINKTR-sz07,ROLINKTR2OR,OK
SKU,"Roland TrueVIS Inks","Roland TrueVIS TR2 500ml Yellow",4422,ROLINKTR-sz03,ROLINKTR2YE,OK
SKU,"Roland Wipers",Felt,3194,"ROLWIPE / 2-sz01",ROLWIPE,OK
SKU,"Roland Wipers",Rubber,3195,"ROLWIPE / 2-sz02",ROLWIPE2,OK
SKU,"Roll Up Banner Stand 850mm",,1359,8016,BANSTAN,OK
SKU,"Rotary Blades for OLFA® RTY2DX Rotary Knife",,1211,RB-45,RB45,OK
SKU,"Safety and Security 100 :: 1524mm Width",,1443,SS100,SAS1001524,OK
SKU,"Signal Red Flock Heat Transfer Vinyl",,520,210,7530500,OK
SKU,"Silva-Lite Pro Reflective Flex",,1437,8470,8470500,OK
SKU,"Snap Off Blades for OLFA®  SAC1 Graphic Precision Knife",,1200,SAB-10,SAB,OK
SKU,"Softline Turbo Squeegee","Straight 240mm",4407,S.7-sz02,S.7-SE,OK
SKU,"Softline Turbo Squeegee","Wedge 140mm",4406,S.7-sz01,S.7-WSE,OK
SKU,"SOTT BlueMax Squeegee",,782,BLUEMAX,SOTTMAX,OK
SKU,"Summa Plotter Cutting Blades","SD 450V :: Drag Vinyl blade :: £13.55",6708,Summa_Plotter_Blade-sz01,SD450V,OK
SKU,"Summa Plotter Cutting Blades","SD 750R :: For Rubber Sandblast Film",6710,Summa_Plotter_Blade-sz03,SD750R,OK
SKU,"Summa Plotter Cutting Blades","SNV :: Tangential Vinyl Blade",6711,Summa_Plotter_Blade-sz04,SNV,OK
SKU,"Summa Smart Knives","Choose type of cutting blade — HSK450F for cutting thicker materials including laminated vinyl, reflective, glitter, some sandblast films and flock (Red collar)",4414,HSK-sz02,HSK450F,OK
SKU,"Summa Smart Knives","Choose type of cutting blade — HSK450V for cutting standard vinyl & heat transfer vinyl (Blue collar)",4413,HSK-sz01,HSK450V,OK
SKU,"Summa Smart Knives","Choose type of cutting blade — HSK750F for cutting the thickest sandblast stencil films (Green collar)",4415,HSK-sz03,HSK750F,OK
SKU,"Swann Morton No:10A Scalpel Blades",,1451,"No: 10A Blades",B,OK
SKU,"Swann Morton No:11 Scalpel Blades",,1452,"No: 11 Blades",B1,OK
SKU,"Swann Morton No:2 ACM Scalpel Blades",,1453,"No: 2ACM Blades",B3,OK
SKU,"Swann Morton No:2 ACM Scalpel Handle with blade and blade guard",,1454,"No: 2ACM Handle",H3,OK
SKU,"Swann Morton No:3 Scalpel Handle",,1455,"No: 3 Handle",H,OK
SKU,"Swann Morton No:5A ACM Scalpel Handle with 5 x 10A blades",,1456,"No: 5 Handle",H4,OK
SKU,"TransPrint for Image Flex Pro :: 500mm x 25m","909HT High Tack",4430,909-sz02,909HT,OK
SKU,"TransPrint for Image Flex Pro :: 500mm x 25m","909L Medium Tack with Liner",4431,909-sz03,909L,OK
SKU,Ultracrystaline,"1310mm x 50m Perm / Removable - reverse wound",4504,ULT-sz03,ULT1310R,OK
SKU,"White Engineer Grade Reflective",,633,5510-010,5.510010122E10,OK
SKU,"White Flock Heat Transfer Vinyl",,442,1,7501500,OK
SKU,"White Power Tabs",,1300,21005,POW2,OK
SKU,"Yellow Flock Heat Transfer Vinyl",,448,110,7550500,OK
PRICE,"Rectangular Wall Sign",,1506,25.30,27.80,OK
PRICE,"Ri-Jet 75 Hi-Grip",,1337,314.00,329.70,OK
SKU,"Ri-Mark Event 100 Gloss White","Ri-Mark Event 100 Gloss White - Size / Format — part roll - price per metre",4775,L100-sz12,L100610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Event 101 Gloss Black","Ri-Mark Event 101 Gloss Black - Size / Format — part roll - price per metre",4883,L101-sz12,L101610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Event 145 Gloss Brown","Ri-Mark Event 145 Gloss Brown - Size / Format — part roll - price per metre",4779,L145-sz12,L145610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Event 151 Gloss Perfect Purple","Ri-Mark Event 151 Gloss Perfect Purple - Size / Format — part roll - price per metre",4843,L151-sz12,L151610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Event 199 Gloss Transparent","Ri-Mark Event 199 Gloss Transparent - Size / Format — part roll - price per metre",4771,L199-sz12,L199610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Event 304 Matt Grey","Ri-Mark Event 304 Matt Grey - Size / Format — part roll - price per metre",4955,M304-sz12,M304610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Event 366 Matt Vivid Blue","Ri-Mark Event 366 Matt Vivid Blue - Size / Format — part roll - price per metre",5099,M366-sz12,M366610,"OK (width mapping, round 2)"
SKU,"Ri-Mark Optima 471 Gold","Ri-Mark Optima 471 Gold - Size / Format — part roll - price per metre",4349,SC471-sz03,SC471630,"OK (width mapping, round 2)"
SKU,"Ri-Mark Optima 474 Copper","Ri-Mark Optima 474 Copper - Size / Format — part roll - price per metre",4357,SC474-sz03,SC474630,"OK (width mapping, round 2)"
SKU,"Ri-Mark Optima 481 Silver","Ri-Mark Optima 481 Silver - Size / Format — part roll - price per metre",4377,SC481-sz03,SC481630,"OK (width mapping, round 2)"
SKU,"Ritrama CF01 Pink Fluorescent","Ritrama CF01 Pink Fluorescent - Size / Format — part roll - price per mtr",2147,CF01-sz01,CF01610,"OK (width mapping, round 2)"
SKU,"White Engineer Grade Reflective",,633,5.510010122E10,55100101220,"OK (fixed scientific-notation corruption)"
SKU,"Black Engineer Grade Reflective",,634,5.510070122E10,55100701220,"OK (fixed scientific-notation corruption)"
SKU,"Doro 9052 White Matt Magnetic Vinyl :: 1260mm x 10m",,1520,9.052126E7,90521260,"OK (fixed scientific-notation corruption)"
SKU,"Doro 9052 White Matt Magnetic Vinyl :: 1000mm Wide",,1521,9.0521E7,90521000,"OK (fixed scientific-notation corruption)"
SKU,"900E Medium Tack Paper Application Tape. Roll size 1220mm x 91.4m",,6513,900EMT1220,900E,OK
SKU,"ASLAN DFP07 UltraTack","500mm x 25m Roll",7314,DFP07-sz05,DFP07500,OK
SKU,Digi-Fab,"500mm x 15m Roll",7315,DIGI-FAB-sz07,DIGI-FAB500,OK
