"id","app","selectid","selectname","selectvalue","selectorder"
"core.dboverview.count.3","core","core.dboverview.count","200","200","4"
"core.dboverview.count.4","core","core.dboverview.count","250","250","5"
"core.dimensions.CM","core","core.dimensions","Centimeters (Non-US)","CM","2"
"core.dimensions.IN","core","core.dimensions","Inches (US)","IN","1"
"core.emaillist.SUBSCRIBE","core","core.emaillist","Yes, I'd like to receive email list messages.","SUBSCRIBE","1"
"core.exportoverunder.BLOCK","core","core.exportoverunder","Block Transaction","BLOCK","4"
"core.exportoverunder.CHARGE","core","core.exportoverunder","Charge Taxes and Report as Paid","CHARGE","2"
"core.exportoverunder.ESTIMATE","core","core.exportoverunder","Estimate Taxes and Report as Unpaid","ESTIMATE","1"
"core.exportoverunder.NOACTION","core","core.exportoverunder","No Treatment (Ignore)","NOACTION","3"
"core.formtypes.0","core","core.formtypes","Textbox","TEXTBOX-REG","1"
"core.formtypes.1","core","core.formtypes","Textarea: Regular","TEXTAREA-REG","2"
"core.formtypes.2","core","core.formtypes","Textarea: Small","TEXTAREA-SMALL","3"
"core.formtypes.3","core","core.formtypes","Selection List (List)","SELECT-CUSTOM","4"
"core.formtypes.4","core","core.formtypes","Checkboxes (List)","CHECKBOX-CUSTOM","5"
"core.formtypes.5","core","core.formtypes","Radio Buttons (List)","RADIO-CUSTOM","6"
"core.formtypes.6","core","core.formtypes","Hidden Field","HIDDEN-REG","7"
"core.invoicemail.0","core","core.invoicemail","Never Send Order Invoice Messages","0","1"
"core.invoicemail.1","core","core.invoicemail","Send Order Invoice Messages if Balance Due","1","2"
"core.invoicemail.2","core","core.invoicemail","Always Send Order Invoice Messages","2","3"
"core.kiconlist.kicon_icon-cart","core","core.kiconlist","Shopping Cart","kicon_icon-cart","170"
"core.kiconlist.kicon_icon-close","core","core.kiconlist","Close","kicon_icon-close","180"
"core.kiconlist.kicon_icon-default","core","core.kiconlist","Default Icon","kicon_icon-default","160"
"core.kiconlist.kicon_icon-delete","core","core.kiconlist","Delete","kicon_icon-delete","190"
"core.kiconlist.kicon_icon-edit","core","core.kiconlist","Edit","kicon_icon-edit","200"
"core.kiconlist.kicon_icon-menu","core","core.kiconlist","Menu (Hamburger)","kicon_icon-menu","210"
"core.kiconlist.kicon_icon-menualt","core","core.kiconlist","Menu (Bullets with Hamburger)","kicon_icon-menualt","220"
"core.kiconlist.kicon_icon-move","core","core.kiconlist","Move","kicon_icon-move","230"
"core.kiconlist.kicon_icon-notification","core","core.kiconlist","Notification","kicon_icon-notification","240"
"core.kiconlist.kicon_icon-openclose","core","core.kiconlist","Open / Close","kicon_icon-openclose","250"
"core.kiconlist.kicon_icon-paginate","core","core.kiconlist","Paginate","kicon_icon-paginate","260"
"core.kiconlist.kicon_icon-print","core","core.kiconlist","Print","kicon_icon-print","270"
"core.kiconlist.kicon_icon-sort","core","core.kiconlist","Sort","kicon_icon-sort","280"
"core.kiconlist.kicon_icon-tabs","core","core.kiconlist","Tabs","kicon_icon-tabs","290"
"core.kiconlist.kicon_icon-tooltip","core","core.kiconlist","Tooltip (?)","kicon_icon-tooltip","300"
"core.kiconlist.kicon_icon-view","core","core.kiconlist","View","kicon_icon-view","310"
"core.kiconlist.kicon_icon-wishlist","core","core.kiconlist","Wish List","kicon_icon-wishlist","320"
"core.kiconlist.kicon_widget-account","core","core.kiconlist","Widget: Account Menu","kicon_widget-account","10"
"core.kiconlist.kicon_widget-banneradverts","core","core.kiconlist","Widget: Banner Adverts","kicon_widget-banneradverts","20"
"core.kiconlist.kicon_widget-bannermain","core","core.kiconlist","Widget: Main Banner","kicon_widget-bannermain","30"
"core.kiconlist.kicon_widget-breadcrumbs","core","core.kiconlist","Widget: Breadcrumbs","kicon_widget-breadcrumbs","40"
"core.kiconlist.kicon_widget-cart","core","core.kiconlist","Widget: Mini Shopping Cart","kicon_widget-cart","50"
"core.kiconlist.kicon_widget-categories","core","core.kiconlist","Widget: Categories","kicon_widget-categories","60"
"core.kiconlist.kicon_widget-companyinfo","core","core.kiconlist","Widget: Company Info","kicon_widget-companyinfo","70"
"core.kiconlist.kicon_widget-currency","core","core.kiconlist","Widget: Currencies","kicon_widget-currency","90"
"core.kiconlist.kicon_widget-googletrusted","core","core.kiconlist","Widget: Google Truested Stores","kicon_widget-googletrusted","100"
"core.kiconlist.kicon_widget-loyaltypointsmult","core","core.kiconlist","Widget: Loyalty Points Multiplier","kicon_widget-loyaltypointsmult","105"
"core.kiconlist.kicon_widget-menustore","core","core.kiconlist","Widget: Store Menu","kicon_widget-menustore","110"
"core.kiconlist.kicon_widget-miniaccount","core","core.kiconlist","Widget: Mini Account Login Status","kicon_widget-miniaccount","120"
"core.kiconlist.kicon_widget-pages","core","core.kiconlist","Widget: Main Menu","kicon_widget-pages","130"
"core.kiconlist.kicon_widget-search","core","core.kiconlist","Widget: Store Search","kicon_widget-search","140"
"core.kiconlist.kicon_widget-social","core","core.kiconlist","Widget: Social Media","kicon_widget-social","150"
"core.locationregion.EU","core","core.locationregion","European Union (EU)","EU","3"
"core.locationregion.OTHER","core","core.locationregion","Other","OTHER","1"
"core.locationregion.UK","core","core.locationregion","United Kindom (UK)","UK","2"
"core.rawdb.coltype.0","core","core.rawdb.coltype","Text (VARCHAR)","text","1"
"core.rawdb.coltype.1","core","core.rawdb.coltype","Character Large Object (CLOB)","clob","2"
"core.rawdb.coltype.2","core","core.rawdb.coltype","Floating Point Integer (FLOAT)","float","3"
"core.rawdb.coltype.3","core","core.rawdb.coltype","Integer (INT)","integer","4"
"core.rawdb.selectoutput.0","core","core.rawdb.selectoutput","XHTML Table","XHTML","1"
"core.rawdb.selectoutput.1","core","core.rawdb.selectoutput","XML Data Structure (Normal)","XML","2"
"core.rawdb.selectoutput.2","core","core.rawdb.selectoutput","XML Data Structure (System)","SYSTEM XML","3"
"core.rawdb.selectoutput.3","core","core.rawdb.selectoutput","CSV (Comma Separated Value) Text","CSV","4"
"core.redirecttargetns.cms.display","core","core.redirecttargetns","Webpage","cms.display","1"
"core.redirecttargetns.cms.xmodarticle","core","core.redirecttargetns","Article","cms.xmodarticle","3"
"core.redirecttargetns.cms.xmodarticlescat","core","core.redirecttargetns","Article Category","cms.xmodarticlescat","2"
"core.redirecttargetns.ecom.catshow","core","core.redirecttargetns","Online Store Category","ecom.catshow","4"
"core.redirecttargetns.ecom.manuscat","core","core.redirecttargetns","Online Store Manufacturer","ecom.manuscat","5"
"core.redirecttargetns.ecom.prodshow","core","core.redirecttargetns","Online Store Product Offer","ecom.prodshow","6"
"core.seccount.0","core","core.seccount","Disabled","0","1"
"core.seccount.1","core","core.seccount","1","1","2"
"core.seccount.10","core","core.seccount","10","10","11"
"core.seccount.2","core","core.seccount","2","2","3"
"core.seccount.3","core","core.seccount","3","3","4"
"core.seccount.4","core","core.seccount","4","4","5"
"core.seccount.5","core","core.seccount","5","5","6"
"core.seccount.6","core","core.seccount","6","6","7"
"core.seccount.7","core","core.seccount","7","7","8"
"core.seccount.8","core","core.seccount","8","8","9"
"core.seccount.9","core","core.seccount","9","9","10"
"core.sectimeframedays.0","core","core.sectimeframedays","Disabled","0","1"
"core.sectimeframedays.120","core","core.sectimeframedays","120 Days","120","5"
"core.sectimeframedays.30","core","core.sectimeframedays","30 Days","30","2"
"core.sectimeframedays.60","core","core.sectimeframedays","60 Days","60","3"
"core.sectimeframedays.90","core","core.sectimeframedays","90 Days","90","4"
"core.sitemap_se.ASK","core","core.sitemap_se","Ask.com","ASK","3"
"core.sitemap_se.BING","core","core.sitemap_se","Bing and Yahoo!","BING","2"
"core.sitemap_se.GOOGLE","core","core.sitemap_se","Google","GOOGLE","1"
"core.skins_maincolorscheme.blue","core","core.skins_maincolorscheme","Blue","blue","5"
"core.skins_maincolorscheme.custom","core","core.skins_maincolorscheme","Custom","custom","7"
"core.skins_maincolorscheme.default","core","core.skins_maincolorscheme","Default (Black/Grey)","default","1"
"core.skins_maincolorscheme.green","core","core.skins_maincolorscheme","Green","green","4"
"core.skins_maincolorscheme.orange","core","core.skins_maincolorscheme","Orange","orange","3"
"core.skins_maincolorscheme.purple","core","core.skins_maincolorscheme","Purple","purple","6"
"core.skins_maincolorscheme.red","core","core.skins_maincolorscheme","Red","red","2"
"core.skinwidgetclasses.kwidget_collapsedh","core","core.skinwidgetclasses","Header - Collapsed Box Display","kwidget_collapsedh","4"
"core.skinwidgetclasses.kwidget_collapsedi","core","core.skinwidgetclasses","Icon and Header - Collapsed Box Display","kwidget_collapsedi","6"
"core.skinwidgetclasses.kwidget_content","core","core.skinwidgetclasses","Content Only - Inline Display","kwidget_content","1"
"core.skinwidgetclasses.kwidget_expandedh","core","core.skinwidgetclasses","Header - Expanded Box Display","kwidget_expandedh","5"
"core.skinwidgetclasses.kwidget_expandedi","core","core.skinwidgetclasses","Icon and Header - Expanded Box Display","kwidget_expandedi","7"
"core.skinwidgetclasses.kwidget_fulldrop","core","core.skinwidgetclasses","NavBar Header/Menu - Hover Display","kwidget_fulldrop","3"
"core.skinwidgetclasses.kwidget_iconcollapsed","core","core.skinwidgetclasses","Icon - Collapsed Box Display","kwidget_iconcollapsed","8"
"core.skinwidgetclasses.kwidget_icondrop","core","core.skinwidgetclasses","NavBar Icon - Hover Display","kwidget_icondrop","2"
"core.skinwidgetclasses.kwidget_iconexpanded","core","core.skinwidgetclasses","Icon - Expanded Box Display","kwidget_iconexpanded","9"
"core.taxclass.DIGITAL","core","core.taxclass","Digital","DIGITAL","2"
"core.taxclass.DISABILITY","core","core.taxclass","Disability","DISABILITY","3"
"core.taxclass.STANDARD","core","core.taxclass","Standard","STANDARD","1"
"core.taxcountry.EXEMPT","core","core.taxcountry","Tax Exempt","EXEMPT","1"
"core.taxcountry.REDUCEDHIGH","core","core.taxcountry","Reduced High Rate","REDUCEDHIGH","6"
"core.taxcountry.REDUCEDLOW","core","core.taxcountry","Reduced Low Rate","REDUCEDLOW","3"
"core.taxcountry.REDUCEDMIDHIGH","core","core.taxcountry","Reduced Mid High Rate","REDUCEDMIDHIGH","5"
"core.taxcountry.REDUCEDMIDLOW","core","core.taxcountry","Reduced Mid Low Rate","REDUCEDMIDLOW","4"
"core.taxcountry.STANDARD","core","core.taxcountry","Standard Rate","STANDARD","7"
"core.taxcountryeudisp.BOTH","core","core.taxcountryeudisp","Display Catalog Prices Both Including and Excluding Tax","BOTH","3"
"core.taxcountryeudisp.EXCL","core","core.taxcountryeudisp","Display Catalog Prices Excluding Tax","EXCL","2"
"core.taxcountryeudisp.INCL","core","core.taxcountryeudisp","Display Catalog Prices Including Tax","INCL","1"
"core.taxcountryeuentry.EXCL","core","core.taxcountryeuentry","Catalog Prices Exclude Tax","EXCL","2"
"core.taxcountryeuentry.INCL","core","core.taxcountryeuentry","Catalog Prices Include Tax","INCL","1"
"core.taxcountrysys.EUVAT","core","core.taxcountrysys","Regional VAT System","EUVAT","2"
"core.taxcountrysys.STANDARD","core","core.taxcountrysys","Standard Tax System","STANDARD","1"
"core.taxstateprov.EXEMPT","core","core.taxstateprov","Tax Exempt","EXEMPT","1"
"core.taxstateprov.STANDARD","core","core.taxstateprov","Standard Rate","STANDARD","2"
"core.termsandconditions.1","core","core.termsandconditions","I accept the terms and conditions","1","10"
"core.upload_filetypes.doc","core","core.upload_filetypes","DOC (Microsoft Word)","doc","13"
"core.upload_filetypes.docx","core","core.upload_filetypes","DOCX (Microsoft Word)","docx","14"
"core.upload_filetypes.gif","core","core.upload_filetypes","GIF (Image)","gif","6"
"core.upload_filetypes.jpeg","core","core.upload_filetypes","JPEG (Image)","jpeg","2"
"core.upload_filetypes.jpg","core","core.upload_filetypes","JPG (Image)","jpg","1"
"core.upload_filetypes.pdf","core","core.upload_filetypes","PDF (Adobe Portable Document Format)","pdf","10"
"core.upload_filetypes.pjpeg","core","core.upload_filetypes","PJPEG (Image)","pjpeg","4"
"core.upload_filetypes.pjpg","core","core.upload_filetypes","PJPG (Image)","pjpg","3"
"core.upload_filetypes.png","core","core.upload_filetypes","PNG (Image)","png","5"
"core.upload_filetypes.tif","core","core.upload_filetypes","TIF (Image)","tif","8"
"core.upload_filetypes.tiff","core","core.upload_filetypes","TIFF (Image)","tiff","9"
"core.upload_filetypes.txt","core","core.upload_filetypes","TXT (Plain Text)","txt","17"
"core.upload_filetypes.xls","core","core.upload_filetypes","XLS (Microsoft Excel)","xls","15"
"core.upload_filetypes.xlsx","core","core.upload_filetypes","XLSX (Microsoft Excel)","xlsx","16"
"core.upload_filetypes.xpng","core","core.upload_filetypes","XPNG (Image)","xpng","6"
"core.upload_filetypes.zip","core","core.upload_filetypes","ZIP (Archive)","zip","12"
"core.weights.KGS","core","core.weights","Kilograms (Non-US)","KGS","2"
"core.weights.LBS","core","core.weights","Pounds (US)","LBS","1"
"ecom.acctsyslogtime.1209600","ecom","ecom.acctsyslogtime","Two Weeks","1209600","2"
"ecom.acctsyslogtime.15552000","ecom","ecom.acctsyslogtime","Six Months","15552000","6"
"ecom.acctsyslogtime.2419200","ecom","ecom.acctsyslogtime","One Month","2419200","3"
"ecom.acctsyslogtime.31104000","ecom","ecom.acctsyslogtime","One Year","31104000","7"
"ecom.acctsyslogtime.5184000","ecom","ecom.acctsyslogtime","Two Months","5184000","4"
"ecom.acctsyslogtime.604800","ecom","ecom.acctsyslogtime","One Week","604800","1"
"ecom.acctsyslogtime.62208000","ecom","ecom.acctsyslogtime","Two Years","62208000","8"
"ecom.acctsyslogtime.7776000","ecom","ecom.acctsyslogtime","Three Months","7776000","5"
"ecom.acctsysmapaccttype.Accounts Payable","ecom","ecom.acctsysmapaccttype","Accounts Payable","Accounts Payable","6"
"ecom.acctsysmapaccttype.Accounts Receivable","ecom","ecom.acctsysmapaccttype","Accounts Receivable","Accounts Receivable","5"
"ecom.acctsysmapaccttype.Asset","ecom","ecom.acctsysmapaccttype","Asset","Asset","7"
"ecom.acctsysmapaccttype.Bank","ecom","ecom.acctsysmapaccttype","Bank","Bank","4"
"ecom.acctsysmapaccttype.Cost of Goods Sold","ecom","ecom.acctsysmapaccttype","Cost of Goods Sold","Cost of Goods Sold","3"
"ecom.acctsysmapaccttype.Expense","ecom","ecom.acctsysmapaccttype","Expense","Expense","2"
"ecom.acctsysmapaccttype.Income","ecom","ecom.acctsysmapaccttype","Income","Income","1"
"ecom.acctsysmapaccttype.Liability","ecom","ecom.acctsysmapaccttype","Liability","Liability","8"
"ecom.acctsysstorage.acctsysalt","ecom","ecom.acctsysstorage","Alternate Data Slot","acctsysalt","2"
"ecom.acctsysstorage.acctsyspri","ecom","ecom.acctsysstorage","Primary Data Slot","acctsyspri","1"
"ecom.addlsubdisp.DEFAULT","ecom","ecom.addlsubdisp","Standard View - Category Grid","DEFAULT","1"
"ecom.addlsubdisp.FEATGRID","ecom","ecom.addlsubdisp","Category Feature Grid - Category Sections with Inline Product Offers","FEATGRID","2"
"ecom.affiliatestatus.CUSTOM","ecom","ecom.affiliatestatus","Custom Script","CUSTOM","2"
"ecom.affiliatestatus.IDEVAFFILIATE","ecom","ecom.affiliatestatus","iDevAffiliate URL","IDEVAFFILIATE","3"
"ecom.affiliatestatus.OFF","ecom","ecom.affiliatestatus","Off","OFF","1"
"ecom.amazoncondition.1","ecom","ecom.amazoncondition","Used - Like New","1","1"
"ecom.amazoncondition.11","ecom","ecom.amazoncondition","New","11","11"
"ecom.amazoncondition.2","ecom","ecom.amazoncondition","Used - Very Good","2","2"
"ecom.amazoncondition.3","ecom","ecom.amazoncondition","Used - Good","3","3"
"ecom.amazoncondition.4","ecom","ecom.amazoncondition","Used - Acceptable","4","4"
"ecom.amazoncondition.5","ecom","ecom.amazoncondition","Collectible - Like New","5","5"
"ecom.amazoncondition.6","ecom","ecom.amazoncondition","Collectible - Very Good","6","6"
"ecom.amazoncondition.7","ecom","ecom.amazoncondition","Collectible - Good","7","7"
"ecom.amazoncondition.8","ecom","ecom.amazoncondition","Collectible - Acceptable","8","8"
"ecom.amazondispatchtime.1","ecom","ecom.amazondispatchtime","1 Day","1","1"
"ecom.amazondispatchtime.10","ecom","ecom.amazondispatchtime","10 Days","10","10"
"ecom.amazondispatchtime.11","ecom","ecom.amazondispatchtime","11 Days","11","11"
"ecom.amazondispatchtime.12","ecom","ecom.amazondispatchtime","12 Days","12","12"
"ecom.amazondispatchtime.13","ecom","ecom.amazondispatchtime","13 Days","13","13"
"ecom.amazondispatchtime.14","ecom","ecom.amazondispatchtime","14 Days","14","14"
"ecom.amazondispatchtime.15","ecom","ecom.amazondispatchtime","15 Days","15","15"
"ecom.amazondispatchtime.16","ecom","ecom.amazondispatchtime","16 Days","16","16"
"ecom.amazondispatchtime.17","ecom","ecom.amazondispatchtime","17 Days","17","17"
"ecom.amazondispatchtime.18","ecom","ecom.amazondispatchtime","18 Days","18","18"
"ecom.amazondispatchtime.19","ecom","ecom.amazondispatchtime","19 Days","19","19"
"ecom.amazondispatchtime.2","ecom","ecom.amazondispatchtime","2 Days","2","2"
"ecom.amazondispatchtime.20","ecom","ecom.amazondispatchtime","20 Days","20","20"
"ecom.amazondispatchtime.21","ecom","ecom.amazondispatchtime","21 Days","21","21"
"ecom.amazondispatchtime.22","ecom","ecom.amazondispatchtime","22 Days","22","22"
"ecom.amazondispatchtime.23","ecom","ecom.amazondispatchtime","23 Days","23","23"
"ecom.amazondispatchtime.24","ecom","ecom.amazondispatchtime","24 Days","24","24"
"ecom.amazondispatchtime.25","ecom","ecom.amazondispatchtime","25 Days","25","25"
"ecom.amazondispatchtime.26","ecom","ecom.amazondispatchtime","26 Days","26","26"
"ecom.amazondispatchtime.27","ecom","ecom.amazondispatchtime","27 Days","27","27"
"ecom.amazondispatchtime.28","ecom","ecom.amazondispatchtime","28 Days","28","28"
"ecom.amazondispatchtime.29","ecom","ecom.amazondispatchtime","29 Days","29","29"
"ecom.amazondispatchtime.3","ecom","ecom.amazondispatchtime","3 Days","3","3"
"ecom.amazondispatchtime.30","ecom","ecom.amazondispatchtime","30 Days","30","30"
"ecom.amazondispatchtime.4","ecom","ecom.amazondispatchtime","4 Days","4","4"
"ecom.amazondispatchtime.5","ecom","ecom.amazondispatchtime","5 Days","5","5"
"ecom.amazondispatchtime.6","ecom","ecom.amazondispatchtime","6 Days","6","6"
"ecom.amazondispatchtime.7","ecom","ecom.amazondispatchtime","7 Days","7","7"
"ecom.amazondispatchtime.8","ecom","ecom.amazondispatchtime","8 Days","8","8"
"ecom.amazondispatchtime.9","ecom","ecom.amazondispatchtime","9 Days","9","9"
"ecom.amazonexpship.Domestic","ecom","ecom.amazonexpship","Domestic Expedited","Domestic","4"
"ecom.amazonexpship.International","ecom","ecom.amazonexpship","International Expedited","International","5"
"ecom.amazonexpship.Next","ecom","ecom.amazonexpship","One Day","Next","1"
"ecom.amazonexpship.Plus","ecom","ecom.amazonexpship","Faster Expedited Domestic (Plus)","Plus","3"
"ecom.amazonexpship.Second","ecom","ecom.amazonexpship","Two Day","Second","2"
"ecom.amazonmarketplaceid.A1F83G8C2ARO7P","ecom","ecom.amazonmarketplaceid","United Kingdom (A1F83G8C2ARO7P)","A1F83G8C2ARO7P","20"
"ecom.amazonmarketplaceid.ATVPDKIKX0DER","ecom","ecom.amazonmarketplaceid","United States (ATVPDKIKX0DER)","ATVPDKIKX0DER","10"
"ecom.amazonwillshipint.1","ecom","ecom.amazonwillshipint","Domestic Shipping Only","1","1"
"ecom.amazonwillshipint.2","ecom","ecom.amazonwillshipint","Domestic and International Shipping","2","2"
"ecom.applycredit_acctsyslogged.LOGGED","ecom","ecom.applycredit_acctsyslogged","This credit application has already been recorded, do not export","LOGGED","1"
"ecom.applycredit_sendemail.1","ecom","ecom.applycredit_sendemail","Send credit applied mail message","1","1"
"ecom.cartformtypes.0","ecom","ecom.cartformtypes","Textbox","TEXTBOX-REG","1"
