"Post ID",Type,Title,SKU,"Old status","New status",Reason
3355,product_variation,"Magenta Glitter",GL13-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3356,product_variation,"Magenta Glitter",GL13-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3357,product_variation,"Magenta Glitter",GL13-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3358,product_variation,"Magenta Glitter",GL13-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3359,product_variation,"Magenta Glitter",GL13-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3360,product_variation,"Magenta Glitter",GL13-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3361,product_variation,"Navy Blue Glitter",GL15-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3362,product_variation,"Navy Blue Glitter",GL15-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3363,product_variation,"Navy Blue Glitter",GL15-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3364,product_variation,"Navy Blue Glitter",GL15-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3365,product_variation,"Navy Blue Glitter",GL15-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3366,product_variation,"Navy Blue Glitter",GL15-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3367,product_variation,"Navy Blue Glitter",GL15-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3368,product_variation,"Navy Blue Glitter",GL15-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3369,product_variation,"Navy Blue Glitter",GL15-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3415,product_variation,"Red Glitter",GL8-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3416,product_variation,"Red Glitter",GL8-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3417,product_variation,"Red Glitter",GL8-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3418,product_variation,"Red Glitter",GL8-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3419,product_variation,"Red Glitter",GL8-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3420,product_variation,"Red Glitter",GL8-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3421,product_variation,"Red Glitter",GL8-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3422,product_variation,"Red Glitter",GL8-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3423,product_variation,"Red Glitter",GL8-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
2150,product_variation,"Ritrama CF01 Pink Fluorescent - or 1220mm wide — full 25 mtr roll",CF01-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
2772,product_variation,"Ritrama CF01 Pink Fluorescent - or 'Sheet' size here — 203mm x 500mm",CF01-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
2773,product_variation,"Ritrama CF01 Pink Fluorescent - or 'Sheet' size here — 305mm x 500mm",CF01-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
2775,product_variation,"Ritrama CF01 Pink Fluorescent - Size / Format — 203mm x 5m",CF01-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
4766,product_variation,"Ritrama CF01 Pink Fluorescent - Size / Format — 305mm x 5m",CF01-sz11,publish,trash,"Marked red in reviewed sheet = no longer applicable"
4768,product_variation,"Ritrama CF01 Pink Fluorescent - Size / Format — 500mm x 5m",CF01-sz13,publish,trash,"Marked red in reviewed sheet = no longer applicable"
4178,product_variation,"Roland Smart Knives - Choose type of cutting blade — MSK500V for cutting thicker materials including laminated vinyl (Purple collar)","RSK / MSK-sz02",publish,trash,"Marked red in reviewed sheet = no longer applicable"
3379,product_variation,"Salmon Glitter",GL18-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3380,product_variation,"Salmon Glitter",GL18-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3381,product_variation,"Salmon Glitter",GL18-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3382,product_variation,"Salmon Glitter",GL18-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3383,product_variation,"Salmon Glitter",GL18-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3384,product_variation,"Salmon Glitter",GL18-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3385,product_variation,"Salmon Glitter",GL18-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3386,product_variation,"Salmon Glitter",GL18-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3387,product_variation,"Salmon Glitter",GL18-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
2056,product_variation,"Self-adhesive Gloss Vinyl - 1067mm x 30m Roll",SAV150G-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
2057,product_variation,"Self-adhesive Gloss Vinyl - 1524mm x 30m Roll",SAV150G-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3547,product_variation,"Self-adhesive Wallcovering - 1270mm x 30m Roll",DIGI-FABAQ-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3548,product_variation,"Self-adhesive Wallcovering - 1524mm x 30m Roll",DIGI-FABAQ-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3406,product_variation,"Silver Glitter",GL7-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3407,product_variation,"Silver Glitter",GL7-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3408,product_variation,"Silver Glitter",GL7-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3409,product_variation,"Silver Glitter",GL7-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3410,product_variation,"Silver Glitter",GL7-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3411,product_variation,"Silver Glitter",GL7-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3412,product_variation,"Silver Glitter",GL7-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3413,product_variation,"Silver Glitter",GL7-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3414,product_variation,"Silver Glitter",GL7-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
6709,product_variation,"Summa Plotter Cutting Blades - SD 750F :: For Flock blade :: £13.55",Summa_Plotter_Blade-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3397,product_variation,"Yellow Glitter",GL6-sz01,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3398,product_variation,"Yellow Glitter",GL6-sz02,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3399,product_variation,"Yellow Glitter",GL6-sz03,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3400,product_variation,"Yellow Glitter",GL6-sz04,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3401,product_variation,"Yellow Glitter",GL6-sz05,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3402,product_variation,"Yellow Glitter",GL6-sz06,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3403,product_variation,"Yellow Glitter",GL6-sz07,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3404,product_variation,"Yellow Glitter",GL6-sz08,publish,trash,"Marked red in reviewed sheet = no longer applicable"
3405,product_variation,"Yellow Glitter",GL6-sz09,publish,trash,"Marked red in reviewed sheet = no longer applicable"
6506,product,"900E Medium Tack Application Tape :: Part Roll",900E,publish,trash,"Marked red in reviewed sheet = no longer applicable"
6514,product,"903 Clear 100 micron Application Tape :: Part Roll",903,publish,trash,"Marked red in reviewed sheet = no longer applicable"
779,product,"ASLAN BBL920 PVC FREE Blackboard Film :: 1250mm Wide",BBL920,publish,trash,"Marked red in reviewed sheet = no longer applicable"
795,product,"ASLAN C11809 White",C11809S,publish,trash,"Marked red in reviewed sheet = no longer applicable"
796,product,"ASLAN C11810 Black",C11810S,publish,trash,"Marked red in reviewed sheet = no longer applicable"
976,product,"Aurora Glitter",GL14,publish,trash,"Marked red in reviewed sheet = no longer applicable"
809,product,"Corner Rounder",8004,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1369,product,"Digital Print Media for Aqueous Inks",DPMAQ,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1368,product,"Digital Print Media for Eco-Solvent, UV & Latex Inks",DPM,publish,trash,"Marked red in reviewed sheet = no longer applicable"
925,product,"Easy Dot PET Silver L-UV",EASYDOTPETSILVER,publish,trash,"Marked red in reviewed sheet = no longer applicable"
577,product,"Gold Nylo Flex Heat Transfer Vinyl",4820,publish,trash,"Marked red in reviewed sheet = no longer applicable"
5185,product,"Hotronix Fusion IQ Heatpress",XF,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1370,product,"HTV - Heat Transfer Vinyl",HTV,publish,trash,"Marked red in reviewed sheet = no longer applicable"
522,product,"Ice Blue Flock Heat Transfer Vinyl",310,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1371,product,"Laminating Films",LF,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1072,product,"Lint Free Gloves - XL (Pack of 10 pairs)",GLO,publish,trash,"Marked red in reviewed sheet = no longer applicable"
521,product,"Magenta Flock Heat Transfer Vinyl",250,publish,trash,"Marked red in reviewed sheet = no longer applicable"
783,product,"Metal Effect Vinyl :: 500mm Width",EFX,publish,trash,"Marked red in reviewed sheet = no longer applicable"
6623,product,"Orajet 3162 - 4 Year Removable Digital Vinyl",Orajet_3162,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1294,product,"Plotter Pens",3390,publish,trash,"Marked red in reviewed sheet = no longer applicable"
698,product,"Self-adhesive Matte Vinyl",104,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1372,product,"Signmaking Vinyl and Films",SMVF,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1436,product,"Sihl Rocket Photo Paper PE 190",PE190,publish,trash,"Marked red in reviewed sheet = no longer applicable"
538,product,"Silver Carbon Heat Transfer Vinyl",4221,publish,trash,"Marked red in reviewed sheet = no longer applicable"
525,product,"Sky Blue Flock Heat Transfer Vinyl",320,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1427,product,"Slate Charcoal Non-reflective Film :: 508mm Width",12003,publish,trash,"Marked red in reviewed sheet = no longer applicable"
1299,product,"Polyester Protection Film",CHEVTAPE,publish,trash,"Michael: ""Remove product"""
