"id","name","shipper","mark","active"
"UPSTOOLS-EUROPE-07","UPS Express","UPSTOOLS","N","1"
"UPSTOOLS-EUROPE-08","UPS Expedited","UPSTOOLS","N","1"
"UPSTOOLS-EUROPE-11","UPS Standard To Canada","UPSTOOLS","N","1"
"UPSTOOLS-EUROPE-54","UPS Worldwide Express Plus","UPSTOOLS","S","1"
"UPSTOOLS-EUROPE-64","UPS Express NA1","UPSTOOLS","N","1"
"UPSTOOLS-EUROPE-65","UPS Express Saver","UPSTOOLS","N","1"
"UPSTOOLS-MX-07","UPS Express","UPSTOOLS","N","1"
"UPSTOOLS-MX-08","UPS Expedited","UPSTOOLS","N","1"
"UPSTOOLS-MX-54","UPS Express Plus","UPSTOOLS","N","1"
"UPSTOOLS-OTHER-07","UPS Worldwide Express","UPSTOOLS","S","1"
"UPSTOOLS-OTHER-08","UPS Worldwide Expedited","UPSTOOLS","S","1"
"UPSTOOLS-OTHER-54","UPS Worldwide Express Plus","UPSTOOLS","S","1"
"UPSTOOLS-PR-01","UPS Next Day Air","UPSTOOLS","R","1"
"UPSTOOLS-PR-02","UPS 2nd Day Air","UPSTOOLS","R","1"
"UPSTOOLS-PR-03","UPS Ground","UPSTOOLS","N","1"
"UPSTOOLS-PR-07","UPS Worldwide Express","UPSTOOLS","S","1"
"UPSTOOLS-PR-08","UPS Worldwide Expedited","UPSTOOLS","S","1"
"UPSTOOLS-PR-14","UPS Next Day Air Early A.M.","UPSTOOLS","R","1"
"UPSTOOLS-PR-54","UPS Worldwide Express Plus","UPSTOOLS","S","1"
"UPSTOOLS-US-01","UPS Next Day Air","UPSTOOLS","R","1"
"UPSTOOLS-US-02","UPS 2nd Day Air","UPSTOOLS","R","1"
"UPSTOOLS-US-03","UPS Ground","UPSTOOLS","N","1"
"UPSTOOLS-US-07","UPS Worldwide Express","UPSTOOLS","S","1"
"UPSTOOLS-US-08","UPS Worldwide Expedited","UPSTOOLS","S","1"
"UPSTOOLS-US-11","UPS Standard To Canada","UPSTOOLS","N","1"
"UPSTOOLS-US-12","UPS 3 Day Select","UPSTOOLS","R","1"
"UPSTOOLS-US-13","UPS Next Day Air Saver","UPSTOOLS","R","1"
"UPSTOOLS-US-14","UPS Next Day Air Early A.M.","UPSTOOLS","R","1"
"UPSTOOLS-US-54","UPS Worldwide Express Plus","UPSTOOLS","S","1"
"UPSTOOLS-US-59","UPS 2nd Day Air A.M.","UPSTOOLS","R","1"
"UPSTOOLS-US-65","UPS Express Saver","UPSTOOLS","N","1"
"USPS-INT-FIRST-CLASS_PACKAGE_INTERNATIONAL_SERVICE","USPS First-Class Package International Service","USPS","R","1"
"USPS-INT-GLOBAL_EXPRESS_GUARANTEED","USPS Global Express Guaranteed (GXG)","USPS","R","1"
"USPS-INT-PRIORITY_MAIL_EXPRESS_INTERNATIONAL","USPS Priority Mail Express International","USPS","R","1"
"USPS-INT-PRIORITY_MAIL_INTERNATIONAL","USPS Priority Mail International","USPS","R","1"
"USPS-US-BOUND_PRINTED_MATTER","USPS Bound Printed Matter","USPS","R","0"
"USPS-US-LIBRARY_MAIL","USPS Library Mail","USPS","R","0"
"USPS-US-MEDIA_MAIL","USPS Media Mail","USPS","R","0"
"USPS-US-PARCEL_SELECT","USPS Parcel Select Ground","USPS","R","0"
"USPS-US-PRIORITY_MAIL","USPS Priority Mail","USPS","R","1"
"USPS-US-PRIORITY_MAIL_EXPRESS","USPS Priority Mail Express","USPS","R","1"
"USPS-US-USPS_CONNECT_LOCAL","USPS Connect Local","USPS","R","0"
"USPS-US-USPS_CONNECT_MAIL","USPS Connect Mail","USPS","R","0"
"USPS-US-USPS_CONNECT_REGIONAL","USPS Connect Regional","USPS","R","0"
"USPS-US-USPS_GROUND_ADVANTAGE","USPS Ground Advantage","USPS","R","1"
