"id","codetype","codevalue","prodlimit","xprod","xmultisite","active","applyorderinfo","statushold","inclship","createdate","startdate","expdate","acctsysincome","acctsyspri","acctsysalt","acctsysprimod","acctsysaltmod"
"FEELINGFESTIVE","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1764603312","","","income-discount","","","0","0"
"FEELTHEHEAT","5","5.00%","I","Silhouette-Cameo-4, Hotronix-Maxx-Clam-Heatpress, Hotronix-Auto-Open-Clam-Cap-Heatpress, Hotronix-Fusion-IQ-Heatpress, Hotronix-Auto-Open-Clam-Heatpress, Hotronix-Portable-Laser-Alignment, Hotronix-Auto-Open-Heatpress-Caddie, CS-Hotronix-Portable-Laser-Alignment, CS-Hotronix-Heatpress-Interchangable-Lower-Platens, CS-Hotronix-Heatpress-Interchangable-Lower-Cap-Platens, Hotronix-Heatpress-Interchangable-Lower-Cap-Platens, Hotronix-Heatpress-Interchangable-Lower-Platens, CS-Happy-Press-A3, CS-Happy-Press-A4","CRAFTSTICK","1","CS202101161:1.22, CS202101232:3.18, CS202202026:2.63, CS202203213:1.48","0","0","1653646896","","","income-discount","","","0","0"
"FREEDELIVERYPLEASE","5","FREESHIPPING","A","","","1","","0","0","1639400053","","","income-discount","","","0","0"
"FREESHIPPING","1","FREESHIPPING","A","","","1","","0","0","1580301104","","","income-discount","","","0","0"
"GET10","1","10.00%","E","Silhouette-Cameo-4","CRAFTSTICK","1","CS202101161:1.22, CS202101232:3.18","0","0","1610021483","","","income-discount","","","0","0"
"GIVEME10","1","10.000%","E","Silhouette-Cameo-4","","0","DT201805301:10.52, DT202009291:111.86, DT202602281:15.52","0","0","1513168592","","","income-discount","","","0","0"
"GIVEME5","1","5.000%","A","","CRAFTSTICK","0","DT201805301:10.52, CS202005112:1.54, CS202012271:0.72","0","0","1589192130","","","income-discount","","","0","0"
"GIVENAMM10","5","10.000%","I","Aslan-S69-0625, Aslan-S69-1250, S68_0625, S68_1250, S66_0625, S66_1250, S64_0625, S64_1250, Aslan-S62-1250, Aslan-S62-416, Aslan-S62-625, Roll_Storage_Floor_Rack, Roll_Storage_Wall_Rack, Roll_Support, Rollepro, Speed_Clip_110mm, Speed_Clip_78mm, Application_Rollers, Curved_Fine_Point_Tweezers, Flat_Nosed_Tweezers, Weeding_Tweezers, Backing_Cutter, Easy_Cutter, Olfa_Top_Sheet_Cutter, Perfect-Tip-Precision-Scissors-Large, Perfect-Tip-Precision-Scissors-Medium, Olfa_Pro_Knife, Olfa_Heavy_Duty_Knife, Olfa_DC2, Olfa_Comfort_Grip_Knife, Olfa-DC5-Blade-Disposal-Holster, Wipeable_Pencil, Gaffer_Tape, Blue_Masking_Tape_25mm, Blue_Masking_Tape_50mm, Masking_Tape_25mm, Masking_Tape_50mm, Weeding_Hook","DEFAULT","1","DT201805301:10.52, DT202009291:111.86","0","0","1662374770","","","income-discount","","","0","0"
"GRIFFINSAVE","5","15%","I","Digi-Fab","","1","","0","0","1562001610","","","income-discount","","","0","0"
"HAVETENONUS","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1709288405","2023-11-01","2023-11-30","income-discount","","","0","0"
"Hello stranger","5","10.000%","E","C11880S, C11879S, C11858S, C11857S, C11855S, C11854S, C11853S, C11852S, C11851S, C11844S, C11843S, C11842S, C11840S, C11839S, C11837S, C11836S, C11835S, C11833S, C11830S, C11825S, C11824S, C11822S, C11819S, C11818S, C11815S, C11813S, C11812S, C11810S, C11809S, C11808S, C11806S, C11805S, C11804S, C11803S, C11401, C11404, C11405, C11407, C11408, C11409, C11412, C11413, C11414, C11415, C11416, C11417, C11420, C11421, C11422, C11424, C11425, C11431, C11432, C11434, C11435, C11437, C11441, C11445, C11448, C11449, C11451, C11452, C11453, C11454, C11462, C11463, C11464, C11466, C11471, C11473, C11481, C11483, C11485, C11487, C11492, C11499, SC400, SC400M, SC401, SC401M, SC402, SC403, SC404, SC405, SC407, SC409, SC410, SC412, SC417, SC419, SC420, SC423, SC426, SC429, SC430, SC433, SC435, SC436, SC441, SC445, SC447, SC448, SC449, SC451, SC452, SC454, SC455, SC457, SC458, SC459, SC460, SC464, SC466, SC468, SC470, SC471, SC472, SC474, SC475, SC476, SC477, SC480, SC481, SC482, SC483, SC485, SC487, SC489","","1","DT201805301:10.52","0","0","1552664881","","","income-discount","","","0","0"
"HELLORUDOLPH","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1732892824","","","income-discount","","","0","0"
"HERECOMESTHESUN","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","1","CS202101161:1.22, CS202101232:3.18","0","0","1717423821","","","income-discount","","","0","0"
"HNY2026","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1767607835","","","income-discount","","","0","0"
"INKSAVE","5","8.00%","I","ESM2_Inks, ESM3_Inks, ESM_Inks","","1","","0","0","1509629429","","","income-discount","","","0","0"
"LEADBITTERSAVE","5","5%","I","85K0625, 85K1250","","1","","0","0","1639403762","","","income-discount","","","0","0"
"MAKR10","5","10.00%","E","Silhouette-Cameo-4","CRAFTSTICK","0","CS202101161:1.22, CS202101232:3.18","0","0","1627639157","","","income-discount","","","0","0"
"PINK10","5","10.00%","E","Silhouette-Cameo-4","CRAFTSTICK","1","CS202101161:1.22, CS202101232:3.18, CS202202026:2.63, CS202203213:1.48","0","0","1628765137","","","income-discount","","","0","0"
"QMW10","5","10%","I","RJ75HG","DEFAULT","1","","0","0","1776859539","","","income-discount","","","0","0"
"SAVE10EL300","5","10.00%","I","Aslan_EL300_1260, Aslan_EL300_1520, Aslan_EL300_630","DEFAULT","0","","0","0","1657287611","2022-08-01","2022-08-30","income-discount","","","0","0"
"SAVEONSL99","5","10%","I","ASLAN-SL99","DEFAULT","1","","0","0","1770638167","","","income-discount","","","0","0"
"SPRING10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1746030299","","","income-discount","","","0","0"
"SPRINGTIME10","1","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1714485891","","","income-discount","","","0","0"
"STAHLS50","5","50.00","I","4901-White, 4902-Black, 4903-Neon-Blue, 4904-Green, 4905-Navy-Blue, 4906-Royal-Blue, 4908-Red, 4909-Bordeaux, 4910-Yellow, 4912-Grey, 4914-Purple, 4915-Orange, 4916-Brown, 4917-Beige, 4918-Medium-Yellow, 4919-Lemon-Yellow, 4920-Gold-Metallic, 4922-Rose-Gold-Metallic, 4924-Bright-Copper-Metallic, 4925-Bright-Pink, 4926-Bright-Red, 4927-Bright-Blue, 4928-Bright-Lavender, 4930-Silver, 4940-Neon-Yellow, 4941-Neon-Green, 4942-Neon-Orange, 4943-Neon-Pink, 4944-Neon-Red, 4945-Neon-Dark-Pink, 4951-Light-Grey, 4952-Frog-Green, 4953-Light-Berry, 4954-Sand-Beige, 4955-Violet, 4961-Baby-Pink, 4962-Fuchsia, 4965-Sky-Blue, 4967-Apple-Green, 4968-Aqua-Green, 4973-Flame-Red, 4977-Mint, 4987-Berry, 423-Navy-Blue-Pearl-Glitter, 424-Purple-Pearl-Glitter, 425-Light-Gold-Pearl-Glitter, 428-Lavender-Pearl-Glitter, 432-Hot-Pink-Pearl-Glitter, 444-White-Pearl-Glitter, 450-Silver-Pearl-Glitter, 451-Gold-Pearl-Glitter, 454-Blue-Pearl-Glitter, 455-Green-Pearl-Glitter, 456-Red-Pearl-Glitter, 458-Black-Pearl-Glitter, 4501-White, 4503-Neon-Blue, 4508-Red, 4510-Yellow, 4515-Orange, 420-Gold-Metallic, 4211-Copper-Bright-Metal, 4212-Gold-Bright-Metal, 4213-Silver-Bright-Metal, 4221-Silver-Carbon, 4280-Camouflage, 4281-Leopard, 4282-Zebra","DEFAULT","1","CS202101161:1.22, CS202101232:3.18, CS202112151:16.55","0","0","1665579990","2022-11-01","2022-12-31","income-discount","","","0","0"
"START2025WITH10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1735838253","","","income-discount","","","0","0"
"SUMMERVIBES10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1722436696","","","income-discount","","","0","0"
"TAKEOFF10","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1759244565","","","income-discount","","","0","0"
"TAKETENOFF","5","10.00%","E","Silhouette-Cameo-4","DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1738579515","","","income-discount","","","0","0"
"TAPESAVE20","5","20.00%","I","DF420_012, DF420_019, DF420_025, DF3900_012, DF3900_019, DF3900_025, DF470_012, DF470_019, DF470_025, DF465_012, DF465_019, DF465_025, DF4402_012, DF4402_019, DF4402_25, DM865_012, DM865_019, DM865_025, DM866_012, DM866_019, DM866_025, DB894_012, DB894_019, DB894_025, DB895_012, DB895_019, DB895_025, Double-Sided-Edge-It-Tape, Tex_Tape","DEFAULT","0","","0","0","1695035239","2023-10-01","2023-10-31","income-discount","","","0","0"
"WEAREMAY100","5","100.00%","A","","DEFAULT","1","CS202101161:1.22, CS202101232:3.18","0","1","1708080950","","","income-discount","","","0","0"
"WILDTHING","5","10.000%","I","CS-4280-Camouflage, CS-4281-Leopard, CS-4282-Zebra, CS-PATTERNED-BUNDLE","","0","","0","0","1596113458","2020-08-01","2020-09-30","income-discount","","","0","0"
"WOWTEN","5","10.00%","E","Silhouette-Cameo-4","CRAFTSTICK, DEFAULT","0","CS202101161:1.22, CS202101232:3.18","0","0","1706715760","","","income-discount","","","0","0"
