"id","app","name","textincid","usexhtml","xhtmlincid","defaultsender","defaultto","defaultsubject","prependsubject","appendsubject","addlto","addlcc","addlbcc","interface"
"core.lockalert","core","Account Lock Alert","<?php

$deviceinfo    = $this->globals('core_mail.deviceinfo');
$site_name     = $this->globals('core_settings.core.site_name');

?>

Your <?php print $site_name; ?> account has been locked due to too many failed login attempts.  Your account will be automatically unlocked in fifteen minutes, at which point you will be able to login again.

The following information is available about device used on the last failed attempt:

<?php print $deviceinfo; ?>","1","<?php

$deviceinfo    = $this->xhtml_encode($this->globals('core_mail.deviceinfo'));
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>Your <?php print $site_name; ?> account has been locked due to too many failed login attempts.  Your account will be automatically unlocked in fifteen minutes, at which point you will be able to login again.</p>

<p>The following information is available about device used on the last failed attempt:</p>

<p><?php print $deviceinfo; ?></p>","sales@dorotape.co.uk","{SESSION:email}","Account Locked","","","","","",""
"core.logindevauth","core","Device Authorization","<?php

$kcodeauth     = $this->globals('core_mail.kcodeauth');
$deviceinfo    = $this->globals('core_mail.deviceinfo');
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

This message is in response to a request made on the <?php print $site_name; ?> Internet site to log into your account.  The device used needs to be authorized using the code below.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

To authorize your device, enter the following Device Authorization Code within one hour.  After one hour, this code will no longer work.

Device Authorization Code: <?php print $kcodeauth; ?>

The following information is available for the device pending authorization:

<?php print $deviceinfo; ?>","1","<?php

$kcodeauth     = $this->xhtml_encode($this->globals('core_mail.kcodeauth'));
$deviceinfo    = $this->xhtml_encode($this->globals('core_mail.deviceinfo'));
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>This message is in response to a request made on the <?php print $site_name; ?> Internet site to log into your account.  The device used needs to be authorized using the code below.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>To authorize your device, enter the following Device Authorization Code within one hour.  After one hour, this code will no longer work.</p>

<p><strong>Device Authorization Code</strong>: <?php print $kcodeauth; ?></p>

<p>The following information is available for the device pending authorization:</p>

<p><?php print $deviceinfo; ?></p>","sales@dorotape.co.uk","{SESSION:email}","Device Authorization Code","","","","","",""
"core.resetpassreq","core","New Password Instructions","<?php

$ktokenauth    = $this->globals('core_mail.ktokenauth');
$resetpass_url = $this->link_namespace('core','resetpass',$ktokenauth);
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->globals('core_settings.core.site_name');

?>

This message is in response to a request made on the <?php print $site_name; ?> Internet site to create a new password for your account.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:

<?php print $contact_url; ?>

To create a new password for your account, access the link below within one hour.  After one hour, this link will no longer work:

<?php print $resetpass_url; ?>","1","<?php

$ktokenauth    = $this->globals('core_mail.ktokenauth');
$resetpass_url = $this->link_namespace('core','resetpass',$ktokenauth);
$contact_url   = $this->link_namespace('core','contact');
$site_name     = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

?>

<p>This message is in response to a request made on the <?php print $site_name; ?> Internet site to create a new password for your account.  If you did not make this request, please contact <?php print $site_name; ?> by replying to this message, or accessing the link below:</p>

<p><a href=""<?php print $contact_url; ?>"" title=""Contact"">Click here to contact <?php print $site_name; ?>.</a></p>

<p>To create a new password for your account, access the link below within one hour.  After one hour, this link will no longer work:</p>

<p><a href=""<?php print $resetpass_url; ?>"" title=""Create New Password"">Click here to create a new password for your account.</a></p>","sales@dorotape.co.uk","{SESSION:email}","New Password Instructions","","","","","",""
"core.whldiscalert","core","Management Interface: Wholesale Discount Change Alert","<?php 

$eol          = $this->globals('core.eol');
$whldiscalert = $this->globals('core_mail.whldiscalert'); 

?>

The wholesale discount for <?php print $whldiscalert['accountid']; ?> has been changed.  The change was made by <?php print $whldiscalert['userid']; ?>.  Changes are shown below:

<?php foreach ($whldiscalert['changes'] as $num => $change) {print $change . $eol . $eol;} ?>","1","<?php 

$eol          = $this->globals('core.eol');
$whldiscalert = $this->globals('core_mail.whldiscalert'); 

?>

<p>The wholesale discount for <?php print $this->xhtml_encode($whldiscalert['accountid']); ?> has been changed.  The change was made by <?php print $this->xhtml_encode($whldiscalert['userid']); ?>.  Changes are shown below:</p>

<?php foreach ($whldiscalert['changes'] as $num => $change) {print '<p>' . $this->xhtml_encode($change) . '</p>' . $eol . $eol;} ?>","mick.ingram@dorotape.co.uk","mick.ingram@dorotape.co.uk","Wholesale Discount Change Alert","","","","","","BackEnd"
"ecom.lowinventoryalert","ecom","Low Inventory Alert","<?php

$eol       = $this->globals('core.eol');
$alert     = $this->globals('core_mail.alert');
$site_name = $this->globals('core_settings.core.site_name');

print 'This is an inventory alert message for ' . $site_name . '.  The following items triggered this alert:' . $eol . $eol;

foreach ($alert as $id => $info) {print $info['name'] . ' (' . $info['id'] . '): ' . $info['invlevel'] . $eol;}

?>","1","<?php

$eol       = $this->globals('core.eol');
$alert     = $this->globals('core_mail.alert');
$site_name = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

print '<p>This is an inventory alert message for ' . $site_name . '.  The following items triggered this alert:</p>' . $eol;

foreach ($alert as $id => $info) {     

     print '<p>' . $this->xhtml_encode($info['name']) . ' (' . $this->xhtml_encode($info['id']) . '): ';
     print $this->xhtml_encode($info['invlevel']) . '</p>' . $eol . $eol;

} // End of if statement.

?>","sales@dorotape.co.uk","sales@dorotape.co.uk","Low Inventory Alert","","","","","",""
"ecom.notifystock","ecom","In Stock Notification","<?php 

$eol       = $this->globals('core.eol');
$products  = $this->globals('core_mail.products');
$site_name = $this->globals('core_settings.core.site_name');

// +--
// | Print the display.
// +--

print 'The following item(s) from ' . $site_name . ' are now in stock.  You have received this message because you opted ';
print 'to receive a notification when these item(s) became available.' . $eol . $eol;

foreach ($products as $id => $data) {

     $url  = $this->link_namespace('ecom','prodshow',array('ref' => $data['id']));
     $name = $data['name'];

     print $name . ': ' . $url . $eol . $eol;

} // End of foreach statement.

?>","1","<?php 

$eol       = $this->globals('core.eol');
$products  = $this->globals('core_mail.products');
$site_name = $this->globals('core_settings.core.site_name');

// +--
// | Print the display.
// +--

print '<p>The following item(s) from ' . $site_name . ' are now in stock.  You have received this message because you opted ';
print 'to receive a notification when these item(s) became available.</p>' . $eol . $eol;

foreach ($products as $id => $data) {

     $url  = $this->link_namespace('ecom','prodshow',array('ref' => $data['id']));
     $name = $this->xhtml_encode($data['name']);

     print '<p><a href=""' . $url . '"">' . $data['name'] . '</a></p>' . $eol . $eol;

} // End of foreach statement.

?>","sales@dorotape.co.uk","sales@dorotape.co.uk","In Stock Notification","","","","","",""
"ecom.notifystockalert","ecom","In Stock Notification Request Alert","<?php 

$eol       = $this->globals('core.eol');
$request   = $this->globals('core_mail.request');
$site_name = $this->globals('core_settings.core.site_name');

// +--
// | Print the display.
// +--

print 'The following in stock notification request for ' . $site_name . ' was just received:' . $eol . $eol;

print $request . $eol . $eol;

?>","1","<?php 

$eol       = $this->globals('core.eol');
$request   = $this->globals('core_mail.request');
$site_name = $this->globals('core_settings.core.site_name');

// +--
// | Print the display.
// +--

print '<p>The following in stock notification request for ' . $site_name . ' was just received:</p>' . $eol . $eol;

print '<p>' .  $this->xhtml_encode($request) . '</p>' . $eol . $eol;

?>","mick.ingram@dorotape.co.uk","mick.ingram@dorotape.co.uk","In Stock Notification Request Alert","","","","","",""
"ecom.ordcanint","ecom","Order Cancellation Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','CANCELINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','CANCELINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Cancelled","","","","","",""
"ecom.ordcompletecust","ecom","Order Complete Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','COMPLETECUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','COMPLETECUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Complete","","","","","",""
"ecom.ordcompleteint","ecom","Order Complete Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','COMPLETEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','COMPLETEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Complete","","","","","",""
"ecom.ordconfcust","ecom","Order Confirmation Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','CUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','CUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Confirmation","","","","","",""
"ecom.ordconfint","ecom","Order Confirmation Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','INTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','INTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Confirmation","","","","","",""
"ecom.ordcreditapplycust","ecom","Order Credit Applied Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','CREDITAPPLYCUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','CREDITAPPLYCUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Credit Applied","","","","","",""
"ecom.ordcreditapplyint","ecom","Order Credit Applied Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','CREDITAPPLYINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','CREDITAPPLYINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Credit Applied","","","","","",""
"ecom.ordinvoicecust","ecom","Order Invoice Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','INVOICECUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','INVOICECUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Invoice","","","","","",""
"ecom.ordinvoiceint","ecom","Order Invoice Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','INVOICEINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','INVOICEINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Invoice","","","","","",""
"ecom.ordmodcust","ecom","Order Modification Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','MODCUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','MODCUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Modified","","","","","",""
"ecom.ordmodint","ecom","Order Modification Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','MODINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','MODINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Modified","","","","","",""
"ecom.ordpaycust","ecom","Order Payment Applied Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','PAYCUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','PAYCUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Payment Applied","","","","","",""
"ecom.ordpayint","ecom","Order Payment Applied Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','PAYINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','PAYINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Payment Applied","","","","","",""
"ecom.ordreplacecust","ecom","Order Replaced Message (Customer)","<?php 

$eol        = $this->globals('core.eol');
$order      = $this->globals('ecom.order_summary');
$neworderid = $this->globals('ecom_orderman.neworderid');
$site_name     = $this->globals('core_settings.core.site_name');

print 'Your ' . $site_name . ' order with number ' . $order['order']['id'] . ' has been modified.  To ensure this order is processed correctly, the order number has been changed.  You will receive a copy of your modified order, with new order number ' . $neworderid . ', momentarily.' . $eol;

?>","1","<?php 

$eol        = $this->globals('core.eol');
$order      = $this->globals('ecom.order_summary');
$orderid    = $this->xhtml_encode($order['order']['id']);
$neworderid = $this->xhtml_encode($this->globals('ecom_orderman.neworderid'));
$site_name  = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

print '<p>Your ' . $site_name . ' order with number ' . $order['order']['id'] . ' has been modified.  To ensure this order is processed correctly, the order number has been changed.  You will receive a copy of your modified order, with new order number ' . $neworderid . ', momentarily.</p>' . $eol;

?>","sales@dorotape.co.uk","{SESSION:email}","Order Modified","","","","","",""
"ecom.ordreplaceint","ecom","Order Replaced Message (Internal)","<?php 

$eol        = $this->globals('core.eol');
$order      = $this->globals('ecom.order_summary');
$neworderid = $this->globals('ecom_orderman.neworderid');
$site_name     = $this->globals('core_settings.core.site_name');

print 'The ' . $site_name . ' order with number ' . $order['order']['id'] . ' has been modified.  To ensure this order is processed correctly, the order number has been changed.  A message containing the modified order, with new order number ' . $neworderid . ', will be sent momentarily.' . $eol;

?>","1","<?php 

$eol        = $this->globals('core.eol');
$order      = $this->globals('ecom.order_summary');
$orderid    = $this->xhtml_encode($order['order']['id']);
$neworderid = $this->xhtml_encode($this->globals('ecom_orderman.neworderid'));
$site_name  = $this->xhtml_encode($this->globals('core_settings.core.site_name'));

print '<p>The ' . $site_name . ' order with number ' . $order['order']['id'] . ' has been modified.  To ensure this order is processed correctly, the order number has been changed.  A message containing the modified order, with new order number ' . $neworderid . ', will be sent momentarily.</p>' . $eol;

?>","{SESSION:email}","sales@dorotape.co.uk","Order Modified","","","","mick.ingram@dorotape.co.uk","mickingram47@gmail.com",""
"ecom.ordshipcust","ecom","Order Partially Shipped Message (Customer)","<?php

$this->globals('ecom.mail_msgtype','SHIPCUSTOMER');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','SHIPCUSTOMER');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","sales@dorotape.co.uk","{SESSION:email}","Order Partially Shipped","","","","","",""
"ecom.ordshipint","ecom","Order Partially Shipped Message (Internal)","<?php

$this->globals('ecom.mail_msgtype','SHIPINTERNAL');
$this->include_file('ecom','ordersummarytxt.php');

?>","1","<?php

$this->globals('ecom.mail_msgtype','SHIPINTERNAL');
$this->include_file('ecom','ordersummaryxhtml.php');

?>","{SESSION:email}","sales@dorotape.co.uk","Order Partially Shipped","","","","","",""
