"id","name","status","xmultisite","bannermid","bannerthin","bannerwide","bannergroup","sortorder","linktype","linkid","linkanchor"
"CS-Splash_Banner_Festive","CS Splash Banner Festive","0","CRAFTSTICK","Festive 700 x 191px.jpg","Festive 500 x 136px.jpg","Festive 1903 x 300px.jpg","SPLASH","40","ecom.catshow","CS-Festive",""
"CS-Splash_Banner_HappyPress4","CS Splash Banner HappyPress 4","1","CRAFTSTICK","Happy Press 700 x 191px.png","Happy Press 500 x 136px.png","Happy Press 1903 x 300px.png","SPLASH","10","ecom.catshow","Craft-Cutters-Heat-Presses",""
"CS-Splash_Banner_HTV","CS Splash Banner HTV","0","CRAFTSTICK","HTV_VINYL_700x191px.jpg","HTV_VINYL_500x136px.jpg","HTV_VINYL_1903x520px.jpg","SPLASH","20","ecom.catshow","Heat-Transfer-Vinyl",""
"CS-Splash_Banner_Packaging","CS Splash Banner Packaging","1","CRAFTSTICK","Packaging.png","Packaging.png","packaging.jpg","PACKAGING","10","ecom.prodshow","",""
"CS-Splash_Banner_SAV","CS Splash Banner SAV","0","CRAFTSTICK","SA_VINYL_700x191px.jpg","SA_VINYL_500x136px.jpg","SA_VINYL_1903x520px.jpg","SPLASH","30","ecom.catshow","Self-Adhesive-Vinyl",""
"CS-Splash_Banner_SkyCutC","CS Splash Banner SkyCut C","0","CRAFTSTICK","SkyCutC.png","SkyCutC.png","SkyCutC.png","SPLASH","10","ecom.prodshow","Roland-GR-Series",""
"CS-Splash_Banner_Test","CS Splash Banner Test","0","CRAFTSTICK","BANv2_700x191px.png","BANv2_500x136px.png","BANv2_1903x300px.png","SPLASH","10","ecom.prodshow","Roland-GR-Series",""
"CS-Splash_Banner_Welcome","CS Splash Banner Welcome","0","CRAFTSTICK","welcome_no 700 x 191px.jpg","welcome_no 500 x 136px.png","welcome_no 1903 x 300px.jpg","SPLASH","10","cms.display","About_Us",""
"CS-Splash_Banner_Welcome_pic","CS Splash Banner Welcome with Pic","0","CRAFTSTICK","Welcome 700 x 191px (2).jpg","Welcome 500 x 136px (2).jpg","Welcome 1903 x 300px (2).jpg","SPLASH","10","cms.display","About_Us",""
"CS-Splash_Mothers_Day","CS Splash Mothers Day","0","CRAFTSTICK","MOTHERS DAY.png","MOTHERS DAY.png","MOTHERS DAY.png","SPLASH","10","ecom.catshow","CS-MOTHERS",""
"CS-Splash_Valentines_Day","CS Splash Valentines Day","0","CRAFTSTICK","VALENTINES.png","VALENTINES.png","VALENTINES.png","SPLASH","10","ecom.catshow","CS-VALENTINES",""
"CS_Banner_Instructions","CS Banner Instructions","0","CRAFTSTICK","INSTRUCTION BANNERS.gif","","","INSTRUCTIONS","10","ecom.prodshow","",""
"DEV-BANNER","Make An Impact","1","DEFAULT","giving-you-exactly-the-finish-you-need.webp","","","BANNERNEW","10","","",""
"Doro Banner Application Advice","Doro Banner Application Advice","1","","Application_Advice.jpg","Application_Advice.jpg","Application_Advice.jpg","application","10","","",""
"Doro Banner FAQs","Doro Banner FAQs","1","","don't-second-guess-it-ask-us-first.webp","","","faq","10","","",""
"Doro Banner Glossary","Doro Banner Glossary","1","","Glossary.jpg","Glossary.jpg","Glossary.jpg","glossary","10","","",""
"Doro Banner Help Advice","Doro Banner Help Advice","1","","Help_Advice.jpg","Help_Advice.jpg","Help_Advice.jpg","HELP","10","","",""
"Doro Banner PCRP2","Doro Banner PCRP","1","DEFAULT","caring-for-the-world-we-live-in.webp","","","PCRP","10","","",""
"Doro Banner Problem Solving","Doro Banner Problem Solving","1","","Problem_Solving.jpg","Problem_Solving.jpg","Problem_Solving.jpg","problem","10","","",""
"Doro Banner PVC Free","Doro Banner PVC Free","1","DEFAULT","looking-out-for-the-world-we-live-in.webp","","","PVC_Free","10","","",""
"Doro_Banner-Sale","Splash Banner Sale","1","DEFAULT","Pre_Stocktake_Clearance.png","Pre_Stocktake_Clearance.png","Pre_Stocktake_Clearance.png","SALE","20","ecom.catshow","Sale-Items",""
"Doro_Banners_Cover_Styl'","Doro Banner Cover Styl'","1","DEFAULT","Cover_Styl'.png","Cover_Styl'.png","Cover_Styl'.png","COVERSTYLE","10","","",""
"Doro_Banners_Dichroic","Doro Banner Dichroic","1","DEFAULT","make-an-impact-with-creative-bold-effects.webp","","","DICHROIC","10","","",""
"Doro_Banners_Digital_Print_Media","Doro Banner Digital Print Media","1","DEFAULT","colour-your-imagination.webp","","","DIGITALPRINTMEDIA","10","","",""
"Doro_Banners_easySTYLE","Doro Banner easySTYLE","1","DEFAULT","NESCHEN_EASYSTYLE_700x191.jpg","NESCHEN_EASYSTYLE_500x136.jpg","NESCHEN_EASYSTYLE_1903x300.jpg","EASYSTYLE","10","","",""
"Doro_Banners_HTV","Doro Banner HTV","1","DEFAULT","let-your-imagination-run-wild.webp","","","HTV","10","","",""
"Doro_Banners_Laminating_Films","Doro Banner Laminating Films","1","DEFAULT","protect-and-enhance.webp","","","LAMINATINGFILMS","10","","",""
"Doro_Banners_Paper_Application_Tape","Doro Banner Paper Application Tape","1","DEFAULT","the-choice-is-not-clear.gif","","","PAPERAPPTAPE","10","","",""
"Doro_Banners_Poli_Flex","Doro Banner Poli Flex","1","DEFAULT","Poli-Flex.png","Poli-Flex.png","Poli-Flex.png","POLI-FLEX","10","","",""
"Doro_Banners_Poli_Print","Doro Banner Poli-Print","1","DEFAULT","Poli-Print-Monomeric.png","","","POLIPRINT","10","","",""
"Doro_Banners_Sign_Display_Media","Doro Banner Sign Display Media","1","DEFAULT","unleash-your-creative-side.webp","","","SIGNDISPLAYMEDIA","10","","",""
"Doro_Banners_Stencil_Films","Doro Banner Stencil Films","0","DEFAULT","Stencil-Masking-Films.png","","","STENCILFILMS","10","","",""
"Doro_Banner_About_Us","Doro Banner About Us","1","","About_Us.jpg","About_Us.jpg","About_Us.jpg","ABOUT","10","","",""
"Doro_Banner_Contact_Us","Doro Banner Contact Us","1","","Contact_Us.jpg","Contact_Us.jpg","Contact_Us.jpg","CONTACT","10","","",""
"Doro_Banner_Heatpresses","Doro Banner Heatpresses","1","","Stahls_Splash_700x190.png","Stahls_Splash_500x136.png","Stahls_Splash_1900x300.png","HEATPRESS","10","","",""
"Doro_Banner_Latex","Doro Banner Latex","1","","Latex.jpg","Latex.jpg","Latex.jpg","LATEX","10","","",""
"Doro_Banner_Meet_The_Team","Doro Banner Meet The Team","1","","Meet_The_Team.jpg","Meet_The_Team.jpg","Meet_The_Team.jpg","MEET","10","","",""
"Doro_Banner_NAMM","Doro Banner NAMM","1","DEFAULT","NAMM.jpg","NAMM.jpg","NAMM.jpg","NAMM","10","","",""
"Doro_Banner_Our_Partners","Doro Banner Our Partners","1","","giving-you-exactly-the-colour-you-need.webp","","","PARTNERS","10","","",""
"Doro_Banner_P&P","Doro Banner P&P","0","","P&P.jpg","P&P.jpg","P&P.jpg","SPLASH","10","EXTERNALURL","http://www.printwearandpromotionlive.co.uk/",""
"Doro_Banner_Tuesday-Take-Offs","Doro Banner Tuesday Take Offs","0","","Tuesdaytakeoffs.jpg","Tuesdaytakeoffs.jpg","Tuesdaytakeoffs.jpg","TUESDAYTAKEOFFS","10","","",""
"Doro_Banner_Turbo","Doro Banner Turbo","1","DEFAULT","Poli-Flex Turbo.png","Poli-Flex Turbo.png","Poli-Flex Turbo.png","TURBO","10","","",""
"Junk-Yard-Golf-Club","Junk Yard Golf Club Case Study","1","DEFAULT","Stand out with stunning finishes.png","","","CASESTUDY1","10","","",""
"PearlGlitter","Splash Banner Pearl Glitter","0","","pearl-glitter-web_700x191px.jpg","pearl-glitter-web_500x136px.jpg","pearl-glitter-web_1903x300px.jpg","SPLASH","40","ecom.prodshow","Pearl_Glitter",""
"SALE","Splash Banner Sale","0","DEFAULT","Pre_Stocktake_Clearance.png","Pre_Stocktake_Clearance.png","Pre_Stocktake_Clearance.png","SPLASH","20","ecom.catshow","SALE",""
"Splash_Banner_Aslan_Sandblast","Splash Banner Aslan Sandblast","0","","Sandblast-stencil-films.jpg","","","SPLASH","50","ecom.catshow","Sandblasting-Stencil-Films",""
"Splash_Banner_Brite_Overall","Splash Banner Brite Overall","0","DEFAULT","700x191_BRITE.jpg","500x136_BRITE.jpg","1903x300_BRITE.jpg","SPLASH","50","ecom.prodshow","7901_Brite_Overall",""
"Splash_Banner_DFP06","Splash Banner DFP06","0","","DFP06.jpg","DFP06.jpg","DFP06.jpg","SPLASH","20","ecom.prodshow","Aslan-UltraTack",""
"Splash_Banner_DFP45","Splash Banner DFP45","0","DEFAULT","700x191_DFP45.jpg","500x136_DFP45.jpg","1903x300_DFP45.jpg","SPLASH","50","ecom.prodshow","Aslan-DFP45",""
"Splash_Banner_Dichroic","Splash Banner Dichroic","0","","Dichroic-2.jpg","","","SPLASH","60","ecom.catshow","Colour_Change_Films",""
"Splash_Banner_DigiMedia","Splash Banner DigiMedia","0","","DigiMedia.jpg","DigiMedia.jpg","DigiMedia.jpg","SPLASH","30","ecom.catshow","Digital-Print-Vinyl",""
"Splash_Banner_Dry_Apply_Etch","Splash Banner Dry Apply Etch","0","","EL300DFL300.jpg","","","SPLASH","60","ecom.prodshow","Aslan_EL300_DFL300",""
"Splash_Banner_EasyStyle","Splash Banner Easy Style","0","DEFAULT","EASYSTYLE_BANNER_700x191click.jpg","EASYSTYLE_BANNER_500x136click.jpg","EASYSTYLE_BANNER_1903x300click.jpg","SPLASH","60","ecom.catshow","easySTYLE",""
"Splash_Banner_Easy_Dot","Splash Banner Easy Dot","0","DEFAULT","Easy-Dot.png","Easy-Dot.png","Easy-Dot.png","SPLASH","50","ecom.prodshow","Neschen-Easy-Dot",""
"Splash_Banner_Event","Splash Banner Event","0","","Newtech-London-2015.jpg","","","SPLASH","70","EXTERNALURL","http://www.coactiveevents.com/visitor-registration/newtech/london-2015-11-24-newtech",""
"Splash_Banner_Heatpresses","Splash Banner Heatpresses","0","DEFAULT","Stahls_Splash_700x190.png","Stahls_Splash_500x136.png","Stahls_Splash_1900x300.png","SPLASH","70","ecom.catshow","Heat-Press-Equipment",""
"Splash_Banner_Interior_Decoration","Splash Banner Interior Decoration","0","","Interior-Decoration-Films.jpg","","","SPLASH","50","ecom.catshow","Decorative_Films",""
"Splash_Banner_Latex","Splash Banner Latex","0","","Latex.jpg","Latex.jpg","Latex.jpg","SPLASH","50","ecom.catshow","HP-Latex-Compatible-Media",""
"Splash_Banner_Machinery","Splash Banner Machinery","0","","Machinery.jpg","","","SPLASH","70","ecom.catshow","Cutter-Printer-Laminator-Heatpress",""
"Splash_Banner_Memoboard","Splash Banner Memoboard","0","","Memoboard.jpg","","","SPLASH","50","ecom.catshow","Whiteboard-Blackboard-Vinyl",""
"Splash_Banner_Metallized","Splash Banner Metallized","0","","Metallized.jpg","","","SPLASH","70","ecom.catshow","Metallized_Outdoor",""
"Splash_Banner_Micro_Tac","Splash Banner Micro Tac","0","CRAFTSTICK","Micro-Tac.jpg","","","SPLASH","60","ecom.prodshow","Micro_Tac",""
"Splash_Banner_Mono_High_Tack","Splash Banner Mono High Tack","0","","ATPmonoHT_700x191.jpg","ATPmonoHT_500x136.jpg","ATPmonoHT_1903x300.jpg","SPLASH","20","ecom.prodshow","ATP_GP412_Monomeric_High_Tack",""
"Splash_Banner_Optically_Clear","Splash Banner Optically Clear","0","","OpticallyClear.jpg","","OpticallyClear.jpg","SPLASH","20","ecom.catshow","Digital-Print-Window-Film",""
"Splash_Banner_Orajet_3164","Splash Banner Orajet 3164","0","DEFAULT","Orajet_3164.jpg","Orajet_3164.jpg","Orajet_3164.jpg","SPLASH","30","ecom.prodshow","Orajet_3164",""
"Splash_Banner_PCRP","Splash Banner PCRP","0","DEFAULT","Post Consumer Recycled Plastic.png","Post Consumer Recycled Plastic.png","Post Consumer Recycled Plastic.png","SPLASH","30","ecom.catshow","Post-Consumer-Recycled-Plastic",""
"Splash_Banner_Perfect_Finish","Splash Banner Perfect Finish","1","DEFAULT","the-perfect-finish-for-every-project.webp","","","SPLASH","10","","",""
"Splash_Banner_Poli_Grip","Splash Banner Poli Grip","0","","Poli-Grip-400.jpg","","","SPLASH","60","ecom.prodshow","Banner_Bonding_Tape",""
"Splash_Banner_PP800","Splash Banner PP800","0","","PP800.jpg","PP800.jpg","PP800.jpg","SPLASH","20","ecom.prodshow","Poli_Print_800",""
"Splash_Banner_PVC_Free","Splash Banner PVC Free","0","DEFAULT","ECO_BANNER_700x191px.png","ECO_BANNER_500x136px.png","ECO_BANNER_1903x300px.png","SPLASH","30","ecom.catshow","PVC-Free-Digital-Print-Materials",""
"Splash_Banner_Roll_Storage","Splash Banner Storage","1","","Storage.jpg","Storage.jpg","Storage.jpg","STORE","20","ecom.catshow","Roll_Storage",""
"Splash_Banner_Rose_Gold","Splash Banner Rose Gold","0","","Rose-Gold.jpg","Rose-Gold.jpg","Rose-Gold.jpg","SPLASH","60","ecom.catshow","Aslan_CA23",""
"Splash_Banner_SE75_Mirror","Splash Banner Mirror Film","0","","ASLAN_RP36_Epson_Expo.mp4","ASLAN_RP36_Epson_Expo.mp4","ASLAN_RP36_Epson_Expo.mp4","MIRROR","10","ecom.prodshow","Aslan_SE75_Mirror_Effect_Film",""
"Splash_Banner_Stand_Out_Crowd","Splash Banner Stand out from the crowd","1","DEFAULT","stand-out-from-the-crowd.webp","","","SPLASH","20","","",""
"Splash_Banner_The_Print_Show","Splash Banner The Print Show","0","","The-Print-Show.jpg","","","SPLASH","60","EXTERNALURL","http://www.speeddata.co.uk/Forms/Form.aspx?FormRef=TPSA6Visitor",""
"Splash_Banner_Vehicle_Wrap","Splash Banner Vehicle Wrap","0","","Car-Wrap.jpg","","","SPLASH","60","ecom.catshow","isee2_Wrap_Vinyl",""
"Splash_Banner_Wall_Art","Splash Banner Wall Art","0","","Wall_Art.jpg","","","SPLASH","40","ecom.catshow","Digital-Print-Wall-Graphic-Films",""
"Splash_The_Choice_is_not_Clear","Splash The Choice is not Clear","1","DEFAULT","the-choice-is-not-clear.gif","","","SPLASH","30","ecom.catshow","Paper-Application-Tape",""
