"id","reqtarget","reqref","redirtarget","redirref","createdate"
"ecom.catshow.O_RANGE_C","ecom.catshow","O_RANGE_C","ecom.catshow","Ritrama_O_Range","1557482483"
"ecom.catshow.O_RANGE_M","ecom.catshow","O_RANGE_M","ecom.catshow","Ritrama_O_Range","1557482504"
"ecom.prodshow.Aslan-C114-BW-1220","ecom.prodshow","Aslan-C114-BW-1220","ecom.catshow","Aslan_C114","1558699249"
"ecom.prodshow.Aslan-C114-BW-610","ecom.prodshow","Aslan-C114-BW-610","ecom.catshow","Aslan_C114","1558699307"
"ecom.prodshow.Aslan-C114-COL-1220","ecom.prodshow","Aslan-C114-COL-1220","ecom.catshow","Aslan_C114","1558699185"
"ecom.prodshow.Aslan-C114-COL-610","ecom.prodshow","Aslan-C114-COL-610","ecom.catshow","Aslan_C114","1558699231"
"ecom.prodshow.Aslan-C118-BW-1250","ecom.prodshow","Aslan-C118-BW-1250","ecom.catshow","Aslan_C118","1558699422"
"ecom.prodshow.Aslan-C118-BW-625","ecom.prodshow","Aslan-C118-BW-625","ecom.catshow","Aslan_C118","1558699402"
"ecom.prodshow.Aslan-C118-COL-1250","ecom.prodshow","Aslan-C118-COL-1250","ecom.catshow","Aslan_C118","1558699386"
"ecom.prodshow.Aslan-C118-COL-625","ecom.prodshow","Aslan-C118-COL-625","ecom.catshow","Aslan_C118","1558699369"
"ecom.prodshow.Aslan-C118-MET-1250","ecom.prodshow","Aslan-C118-MET-1250","ecom.catshow","Aslan_C118","1558699463"
"ecom.prodshow.Aslan-C118-MET-625","ecom.prodshow","Aslan-C118-MET-625","ecom.catshow","Aslan_C118","1558699441"
"ecom.prodshow.Aslan-CA23-Metal-Effect","ecom.prodshow","Aslan-CA23-Metal-Effect","ecom.prodshow","ASLAN-CA23-Metal-Effect","1731515743"
"ecom.prodshow.ASLAN-Lifetime-Removable-Vinyl","ecom.prodshow","ASLAN-Lifetime-Removable-Vinyl","ecom.catshow","Promotional-Grade-Digital-Print-Vinyl","1698256704"
"ecom.prodshow.Aslan-SL109","ecom.prodshow","Aslan-SL109","ecom.prodshow","ASLAN-SL109","1738684379"
"ecom.prodshow.Aslan-SL95-Anti-Graffiti-Laminate","ecom.prodshow","Aslan-SL95-Anti-Graffiti-Laminate","ecom.prodshow","ASLAN-SL95-Anti-Graffiti-Laminate","1738684301"
"ecom.prodshow.ASLAN-Wrap-The-Floor-Aslan-DFP47","ecom.prodshow","ASLAN-Wrap-The-Floor-Aslan-DFP47","ecom.prodshow","ASLAN-Wrap-The-Floor-DFP47","1731516350"
"ecom.prodshow.ASLAN-Wrap-The-Street-Aslan-DFP46","ecom.prodshow","ASLAN-Wrap-The-Street-Aslan-DFP46","ecom.prodshow","ASLAN-Wrap-The-Street-DFP46","1731516298"
"ecom.prodshow.ASLAN_13111_Polished_Cherry_Red","ecom.prodshow","ASLAN_13111_Polished_Cherry_Red","ecom.prodshow","ASLAN-13111-Polished-Cherry-Red","1733245873"
"ecom.prodshow.ASLAN_13112_Polished_Emerald_Green","ecom.prodshow","ASLAN_13112_Polished_Emerald_Green","ecom.prodshow","ASLAN-13112-Polished-Emerald-Green","1733245970"
"ecom.prodshow.ASLAN_13113_Polished_Violet","ecom.prodshow","ASLAN_13113_Polished_Violet","ecom.prodshow","ASLAN-13113-Polished-Violet","1733246018"
"ecom.prodshow.ASLAN_13114_Polished_Azure_Blue","ecom.prodshow","ASLAN_13114_Polished_Azure_Blue","ecom.prodshow","ASLAN-13114-Polished-Azure-Blue","1733246061"
"ecom.prodshow.ASLAN_13115_Polished_Magenta","ecom.prodshow","ASLAN_13115_Polished_Magenta","ecom.prodshow","ASLAN-13115-Polished-Magenta","1733246104"
"ecom.prodshow.ASLAN_13121_Polished_Pewter","ecom.prodshow","ASLAN_13121_Polished_Pewter","ecom.prodshow","ASLAN-13121-Polished-Pewter","1733246161"
"ecom.prodshow.ASLAN_13122_Polished_Steel","ecom.prodshow","ASLAN_13122_Polished_Steel","ecom.prodshow","ASLAN-13122-Polished-Steel","1733246194"
"ecom.prodshow.ASLAN_13123_Polished_Gun_Metal","ecom.prodshow","ASLAN_13123_Polished_Gun_Metal","ecom.prodshow","ASLAN-13123-Polished-Gun-Metal","1733246232"
"ecom.prodshow.Aslan_BBL920","ecom.prodshow","Aslan_BBL920","ecom.prodshow","ASLAN-BBL920","1733245759"
"ecom.prodshow.ASLAN_C201_Silver_Metal_Flake_","ecom.prodshow","ASLAN_C201_Silver_Metal_Flake_","ecom.prodshow","C201-Silver-Metal-Flake","1730134539"
"ecom.prodshow.ASLAN_C202_Gold_Metal_Flake_","ecom.prodshow","ASLAN_C202_Gold_Metal_Flake_","ecom.prodshow","C202-Gold-Metal-Flake","1730203756"
"ecom.prodshow.ASLAN_C203_Red_Metal_Flake_","ecom.prodshow","ASLAN_C203_Red_Metal_Flake_","ecom.prodshow","C203-Red-Metal-Flake","1730135535"
"ecom.prodshow.ASLAN_C204_Royal_Blue_Metal_Flake_","ecom.prodshow","ASLAN_C204_Royal_Blue_Metal_Flake_","ecom.prodshow","C204-Royal-Blue-Metal-Flake","1730135426"
"ecom.prodshow.Aslan_CA23_Metallized_0625","ecom.prodshow","Aslan_CA23_Metallized_0625","ecom.catshow","Aslan_CA23","1564572018"
"ecom.prodshow.Aslan_CA23_Metallized_1250","ecom.prodshow","Aslan_CA23_Metallized_1250","ecom.catshow","Aslan_CA23","1564572060"
"ecom.prodshow.Aslan_CA30_PrintMetal","ecom.prodshow","Aslan_CA30_PrintMetal","ecom.catshow","Aslan-CA30","1594115940"
"ecom.prodshow.Aslan_CAL23_Metallized_1250","ecom.prodshow","Aslan_CAL23_Metallized_1250","ecom.catshow","Aslan_CAL23","1595431278"
"ecom.prodshow.Aslan_Ferrosoft_FF410","ecom.prodshow","Aslan_Ferrosoft_FF410","ecom.prodshow","ASLAN-Ferrosoft-FF410","1731515796"
"ecom.prodshow.Aurora_Andromeda","ecom.prodshow","Aurora_Andromeda","ecom.catshow","Dichroic-Colour-Change-Films","1580898849"
"ecom.prodshow.C114BW0610","ecom.prodshow","C114BW0610","ecom.catshow","Aslan_C114","1557483577"
"ecom.prodshow.C114BW0610M","ecom.prodshow","C114BW0610M","cms.xmodarticlescat","Aslan_C114","1557483606"
"ecom.prodshow.C114BW1220","ecom.prodshow","C114BW1220","ecom.catshow","Aslan_C114","1557483636"
"ecom.prodshow.C114BW1220M","ecom.prodshow","C114BW1220M","ecom.catshow","Aslan_C114","1557483665"
"ecom.prodshow.C114C0610","ecom.prodshow","C114C0610","ecom.catshow","Aslan_C114","1557483692"
"ecom.prodshow.C114C0610M","ecom.prodshow","C114C0610M","ecom.catshow","Aslan_C114","1557483736"
"ecom.prodshow.C114C1220","ecom.prodshow","C114C1220","ecom.catshow","Aslan_C114","1557483759"
"ecom.prodshow.C114C1220M","ecom.prodshow","C114C1220M","ecom.catshow","Aslan_C114","1557483785"
"ecom.prodshow.C114GL30505","ecom.prodshow","C114GL30505","ecom.catshow","CS-SAV-COL","1560445518"
"ecom.prodshow.C114GL305610","ecom.prodshow","C114GL305610","ecom.catshow","CS-SAV-COL","1560444935"
"ecom.prodshow.C114GLA4PK4","ecom.prodshow","C114GLA4PK4","ecom.catshow","CS-SAV-COL","1560445231"
"ecom.prodshow.C114GLA4PK8","ecom.prodshow","C114GLA4PK8","ecom.catshow","CS-SAV-COL","1560445260"
"ecom.prodshow.C114M0610","ecom.prodshow","C114M0610","ecom.catshow","Aslan_C114","1557483808"
"ecom.prodshow.C114M1220","ecom.prodshow","C114M1220","ecom.catshow","Aslan_C114","1557483829"
"ecom.prodshow.C114MA30505","ecom.prodshow","C114MA30505","ecom.catshow","CS-SAV-COL","1560445317"
"ecom.prodshow.C114MA305610","ecom.prodshow","C114MA305610","ecom.catshow","CS-SAV-COL","1560445338"
"ecom.prodshow.C114MAA4PK4","ecom.prodshow","C114MAA4PK4","ecom.catshow","CS-SAV-COL","1560445360"
"ecom.prodshow.C114MAA4PK8","ecom.prodshow","C114MAA4PK8","ecom.catshow","CS-SAV-COL","1560445378"
"ecom.prodshow.C118BW0610","ecom.prodshow","C118BW0610","ecom.catshow","Aslan_C118","1557483439"
"ecom.prodshow.C118BW1220","ecom.prodshow","C118BW1220","ecom.catshow","Aslan_C118","1557483462"
"ecom.prodshow.C118C0610","ecom.prodshow","C118C0610","ecom.catshow","Aslan_C118","1557483489"
"ecom.prodshow.C118C1220","ecom.prodshow","C118C1220","ecom.catshow","Aslan_C118","1557483510"
"ecom.prodshow.C118M0610","ecom.prodshow","C118M0610","ecom.catshow","Aslan_C118","1557483529"
"ecom.prodshow.C118M1220","ecom.prodshow","C118M1220","ecom.catshow","Aslan_C118","1557483551"
"ecom.prodshow.CA24_0625","ecom.prodshow","CA24_0625","ecom.catshow","Aslan_CA24","1564572098"
"ecom.prodshow.CA24_1250","ecom.prodshow","CA24_1250","ecom.catshow","Aslan_CA24","1564572134"
"ecom.prodshow.CA25","ecom.prodshow","CA25","ecom.catshow","Aslan_CA25","1564572172"
"ecom.prodshow.CA25_1250","ecom.prodshow","CA25_1250","ecom.catshow","Aslan_CA25","1564572255"
"ecom.prodshow.CM100C1020","ecom.prodshow","CM100C1020","ecom.catshow","Interior-Decoration-Vinyl","1583337850"
"ecom.prodshow.CT113C1250","ecom.prodshow","CT113C1250","ecom.catshow","Aslan_CT113_Transparent","1583777103"
"ecom.prodshow.D4C0610","ecom.prodshow","D4C0610","ecom.catshow","Aslan_Fluorescent","1594133833"
"ecom.prodshow.D4C1220","ecom.prodshow","D4C1220","ecom.catshow","Aslan_Fluorescent","1594133858"
"ecom.prodshow.Decorative_Leather_Vinyl","ecom.prodshow","Decorative_Leather_Vinyl","ecom.catshow","Decorative_Films","1568807082"
"ecom.prodshow.Decorative_Metallic_Vinyl","ecom.prodshow","Decorative_Metallic_Vinyl","ecom.catshow","Decorative_Films","1568807173"
"ecom.prodshow.Decorative_Patterned_Vinyl","ecom.prodshow","Decorative_Patterned_Vinyl","ecom.catshow","Decorative_Films","1568807130"
"ecom.prodshow.Decorative_Stone_Vinyl","ecom.prodshow","Decorative_Stone_Vinyl","ecom.catshow","Decorative_Films","1568807105"
"ecom.prodshow.Decorative_Wood_Vinyl","ecom.prodshow","Decorative_Wood_Vinyl","ecom.catshow","Decorative_Films","1568807027"
"ecom.prodshow.Dichroic-Film","ecom.prodshow","Dichroic-Film","ecom.catshow","Dichroic-Colour-Change-Films","1580898405"
"ecom.prodshow.EFX30505","ecom.prodshow","EFX30505","ecom.catshow","CS-SAV-MET","1560786341"
"ecom.prodshow.EFX305610","ecom.prodshow","EFX305610","ecom.catshow","CS-SAV-MET","1560786365"
"ecom.prodshow.EFXA4PK8","ecom.prodshow","EFXA4PK8","ecom.catshow","CS-SAV-MET","1560786384"
"ecom.prodshow.EFX_3101_Polished_Silver","ecom.prodshow","EFX_3101_Polished_Silver","ecom.prodshow","EFX-3101-Polished-Silver","1730212074"
"ecom.prodshow.EFX_3102_Polished_Gold","ecom.prodshow","EFX_3102_Polished_Gold","ecom.prodshow","EFX-3102-Polished-Gold","1730212100"
"ecom.prodshow.Glitter-Vinyl","ecom.prodshow","Glitter-Vinyl","ecom.catshow","Glitter_Vinyl","1562063375"
"ecom.prodshow.Image-Flex-Turbo-Print-500","ecom.prodshow","Image-Flex-Turbo-Print-500","ecom.prodshow","Poli-Tape-4036-Image-Flex-Turbo-Print-500mm","1642174968"
"ecom.prodshow.Image-Flex-Turbo-Print-750","ecom.prodshow","Image-Flex-Turbo-Print-750","ecom.prodshow","Poli-Tape-4036-Image-Flex-Turbo-Print-750mm","1642175031"
"ecom.prodshow.Nebula","ecom.prodshow","Nebula","ecom.catshow","Dichroic-Colour-Change-Films","1580898729"
"ecom.prodshow.Nebula_Pro","ecom.prodshow","Nebula_Pro","ecom.catshow","Dichroic-Colour-Change-Films","1580898748"
"ecom.prodshow.Neschen-Easy-Dot-White","ecom.prodshow","Neschen-Easy-Dot-White","ecom.prodshow","Neschen-Easy-Dot","1566232271"
"ecom.prodshow.ORA540012200","ecom.prodshow","ORA540012200","ecom.catshow","Oracal_5400_Reflective","1594123946"
"ecom.prodshow.ORA5400610","ecom.prodshow","ORA5400610","ecom.catshow","Oracal_5400_Reflective","1594123968"
"ecom.prodshow.ORA75101220","ecom.prodshow","ORA75101220","ecom.catshow","Oracal_Cast_Fluorescent","1594128335"
"ecom.prodshow.ORA7510610","ecom.prodshow","ORA7510610","ecom.catshow","Oracal_Cast_Fluorescent","1594128308"
"ecom.prodshow.ORANGEBW0630","ecom.prodshow","ORANGEBW0630","ecom.catshow","Ritrama_O_Range","1557483871"
"ecom.prodshow.ORANGEBW1260","ecom.prodshow","ORANGEBW1260","ecom.catshow","Ritrama_O_Range","1557483893"
"ecom.prodshow.ORANGEC0630","ecom.prodshow","ORANGEC0630","ecom.catshow","Ritrama_O_Range","1557483929"
"ecom.prodshow.ORANGEC1260","ecom.prodshow","ORANGEC1260","ecom.catshow","Ritrama_O_Range","1557483952"
"ecom.prodshow.ORANGEM0630","ecom.prodshow","ORANGEM0630","ecom.catshow","Ritrama_O_Range","1557483973"
"ecom.prodshow.ORANGEM1260","ecom.prodshow","ORANGEM1260","ecom.catshow","Ritrama_O_Range","1557484001"
"ecom.prodshow.Pearl_Glitter","ecom.prodshow","Pearl_Glitter","ecom.catshow","3605_Patterned","1562163071"
"ecom.prodshow.PF305500","ecom.prodshow","PF305500","ecom.catshow","CS-HTV-COL","1560445407"
"ecom.prodshow.PF88C0500","ecom.prodshow","PF88C0500","ecom.catshow","3601_Flex","1558520183"
"ecom.prodshow.PF88M0500","ecom.prodshow","PF88M0500","ecom.catshow","3601_Flex","1558520237"
"ecom.prodshow.PF88N0500","ecom.prodshow","PF88N0500","ecom.catshow","3601_Flex","1558520208"
"ecom.prodshow.PFA4PK6","ecom.prodshow","PFA4PK6","ecom.catshow","CS-HTV-COL","1560445431"
"ecom.prodshow.PFPBM0500","ecom.prodshow","PFPBM0500","ecom.catshow","3605_Patterned","1562163269"
"ecom.prodshow.PFPG0500","ecom.prodshow","PFPG0500","ecom.catshow","3605_Patterned","1562163128"
"ecom.prodshow.PFPSF0500","ecom.prodshow","PFPSF0500","ecom.catshow","3605_Patterned","1562163159"
"ecom.prodshow.PFSB88C0500","ecom.prodshow","PFSB88C0500","ecom.catshow","3601_Flex","1558520271"
"ecom.prodshow.PFST88C0500","ecom.prodshow","PFST88C0500","ecom.catshow","3601_Flex","1558520303"
"ecom.prodshow.Poli-Print-800-Series","ecom.prodshow","Poli-Print-800-Series","ecom.catshow","Intermediate-Grade-Digital-Print-Vinyl","1698233585"
"ecom.prodshow.Poli-Print-900-Series","ecom.prodshow","Poli-Print-900-Series","ecom.catshow","Intermediate-Grade-Digital-Print-Vinyl","1698250774"
"ecom.prodshow.PP112BW1250","ecom.prodshow","PP112BW1250","ecom.catshow","Aslan_PP112_Enviro_Cut","1583342585"
"ecom.prodshow.PP112BW625","ecom.prodshow","PP112BW625","ecom.catshow","Aslan_PP112_Enviro_Cut","1583342615"
"ecom.prodshow.Pro-Flex","ecom.prodshow","Pro-Flex","ecom.catshow","3601_Flex","1558699690"
"ecom.prodshow.product_data_sheets","ecom.prodshow","product_data_sheets","cms.display","splash","1729008759"
"ecom.prodshow.R670BW1220","ecom.prodshow","R670BW1220","ecom.catshow","Ritrama_670_Cast_Vinyl","1583348948"
"ecom.prodshow.R670C1220","ecom.prodshow","R670C1220","ecom.catshow","Ritrama_670_Cast_Vinyl","1583348977"
"ecom.prodshow.R670M1220","ecom.prodshow","R670M1220","ecom.catshow","Ritrama_670_Cast_Vinyl","1583349002"
"ecom.prodshow.RIF800C1220","ecom.prodshow","RIF800C1220","ecom.catshow","1705_BanVinyls_RIF800","1583342547"
"ecom.prodshow.RIF800C610","ecom.prodshow","RIF800C610","ecom.catshow","1705_BanVinyls_RIF800","1583342523"
"ecom.prodshow.Ritrama-O-Range-BW-1260","ecom.prodshow","Ritrama-O-Range-BW-1260","ecom.catshow","Ritrama_O_Range","1558699627"
"ecom.prodshow.Ritrama-O-Range-BW-630","ecom.prodshow","Ritrama-O-Range-BW-630","ecom.catshow","Ritrama_O_Range","1558699608"
"ecom.prodshow.Ritrama-O-Range-COL-1260","ecom.prodshow","Ritrama-O-Range-COL-1260","ecom.catshow","Ritrama_O_Range","1558699592"
"ecom.prodshow.Ritrama-O-Range-COL-630","ecom.prodshow","Ritrama-O-Range-COL-630","ecom.catshow","Ritrama_O_Range","1558699574"
"ecom.prodshow.Ritrama-O-Range-MET-1260","ecom.prodshow","Ritrama-O-Range-MET-1260","ecom.catshow","Ritrama_O_Range","1558699559"
"ecom.prodshow.Ritrama-O-Range-MET-630","ecom.prodshow","Ritrama-O-Range-MET-630","ecom.catshow","Ritrama_O_Range","1558699537"
"ecom.prodshow.Ritrama_Gemstone_0610","ecom.prodshow","Ritrama_Gemstone_0610","ecom.catshow","Ritrama-Gemstone","1561633258"
"ecom.prodshow.Ritrama_Gemstone_1220","ecom.prodshow","Ritrama_Gemstone_1220","ecom.catshow","Ritrama-Gemstone","1561633323"
"ecom.prodshow.Vinyl-Efx-Decorative","ecom.prodshow","Vinyl-Efx-Decorative","ecom.prodshow","Vinyl-Efx-Indoor-Decorative","1731515967"
"ecom.prodshow.Vinyl_Efx_1220","ecom.prodshow","Vinyl_Efx_1220","ecom.catshow","VinylEfx_Decorative","1560788467"
"ecom.prodshow.Vinyl_Efx_1370","ecom.prodshow","Vinyl_Efx_1370","ecom.catshow","VinylEfx_Decorative","1560788487"
"ecom.prodshow.Vinyl_Efx_610","ecom.prodshow","Vinyl_Efx_610","ecom.catshow","VinylEfx_Decorative","1560788437"
"ecom.prodshow.Vinyl_Efx_Durable","ecom.prodshow","Vinyl_Efx_Durable","ecom.catshow","VinylEfx_Durable","1594054245"
"ecom.prodshow.Vinyl_Efx_Durable_1220","ecom.prodshow","Vinyl_Efx_Durable_1220","ecom.catshow","VinylEfx_Durable","1594054272"
"ecom.prodshow.Wrap-The-carpet-Aslan-DFP49","ecom.prodshow","Wrap-The-carpet-Aslan-DFP49","ecom.prodshow","ASLAN-Wrap-The-Carpet-DFP49","1731515918"
"ecom.prodshow.Wrap-The-Floor-Aslan-DFP47","ecom.prodshow","Wrap-The-Floor-Aslan-DFP47","ecom.prodshow","ASLAN-Wrap-The-Floor-DFP47","1731516324"
"ecom.prodshow.Wrap-The-Street-Aslan-DFP46","ecom.prodshow","Wrap-The-Street-Aslan-DFP46","ecom.prodshow","ASLAN-Wrap-The-Street-DFP46","1731516277"
