sage_code,break_qty,break_price,status,product,base_rate,live_tier_string,note
TRL6401220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 640 Violet",8.38,1-49:8.38;50:7.37,
TRL6451220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 645 Brown",8.38,1-49:8.38;50:7.37,
TRL6501220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 650 Blue",8.38,1-49:8.38;50:7.37,
TRL6521220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 652 Dark Purple",8.38,1-49:8.38;50:7.37,
TRL6531220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 653 Dark Blue",8.38,1-49:8.38;50:7.37,
TRL6581220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 658 Olympic Blue",8.38,1-49:8.38;50:7.37,
TRL6671220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 667 Light Green",8.38,1-49:8.38;50:7.37,
TRL6701220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 670 Green",8.38,1-49:8.38;50:7.37,
TRL6711220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 671 Silver",8.38,1-49:8.38;50:7.37,
TRL6721220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 672 Gold",8.38,1-49:8.38;50:7.37,
TRL6731220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 673 Grass Green",8.38,1-49:8.38;50:7.37,
TRL6741220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 674 Meadow Green",8.38,1-49:8.38;50:7.37,
TRL6751220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 675 Ultramarine Blue",8.38,1-49:8.38;50:7.37,
TRL6761220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 676 Bordeaux",8.38,1-49:8.38;50:7.37,
TRL6771220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 677 Turquoise",8.38,1-49:8.38;50:7.37,
TRL6781220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 678 Cyan",8.38,1-49:8.38;50:7.37,
TRL6791220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 679 Lime",8.38,1-49:8.38;50:7.37,
TRL6801220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 680 Signal Blue",8.38,1-49:8.38;50:7.37,
TRL6831220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 683 Forest Green",8.38,1-49:8.38;50:7.37,
TRL6891220,50,7.37,"ALREADY LIVE","Ri-Mark Translucent 689 Magenta",8.38,1-49:8.38;50:7.37,
EASYDOTPETSILVER,30,,MISSING,"Easy Dot PET Silver L-UV",,,"no break on this SKU — needs a price"
GLASSAPPCLEAR,30,,MISSING,GlassApeel,93.00,,"no break on this SKU — needs a price"
GLASSAPPFROST,30,,MISSING,GlassApeel,93.00,,"no break on this SKU — needs a price"
GLASSAPPSOLAR,30,,MISSING,GlassApeel,127.50,,"no break on this SKU — needs a price"
GLASSAPPWHITE,30,,MISSING,GlassApeel,105.00,,"no break on this SKU — needs a price"
MICRO-TACC1370,30,10.98,"ALREADY LIVE","Micro Tac Clear – Glue Free Adhesion",12.07,1-29:12.07;30:10.98,
MICRO-TACW1370,30,10.98,"ALREADY LIVE","Micro Tac White – Glue Free Adhesion",12.07,1-29:12.07;30:10.98,
DFL09G1370,50,8.17,"ALREADY LIVE","ASLAN DFL09G High Tack DryApply",9.08,1-49:9.08;50:8.17,
DFL2001260,50,14.69,"ALREADY LIVE","ASLAN DFL 200 Dry Apply Printable DustedEtch",16.32,1-49:16.32;50:14.69,
DFL3001370,50,12.82,"ALREADY LIVE","ASLAN DFL 300 Dry Apply Printable Etch",14.24,1-49:14.24;50:12.82,
DFP041220,50,10.34,"ALREADY LIVE","ASLAN DFP04 Monster Tack Matt",10.88,1-49:10.88;50:10.34,
DFP051220,50,10.34,"ALREADY LIVE","ASLAN DFP05 Monster Tack",10.88,1-49:10.88;50:10.34,
DFP061370,50,7.56,"ALREADY LIVE","ASLAN DFP06 UltraTack Gloss Transparent",8.4,1-49:8.40;50:7.56,
DFP071370,50,7.56,"ALREADY LIVE","ASLAN DFP07 UltraTack",8.4,1-49:8.40;50:7.56,
DFP07G1370,50,7.87,"ALREADY LIVE","ASLAN DFP07 UltraTack",8.74,1-49:8.74;50:7.87,
DFP081370,50,,"NO SUCH SKU",,,,"this Sage code is not in the catalogue"
DFP08G1370,50,,"NO SUCH SKU",,,,"this Sage code is not in the catalogue"
DFP401370,50,6.80,"ALREADY LIVE","ASLAN DFP40 Gloss White Lifetime Removable Vinyl",7.56,1-49:7.56;50:6.80,
DFP411370,50,6.80,"ALREADY LIVE","ASLAN DFP41 Gloss Transparent Lifetime Removable Vinyl",7.56,1-49:7.56;50:6.80,
DFP421370,50,6.80,"ALREADY LIVE","ASLAN DFP42 Matt White Lifetime Removable Vinyl",7.56,1-49:7.56;50:6.80,
DRP071370,50,8.17,"ALREADY LIVE","ASLAN DRP07 UltraTack White printable film made with 30% post-consumer recycled PET",9.08,1-49:9.08;50:8.17,
RJPET751524,50,7.96,"ALREADY LIVE","Ritrama Ri-Jet PET75 Ultra-Clear SB Series",8.87,1-49:8.87;50:7.96,
SL1091370,50,6.44,"ALREADY LIVE","ASLAN SL109 Soft Touch Laminate",7.16,1-49:7.16;50:6.44,
SL991370,50,,MISSING,"ASLAN SL99 Graffiti Repellent Laminate",174.80,,"no break on this SKU — needs a price"
SPARKLELAM1200,50,5.13,"ALREADY LIVE","Sparkle  Laminate",5.7,1-49:5.70;50:5.13,
SRL96,50,,MISSING,"ASLAN SRL96 rPET Anti-Graffiti Laminate",,,"no break on this SKU — needs a price"
TF200,50,,MOVE,"ASLAN TF200 Clear PET Super Tack Application Tape",39.40,1-4:39.40;5:35.46,"live break is at 5 @ £35.46; sheet asks for 50 — needs a price at 50"
S62HT,25,22.19,"ALREADY LIVE","ASLAN S62 High Tack :: 1250mm Wide",22.88,1-24:22.88;25:22.19,
DIGI-FAB1067,30,,MISSING,Digi-Fab,139.8,,"no break on this SKU — needs a price"
DIGI-FAB1370,30,,MISSING,Digi-Fab,179.7,,"no break on this SKU — needs a price"
DIGI-FAB1524,30,,MISSING,Digi-Fab,199.5,,"no break on this SKU — needs a price"
45191370,50,3.92,"ALREADY LIVE","Clear Static Cling Vinyl",4.36,1-49:4.36;50:3.92,
RJM1501400,50,,MISSING,"Ritrama Ri-Jet M150 White Static Cling Vinyl",4.36,,"no break on this SKU — needs a price"
CANPOL500,50,,MISSING,"Poly Canvas",1.61,,"no break on this SKU — needs a price"
CANPOL760,50,,MISSING,"Poly Canvas",2.41,,"no break on this SKU — needs a price"
CANPOL1067,50,2.67,"ALREADY LIVE","Poly Canvas",2.94,1-49:2.94;50:2.67,
CANPOL1370,50,3.43,"ALREADY LIVE","Poly Canvas",3.77,1-49:3.77;50:3.43,
CANPOL1520,50,3.81,"ALREADY LIVE","Poly Canvas",4.19,1-49:4.19;50:3.81,
CANUNI500,50,,MISSING,"Universal Canvas",3.58,,"no break on this SKU — needs a price"
CANUNI760,50,,MOVE,"Universal Canvas",4.7,1-29:4.70;30:4.28,"live break is at 30 @ £4.28; sheet asks for 50 — needs a price at 50"
CANUNI1067,50,,MOVE,"Universal Canvas",6.54,1-29:6.54;30:5.95,"live break is at 30 @ £5.95; sheet asks for 50 — needs a price at 50"
CANUNI1370,50,,MOVE,"Universal Canvas",8.44,1-29:8.44;30:7.68,"live break is at 30 @ £7.68; sheet asks for 50 — needs a price at 50"
CANUNI1520,50,,MOVE,"Universal Canvas",9.34,1-29:9.34;30:8.50,"live break is at 30 @ £8.50; sheet asks for 50 — needs a price at 50"
S79625,50,1.69,"ALREADY LIVE","ASLAN S79",1.88,1-49:1.88;50:1.69,
S791250,50,3.38,"ALREADY LIVE","ASLAN S79",3.76,1-49:3.76;50:3.38,
S69625,50,2.44,"ALREADY LIVE","ASLAN S69",2.6,1-49:2.60;50:2.44,
S691250,50,4.89,"ALREADY LIVE","ASLAN S69",5.2,1-49:5.20;50:4.89,
64801310,100,3.95,"ALREADY LIVE","Ritrama PET20 Anti-Graffiti Laminate",4.34,1-99:4.34;100:3.95,
64801530,100,4.62,"ALREADY LIVE","Ritrama PET20 Anti-Graffiti Laminate",5.08,1-99:5.08;100:4.62,
