"id","app","stringmsg","msgtype","stringdisp","interface"
"core.nonamespace","core","nonamespace","ERROR","A namespace is not available to handle your request.  Please try again later or use a different URL to access this program.",""
"core.notfound","core","notfound","ERROR","The resource you requested cannot be found.  Please use the menu to continue.",""
"core.olpdatadel","core","olpdatadel","CONFIRM","Thank you.  The payment card you selected has been removed from your account.",""
"core.passwordchange_confirm","core","passwordchange_confirm","CONFIRM","Thank you.  Your password has been changed.  In the future, use your new password to login.",""
"core.passwordchange_history","core","passwordchange_history","ERROR","The password you entered matches a password which was recently used.  To continue, enter a password which you have not recently used.",""
"core.passwordchange_match","core","passwordchange_match","ERROR","The passwords you entered do not match.  To continue, please enter matching passwords.",""
"core.passwordchange_strength","core","passwordchange_strength","ERROR","The password you entered does not meet security requirements.  To continue, please enter a password at least ten characters long, which contains at least one uppercase letter, one lowercase letter, and one number.",""
"core.postauth_faildevauth","core","postauth_faildevauth","NOTIFY","Thank you.  Your login information has been validated, however the device you are currently using has not been authorized to access your account.  A code required to authorize this device has been sent to you via email.  Please allow up to ten minutes for the mail message to arrive in your inbox, then enter the code to authorize this device.  You will be able to access your account once you authorize this device.",""
"core.postauth_generic","core","postauth_generic","ERROR","A general error occurred during authorization.  Please try again.",""
"core.postauth_passchangerequired","core","postauth_passchangerequired","NOTIFY","Thank you.  Your login information has been validated, however your password has expired, and must be changed.  To continue, please change your password below.  You will be able to access your account once you change your password.",""
"core.postauth_passstrength","core","postauth_passstrength","NOTIFY","Thank you.  Your login information has been validated, however your password does not meet security requirements.  To continue, please enter a password at least ten characters long, which contains at least one uppercase letter, one lowercase letter, and one number.  You will be able to access your account once you change your password.",""
"core.postcodeanywhere_found","core","postcodeanywhere_found","CONFIRM","Thank you.  At least one address was found for the postal code you entered.  Select an address to update the address fields on this page.",""
"core.postcodeanywhere_notavail","core","postcodeanywhere_notavail","ERROR","An address could not be found for the postal code entered.  Please try again.",""
"core.postcodeanywhere_used","core","postcodeanywhere_used","CONFIRM","Thank you.  The address selected has been used to update the address fields on this page.  Review and submit your new information to continue.",""
"core.rawdbcolexistsfail","core","rawdbcolexistsfail","ERROR","The database table column submitted exists in the database already.","BackEnd"
"core.rawdbswitchdbconf","core","rawdbswitchdbconf","CONFIRM","Thank you.  The database connection you selected has been activated.","BackEnd"
"core.rawdbswitchdbfail","core","rawdbswitchdbfail","ERROR","There was an error while attempting to connect to the database connection selected.","BackEnd"
"core.rawdbtblcopyfail","core","rawdbtblcopyfail","ERROR","The database table submitted exists in the database already.","BackEnd"
"core.rawdbtblexistsfail","core","rawdbtblexistsfail","ERROR","The database table submitted exists in the database already.","BackEnd"
"core.rawdbtblupdconf","core","rawdbtblupdconf","CONFIRM","Thank you.  The database has been updated.","BackEnd"
"core.rawdbtblupdfail","core","rawdbtblupdfail","ERROR","There was an error performing the database updates requested.  The error returned was:","BackEnd"
"core.rediradderrloop","core","rediradderrloop","ERROR","The redirect requested cannot be added because it either points back to itself, exists already, or points to another redirected request.  Adding this redirect would cause an infinite redirect loop, and therefore cannot be added as requested.  Please try again.","BackEnd"
"core.reqnotcomp","core","reqnotcomp","ERROR","You did not complete all of the required fields before submitting this form.  Fields missing data are highlighted.  Please try again.",""
"core.reqnotcompgen","core","reqnotcompgen","ERROR","You did not complete all of the required fields before submitting information.  Please try again.",""
"core.resetpassreq_confirm","core","resetpassreq_confirm","CONFIRM","Thank you.  Instructions for creating a new password have been sent to you via email.  Please allow up to ten minutes for the mail message to arrive in your inbox.",""
"core.resetpassreq_groupexclude","core","resetpassreq_groupexclude","ERROR","Your account was located, however your account is not permitted to create a new password using this site.  Please use a different account, or contact us.",""
"core.resetpassreq_nomatch","core","resetpassreq_nomatch","ERROR","An account could not be located using the email address or username you submitted.  Please try again.",""
"core.resetpass_confirm","core","resetpass_confirm","CONFIRM","Thank you.  your password has been changed.  Please login using your new password.",""
"core.resetpass_intro","core","resetpass_intro","CONFIRM","Thank you.  Your request has been validated.  Please follow the instructions below to create a new password.",""
"core.sendmessconf","core","sendmessconf","CONFIRM","Thank you.  The message you submitted has been sent to all addresses selected.","BackEnd"
"core.sendmessfail","core","sendmessfail","ERROR","There was an error sending the message you submitted.  Please try again.","BackEnd"
"core.skinclone_confirm","core","skinclone_confirm","CONFIRM","Thank you.  A new skin has been created based on the skin you chose to clone.  The new skin is now available for updates.","BackEnd"
"core.token_invalid","core","token_invalid","ERROR","Your request could not be completed.  The information provided in your request was either invalid, or expired.  Please try again.",""
"core.token_notpresent","core","token_notpresent","ERROR","Your request was invalid.  Required information was not present in your request.  Please try again.",""
"core.upconfirm","core","upconfirm","CONFIRM","The file you uploaded was successfully saved to the filesystem.","BackEnd"
"core.update_confirm","core","update_confirm","CONFIRM","Thank you.  The information you submitted has been saved.","BackEnd"
"core.upfailread","core","upfailread","ERROR","The file you uploaded could not be read.  It does not appear to be a properly formatted file that can be used by this upload function.","BackEnd"
"core.userschangeemail_confirm","core","userschangeemail_confirm","CONFIRM","Thank you.  The user account has been updated, and is now using new email address you entered.","BackEnd"
"core.userschangeemail_errself","core","userschangeemail_errself","ERROR","This function cannot be used to change your own email address.  Instead, use the Change Email Address function in your Account Overview.","BackEnd"
"core.userschangeemail_failfound","core","userschangeemail_failfound","ERROR","The new email address you entered is already associated with a user account.  Enter a different email address to continue.","BackEnd"
"ecom.amazongetmatchesnone","ecom","amazongetmatchesnone","ERROR","No offers were returned as possible matches for this offer.  To continue, correct Inventory Item information by adding a valid 12 digit UPC or GTIN, or an 8 or 13 digit EAN to the barcode field, or search by inputting a known ASIN.  If the information you've confirgured is correct and Amazon cannot find a matching ASIN for your offer, you may need to create a new ASIN for your offer using Amazon's website.  After doing so, your new offer will automatically be downloaded and saved.",""
"ecom.applycreditconf","ecom","applycreditconf","CONFIRM","Thank you.  The credit you referenced has been applied to the selected order.","BackEnd"
"ecom.applycrediterr","ecom","applycrediterr","ERROR","The credit you referenced is not valid, or cannot be applied.  Please try again.","BackEnd"
"ecom.applycreditoberr","ecom","applycreditoberr","ERROR","The referenced customer account currently has no open orders to which this credit can be applied.","BackEnd"
"ecom.cartcnfadd","ecom","cartcnfadd","CONFIRM","Thank you.  The item you selected has been added.  Please continue shopping or checkout.",""
"ecom.cartcnfchk","ecom","cartcnfchk","CONFIRM","Thank you.  The updates you requested have been made.  Please note: Items may have been removed or may now have a different quantity due to current inventory levels, restrictions or recent online store activity.   Please continue shopping or checkout.",""
"ecom.cartcnfdel","ecom","cartcnfdel","CONFIRM","Thank you.  The item you selected has been removed.",""
"ecom.cartcnfmove","ecom","cartcnfmove","CONFIRM","Thank you.  The item you selected has been moved.",""
"ecom.cartcnfupd","ecom","cartcnfupd","CONFIRM","Thank you.  Your updates have been made.  Please continue shopping or checkout.",""
"ecom.carterrenterprice","ecom","carterrenterprice","ERROR","An error was encountered while adding the selected item.  Please enter a valid amount and try again.",""
"ecom.carterrnoitemsadded","ecom","carterrnoitemsadded","ERROR","An error was encountered while adding the selected item.  Please enter a valid quantity and try again.",""
"ecom.carterrquantoohigh","ecom","carterrquantoohigh","ERROR","An error was encountered while adding the selected item.  The quantity you entered exceeds the current stock level.  Please try again.",""
"ecom.carterrquantoohighcombined","ecom","carterrquantoohighcombined","ERROR","An error was encountered while adding the selected item.  The quantity you've already added, combined with quantity you entered, exceeds the current stock level.  Please try again.",""
"ecom.carterrrnc","ecom","carterrrnc","ERROR","Please make a selection from the list of options shown.",""
"ecom.cartgenerr","ecom","cartgenerr","ERROR","A system error was encountered while processing your request.  Please try again.",""
"ecom.changeusageconf","ecom","changeusageconf","CONFIRM","Thank you.  The usage for the selected credit has been changed.","BackEnd"
"ecom.changeusageerr","ecom","changeusageerr","ERROR","There was an error changing the usage for the selected credit.","BackEnd"
"ecom.channelconfiged","ecom","channelconfiged","CONFIRM","The channel has been fully setup.  Orders will begin to automatically download, and you are now able to work with offers.","BackEnd"
"ecom.channeldbdelconfirmnotice","ecom","channeldbdelconfirmmnotice","NOTIFY","Your request to remove this offer has been submitted to the channel.  This offer will be removed when the request has been processed by the channel, or errors will be made available for you to review and correct.","BackEnd"
"ecom.channeldbinsconfirmnotice","ecom","channeldbinsconfirmnotice","NOTIFY","Your request to add a new offer has been submitted to the channel.  This offer will be activated when the request has been processed by the channel, or errors will be made available for you to review and correct.","BackEnd"
"ecom.channeldbupdconfirmnotice","ecom","channeldbupdconfirmnotice","NOTIFY","Your request to update this offer has been submitted to the channel.  This offer will be updated when the request has been processed by the channel, or errors will be made available for you to review and correct.","BackEnd"
"ecom.channelerror","ecom","channelerror","ERROR","Please correct the following error, which was encountered processing:","BackEnd"
"ecom.channelinactive","ecom","channelinactive","ERROR","The channel you selected is not configured.  Please create and configure the channel connection below.","BackEnd"
"ecom.channelinuse","ecom","channelinuse","ERROR","The channel you selected is already in use.  If you would like to disable the channel, delete it below.","BackEnd"
"ecom.channelnotify","ecom","channelnotify","NOTIFY","The following notification was issued during processing:","BackEnd"
"ecom.channelofferended","ecom","channelofferended","CONFIRM","The offer you selected has been ended.  Update the item to relist it, or delete it to remove it from this listing.","BackEnd"
"ecom.channelofferreferror","ecom","channelofferreferror","ERROR","The offer referenced could not be loaded.  Manage offers using the interface below.","BackEnd"
"ecom.channelofferupdpend","ecom","channelofferupdpend","ERROR","The offer referenced is currently pending an update and cannot be modified at the current time.  After the update is published this offer will be made available to modify or remove.","BackEnd"
"ecom.coaddressverify","ecom","coaddressverify","CONFIRM","Thank you for verifying your address information.",""
"ecom.coaddressverifyupderr","ecom","coaddressverifyupderr","ERROR","There was a problem looking up the address you selected.",""
"ecom.coaddressverifyupdok","ecom","coaddressverifyupdok","CONFIRM","Thank you.  The address you submitted has been updated.",""
"ecom.cocartchk","ecom","cocartchk","ERROR","The items in your order were just updated. Items may have been removed or may now have a different quantity due to current inventory levels, restrictions or recent online store activity.  Please review your items then choose to checkout.",""
"ecom.cocartempty","ecom","cocartempty","ERROR","Your shopping cart is currently empty.  You will be able to check out after adding items to your shopping cart.",""
"ecom.cocustomerr","ecom","cocustomerr","ERROR","To proceed you are required to accept our Terms and Conditions.",""
"ecom.connactive","ecom","connactive","CONFIRM","Thank you.  The connection has been configured.","BackEnd"
"ecom.conndeactive","ecom","conndeactive","CONFIRM","Thank you.  The connection has been deactivated.  The connection is now available to configure again.",""
"ecom.connupslicerr","ecom","connupslicerr","ERROR","You must agree to the UPS license agreement in order to configure this connection.  Please start over.","BackEnd"
"ecom.coreremoteerr","ecom","coreremoteerr","ERROR","An error was encountered while making a remote URL connection.  The error returned is: ","BackEnd"
"ecom.coshiperr","ecom","coshiperr","ERROR","The delivery address you entered is not valid.  In order to continue, please correct errors with your delivery address.  Please ensure you enter a valid address, with the correct postal code.",""
"ecom.creditlookuperr","ecom","creditlookuperr","ERROR","An error was encountered while attempting to retrieve credit information.",""
"ecom.creditmansearchmatch","ecom","creditmansearchmatch","CONFIRM","Credits matching your Quick Credit Lookup were located.  Select a credit from the listing to manage it.","BackEnd"
"ecom.creditmansearchnone","ecom","creditmansearchnone","ERROR","The credit you entered could not be located by Quick Credit Lookup.  Please try again.","BackEnd"
"ecom.deleteinventoryerror","ecom","deleteinventoryerror","ERROR","The inventory item you selected cannot be deleted because it's currently referenced by the following offers: ","BackEnd"
"ecom.ebaycatsuggest","ecom","ebaycatsuggest","CONFIRM","The categories presented below were returned as suggestions for the offer title.",""
"ecom.ebaynocatsuggest","ecom","ebaynocatsuggest","ERROR","No categories were returned as suggestions for the offer title.",""
"ecom.emailfrconf","ecom","emailfrconf","CONFIRM","Thank you.  Information on the item you selected has been sent to your friend.",""
"ecom.expconf","ecom","expconf","CONFIRM","Thank you.  The export you requested has been completed.","BackEnd"
"ecom.experror","ecom","experror","ERROR","There was an error encountered while processing the export requested.  There is more information in the debugger on the error.  Please try again.",""
"ecom.expnodata","ecom","expnodata","ERROR","There is no data available which meets this module's requirements and can be exported.  Please try again at a later time.",""
"ecom.exportverifydetail","ecom","exportverifydetail","ERROR","Export restrictions are in effect: ",""
"ecom.exportverifyerror","ecom","exportverifyerror","ERROR","The delivery address you entered is subject to export restrictions.  Please change your delivery address to continue.","BackEnd"
"ecom.genericolperr","ecom","genericolperr","ERROR","An error was encountered while processing the information submitted.  Please try again.",""
"ecom.guestco_confirm","ecom","guestco_confirm","CONFIRM","Thank you.  Your information has been saved.  You can now continue to checkout.",""
"ecom.guestco_failmatch","ecom","guestco_failmatch","ERROR","The email addresses you entered did not match.  In order to checkout as a guest, both entries must match.",""
"ecom.invalidcredit","ecom","invalidcredit","ERROR","The credit you entered is invalid.  The code may not be valid, or it may have already been used.  Please enter a different code, or process your order without entering one.",""
"ecom.invaliddiscount","ecom","invaliddiscount","ERROR","The discount code you entered is invalid.  The code may not be valid, or it may be expired.  Please enter a different code, or process your order without entering one.",""
"ecom.invalidgiftcert","ecom","invalidgiftcert","ERROR","The gift certificate number you entered is invalid.  The gift certificate may not be valid, it may be expired, or it may have already been used.  Please enter a different gift certificate number, or process your order without entering one.",""
"ecom.invalidordadjust","ecom","invalidordadjust","ERROR","The order adjustment information you entered is invalid.  Ensure you enter a valid amount, and description.",""
"ecom.invalidtaxexemptnum","ecom","invalidtaxexemptnum","ERROR","The tax exemption number you entered is invalid.  Please enter a different number or process your order without entering a tax exemption number.",""
"ecom.notifystockconf","ecom","notifystockconf","CONFIRM","Thank you.  You will be notified via email when this item is available.",""
"ecom.olpaccept","ecom","olpaccept","CONFIRM","Thank you.  Your order has been approved and completed.  You can review and print a copy of your order below.  You will receive an email message containing your order confirmation within a few minutes.",""
"ecom.olpdecline","ecom","olpdecline","ERROR","Unfortunately, we are unable to accept your transaction.  There may be a problem with the payment information you entered, or our online processor may be experiencing technical difficulties at the present time.  You can attempt to process your order again, or contact us to discuss other payment options.",""
"ecom.olpdeclinereason","ecom","olpdeclinereason","ERROR","Please correct your payment information, and try again.  Our online processor declined your transaction with the following reason: ",""
"ecom.onlineorderlookup_confirm","ecom","onlineorderlookup_confirm","CONFIRM","Thank you.  The order number and email address you entered matches the order presented below.",""
"ecom.onlineorderlookup_fail","ecom","onlineorderlookup_fail","ERROR","The order number and email address you entered could not be matched to an order.  Please try again.",""
"ecom.orderlookuperr","ecom","orderlookuperr","ERROR","An error was encountered while attempting to retrieve order information.  It is possible the data requested does not exist or you do not have access to the order requested using your current account.",""
"ecom.ordermanarchiveconf","ecom","ordermanarchiveconf","CONFIRM","Thank you.  The archive status for the order submitted has been updated as requested.","BackEnd"
"ecom.ordermanbaddeltotal","ecom","ordermanbaddeltotal","ERROR","The new delivery total you enter must be greater than the current delivery total.  Please try again.","BackEnd"
"ecom.ordermanbatchwarning","ecom","ordermanbatchwarning","NOTIFY","Additional manual changes may be necessary.  This order has already been submitted for processing with the following shipping manager batch information: ","BackEnd"
"ecom.ordermanbatchwarningc","ecom","ordermanbatchwarningc","NOTIFY","The order which was just cancelled was previously submitted for processing with the following shipping manager batch information: ","BackEnd"
"ecom.ordermancheckpayamt","ecom","ordermancheckpayamt","ERROR","The payment amount you entered is invalid.  Enter an amount greater than zero and less than the order balance.  Please try again.","BackEnd"
"ecom.ordermanconf","ecom","ordermanconf","CONFIRM","Thank you.  The Order Manager updates you requested have been made.  The order was updated, and all order updates were fully processed.","BackEnd"
"ecom.ordermancustacctcreatenotify","ecom","ordermancustacctcreatenotify","NOTIFY","A customer account has been created for this customer.  If present, instruct the customer to check their email for their new password.",""
"ecom.ordermannocando","ecom","ordermannocando","ERROR","The Order Manager update you requested is not available for the order you selected.  Please try again.","BackEnd"
"ecom.ordermannoupdates","ecom","ordermannoupdates","ERROR","No updates were requested.  Please try again.","BackEnd"
"ecom.ordermansearchmatch","ecom","ordermansearchmatch","CONFIRM","Orders matching your Quick Order Lookup were located.  Select an order from the listing to manage it.","BackEnd"
"ecom.ordermansearchnone","ecom","ordermansearchnone","ERROR","The order number you entered could not be located by Quick Order Lookup.  Please try again.","BackEnd"
"ecom.paypalproexpcancel","ecom","paypalproexpcancel","CONFIRM","You selected to return to this site and not process your order using PayPal.  Please continue by selecting a checkout option on this page.  Thank you.",""
"ecom.paypalproexpconfirm","ecom","paypalproexpconfirm","CONFIRM","Thank you.  Your order has been initiated through PayPal.  Please continue creating your order on this page.",""
"ecom.paypalproexperr","ecom","paypalproexperr","ERROR","There was an error communicating with PayPal.  Your order using PayPal has not been intitiated.  Please continue by creating your order on this page.",""
"ecom.paypalsfconf","ecom","paypalsfconf","CONFIRM","Thank you.  Your processing configuration has been updated.",""
"ecom.pricemapinverr","ecom","pricemapinverr","ERROR","The following submitted inventory item identifier could not be found.  Enter a valid inventory item identifier to continue: ",""
"ecom.pricemapnodata","ecom","pricemapnodata","ERROR","Required pricing information was not submitted.  Add pricing information to continue.",""
"ecom.pricemapnotify","ecom","pricemapnotify","NOTIFY","Warning: The following submitted inventory item identifier could not be found for a submitted AddOn: ",""
"ecom.purchordlookuperr","ecom","purchordlookuperr","ERROR","An error was encountered while attempting to retrieve purchase order information.",""
"ecom.purchordmancloseconf","ecom","purchordmancloseconf","CONFIRM","Thank you.  The purchase order you referenced has been closed.","BackEnd"
"ecom.purchordmancreateconf","ecom","purchordmancreateconf","CONFIRM","Thank you.  A new purchase order has been created, and can be managed using the interface below.","BackEnd"
"ecom.purchordmancreatenone","ecom","purchordmancreatenone","ERROR","You need to enter a positive quantity for at least one item to create a purchase order.  Please try again.","BackEnd"
"ecom.purchordmanmodifyconf","ecom","purchordmanmodifyconf","CONFIRM","Thank you.  The updates you requested have been made to the referenced purchase order.  All inventory updates have been completed.","BackEnd"
"ecom.purchordmanmodifyzero","ecom","purchordmanmodifyzero","NOTIFY","You entered zero quantities for all items on this purchase order.  A purchase order must contain at least one item.  If you wish to close this purchase order, use the Close function.","BackEnd"
"ecom.purchordmannocando","ecom","purchordmannocando","ERROR","The action requested is not available for the referenced purchase order.",""
"ecom.purchordmanreceiveconf","ecom","purchordmanreceiveconf","CONFIRM","Thank you.  Items have been received against the referenced purchase order.  All inventory and order updates have been completed.","BackEnd"
"ecom.purchordmanreceivezero","ecom","purchordmanreceivezero","ERROR","You entered zero quantities for all items on this purchase order.  You must select a positive quantity for at least one item in order to receive items on this purchase order.","BackEnd"
"ecom.purchordmansearchmatch","ecom","purchordmansearchmatch","CONFIRM","Purchase Orders matching your Quick Purchase Order Lookup were located.  Select a purchase order from the listing to manage it.","BackEnd"
"ecom.purchordmansearchnone","ecom","purchordmansearchnone","ERROR","The purchase order you entered could not be located by Quick Purchase Order Lookup.  Please try again.","BackEnd"
"ecom.purchordmansendemailsconf","ecom","purchordmansendemailsconf","CONFIRM","Thank you.  The vendor has been sent a mail message for the purchase order referenced.","BackEnd"
"ecom.purchordmanvendoremailnotify","ecom","purchordmanvendoremailnotify","NOTIFY","Please note: A mail message for this purchase order has not yet been sent to the vendor.","BackEnd"
"ecom.purchordmanvendornoinv","ecom","purchordmanvendornoinv","ERROR","The selected vendor currently has no inventory items which can be purchased.","BackEnd"
