"id","name","app","section","displaytype","displaydata","displayinclude","required","value","description"
"core.contact_googlemapurl","Contact Page: Google Map Exact Embed URL","core","Site Information","TEXTBOX-REG","","","0","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1364526.825898122!2d-2.402443980268457!3d52.227041104279564!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x487771a70ee2a019%3A0xef8394969a0e85fe!2sFarndon%20Rd%2C%20Market%20Harborough%20LE16%209NP!5e0!3m2!1sen!2suk!4v1637166678513!5m2!1sen!2suk"" width=""800"" height=""600"" style=""border:0;"" allowfullscreen="""" loading=""lazy"">","This software will automatically embed a Google Map on the Contact Page when that feature is activated.  Enter a specific map URL here to override the map URL automatically generated."
"core.contact_hours","Contact Page: Hours Display","core","Site Information","TEXTBOX-REG","","","0","Mon-Fri 9am to 5.30pm ","Enter hours of operation for display on the Contact Page.  No entry will suppress this display."
"core.cookieinfodisplay","Cookie Info Banner Content","core","Privacy Settings","TEXTAREA-WYSIWYG","","","1","The cookie settings on this website are set to 'allow all cookies' to give you the very best experience. By clicking 'I Understand', you consent to 'allow all cookies'. If you want, you can change your settings at any time by visiting our cookies page. <a id=""kmodal_cookieinfo"" href=""<?php print $this->link_namespace('cms','display','cookieinfo'); ?>"" title=""Cookie Information"">More About Cookies</a>

<?php 

$this->globals('core_display.cookieinfo_active',1);

$js_docready  = 'jQuery(\'#kmodal_cookieinfo\').click(function(){return ajaxExec ({\'primary\': \'kmodal_cookieinfo\',  \'modal\': \'Cookie Information\', \'app\': \'cms\', \'ns\': \'display\', \'ref\': \'cookieinfo\'});});';
$this->append_global_array('core.js_docready',$js_docready);

?>","Enter text to display in the Privacy Information Modal.  This text can contain XHTML tags, and PHP."
"core.createaccountauth","Activate New Account Authorization","core","Account Section","SELECT-BOOL","","","1","0","Select true (1) to activate New Account Authorization.  If active, users creating accounts will be required to enter a code emailed to them in order to complete account creation.  Select false (0) to disable this feature."
"core.createaccountform","Create Account Form","core","Account Section","SELECT-CUSTOM","core.createaccountform","","1","core.createaccount","Select the create account form to be used by new users when setting up accounts."
"core.createaccountshow","Show Create Account Dialogs and Links","core","Account Section","SELECT-BOOL","","","1","1","Select true (1) to display account upgrade and create account dialogs and links, or false (0) to suppress dialogs and links."
"core.cron_daily_last","Last Daily Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781023063","This is the time daily cron tasks were last run for this component."
"core.cron_eigthdaily_last","Last 3 Hour Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781080932","This is the time 3 hour cron tasks were last run for this component."
"core.cron_halfdaily_last","Last 12 Hour Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781053382","This is the time 12 hour cron tasks were last run for this component."
"core.cron_halfhourly_last","Last 30 Minute Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781085395","This is the time 30 minute cron tasks were last run for this component."
"core.cron_hourly_last","Last Hourly Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781082707","This is the time hourly cron tasks were last run for this component."
"core.cron_quarterdaily_last","Last 6 Hour Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781076759","This is the time 6 hour cron tasks were last run for this component."
"core.cron_quarterhourly_last","Last 15 Minute Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781085395","This is the time 15 minute cron tasks were last run for this component."
"core.cron_systemauto","Software Automated Cron Status","core","Cron Settings","SELECT-BOOL","","","1","1","By default, cron execution is automated by this software using page accesses to trigger cron events.  This setting, when set to true (1), executes cron using this default behavior.  When set to false (0), cron tasks must manually be executed using an operating system cron job, which runs every 5 minutes, which loads the URL /utilities/runcron.php.  It is desirable, whenever possible, to set this value to false (0) and execute cron using an operating system cron job."
"core.cron_twelfthhourly_last","Last 5 Minute Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781086006","This is the time 5 minute cron tasks were last run for this component."
"core.cron_weekly_last","Last Weekly Cron Run","core","Cron Settings","DISPLAY-DATE","","","1","1781079158","This is the time weekly cron tasks were last run for this component."
"core.currcdp.AUD","Australian Dollars (AUD): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the Australian Dollars (AUD) currency.  This character is used in amounts shown in the Australian Dollars (AUD) currency."
"core.currcdp.CAD","Canadian Dollars (CAD): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the Canadian Dollars (CAD) currency.  This character is used in amounts shown in the Canadian Dollars (CAD) currency."
"core.currcdp.CHF","Swiss Francs (CHF): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the Swiss Francs (CHF) currency.  This character is used in amounts shown in the Swiss Francs (CHF) currency."
"core.currcdp.EUR","Euros (EUR): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the Euros (EUR) currency.  This character is used in amounts shown in the Euros (EUR) currency."
"core.currcdp.GBP","Great Britain Pounds (GBP): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the Great Britain Pounds (GBP) currency.  This character is used in amounts shown in the Great Britain Pounds (GBP) currency."
"core.currcdp.JPY","Japanese Yen (JPY): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the Japanese Yen (JPY) currency.  This character is used in amounts shown in the Japanese Yen (JPY) currency."
"core.currcdp.USD","US Dollars (USD): Decimal Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",".","Enter the decimal character for the US Dollars (USD) currency.  This character is used in amounts shown in the US Dollars (USD) currency."
"core.currconv.AUD","Australian Dollars (AUD): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","1.89842","Enter the conversion rate for the Australian Dollars (AUD) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currconv.CAD","Canadian Dollars (CAD): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","1.86599","Enter the conversion rate for the Canadian Dollars (CAD) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currconv.CHF","Swiss Francs (CHF): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","1.06625","Enter the conversion rate for the Swiss Francs (CHF) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currconv.EUR","Euros (EUR): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","1.15821","Enter the conversion rate for the Euros (EUR) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currconv.GBP","Great Britain Pounds (GBP): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","1.00000","Enter the conversion rate for the Great Britain Pounds (GBP) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currconv.JPY","Japanese Yen (JPY): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","214.67454","Enter the conversion rate for the Japanese Yen (JPY) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currconv.USD","US Dollars (USD): Conversion Rate","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","1.34040","Enter the conversion rate for the US Dollars (USD) currency.  This rate is used with amounts stored in the Base Currency to arrive at an amount for this currency to display to customers.  Calculation: (Base x Rate = Display)"
"core.currcth.AUD","Australian Dollars (AUD): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the Australian Dollars (AUD) currency.  This character is used in amounts shown in the Australian Dollars (AUD) currency."
"core.currcth.CAD","Canadian Dollars (CAD): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the Canadian Dollars (CAD) currency.  This character is used in amounts shown in the Canadian Dollars (CAD) currency."
"core.currcth.CHF","Swiss Francs (CHF): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the Swiss Francs (CHF) currency.  This character is used in amounts shown in the Swiss Francs (CHF) currency."
"core.currcth.EUR","Euros (EUR): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the Euros (EUR) currency.  This character is used in amounts shown in the Euros (EUR) currency."
"core.currcth.GBP","Great Britain Pounds (GBP): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the Great Britain Pounds (GBP) currency.  This character is used in amounts shown in the Great Britain Pounds (GBP) currency."
"core.currcth.JPY","Japanese Yen (JPY): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the Japanese Yen (JPY) currency.  This character is used in amounts shown in the Japanese Yen (JPY) currency."
"core.currcth.USD","US Dollars (USD): Thousands Character","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1",",","Enter the thousands character for the US Dollars (USD) currency.  This character is used in amounts shown in the US Dollars (USD) currency."
"core.currsym.AUD","Australian Dollars (AUD): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","AUD","Enter the currency symbol for the Australian Dollars (AUD) currency.  This symbol is appended to amounts shown in the Australian Dollars (AUD) currency."
"core.currsym.CAD","Canadian Dollars (CAD): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","CAD","Enter the currency symbol for the Canadian Dollars (CAD) currency.  This symbol is appended to amounts shown in the Canadian Dollars (CAD) currency."
"core.currsym.CHF","Swiss Francs (CHF): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","CHF","Enter the currency symbol for the Swiss Francs (CHF) currency.  This symbol is appended to amounts shown in the Swiss Francs (CHF) currency."
"core.currsym.EUR","Euros (EUR): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","€","Enter the currency symbol for the Euros (EUR) currency.  This symbol is appended to amounts shown in the Euros (EUR) currency."
"core.currsym.GBP","Great Britain Pounds (GBP): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","£","Enter the currency symbol for the Great Britain Pounds (GBP) currency.  This symbol is appended to amounts shown in the Great Britain Pounds (GBP) currency."
"core.currsym.JPY","Japanese Yen (JPY): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","¥","Enter the currency symbol for the Japanese Yen (JPY) currency.  This symbol is appended to amounts shown in the Japanese Yen (JPY) currency."
"core.currsym.USD","US Dollars (USD): Currency Symbol","core","Currency Settings: Conversions and Symbols","TEXTBOX-REG","","","1","$","Enter the currency symbol for the US Dollars (USD) currency.  This symbol is appended to amounts shown in the US Dollars (USD) currency."
"core.datetime_format","DateTime Display Format","core","Date and Time Settings","SELECT-CUSTOM","core.datetime.format","","1","d/m/Y H:i:s","This is the format which is used to display dates within the software."
"core.datetime_incdec","DateTime Offset Increase/Decrease","core","Date and Time Settings","SELECT-CUSTOM","core.datetime.incdec","","1","1","If you have a positive 'DateTime Offset In Seconds', choose whether this offset is positive or negative."
"core.datetime_offset","DateTime Offset In Seconds","core","Date and Time Settings","TEXTBOX-REG","","","1","10","If the server clock does not match the actual time you can adjust the time here.  This offset is to be entered in seconds."
"core.db_resultspp","Default DB Results Per Page","core","Management Interface Settings","SELECT-CUSTOM","core.dboverview.count","","1","50","This is the default number of database results to display per page for management interface data displays.  Users can select to view more or less results per page when using database search functions."
"core.defaultskin_backend","Default Skin: Management Interface","core","Management Interface Settings","DISPLAY-REG","","","1","skin.COREMI910","The default skin for the management interface."
"core.defaultskin_frontend","Active Skin: FrontEnd Interface","core","Display Skins","SELECT-TABLE","SELECT {COLS} FROM core_modules WHERE type='SKIN' AND id NOT LIKE 'skin.COREMI%' AND id<>'skin.MailMessage'","","1","skin.CUSTOM-2023","The default skin for the frontend interface.  This skin is used as a default for requests where a skin could not be defined."
"core.devauthusergroups","User Groups Requiring Device Authorization","core","Security","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","0","admin, reports, superuser","Select user groups which are subject to device authorization prior to being able to login to accounts.  This should be set for all BackEnd interface user groups."
"core.disablelogingroups","Disable Login User Groups","core","Account Section","CHECKBOX-TABLE","SELECT {COLS} FROM core_groups","","0","","Select user groups which are not allowed to login to this site.  This setting is useful for MultiSite overrides where a particular user group should have access to a particular site."
"core.docookieinfo","Cookie Info Banner Status","core","Privacy Settings","SELECT-BOOL","","","1","1","Personal data privacy and protection is extremely important.  This banner presents information to customers regarding cookies and data storage and usage.  Presentation of this banner is required in many areas including the EU and UK, and any areas that serve customers in the EU and UK."
"core.emaillistmarket","Email List Marketing Text","core","Marketing Email List","TEXTAREA-SMALL","","","1","Sign up today to receive great online-only deals and to keep up to date with the latest product news.","Enter short descriptive marketing text to be displayed where the marketing email list is promoted."
"core.emaillistname","Email List Display Name","core","Marketing Email List","TEXTBOX-REG","","","1","Email list","Enter a name for the email list.  This name will be used in all displays to reference the marketing email list."
"core.emailliststatus","Activate Email List","core","Marketing Email List","SELECT-BOOL","","","1","1","The marketing email list feature collects, and stores, email addresses for your email marketing campaigns.  Select true (1) to turn the email marketing list feature on, or false (0) to suppress it."
"core.enabletooltips","Enable Tooltips for Formfield Descriptions","core","Ajax Settings","SELECT-BOOL","","","1","1","Select true to enable tooltip dialogs for form field descriptions.  If enabled, tooltips will be used for formfield descriptions, rather than displaying descriptions under the formfield name."
"core.exportovereu","Exports to the EU: Treatment Over Threshold","core","Taxes: Exports","SELECT-CUSTOM","core.exportoverunder","","1","NOACTION","For exports from non-EU countries to countries in the EU, select the Tax Treatment for orders over the Tax Treatment Threshold."
"core.exportoveruk","Exports to the UK: Treatment Over Threshold","core","Taxes: Exports","SELECT-CUSTOM","core.exportoverunder","","1","NOACTION","For exports from foreign countries to the UK, select the Tax Treatment for orders over the Tax Treatment Threshold."
"core.exportthresheu","Exports to the EU: Tax Treatment Threshold (EUR)","core","Taxes: Exports","TEXTBOX-REG","","","1","0","For exports from non-EU countries to countries in the EU, this is the Tax Treatment Threshold in EUR."
"core.exportthreshuk","Exports to the UK: Tax Treatment Threshold (GBP)","core","Taxes: Exports","TEXTBOX-REG","","","1","0","For exports from foreign countries to the UK, this is the Tax Treatment Threshold in GBP."
"core.exportundereu","Exports to the EU: Treatment Under Threshold","core","Taxes: Exports","SELECT-CUSTOM","core.exportoverunder","","1","NOACTION","For exports from non-EU countries to countries in the EU, select the Tax Treatment for orders under the Tax Treatment Threshold."
"core.exportunderuk","Exports to the UK: Treatment Under Threshold","core","Taxes: Exports","SELECT-CUSTOM","core.exportoverunder","","1","NOACTION","For exports from foreign countries to the UK, select the Tax Treatment for orders under the Tax Treatment Threshold."
"core.isprivatelabel","Private Label Status","core","Management Interface Settings","HIDDEN-REG","","","1","0","Indicates private label status for the software.  When true, external links and news are suppressed."
"core.lang.BASEDIR","String: BASEDIR","core","Language Strings","TEXTBOX-REG","","","1","Base Directory","Default: Base Directory"
"core.lang.CLONE","String: CLONE","core","Language Strings","TEXTBOX-REG","","","1","Clone","Default: Clone"
"core.lang.DBDATA","String: DBDATA","core","Language Strings","TEXTBOX-REG","","","1","Database Data","Default: Database Data"
"core.lang.DBOVERBACK","String: DBOVERBACK","core","Language Strings","TEXTBOX-REG","","","1","Return to Overview","Default: Return to Overview"
"core.lang.DELETE","String: DELETE","core","Language Strings","TEXTBOX-REG","","","1","Delete","Default: Delete"
"core.lang.INSERT","String: INSERT","core","Language Strings","TEXTBOX-REG","","","1","Add Item","Default: Add Item"
"core.lang.IPBANNED","String: IPBANNED","core","Language Strings","TEXTAREA-SMALL","","","1","The IP address you are using is currently banned.","Default: The IP address you are using is currently banned."
"core.lang.METADATA","String: METADATA","core","Language Strings","TEXTBOX-REG","","","1","Column Metadata","Default: Column Metadata"
"core.lang.MODSEARCH","String: MODSEARCH","core","Language Strings","TEXTBOX-REG","","","1","Modify Search","Default: Modify Search"
"core.lang.NOAPPLICATION","String: NOAPPLICATION","core","Language Strings","TEXTAREA-SMALL","","","1","A component is not available to handle your request.  Please try again later or use a different URL to access this program.","Default: A component is not available to handle your request.  Please try again later or use a different URL to access this program."
"core.lang.NOTALLOWED","String: NOTALLOWED","core","Language Strings","TEXTBOX-REG","","","1","Protected","Default: Protected"
"core.lang.PRIMDBCONN","String: PRIMDBCONN","core","Language Strings","TEXTBOX-REG","","","1","Primary Connection","Default: Primary Connection"
"core.lang.SEARCHTABLE","String: SEARCHTABLE","core","Language Strings","TEXTBOX-REG","","","1","Search","Default: Search"
"core.lang.SETTINGS","String: SETTINGS","core","Language Strings","TEXTBOX-REG","","","1","Settings","Default: Settings"
"core.lang.TOBECALC","String: TOBECALC","core","Language Strings","TEXTBOX-REG","","","1","To Be Calculated","Default: To Be Calculated"
"core.lang.UPDATE","String: UPDATE","core","Language Strings","TEXTBOX-REG","","","1","Update","Default: Update"
"core.lang.VALUENODISP","String: VALUENODISP","core","Language Strings","TEXTBOX-REG","","","1","Value Cannot Be Displayed","Default: Value Cannot Be Displayed"
"core.link_social_facebook","Facebook Page Link","core","Social Media","TEXTBOX-REG","","","0","","Enter your Facebook URL to display a Facebook link in the Social Media skin widget.  If you do not enter a URL, a link will not be printed for Facebook."
"core.link_social_googleplus","Google Plus Page Link","core","Social Media","TEXTBOX-REG","","","0","","Enter your Google Plus URL to display a Google Plus link in the Social Media skin widget.  If you do not enter a URL, a link will not be printed for Google Plus."
"core.link_social_instagram","Instagram Page Link","core","Social Media","TEXTBOX-REG","","","0","http://instagram.com/dorotapeuk/","Enter your Instagram URL to display a Instagram link in the Social Media skin widget.  If you do not enter a URL, a link will not be printed for Instagram."
"core.link_social_linkedin","LinkedIn Page Link","core","Social Media","TEXTBOX-REG","","","0","https://www.linkedin.com/company/56412705/admin/","Enter your LinkedIn URL to display a LinkedIn link in the Social Media skin widget.  If you do not enter a URL, a link will not be printed for LinkedIn."
"core.link_social_pinterest","Pinterest Page Link","core","Social Media","TEXTBOX-REG","","","0","","Enter your Pinterest URL to display a Pinterest link in the Social Media skin widget.  If you do not enter a URL, a link will not be printed for Pinterest."
"core.link_social_twitter","Twitter Page Link","core","Social Media","TEXTBOX-REG","","","0","","Enter your Twitter URL to display a Twitter link in the Social Media skin widget.  If you do not enter a URL, a link will not be printed for Twitter."
