"id","name","description","fieldtype","fieldinclude","required","fieldorder","section","optsel"
"ACC_SQASLANRD","Choose quantity","Choose quantities of Aslan 'Red Devil' Squeegees","RADIO-CUSTOM","","1","10","Item Options","1 x Squeegee :: £1.88|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
5 x Squeegees (1 pack)|6.86|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_SQBLUE","Choose quantity","Choose quantities of Blue Plastic Squeegees","RADIO-CUSTOM","","1","10","Item Options","5 x Squeegees :: £2.65|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
25 x Squeegees (1 box)|7.95|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_SQFELT","Choose quantity","Choose quantities of Felt Squeegees","RADIO-CUSTOM","","1","10","Item Options","1 x Squeegee :: £2.39|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
10 x Squeegees (1 box)|19.87|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACC_SQGOLD","Choose quantity","Choose quantities of 3M Gold PA1 Plastic Squeegees","RADIO-CUSTOM","","1","10","Item Options","1 x Squeegee :: £2.81|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
25 x Squeegees (1 box)|61.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"ACP_L_3_Bespoke_Sizes","Describe Cut Sizes","If you have selected to have one or two cuts or would like us to cut the board to your exact requirements, please type your cut sizes here:","TEXTAREA-SMALL","","0","20","Item Options",""
"ACP_L_3_Sizes","Select Cut Sizes","Please select from list below:","RADIO-CUSTOM","","0","10","Item Options","Up to 4 cuts included|40.82|0.00|0|STANDARD|STANDARD|STANDARD|
More than 4 cuts required|41.32|0.00|0|STANDARD|STANDARD|STANDARD|"
"AGE","Please confirm that you are 18 or over","It is illegal to sell a knife to anyone under the age of 18.","SELECT-CUSTOM","","1","10","Age Verification","Yes, I am 18 years old or over|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
No, I am under 18 years old|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"APC_L_Sizes","Select Cut Sizes","Please select from list below:","RADIO-CUSTOM","","0","10","Item Options",""
"APPCUT","Please enter cut sizes required ","Please mark clearly whether these sizes are in mm, cm or inches.  Please enter UNCUT if no cuts are required.","TEXTAREA-SMALL","","1","1","Item Options",""
"ASLAN-DFP07-ADHESIVE-COLOUR","Choose Adhesive Colour Below","Please select either DFP07 (Clear adhesive) or DFP07G (Grey adhesive) for more opacity.","RADIO-CUSTOM","","1","1","Colour Options","DFP07 (Clear adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
DFP07G (Grey adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"ASLAN-DFP08-ADHESIVE-COLOUR","Choose Adhesive Colour Below","Please select either DFP08 (Clear adhesive) or DFP08G (Grey adhesive) for more opacity.","RADIO-CUSTOM","","1","1","Colour Options","DFP08 (Clear adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
DFP08G (Grey adhesive)|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Auto_Heat_Presses","Choose Size Below","","CHECKBOX-CUSTOM","","1","10","Item Options","AHP38 - 38cm x 38cm|375.00|0.00|0|STANDARD|STANDARD|STANDARD|
AHP50 - 40cm x 50cm|420.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"BA_EYE_ONLY_SIZE","Choose size required","","RADIO-CUSTOM","","0","1","Item Options","1000 x 6mm Eyelets|44.25|0.00|0|STANDARD|STANDARD|STANDARD|
1000 x 9mm Eyelets|56.77|0.00|0|STANDARD|STANDARD|STANDARD|"
"BA_EYE_SIZE","Choose size required","","RADIO-CUSTOM","","0","1","Item Options","Punch & Die Set & 1000 x 6mm Eyelets|112.75|0.00|0|STANDARD|STANDARD|STANDARD|"
"BLUE_MASK025","Choose quantity","Choose quantities of Masking Tape","CHECKBOX-CUSTOM","","1","10","Item Options","By the roll|1.80|0.00|0|STANDARD|STANDARD|STANDARD|
Carton of 48 rolls|77.76|0.00|0|STANDARD|STANDARD|STANDARD|"
"BLUE_MASK050","Choose quantity","Choose quantities of Masking Tape","CHECKBOX-CUSTOM","","1","10","Item Options","By the roll|3.60|0.00|0|STANDARD|STANDARD|STANDARD|
Carton of 24 rolls|77.76|0.00|0|STANDARD|STANDARD|STANDARD|"
"Blue_Squeegee","Choose quantity","Choose pack size of Blue Plastic Squeegees","CHECKBOX-CUSTOM","","1","10","Item Options","Pack of 5 (69p each)|3.45|0.00|0|STANDARD|STANDARD|STANDARD|
Pack of 250 (53p each)|132.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"bosslam100","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","760mm x 50m Roll|74.80|0.00|0|STANDARD|STANDARD|STANDARD|
1040mm x 50m Roll|102.40|0.00|0|STANDARD|STANDARD|STANDARD|
1040mm x 50m Roll|102.40|0.00|0|STANDARD|STANDARD|STANDARD|
1300mm x 100m Roll|256.00|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m Roll|135.00|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 50m Roll|148.80|0.00|0|STANDARD|STANDARD|STANDARD|"
"bosslamcry","Choose Size Below","Choose Size of Roll","CHECKBOX-CUSTOM","","1","10","Prices are per roll","650mm x 50m Roll|70.10|0.00|0|STANDARD|STANDARD|STANDARD|
1040mm x 100m Roll|204.80|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m Roll|134.90|0.00|0|STANDARD|STANDARD|STANDARD|
1520mm x 50m Roll|148.80|0.00|0|STANDARD|STANDARD|STANDARD|"
"C118GBW1250","or 1250mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1250mm wide by the metre or by the roll here","part roll - price per mtr|4.92|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|222.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"C118GBW625","Please select either 625mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 625mm wide by the metre or by the roll here","part roll - price per mtr|2.46|0.00|0|STANDARD|STANDARD|STANDARD|
full 50 mtr roll|111.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"CA231250","or 1250mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1250mm wide by the metre or by the roll here","part roll - price per mtr|19.94|0.00|0|STANDARD|STANDARD|STANDARD|
full 25 mtr roll|449|0.00|0|STANDARD|STANDARD|STANDARD|"
"CA23625","Please select either 625mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 625mm wide by the metre or by the roll here","part roll - price per mtr|9.97|0.00|0|STANDARD|STANDARD|STANDARD|
full 25 mtr roll|224.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"CA241220","or 1220mm wide:","","CHECKBOX-CUSTOM","","0","2","Order 1220mm wide by the metre or by the roll here","part roll - price per mtr|21.26|0.00|0|STANDARD|STANDARD|STANDARD|
full 24 mtr roll|459.36|0.00|0|STANDARD|STANDARD|STANDARD|"
"CA24610","Please select either 610mm wide:","","CHECKBOX-CUSTOM","","0","1","Order 610mm wide by the metre or by the roll here","part roll - price per mtr|10.63|0.00|0|STANDARD|STANDARD|STANDARD|
full 24 mtr roll|229.68|0.00|0|STANDARD|STANDARD|STANDARD|"
"CA251220","Please select from 1220mm wide:","","CHECKBOX-CUSTOM","","1","1","Order 1220mm wide by the metre or by the roll here","part roll - price per mtr|23.36|0.00|0|STANDARD|STANDARD|STANDARD|
full 24 mtr roll|504.48|0.00|0|STANDARD|STANDARD|STANDARD|"
"CA301250","1250mm wide - Please select either:","","CHECKBOX-CUSTOM","","1","2","Order 1250mm wide by the metre or by the roll here","part roll - price per mtr|25.84|0.00|0|STANDARD|STANDARD|STANDARD|
full 25 mtr roll|581.50|0.00|0|STANDARD|STANDARD|STANDARD|"
"CC124","1370mm wide","","CHECKBOX-CUSTOM","","1","2","Order 1370mm wide by the metre or by the roll here","per metre|28.74|0.00|0|STANDARD|STANDARD|STANDARD|
per 25m roll|646.75|0.00|0|STANDARD|STANDARD|STANDARD|"
"CLEAR-APP-TAPE","Choose Width","Please select width of roll required","CHECKBOX-CUSTOM","","1","10","Item Options","50mm x 91.4m|5.80|0.00|0|STANDARD|STANDARD|STANDARD|
100mm x 91.4m|11.60|0.00|0|STANDARD|STANDARD|STANDARD|
150mm x 91.4m|17.40|0.00|0|STANDARD|STANDARD|STANDARD|
203mm x 91.4m|23.20|0.00|0|STANDARD|STANDARD|STANDARD|
305mm x 91.4m|31.65|0.00|0|STANDARD|STANDARD|STANDARD|
610mm x 91.4m|63.30|0.00|0|STANDARD|STANDARD|STANDARD|"
"clearstaticcling","Select Size of Roll","Please select size of roll below","CHECKBOX-CUSTOM","","0","1","Item Options","1370mm x 25m|109.00|0.00|0|STANDARD|STANDARD|STANDARD|
1370mm x 50m|196.20|0.00|0|STANDARD|STANDARD|STANDARD|"
"COLSELPLATINUM","Ri-Mark Platinum Series Colour Selectors","Please make your selection here:","CHECKBOX-CUSTOM","","1","1","Options","A4 Colour Card|1.90|0.00|0|STANDARD|STANDARD|STANDARD|
Pocket Swatch|5.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_BW","Colour","Choose Black or White Material","RADIO-CUSTOM","","1","1","Item Options","Black|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_BW_670","Choose Colour Below","","SELECT-CUSTOM","","1","1","Item Options","7235 :: White Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7246 :: Black Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7248 :: White Matt|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7247 :: Black Matt|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
7234 :: Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_BW_Gl","Colour","Choose Black, White or Clear Material","RADIO-CUSTOM","","1","1","Item Options","Black Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
White Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Clear Gloss|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_BW_Ma","Colour","Choose Black or White Material","RADIO-CUSTOM","","1","1","Item Options","Matt Black|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Matt White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_AA","Choose Colour Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);""> IF YOU'RE NOT SURE ABOUT THE COLOUR, CALL US ON<br><big>01858 431642</big> AND WE'LL SEND YOU A SAMPLE</span><br><br>

<a href=""media/ecom/prodxl/Aurora_Colour.jpg"" rel=""lightbox clearbox"" title=""Aurora""><img style=""border: 0px solid ; width: 100px; height: 100px;"" src=""media/ecom/prodsm/Aurora_Colour.jpg"" /></a>

<a href=""media/ecom/prodxl/Andromeda_Colour.jpg"" rel=""lightbox clearbox"" title=""Andromeda""><img style=""border: 0px solid ; width: 100px; height: 100px;"" src=""media/ecom/prodsm/Andromeda_Colour.jpg"" /></a>

<a href=""media/ecom/prodxl/Alpha_Colour.jpg"" rel=""lightbox clearbox"" title=""Alpha""><img style=""border: 0px solid ; width: 100px; height: 100px;"" src=""media/ecom/prodsm/Alpha_Colour.jpg"" /></a>

<a href=""media/ecom/prodxl/Plasma_Colour.jpg"" rel=""lightbox clearbox"" title=""Plasma""><img style=""border: 0px solid ; width: 100px; height: 100px;"" src=""media/ecom/prodsm/Plasma_Colour.jpg"" /></a>

<br><br>
<span
style= ""font-weight: bold; color: rgb(153, 186, 58)"";>PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","Aurora :: 6641|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Andromeda :: 6630|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Alpha :: 6651|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
Plasma :: 6652|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_CA30","Choose Colour Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);""> IF YOU'RE NOT SURE ABOUT THE COLOUR, CALL US ON<br><big>01858 431642</big> AND WE'LL SEND YOU A SAMPLE</span><br>

<a href=""media/ecom/prodxl/13102-Polished-Silver.jpg"" rel=""lightbox clearbox"" title=""13119 Polished Silver""><img src=""media/ecom/prodsm/13102-Polished-Silver.jpg"" /></a>

<a href=""media/ecom/prodxl/13103-Polished-Gold.jpg"" rel=""lightbox clearbox"" title=""13117 Polished Gold""><img src=""media/ecom/prodsm/13103-Polished-Gold.jpg"" /></a>

<a href=""media/ecom/prodxl/13104-Brushed-Aluminium.jpg"" rel=""lightbox clearbox"" title=""13124 Brushed Aluminium""><img src=""media/ecom/prodsm/13104-Brushed-Aluminium.jpg"" /></a>

<a href=""media/ecom/prodxl/13105-Brushed-Copper.jpg"" rel=""lightbox clearbox"" title=""13125 Brushed Copper""><img src=""media/ecom/prodsm/13105-Brushed-Copper.jpg"" /></a>

<a href=""media/ecom/prodxl/13106-Brushed-Gold.jpg"" rel=""lightbox clearbox"" title=""13126 Brushed Gold""><img src=""media/ecom/prodsm/13106-Brushed-Gold.jpg"" /></a>

<a href=""media/ecom/prodxl/13109-Brushed-Steel.jpg"" rel=""lightbox clearbox"" title=""13129 Brushed Steel""><img src=""media/ecom/prodsm/13109-Brushed-Steel.jpg"" /></a>

<br><br>
<span
style= ""font-weight: bold; color: rgb(153, 186, 58)"";>PLEASE SELECT REQUIRED COLOUR BELOW:</span>","RADIO-CUSTOM","","1","10","Item Options","13119 Mirror Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
13117 Mirror Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
13124 Brushed Aluminium|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
13125 Brushed Copper|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
13126 Brushed Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
13129 Brushed Stainless Steel|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_CAL_23","Choose Colour Below","<span style=""font-weight: bold; color: rgb(153, 186, 58);""> IF YOU'RE NOT SURE ABOUT THE COLOUR, CALL US ON<br><big>01858 431642</big> AND WE'LL SEND YOU A SAMPLE</span><br>

<a href=""media/ecom/prodxl/13102L-Polished-Silver-Dry-Apply.jpg"" rel=""lightbox clearbox"" title=""13102L Dry Apply Polished Silver""><img src=""media/ecom/prodsm/13102L-Polished-Silver-Dry-Apply.jpg"" /></a>

<a href=""media/ecom/prodxl/13103L-Polished-Gold-Dry-Apply.jpg"" rel=""lightbox clearbox"" title=""13103L Dry Apply Polished Gold""><img src=""media/ecom/prodsm/13103L-Polished-Gold-Dry-Apply.jpg"" /></a>



<br><br>
<span
style=""font-weight: bold; color: rgb(153, 186, 58);"">PLEASE SELECT REQUIRED COLOUR BELOW:</span>","SELECT-CUSTOM","","1","10","Item Options","13102L Mirror Silver|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
13103L Mirror Gold|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_CF128","Choose Colour Below","","SELECT-CUSTOM","","1","1","Item Options","CF12802 Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CF12804 Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CF12806 Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CF12809 White|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CF12810 Black|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CF12831 Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CF12833 Brown|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_CPL22","Choose Colour Below","","RADIO-CUSTOM","","1","10","Item Options","PrintMetal Silver CPL13119|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
"Col_C_CT113","Choose Colour Below","","SELECT-CUSTOM","","1","1","Item Options","CT11355 Primrose Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11356 Golden Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11357 Orange|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11359 Dark Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11360 Violet|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11362 Cornflower Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11364 Mint Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11366 Forest Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11368 Dove Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11369 Medium Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11371 Bright Yellow|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11373 Bright Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11374 Red|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11377 Magenta|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11379 Ultra Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11381 Azure Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11382 Olympic Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11383 Light Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11385 Medium Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11386 Bright Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11388 Apple Green|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11390 Light Grey|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11391 Light Beige|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11392 Blue|0.00|0.00|0|STANDARD|STANDARD|STANDARD|
CT11395 Purple|0.00|0.00|0|STANDARD|STANDARD|STANDARD|"
