product_id,type,old_sku,proposed_sku,sage_desc,sage_price,site_price,strategy,confidence
2800,variation,10001-sz01,,,,106.00,szNN+size-token,"NO MATCH"
2801,variation,10001-sz02,,,,106.00,szNN+size-token,"NO MATCH"
2802,variation,10001-sz03,,,,106.00,szNN+size-token,"NO MATCH"
2803,variation,10001-sz04,,,,106.00,szNN+size-token,"NO MATCH"
2806,variation,10001-sz07,,,,67.00,szNN+size-token,"NO MATCH"
2807,variation,10001-sz08,,,,67.00,szNN+size-token,"NO MATCH"
2808,variation,10001-sz09,,,,67.00,szNN+size-token,"NO MATCH"
2809,variation,10001-sz10,,,,67.00,szNN+size-token,"NO MATCH"
2810,variation,10001-sz11,,,,67.00,szNN+size-token,"NO MATCH"
2813,variation,10001-sz14,,,,79.00,szNN+size-token,"NO MATCH"
2814,variation,PILLOW-sz01,PILLOW,"HEAT PRESS PILLOW 51CM X 41CM",40,25.00,szNN+size-token,"check price"
2815,variation,PILLOW-sz02,PILLOW,"HEAT PRESS PILLOW 51CM X 41CM",40,25.00,szNN+size-token,"check price"
2816,variation,PILLOW-sz03,PILLOW,"HEAT PRESS PILLOW 51CM X 41CM",40,25.00,szNN+size-token,"check price"
2817,variation,PILLOW-sz04,PILLOW,"HEAT PRESS PILLOW 51CM X 41CM",40,40.00,szNN+size-token,"high (price match)"
2818,variation,PLAT-sz01,PLAT,"QUICK SLIP LOWER PLATEN PROTECTOR 40CM X 50CM",60,40.00,szNN+size-token,"check price"
2819,variation,PLAT-sz02,PLAT,"QUICK SLIP LOWER PLATEN PROTECTOR 40CM X 50CM",60,45.00,szNN+size-token,"check price"
2821,variation,PLAT-sz04,PLAT,"QUICK SLIP LOWER PLATEN PROTECTOR 40CM X 50CM",60,47.00,szNN+size-token,"check price"
2822,variation,PLAT-sz05,PLAT,"QUICK SLIP LOWER PLATEN PROTECTOR 40CM X 50CM",60,50.00,szNN+size-token,"check price"
2823,variation,PLAT-sz06,PLAT,"QUICK SLIP LOWER PLATEN PROTECTOR 40CM X 50CM",60,55.00,szNN+size-token,"check price"
2824,variation,PLAT-sz07,PLAT,"QUICK SLIP LOWER PLATEN PROTECTOR 40CM X 50CM",60,60.00,szNN+size-token,"high (price match)"
3194,variation,"ROLWIPE / 2-sz01",,,,12.71,szNN+size-token,"NO MATCH"
3195,variation,"ROLWIPE / 2-sz02",,,,22.00,szNN+size-token,"NO MATCH"
3325,variation,GL10-sz01,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,3.54,szNN+size-token,"check price"
3326,variation,GL10-sz02,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,5.73,szNN+size-token,"check price"
3327,variation,GL10-sz03,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,7.98,szNN+size-token,"check price"
3328,variation,GL10-sz04,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,8.19,szNN+size-token,"check price"
3329,variation,GL10-sz05,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,40.95,szNN+size-token,"check price"
3330,variation,GL10-sz06,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,11.40,szNN+size-token,"check price"
3331,variation,GL10-sz07,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,57.00,szNN+size-token,"check price"
3332,variation,GL10-sz08,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,18.24,szNN+size-token,"check price"
3333,variation,GL10-sz09,GL10,"SA GLITTER VINYL COPPER 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3334,variation,GL11-sz01,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,3.54,szNN+size-token,"check price"
3335,variation,GL11-sz02,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,5.73,szNN+size-token,"check price"
3336,variation,GL11-sz03,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,7.98,szNN+size-token,"check price"
3337,variation,GL11-sz04,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,8.19,szNN+size-token,"check price"
3338,variation,GL11-sz05,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,40.95,szNN+size-token,"check price"
3339,variation,GL11-sz06,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,11.40,szNN+size-token,"check price"
3340,variation,GL11-sz07,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,57.00,szNN+size-token,"check price"
3341,variation,GL11-sz08,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,18.24,szNN+size-token,"check price"
3342,variation,GL11-sz09,GL11,"SA GLITTER VINYL BLUE 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3343,variation,GL12-sz01,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,3.54,szNN+size-token,"check price"
3344,variation,GL12-sz02,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,5.73,szNN+size-token,"check price"
3345,variation,GL12-sz03,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,7.98,szNN+size-token,"check price"
3346,variation,GL12-sz04,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,8.19,szNN+size-token,"check price"
3347,variation,GL12-sz05,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,40.95,szNN+size-token,"check price"
3348,variation,GL12-sz06,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,11.40,szNN+size-token,"check price"
3349,variation,GL12-sz07,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,57.00,szNN+size-token,"check price"
3350,variation,GL12-sz08,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,18.24,szNN+size-token,"check price"
3351,variation,GL12-sz09,GL12,"SA GLITTER VINYL GREEN 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3352,variation,GL13-sz01,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,3.54,szNN+size-token,"check price"
3353,variation,GL13-sz02,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,5.73,szNN+size-token,"check price"
3354,variation,GL13-sz03,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,7.98,szNN+size-token,"check price"
3355,variation,GL13-sz04,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,8.19,szNN+size-token,"check price"
3356,variation,GL13-sz05,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,40.95,szNN+size-token,"check price"
3357,variation,GL13-sz06,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,11.40,szNN+size-token,"check price"
3358,variation,GL13-sz07,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,57.00,szNN+size-token,"check price"
3359,variation,GL13-sz08,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,18.24,szNN+size-token,"check price"
3360,variation,GL13-sz09,GL13,"SA GLITTER VINYL MAGENTA 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3361,variation,GL15-sz01,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,3.54,szNN+size-token,"check price"
3362,variation,GL15-sz02,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,5.73,szNN+size-token,"check price"
3363,variation,GL15-sz03,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,7.98,szNN+size-token,"check price"
3364,variation,GL15-sz04,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,8.19,szNN+size-token,"check price"
3365,variation,GL15-sz05,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,40.95,szNN+size-token,"check price"
3366,variation,GL15-sz06,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,11.40,szNN+size-token,"check price"
3367,variation,GL15-sz07,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,57.00,szNN+size-token,"check price"
3368,variation,GL15-sz08,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,18.24,szNN+size-token,"check price"
3369,variation,GL15-sz09,GL15,"SA GLITTER VINYL NAVY BLUE 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3370,variation,GL17-sz01,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,3.54,szNN+size-token,"check price"
3371,variation,GL17-sz02,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,5.73,szNN+size-token,"check price"
3372,variation,GL17-sz03,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,7.98,szNN+size-token,"check price"
3373,variation,GL17-sz04,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,8.19,szNN+size-token,"check price"
3374,variation,GL17-sz05,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,40.95,szNN+size-token,"check price"
3375,variation,GL17-sz06,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,11.40,szNN+size-token,"check price"
3376,variation,GL17-sz07,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,57.00,szNN+size-token,"check price"
3377,variation,GL17-sz08,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,18.24,szNN+size-token,"check price"
3378,variation,GL17-sz09,GL17,"SA GLITTER VINYL BUTTER 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3379,variation,GL18-sz01,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,3.54,szNN+size-token,"check price"
3380,variation,GL18-sz02,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,5.73,szNN+size-token,"check price"
3381,variation,GL18-sz03,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,7.98,szNN+size-token,"check price"
3382,variation,GL18-sz04,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,8.19,szNN+size-token,"check price"
3383,variation,GL18-sz05,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,40.95,szNN+size-token,"check price"
3384,variation,GL18-sz06,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,11.40,szNN+size-token,"check price"
3385,variation,GL18-sz07,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,57.00,szNN+size-token,"check price"
3386,variation,GL18-sz08,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,18.24,szNN+size-token,"check price"
3387,variation,GL18-sz09,GL18,"SA GLITTER VINYL SALMON 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3388,variation,GL5-sz01,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,3.54,szNN+size-token,"check price"
3389,variation,GL5-sz02,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,5.73,szNN+size-token,"check price"
3390,variation,GL5-sz03,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,7.98,szNN+size-token,"check price"
3391,variation,GL5-sz04,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,8.19,szNN+size-token,"check price"
3392,variation,GL5-sz05,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,40.95,szNN+size-token,"check price"
3393,variation,GL5-sz06,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,11.40,szNN+size-token,"check price"
3394,variation,GL5-sz07,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,57.00,szNN+size-token,"check price"
3395,variation,GL5-sz08,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,18.24,szNN+size-token,"check price"
3396,variation,GL5-sz09,GL5,"SA GLITTER VINYL GOLD 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3397,variation,GL6-sz01,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,3.54,szNN+size-token,"check price"
3398,variation,GL6-sz02,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,5.73,szNN+size-token,"check price"
3399,variation,GL6-sz03,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,7.98,szNN+size-token,"check price"
3400,variation,GL6-sz04,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,8.19,szNN+size-token,"check price"
3401,variation,GL6-sz05,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,40.95,szNN+size-token,"check price"
3402,variation,GL6-sz06,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,11.40,szNN+size-token,"check price"
3403,variation,GL6-sz07,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,57.00,szNN+size-token,"check price"
3404,variation,GL6-sz08,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,18.24,szNN+size-token,"check price"
3405,variation,GL6-sz09,GL6,"SA GLITTER VINYL YELLOW 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3406,variation,GL7-sz01,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,3.54,szNN+size-token,"check price"
3407,variation,GL7-sz02,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,5.73,szNN+size-token,"check price"
3408,variation,GL7-sz03,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,7.98,szNN+size-token,"check price"
3409,variation,GL7-sz04,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,8.19,szNN+size-token,"check price"
3410,variation,GL7-sz05,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,40.95,szNN+size-token,"check price"
3411,variation,GL7-sz06,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,11.40,szNN+size-token,"check price"
3412,variation,GL7-sz07,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,57.00,szNN+size-token,"check price"
3413,variation,GL7-sz08,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,18.24,szNN+size-token,"check price"
3414,variation,GL7-sz09,GL7,"SA GLITTER VINYL SILVER 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3415,variation,GL8-sz01,GL8,"SA GLITTER VINYL RED 1220MM",34.64,3.54,szNN+size-token,"check price"
3416,variation,GL8-sz02,GL8,"SA GLITTER VINYL RED 1220MM",34.64,5.73,szNN+size-token,"check price"
3417,variation,GL8-sz03,GL8,"SA GLITTER VINYL RED 1220MM",34.64,7.98,szNN+size-token,"check price"
3418,variation,GL8-sz04,GL8,"SA GLITTER VINYL RED 1220MM",34.64,8.19,szNN+size-token,"check price"
3419,variation,GL8-sz05,GL8,"SA GLITTER VINYL RED 1220MM",34.64,40.95,szNN+size-token,"check price"
3420,variation,GL8-sz06,GL8,"SA GLITTER VINYL RED 1220MM",34.64,11.40,szNN+size-token,"check price"
3421,variation,GL8-sz07,GL8,"SA GLITTER VINYL RED 1220MM",34.64,57.00,szNN+size-token,"check price"
3422,variation,GL8-sz08,GL8,"SA GLITTER VINYL RED 1220MM",34.64,18.24,szNN+size-token,"check price"
3423,variation,GL8-sz09,GL8,"SA GLITTER VINYL RED 1220MM",34.64,91.20,szNN+size-token,"restructure candidate (~3m roll)"
3424,variation,GL9-sz01,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,3.54,szNN+size-token,"check price"
3425,variation,GL9-sz02,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,5.73,szNN+size-token,"check price"
3426,variation,GL9-sz03,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,7.98,szNN+size-token,"check price"
3427,variation,GL9-sz04,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,8.19,szNN+size-token,"check price"
3428,variation,GL9-sz05,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,40.95,szNN+size-token,"check price"
3429,variation,GL9-sz06,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,11.40,szNN+size-token,"check price"
3430,variation,GL9-sz07,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,57.00,szNN+size-token,"check price"
3431,variation,GL9-sz08,GL9,"SA GLITTER VINYL BLACK 1220MM",34.64,18.24,szNN+size-token,"check price"
