"id","abb","taxrate","taxship","usecon","usedel","country","sortorder","region"
"North Lanarkshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"North Yorkshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Northamptonshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Northumberland","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Northwest Territories","NW","0.000","0","1","1","Canada","200","OTHER"
"Not Applicable","XX","0.000","0","1","1","","999","OTHER"
"Nottinghamshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Nova Scotia","NS","0.000","0","1","1","Canada","200","OTHER"
"Nunavut","NU","0.000","0","1","1","Canada","200","OTHER"
"Ohio","OH","5.000","0","1","1","United States","100","OTHER"
"Oklahoma","OK","4.500","0","1","1","United States","100","OTHER"
"Ontario","ON","0.000","0","1","1","Canada","200","OTHER"
"Oregon","OR","0.000","0","1","1","United States","100","OTHER"
"Orkney Islands","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Oxfordshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Peeblesshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Pembrokeshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Pennsylvania","PA","6.000","0","1","1","United States","100","OTHER"
"Perth and Kinross","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Perthshire","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Powys","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Prince Edward Island","PE","0.000","0","1","1","Canada","200","OTHER"
"Quebec","QC","0.000","0","1","1","Canada","200","OTHER"
"Renfrewshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Rhode Island","RI","7.000","0","1","1","United States","100","OTHER"
"Rhondda Cynon Taff","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Ross-shire","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Roxburghshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Saskatchewan","SK","0.000","0","1","1","Canada","200","OTHER"
"Scottish Borders","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Selkirkshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Shetland","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Shetland Islands","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Shropshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Somerset","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"South Ayrshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"South Carolina","SC","5.000","0","1","1","United States","100","OTHER"
"South Dakota","SD","4.000","0","1","1","United States","100","OTHER"
"South Glamorgan","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"South Lanarkshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"South Yorkshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Staffordshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Stirlingshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Suffolk","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Surrey","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Sutherland","XX","0.000","0","1","1","UK - Highlands & Islands Scotland","400","UK"
"Swansea","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Tennessee","TN","6.000","0","1","1","United States","100","OTHER"
"Texas","TX","6.250","6.25","1","1","United States","100","OTHER"
"Tyne and Wear","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Utah","UT","4.750","0","1","1","United States","100","OTHER"
"Vale of Glamorgan","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Vermont","VT","5.000","0","1","1","United States","100","OTHER"
"Virginia","VA","3.500","0","1","1","United States","100","OTHER"
"Warwickshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Washington","WA","6.500","0","0","0","United States","100","OTHER"
"West Dunbartonshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"West Glamorgan","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"West Lothian","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"West Midlands","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"West Sussex","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"West Virginia","WV","6.000","0","1","1","United States","100","OTHER"
"West Yorkshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Wigtownshire","XX","0.000","0","1","1","UK - Scotland Mainland","400","UK"
"Wiltshire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Wisconsin","WI","5.000","0","1","1","United States","100","OTHER"
"Worcestershire","XX","0.000","0","1","1","UK - England & Wales","400","UK"
"Wyoming","WY","4.000","0","1","1","United States","100","OTHER"
"Yukon Territory","YT","0.000","0","1","1","Canada","200","OTHER"
