"id","name","catimg","description","bannergroup","sortorder","xmultisite","multisitedesconelimit","multisitedescone","multisitedesctwolimit","multisitedesctwo","xmanus","subdisp","cathighlights","videourl","catview","catviewg","metadesc","nofilter","seourl","seoexact","keywords","metatitle","freeitemlevel1","freeitemid1","freeitemlevel2","freeitemid2","descshort","multisitedescshortone","multisitedescshorttwo"
"Olfa","Olfa","OLFA_Logo.png","<p>Here at Dorotape, we offer a wide selection of genuine high quality Olfa snap off knives and replacement blades as well as other tools and accessories.</p>
<p>The best cutting tools deliver the best results and OLFA have been making cutters and blades in Japan for over fifty years. Since it's invention of the snap-off blade in 1956, Olfa have maintained  a reputation for innovation, quality and performance.</p>
<p>Browse or search all Olfa products here or visit the <a href=""https://www.olfauk.com/"" target=""_blank""><font color=""#ef088c"">Olfa website</font></a> for more information about Olfa and their wide range of tools.</p>


","","140","DEFAULT","","","","","","DEFAULT","","","A","","Here at Dorotape, we offer a wide selection of genuine high quality Olfa snap off knives and replacement blades as well as other tools and accessories.","1","Olfa-Cutters","0","Olfa, knive, knife, cutter, tool","Olfa","0.00","","0.00","","Here at Dorotape, we offer a wide selection of genuine high quality Olfa snap off knives and replacement blades as well as other tools and accessories.","",""
"Orafol","Orafol","Orafol.png","<p>Dorotape stock and distribute the market leading digital print media and retroreflective materials from top German manufacturer Orafol.</p>
<p>The ORAFOL brand is known and trusted in the industry for their consistent high quality, backed up by years of industry experience and and excellence in meeting market requirements.<p>
<p>Customers in more than 100 countries on all continents trust ORAFOL.</p>
<p>Browse or search all Orafol products here or visit the <a href=""https://www.orafol.com/en/europe/"" target=""_blank""><font color=""#ef088c"">Orafol website</font></a> for more information about Orafol and their wide range of products.</p>
","","60","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape stock and distribute the market leading digital print media and retroreflective materials from top German manufacturer Orafol.","1","Orafol","0","orafol, oracal, orajet, oralite","Orafol","0.00","","0.00","","Dorotape stock and distribute the market leading digital print media and retroreflective materials from top German manufacturer Orafol.","",""
"Perspex","Perspex","Perspex_Logo.png","<p>Perspex are synonymous with supplying acrylic, foamed pvc and aluminium composite panels and here at Dorotape, we have selected some key products to distribute.</p>
<p>Browse or search all stocked products from Perspex here or visit the <a href=""https://www.perspex.co.uk/"" target=""_blank""><font color=""#ef088c"">Perspex website</font></a> for more information about Perspex and their range of products.</p>","","200","DEFAULT","","","","","","DEFAULT","","","A","","Perspex are synonymous with supplying acrylic, foamed pvc and aluminium composite panels and here at Dorotape, we have selected some key products to distribute.","1","Perspex","0","Perspex","Perspex","0.00","","0.00","","Perspex are synonymous with supplying acrylic, foamed pvc and aluminium composite panels and here at Dorotape, we have selected some key products to distribute.","",""
"Poli-Tape","Poli-Tape","PT_Group-Logo.png","<p>Dorotape are proud to be a key UK distributor for Poli-Tape large format digital media and laminates as well as their excellent range of Poli-Flex garment decoration films.</p>
<p>Poli-Tape are a market leading innovative manufacturer of high-quality products, employing nearly 400 people and supplying materials to over 90 countries worldwide.</p>
<p>With manufacturing facilities at various locations in Germany, as well as in France and Italy, Poli-Tape have the capabilities to coat different adhesives including water based, solvent based and hot-melt.</p>
<p>As well as viewing our vast range of Poli-Tape products here, you can also visit the <a href=""https://www.poli-tape.de/1/home/"" target=""_blank""><font color=""#ef088c"">Poli-Tape website</font></a> for more information about Poli-Tape and their wide range of products.</p>","","20","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape are proud to be a key UK distributor for Poli-Tape large format digital media and laminates as well as their excellent range of Poli-Flex garment decoration films.","1","Poli-Tape","0","Poli Print, Poli Flex, politape, poli tape, poli-tape","Poli-Tape","0.00","","0.00","","Dorotape are proud to be a key UK distributor for Poli-Tape large format digital media and laminates as well as their excellent range of Poli-Flex garment decoration films.","",""
"R-Tape","R-Tape","Rtape A Nekoosa Brand_hzt.png","<p>Dorotape have been stocking a wide range of R-Tape products for many years with market leading Conform@reg; application tapes and the Efx range of metallised films leading the way.</p>
<p>Since 1980, R-Tape have been recognized as the world's leading manufacturer of application tape and premasks for the sign, screen printing and digital printing marketplaces.</p>
<p>Now part of the Nekoosa brand, they manufacture at six locations throughout the United States as well as their partner site in Belgium.</p>
<p><p>Browse or search all R-tape products here or visit the <a href=""https://nekoosa.com"" target=""_blank""><font color=""#ef088c"">Nekoosa website</font></a> for more information about Nekoosa and their wide range of products.</p>","","40","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape have been stocking a wide range of R-Tape products for many years with market leading Conform application tapes and the Efx range of metallised films leading the way.","1","R-Tape","0","r-tape, r tape, rtape, efx, conform, nekoosa","R-Tape","0.00","","0.00","","Dorotape have been stocking a wide range of R-Tape products for many years with market leading Conform application tapes and the Efx range of metallised films leading the way.","",""
"Reflexite","Reflexite","Reflexite_Logo.png","<p>Now part of Orafol Reflective Solutions, these retroreflective self-adhesive vinyl and tapes have long been a preffered choice by leading fleets throughout Europe.</p>
<p>Browse or search all Orafol products here or visit the <a href=""https://www.orafol.com/en/europe/products/category/reflective-solutions-traffic-sign-materials-traffic-sign-films"" target=""_blank""><font color=""#ef088c"">Orafol website</font></a> for more information about Orafol and their wide range of materials.</p>","","150","DEFAULT","","","","","","DEFAULT","","","A","","Now part of Orafol Reflective Solutions, these retroreflective self-adhesive vinyl and tapes have long been a preffered choice by leading fleets throughout Europe.","1","Reflexite","0","Oracal, Reflexite, reflective, fluorescent","Reflexite","0.00","","0.00","","Now part of Orafol Reflective Solutions, these retroreflective self-adhesive vinyl and tapes have long been a preffered choice by leading fleets throughout Europe.","",""
"Ritrama","Ritrama | Fedrigoni","Ritrama.png","<p>Dorotape have a long standing association with Ritrama and are proud to be a distributor of the majority of their signage, display and large format digital print materials.</p>
<p>Originally founded in 1962 near Milan, Ritrama were a family owned manufacturer of self-adhesive films who quickly established a significant market in Europe, UK and worldwide.</p>
<p>Now as part of the Fedrigoni group, and with coating facilities all over the world, they are widely considered to be a market leader in the design and manufacture of self-adhesive materials.</p>
<p>Browse or search the Fedrigoni | Ritrama products here or visit the <a href=""https://selfadhesives.fedrigoni.com/"" target=""_blank""><font color=""#ef088c"">Fedrigoni website</font></a> for more information  about their wide range of products.</p>","","30","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape have a long standing association with Ritrama and are proud to be a distributor of the majority of their signage, display and large format digital print materials.","1","Ritrama","0","ritrama, ri-mark, ri mark, ri-jet, ri jet, ri-jet 100, fedrigoni","Ritrama","0.00","","0.00","","Dorotape have a long standing association with Ritrama and are proud to be a distributor of the majority of their signage, display and large format digital print materials.","",""
"Roland","Roland DG","Roland_Logo.png","<p>Dorotape distribute the Roland range of high quality Eco-Solvent printer inks.</p>
<p>Browse or search all stocked Roland here or visit the <a href=""https://www.rolanddg.eu/en-gb/"" target=""_blank""><font color=""#ef088c"">Roland website</font></a> for more information about Roland and their wide range of printers and cutters.</p>","","170","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape distribute the Roland range of high quality Eco-Solvent printer inks.","1","Roland-DG-UK","0","roland, bn20, bn-20, versa, versacamm, camm 1, gs24, eco sol, max","Roland","0.00","","0.00","","Dorotape distribute the Roland range of high quality Eco-Solvent printer inks.","",""
"Sihl","Sihl","Sihl_Logo.png","<p>Dorotape have a wide range ot top qulaity papers and films available from specialist Swiss coater Sihl.</p>
<p>Sihl products are always recognised as being of the highest quality and it is their technological expertise and social responsibility make them a global leader in their field.</p>
<p>Employing over 400 staff, they supply a wide variety of industries in almost every country in the world.</p>
<p>Browse or search all Sihl products here or visit the <a href=""https://sihl.com/en/"" target=""_blank""><font color=""#ef088c"">Sihl website</font></a> for more information about Sihl and their wide range of products.</p>
","","135","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape have a wide range ot top qulaity papers and films available from specialist German coater Sihl .","1","Sihl","0","Sihl","Sihl","0.00","","0.00","","Intercoat digital print and screenprint films are in stock at Dorotape.","",""
"SOTT","SOTT","SOTT_Logo.png","<p>For over 20 years SOTT has been delivering an extensive range of professional signmaking tools and accessories.</p>
<p>Through their distributor network, Dorotape are proud to offer the most popular tools for cutting, weeding and applying self-adhesive films.</p>
<p>Browse or search all SOTT products here or visit the <a href=""https://www.sott-products.com/en/"" target=""_blank""><font color=""#ef088c"">SOTT website</font></a> for more information about SOTT and their wide range of products.</p>

","","80","DEFAULT","","","","","","DEFAULT","","","A","","Through their distributor network, Dorotape are proud to offer the most popular tools for cutting, weeding and applying self-adhesive films.","1","SOTT","0","SOTT, sign of the times","SOTT","0.00","","0.00","","Through their distributor network, Dorotape are proud to offer the most popular tools for cutting, weeding and applying self-adhesive films.","",""
"Stahls","Stahls","STAHLS_Logo.png","<p>Through their network of distributors, Dorotape are dealers for Stahls' heat presses and accessories.</p>
<p>Stahls heatpresses are designed and engineered by experts who understand heat transfer printing and are always working to meet the changing needs of heat printing professionals.</p>
<p>Browse or search all Stahls products here or visit the <a href=""https://www.stahls.com/home"" target=""_blank""><font color=""#ef088c"">Stahls website</font></a> for more information about Stahls and their wide range of heatpresses.</p>","","110","DEFAULT","","","","","","DEFAULT","","","A","","Through their network of distributors, Dorotape are dealers for Stahls' heat presses and accessories","1","Stahls","0","Heatpress, heat press, stahls, hotronix","Stahls","0.00","","0.00","","Through their network of distributors, Dorotape are dealers for Stahls' heat presses and accessories","",""
"Swann-Morton","Swann Morton","SwannMorton_Logo.png","<p>Founded in Sheffield in the 1930's, Swann-Morton have become a world leader in the manufacture of surgical blades, scalpels and handles.</p>
<p>It is a name respected globally for quality, precision, consistency and reliability and recognised for combining traditional blade making skills with the latest technology.</p>
<p>Dorotape stock a selection of their top quality British made scalpel range for the signage and graphics industry.</p>
<p>Browse or search all Swann Morton products here or visit the <a href=""https://www.swann-morton.com/"" target=""_blank""><font color=""#ef088c"">Swann Morton website</font></a> for more information about Swann Morton and their wide range of products.</p>","","120","DEFAULT","","","","","","DEFAULT","","","A","","Dorotape stock a selection of their top quality British made scalpel range for the signage and graphics industry.","1","Swann-Morton","0","scalpel, scalple, blade, knife, knive, handle, surgical, swan morton, swann morton","Swann-Morton","0.00","","0.00","","Dorotape stock a selection of their top quality British made scalpel range for the signage and graphics industry.","",""
"Vivid","Vivid","Vivid_Logo.png","<p>Vivid's range of laminates are recognised as an affordable option without loss of quality and Dorotape have these materials on the shelf and ready to go.</p>","","160","DEFAULT","","","","","","DEFAULT","","","A","","","1","Vivid","0","Vivid's range of laminates are recognised as an affordable option without loss of quality and Dorotape have these materials on the shelf and ready to go.","Vivid","0.00","","0.00","","Vivid's range of laminates are recognised as an affordable option without loss of quality and Dorotape have these materials on the shelf and ready to go.","",""
