"id","form","app","section","name","description","required","type","typeparam","defaultvalue","maxlength","fieldorder","custominclude"
"core.createaccount.phone","core.createaccount","core","Contact Information","Telephone Number","","1","TEXTBOX-REG","","{SESSION:phone}","150","10",""
"core.createaccount.postalcode","core.createaccount","core","Billing Address","Post Code","","1","TEXTBOX-REG","","{SESSION:postalcode}","20","17",""
"core.createaccount.rescom","core.createaccount","core","Billing Address","Residential/Commercial","","1","SELECT-TABLE","SELECT {COLS} FROM core_rescom","{SESSION:rescom}","0","18",""
"core.createaccount.stateprov","core.createaccount","core","Billing Address","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","1","TEXTBOX-REG","","{SESSION:stateprov}","0","15","core:formfield_stateprov.php"
"core.createaccount.termsandconditions","core.createaccount","core","Terms and Conditions","Terms and Conditions Agreement","<p>When you agree to the Terms and Conditions, you consent to our use of your personal information to provide you services and products as requested. To see how to control your personal data, please see our Privacy Policy.</p>","1","CHECKBOX-CUSTOM","core.termsandconditions","","0","850",""
"core.createaccount.usernamenew1","core.createaccount","core","Login Information","Username","","1","TEXTBOX-REG","","","150","3",""
"core.createaccount.usernamenew2","core.createaccount","core","Login Information","Username (Confirm Entry)","","1","TEXTBOX-REG","","","150","4",""
"core.createaccount.verify","core.createaccount","core","Image Verification","Image Verification","","1","CAPTCHA","","","150","900",""
"core.createaccountauth.addone","core.createaccountauth","core","Hidden","Address: Line 1","","1","HIDDEN-REG","","{SESSION:addone}","150","12",""
"core.createaccountauth.addtwo","core.createaccountauth","core","Hidden","Address: Line 2","","0","HIDDEN-REG","","{SESSION:addtwo}","150","13",""
"core.createaccountauth.authcode","core.createaccountauth","core","Authorization Code","Authorization Code","","1","TEXTBOX-REG","","","0","99",""
"core.createaccountauth.city","core.createaccountauth","core","Hidden","City","","1","HIDDEN-REG","","{SESSION:city}","150","14",""
"core.createaccountauth.company","core.createaccountauth","core","Hidden","Company Name","","0","HIDDEN-REG","","{SESSION:company}","150","9",""
"core.createaccountauth.country","core.createaccountauth","core","Hidden","Country","","1","HIDDEN-REG","","{SESSION:country}","0","16",""
"core.createaccountauth.emaillist","core.createaccountauth","core","Hidden","Email List","","0","HIDDEN-REG","","","0","800",""
"core.createaccountauth.emailnew1","core.createaccountauth","core","Hidden","Email Address","","1","HIDDEN-REG","","{SESSION:email}","150","1",""
"core.createaccountauth.emailnew2","core.createaccountauth","core","Hidden","Email Address (Confirm Entry)","","1","HIDDEN-REG","","{SESSION:email}","150","2",""
"core.createaccountauth.fname","core.createaccountauth","core","Hidden","First Name","","1","HIDDEN-REG","","{SESSION:fname}","150","7",""
"core.createaccountauth.lname","core.createaccountauth","core","Hidden","Last Name","","1","HIDDEN-REG","","{SESSION:lname}","150","8",""
"core.createaccountauth.passnew1","core.createaccountauth","core","Hidden","Password","","1","HIDDEN-REG","","","150","5",""
"core.createaccountauth.passnew2","core.createaccountauth","core","Hidden","Password (Confirm Entry)","","1","HIDDEN-REG","","","150","6",""
"core.createaccountauth.phone","core.createaccountauth","core","Hidden","Telephone Number","","1","HIDDEN-REG","","{SESSION:phone}","150","10",""
"core.createaccountauth.postalcode","core.createaccountauth","core","Hidden","Post Code","","1","HIDDEN-REG","","{SESSION:postalcode}","20","17",""
"core.createaccountauth.rescom","core.createaccountauth","core","Hidden","Residential/Commercial","","1","HIDDEN-REG","","{SESSION:rescom}","0","18",""
"core.createaccountauth.stateprov","core.createaccountauth","core","Hidden","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","1","HIDDEN-REG","","{SESSION:stateprov}","0","15",""
"core.createaccountauth.termsandconditions","core.createaccountauth","core","Hidden","Terms and Conditions Agreement","","0","HIDDEN-REG","","","0","850",""
"core.createaccountauth.usernamenew1","core.createaccountauth","core","Hidden","Username","","1","HIDDEN-REG","","","150","3",""
"core.createaccountauth.usernamenew2","core.createaccountauth","core","Hidden","Username (Confirm Entry)","","1","HIDDEN-REG","","","150","4",""
"core.createaccountauth.verify","core.createaccountauth","core","Image Verification","Image Verification","","1","HIDDEN-REG","","","0","900",""
"core.createaccountship.addone","core.createaccountship","core","Billing Address","Address: Line 1","","1","TEXTBOX-REG","","{SESSION:addone}","150","240",""
"core.createaccountship.addtwo","core.createaccountship","core","Billing Address","Address: Line 2","","0","TEXTBOX-REG","","{SESSION:addtwo}","150","250",""
"core.createaccountship.billshipadd","core.createaccountship","core","Delivery Address Selection","Billing or Delivery Address","","1","SELECT-CUSTOM","core.billshipadd","BILL","0","400",""
"core.createaccountship.city","core.createaccountship","core","Billing Address","City","","1","TEXTBOX-REG","","{SESSION:city}","150","260",""
"core.createaccountship.company","core.createaccountship","core","Billing Contact Information","Company Name","","0","TEXTBOX-REG","","{SESSION:company}","150","220",""
"core.createaccountship.country","core.createaccountship","core","Billing Address","Country","","1","TEXTBOX-REG","","{SESSION:country}","0","280","core:formfield_country.php"
"core.createaccountship.emaillist","core.createaccountship","core","Stay Connected","Email List","","0","CHECKBOX-CUSTOM","core.emaillist","","0","800",""
"core.createaccountship.emailnew1","core.createaccountship","core","Login Information","Email Address","","1","TEXTBOX-REG","","{SESSION:email}","150","100",""
"core.createaccountship.emailnew2","core.createaccountship","core","Login Information","Email Address (Confirm Entry)","","1","TEXTBOX-REG","","{SESSION:email}","150","110",""
"core.createaccountship.fname","core.createaccountship","core","Billing Contact Information","First Name","","1","TEXTBOX-REG","","{SESSION:fname}","150","200",""
"core.createaccountship.lname","core.createaccountship","core","Billing Contact Information","Last Name","","1","TEXTBOX-REG","","{SESSION:lname}","150","210",""
"core.createaccountship.passnew1","core.createaccountship","core","Login Information","Password","","1","TEXTBOX-PASS","","","150","140",""
"core.createaccountship.passnew2","core.createaccountship","core","Login Information","Password (Confirm Entry)","","1","TEXTBOX-PASS","","","150","150",""
"core.createaccountship.phone","core.createaccountship","core","Billing Contact Information","Telephone Number","","1","TEXTBOX-REG","","{SESSION:phone}","150","230",""
"core.createaccountship.postalcode","core.createaccountship","core","Billing Address","Post Code","","1","TEXTBOX-REG","","{SESSION:postalcode}","20","290",""
"core.createaccountship.rescom","core.createaccountship","core","Billing Address","Residential/Commercial","","1","SELECT-TABLE","SELECT {COLS} FROM core_rescom","{SESSION:rescom}","0","300",""
"core.createaccountship.shipaddone","core.createaccountship","core","Delivery Address","Address: Line 1","","0","TEXTBOX-REG","","","150","530",""
"core.createaccountship.shipaddtwo","core.createaccountship","core","Delivery Address","Address: Line 2","","0","TEXTBOX-REG","","","150","540",""
"core.createaccountship.shipcity","core.createaccountship","core","Delivery Address","City","","0","TEXTBOX-REG","","","150","550",""
"core.createaccountship.shipcompany","core.createaccountship","core","Delivery Contact Information","Company Name","","0","TEXTBOX-REG","","","150","520",""
"core.createaccountship.shipcountry","core.createaccountship","core","Delivery Address","Country","","0","TEXTBOX-REG","","","0","570","core:formfield_countryship.php"
"core.createaccountship.shipfname","core.createaccountship","core","Delivery Contact Information","First Name","","0","TEXTBOX-REG","","","150","500",""
"core.createaccountship.shiplname","core.createaccountship","core","Delivery Contact Information","Last Name","","0","TEXTBOX-REG","","","150","510",""
"core.createaccountship.shipphone","core.createaccountship","core","Delivery Contact Information","Telephone Number","","0","TEXTBOX-REG","","","20","525",""
"core.createaccountship.shippostalcode","core.createaccountship","core","Delivery Address","Post Code","","0","TEXTBOX-REG","","","20","580",""
"core.createaccountship.shiprescom","core.createaccountship","core","Delivery Address","Residential/Commercial","","0","SELECT-TABLE","SELECT {COLS} FROM core_rescom","","0","590",""
"core.createaccountship.shipstateprov","core.createaccountship","core","Delivery Address","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","0","TEXTBOX-REG","","","0","560","core:formfield_stateprovship.php"
"core.createaccountship.stateprov","core.createaccountship","core","Billing Address","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","1","TEXTBOX-REG","","{SESSION:stateprov}","0","270","core:formfield_stateprov.php"
"core.createaccountship.termsandconditions","core.createaccountship","core","Terms and Conditions","Terms and Conditions Agreement","<p>When you agree to the Terms and Conditions, you consent to our use of your personal information to provide you services and products as requested. To see how to control your personal data, please see our Privacy Policy.</p>","1","CHECKBOX-CUSTOM","core.termsandconditions","","0","850",""
"core.createaccountship.usernamenew1","core.createaccountship","core","Login Information","Username","","1","TEXTBOX-REG","","","150","120",""
"core.createaccountship.usernamenew2","core.createaccountship","core","Login Information","Username (Confirm Entry)","","1","TEXTBOX-REG","","","150","130",""
"core.createaccountship.verify","core.createaccountship","core","Image Verification","Image Verification","","1","CAPTCHA","","","150","900",""
"core.createaccountshipauth.addone","core.createaccountshipauth","core","Hidden","Address: Line 1","","1","HIDDEN-REG","","{SESSION:addone}","150","240",""
"core.createaccountshipauth.addtwo","core.createaccountshipauth","core","Hidden","Address: Line 2","","0","HIDDEN-REG","","{SESSION:addtwo}","150","250",""
"core.createaccountshipauth.authcode","core.createaccountshipauth","core","Authorization Code","Authorization Code","","1","TEXTBOX-REG","","","0","990",""
"core.createaccountshipauth.billshipadd","core.createaccountshipauth","core","Hidden","Billing or Delivery Address","","1","HIDDEN-REG","","BILL","0","400",""
"core.createaccountshipauth.city","core.createaccountshipauth","core","Hidden","City","","1","HIDDEN-REG","","{SESSION:city}","150","260",""
"core.createaccountshipauth.company","core.createaccountshipauth","core","Hidden","Company Name","","0","HIDDEN-REG","","{SESSION:company}","150","220",""
"core.createaccountshipauth.country","core.createaccountshipauth","core","Hidden","Country","","1","HIDDEN-REG","","{SESSION:country}","0","280",""
"core.createaccountshipauth.emaillist","core.createaccountshipauth","core","Hidden","Email List","","0","HIDDEN-REG","","","0","800",""
"core.createaccountshipauth.emailnew1","core.createaccountshipauth","core","Hidden","Email Address","","1","HIDDEN-REG","","{SESSION:email}","150","100",""
"core.createaccountshipauth.emailnew2","core.createaccountshipauth","core","Hidden","Email Address (Confirm Entry)","","1","HIDDEN-REG","","{SESSION:email}","150","110",""
"core.createaccountshipauth.fname","core.createaccountshipauth","core","Hidden","First Name","","1","HIDDEN-REG","","{SESSION:fname}","150","200",""
"core.createaccountshipauth.lname","core.createaccountshipauth","core","Hidden","Last Name","","1","HIDDEN-REG","","{SESSION:lname}","150","210",""
"core.createaccountshipauth.passnew1","core.createaccountshipauth","core","Hidden","Password","","1","HIDDEN-REG","","","150","140",""
"core.createaccountshipauth.passnew2","core.createaccountshipauth","core","Hidden","Password (Confirm Entry)","","1","HIDDEN-REG","","","150","150",""
"core.createaccountshipauth.phone","core.createaccountshipauth","core","Hidden","Telephone Number","","1","HIDDEN-REG","","{SESSION:phone}","150","230",""
"core.createaccountshipauth.postalcode","core.createaccountshipauth","core","Hidden","Post Code","","1","HIDDEN-REG","","{SESSION:postalcode}","20","290",""
"core.createaccountshipauth.rescom","core.createaccountshipauth","core","Hidden","Residential/Commercial","","1","HIDDEN-REG","","{SESSION:rescom}","0","300",""
"core.createaccountshipauth.shipaddone","core.createaccountshipauth","core","Hidden","Address: Line 1","","0","HIDDEN-REG","","","150","530",""
"core.createaccountshipauth.shipaddtwo","core.createaccountshipauth","core","Hidden","Address: Line 2","","0","HIDDEN-REG","","","150","540",""
"core.createaccountshipauth.shipcity","core.createaccountshipauth","core","Hidden","City","","0","HIDDEN-REG","","","150","550",""
"core.createaccountshipauth.shipcompany","core.createaccountshipauth","core","Hidden","Company Name","","0","HIDDEN-REG","","","150","520",""
"core.createaccountshipauth.shipcountry","core.createaccountshipauth","core","Hidden","Country","","0","HIDDEN-REG","","","0","570",""
"core.createaccountshipauth.shipfname","core.createaccountshipauth","core","Hidden","First Name","","0","HIDDEN-REG","","","150","500",""
"core.createaccountshipauth.shiplname","core.createaccountshipauth","core","Hidden","Last Name","","0","HIDDEN-REG","","","150","510",""
"core.createaccountshipauth.shipphone","core.createaccountshipauth","core","Hidden","Telephone Number","","0","HIDDEN-REG","","","20","525",""
"core.createaccountshipauth.shippostalcode","core.createaccountshipauth","core","Hidden","Post Code","","0","HIDDEN-REG","","","20","580",""
"core.createaccountshipauth.shiprescom","core.createaccountshipauth","core","Hidden","Residential/Commercial","","0","HIDDEN-REG","","","0","590",""
"core.createaccountshipauth.shipstateprov","core.createaccountshipauth","core","Hidden","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","0","HIDDEN-REG","","","0","560",""
"core.createaccountshipauth.stateprov","core.createaccountshipauth","core","Hidden","Region","Select your region.  Select Not Applicable if you reside in a country that does not have counties.","1","HIDDEN-REG","","{SESSION:stateprov}","0","270",""
"core.createaccountshipauth.termsandconditions","core.createaccountshipauth","core","Hidden","Terms and Conditions Agreement","","0","HIDDEN-REG","","","0","850",""
"core.createaccountshipauth.usernamenew1","core.createaccountshipauth","core","Hidden","Username","","1","HIDDEN-REG","","","150","120",""
"core.createaccountshipauth.usernamenew2","core.createaccountshipauth","core","Hidden","Username (Confirm Entry)","","1","HIDDEN-REG","","","150","130",""
"core.createaccountshipauth.verify","core.createaccountshipauth","core","Image Verification","Image Verification","","1","HIDDEN-REG","","","0","900",""
"core.dbsearch.searchcol","core.dbsearch","core","Search Criteria","Search Field","Select the field you wish to search. Fields that cannot be searched have been removed from this listing.","1","TEXTBOX-REG","","","0","1",""
"core.dbsearch.searchcount","core.dbsearch","core","Search Criteria","Number of Results Per Page","Choose the number of results to display per page.","1","SELECT-CUSTOM","core.dbcountpp","50","0","5",""
"core.dbsearch.searchdisp","core.dbsearch","core","Search Criteria","Fields to Display","Select the fields you wish to display in your result set.","1","TEXTBOX-REG","","","0","6",""
"core.dbsearch.searchob","core.dbsearch","core","Search Criteria","Search Order","Choose the field to order results by. Choose ASC for ascending results or DESC for decending results. Fields that cannot be searched have been removed from this listing.","1","TEXTBOX-REG","","","0","4",""
"core.dbsearch.searchop","core.dbsearch","core","Search Criteria","Search Operator","Choose what type of search operator to use.","1","SELECT-CUSTOM","core.dbops","LIKE","0","2",""
"core.dbsearch.searchstr","core.dbsearch","core","Search Criteria","Search String","Enter the value you wish to use for your search. Entering nothing here will return all items. This value is case-sensitive on most systems.","0","TEXTBOX-REG","","","0","3",""
"core.emaillistsub.email","core.emaillistsub","core","Stay Connected","Email Address","","1","TEXTBOX-REG","","{SESSION:email}","150","3",""
"core.emaillistsub.fname","core.emaillistsub","core","Stay Connected","First Name","","1","TEXTBOX-REG","","{SESSION:fname}","250","1",""
"core.emaillistsub.lname","core.emaillistsub","core","Stay Connected","Last Name","","1","TEXTBOX-REG","","{SESSION:lname}","250","2",""
"core.emaillistsub.subaction","core.emaillistsub","core","Hidden","Action","","0","HIDDEN-REG","","SUBSCRIBE","0","4",""
"core.emaillistunsub.email","core.emaillistunsub","core","Unsubscribe","Email Address","","1","TEXTBOX-REG","","{SESSION:email}","150","1",""
"core.emaillistunsub.subaction","core.emaillistunsub","core","Hidden","Action","","0","HIDDEN-REG","","UNSUBSCRIBE","0","2",""
"core.login.password","core.login","core","Login Information","Password","","1","TEXTBOX-PASS","","","150","2",""
