"tid","towner","tname","tdrop","tinsert","tupdate","tdelete","tdisplay","torderby","tprimkey","tautoinc","tdescription","thasapp"
"core_messages","SYSTEM","Messages","0","0","1","0","app, stringmsg","app ASC, stringmsg ASC","id","0","This table holds messages.","1"
"core_modules","SYSTEM","Modules","0","0","0","0","name","name ASC","id","0","This table holds information on installed modules.","1"
"core_multisite","SYSTEM","MultiSites","0","1","1","1","name","id ASC","id","0","This table holds information on multisites.","0"
"core_namespaces","SYSTEM","Namespaces","0","0","1","0","app, name","app ASC, name ASC","id","0","This table holds information on namespaces.  Namespaces provide a database-driven controller for page and function execution.","1"
"core_redirects","SYSTEM","Redirects","0","0","0","1","reqtarget, reqref","createdate DESC, reqtarget ASC, reqref ASC","id","0","This table holds redirects for items which have been removed.","1"
"core_reportsadv","SYSTEM","Advanced Reports","0","0","0","0","app, name","app ASC, name ASC","id","0","This table holds advanced reports.","1"
"core_rescom","SYSTEM","Residential/Commercial Status","0","0","0","0","name","id ASC","id","0","This table holds residential/commercial indicators.","0"
"core_selectcustom","SYSTEM","Custom Selections","0","0","0","0","app, selectname","app ASC, selectname ASC","id","0","This table holds selection information for management interface field displays.","1"
"core_sessions","SYSTEM","Sessions","0","0","0","0","id","id ASC","id","0","This table holds serialized session information and login status for users.","0"
"core_settings","SYSTEM","Settings","0","0","0","0","app, name","app ASC, name ASC","id","0","This table holds setting information for the software.","1"
"core_shipzone","SYSTEM","Zone Based Shipping Zones","0","0","1","0","name","name ASC","id","0","This table holds zone based shipping zones.","0"
"core_skinwidgets","SYSTEM","Skin Widgets","0","1","1","1","app, name","status DESC, widgetgroup ASC, sortorder ASC","id","0","This table holds information on skin widgets used in display skins.","1"
"core_stateprov","SYSTEM","States/Provinces","0","1","1","1","id","sortorder ASC, id ASC","id","0","This table holds state/province information.","0"
"core_statsfe","SYSTEM","FrontEnd Interface Statistics","0","0","0","0","name","hitcount DESC","id","0","This table holds statistical information for frontend interface items.","0"
"core_tabledefs","SYSTEM","Table Definitions","0","0","0","0","tid","tid ASC","tid","0","This table holds information on database tables to aid in management interface displays.","0"
"core_users","SYSTEM","User Accounts","0","1","1","1","id,usergroup,lname","id ASC","id","0","This table holds user accounts.","0"
"core_users_token","kryptsupport-ldy4ka7a@kryptronic.com","core_users_token","1","1","1","1","id","id ASC","id","0","core_users_token TEST SAGE PAY","0"
"ecom_acctsysclasses","SYSTEM","Class Mappings","0","0","1","0","id","id ASC","id","0","This table holds a mapping of order/credit types to classes.","0"
"ecom_acctsysdata","SYSTEM","Accounting System Data","0","0","0","0","acctsysid, name","acctsysid ASC, name ASC","id","0","This table holds accounting system data for various accounting systems integrated with the software.","1"
"ecom_acctsysitems","SYSTEM","Accounting Items","0","0","1","0","itemname","id ASC","id","0","This table holds items which are used by accounting systems.","0"
"ecom_acctsyslog","SYSTEM","Payments","0","0","1","0","acctsysid,description","createdate DESC","id","0","This table holds accounting system log entries for integrated accounting systems to aid in issue resolution.","0"
"ecom_acctsysmap","SYSTEM","Account Mappings","0","1","1","0","dispname","id ASC","id","0","This table holds a mapping of system referenced accounts to accounting system account names.","0"
"ecom_acctsyspay","SYSTEM","Payment Method Mappings","0","0","1","0","dispname","id ASC","id","0","This table holds a mapping of payment methods to accounting system payment methods.","0"
"ecom_acctsysqueue","SYSTEM","Accounting System Queue","0","0","0","0","acctsysid, action, xid","acctsysid ASC, sortorder ASC","id","0","This table holds the accounting system queue for accounting systems integrated with this software.","1"
"ecom_acctsysship","SYSTEM","Shipping Method Mappings","0","1","1","0","id","id ASC","id","0","This table contains mappings for order delivery methods to accounting system shipping methods.","0"
"ecom_acctsysterms","SYSTEM","Payment Terms Options","0","1","1","1","id","id ASC","id","0","This table holds a listing of payment terms options.","0"
"ecom_amazonprod","SYSTEM","Amazon Offers","0","1","1","1","id, name","status DESC, datetimestamp DESC, id ASC","id","0","This table holds offers for the Amazon channel.","0"
"ecom_cart","SYSTEM","Shopping Cart","0","0","0","0","id","id ASC","id","0","This table holds shopping carts for the online store.","0"
"ecom_cat","SYSTEM","Categories","0","1","1","1","id, name","id ASC","id","0","This table holds categories for the online store.","0"
"ecom_channels","SYSTEM","Channels","0","0","1","1","name","id ASC","id","0","This table holds channel information.","0"
"ecom_cofields","SYSTEM","Checkout Form Fields","0","0","1","0","name","fieldorder ASC","id","0","This table holds information on form fields for use in the online store checkout.","0"
"ecom_credititems","SYSTEM","Credit Items","0","0","0","0","id","id ASC","id","0","This table holds credit items.","0"
"ecom_credits","SYSTEM","Credits","0","0","0","0","id","id ASC","id","0","This table holds online store credits for returned items.","0"
"ecom_discounts","SYSTEM","Discount Codes","0","1","1","1","id","id ASC","id","0","This table holds online store discount codes.","0"
"ecom_ebayprod","SYSTEM","eBay Offers","0","1","1","1","id, name","status DESC, datetimestamp DESC, id ASC","id","0","This table holds offers for the eBay channel.","0"
"ecom_gateway","SYSTEM","Payment Gateways","0","1","1","0","name","active DESC, disporder ASC, name ASC","id","0","This table holds payment gateways.","0"
"ecom_giftcerts","SYSTEM","Gift Certificates","0","1","1","1","id","id ASC","id","0","This table holds online store gift certificates.","0"
"ecom_inventory","SYSTEM","Inventory Items","0","1","1","1","id, name","id ASC","id","0","This table holds inventory items which can be sold in the store and on channels.","0"
"ecom_manus","SYSTEM","Manufacturers","0","1","1","1","id, name","sortorder ASC","id","0","This table holds manufacturers for product offers and inventory items.","0"
"ecom_orderitems","SYSTEM","Order Items","0","0","1","0","id","epochorder DESC","id","0","This table holds online store order items.","0"
"ecom_orderitemsarchive","SYSTEM","Order Items Archive","0","0","1","0","id","epochorder DESC","id","0","This table holds archived online store order items.","0"
"ecom_orders","SYSTEM","Orders","0","0","1","0","id","epochorder DESC","id","0","This table holds store orders.","0"
"ecom_ordersarchive","SYSTEM","Orders Archive","0","0","1","0","id","epochorder DESC","id","0","This table holds archived store orders.","0"
"ecom_orders_sage_pay","kryptsupport-ldy4ka7a@kryptronic.com","ecom_orders_sage_pay","1","1","1","1","id","id ASC","id","0","SAGE PAY INFORMATION IN ORDERS","0"
"ecom_payments","SYSTEM","Payments","0","0","0","0","id","id ASC","id","0","This table holds online store payments for orders and credits.","0"
"ecom_paymentsarchive","SYSTEM","Payments Archive","0","0","0","0","id","id ASC","id","0","This table holds archived online store payments for orders.","0"
"ecom_pricemap","SYSTEM","Price Map","0","0","1","0","id","id ASC, sortorder ASC","id","0","This table holds a pricing map for the online store and channels.","0"
"ecom_prod","SYSTEM","Products","0","1","1","1","id, name","id ASC","id","0","This table holds products for the online store.","0"
"ecom_prodfilter","SYSTEM","Product Filter","0","1","1","1","id, filterslot, filtername","sortorder ASC","id","0","This table holds product filters for the online store.","0"
"ecom_prodoptions","SYSTEM","Options","0","1","1","1","id, name","id ASC","id","0","This table holds Options.","0"
"ecom_purchorditemsrec","SYSTEM","Purchase Order Items - Received","0","0","0","0","id","xinvid ASC","id","0","This table holds received purchase order items.","0"
"ecom_purchorditemsreq","SYSTEM","Purchase Order Items - Requested","0","0","0","0","id","xinvid ASC","id","0","This table holds requested purchase order items.","0"
"ecom_purchords","SYSTEM","Purchase Orders","0","0","0","0","id","epochpurchord DESC","id","0","This table holds purchase orders for inventory purchases from vendors.","0"
"ecom_reviews","SYSTEM","Reviews","0","1","1","1","id","epochreview DESC","id","0","This table holds reviews for online store items.","0"
"ecom_salecust","SYSTEM","Custom Sale Methods","0","1","1","1","name","name ASC","id","0","This table holds custom sale methods.","0"
"ecom_shipcust","SYSTEM","Custom Shipping Methods","0","1","1","1","name","name ASC","id","0","This table holds custom shipping methods.","0"
"ecom_shiprealtime","SYSTEM","Realtime Shipping Carriers","0","0","1","0","name","id ASC","id","0","This table holds information on realtime shipping carriers.","0"
"ecom_shiprealtimep","SYSTEM","Realtime Shipping Services","0","0","1","0","name","shipper ASC, name ASC","id","0","This table holds information on realtime shipping carrier services.","0"
"ecom_shipzoneprod","SYSTEM","Zone Based Shipping Products","0","0","1","0","zone, product","zone ASC, product ASC, id ASC","id","0","This table holds zone based shipping products.","0"
"ecom_shipzonerate","SYSTEM","Zone Based Shipping Product Rates","0","0","1","0","zone, product","zone ASC, product ASC, id ASC","id","0","This table holds rates zone based shipping products.","0"
"ecom_storemenu","SYSTEM","Store Menu","0","0","1","0","id","menuorder ASC","id","0","This table stores links to namespaces for the store menu.","0"
"ecom_surchargecust","SYSTEM","Custom Surcharge Methods","0","1","1","1","name","name ASC","id","0","This table holds custom surcharge methods.","0"
"ecom_vendors","SYSTEM","Vendors","0","1","1","1","id, name","id ASC","id","0","This table holds vendors for inventory items.","0"
