"id","app","namespace","name","pointer","funcparams","active","interface","type","groupallow","groupdeny","backendgroup","backendmenudisp","disprecback","becommon","demoallow","seourl"
"core.addbook","core","addbook","Delivery Address Book","addbook.php","","1","FrontEnd","CGI","*","","","0","1","0","1","/AddressBook"
"core.addbookdelp","core","addbookdelp","Delivery Address Book: Delete Address - Process","CORE_FrontEnd::CORE_FrontEnd_addbook::addbookdelp()","","1","FrontEnd","CGI","*","","","0","0","0","1","/AddressBookDelete/{ID}"
"core.addbookins","core","addbookins","Delivery Address Book: Add Address","CORE_FrontEnd::CORE_FrontEnd_addbook::addbookins()","","1","FrontEnd","CGI","*","","","0","0","0","1","/AddressBookInsert"
"core.addbookinsint","core","addbookinsint","Delivery Address Book: Add Address","CORE_FrontEnd::CORE_FrontEnd_addbook::addbookins()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"core.addbookinsp","core","addbookinsp","Delivery Address Book: Add Address - Process","CORE_FrontEnd::CORE_FrontEnd_addbook::addbookinsp()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.addbookupd","core","addbookupd","Delivery Address Book: Update Address","CORE_FrontEnd::CORE_FrontEnd_addbook::addbookupd()","","1","FrontEnd","CGI","*","","","0","0","0","1","/AddressBookUpdate/{ID}"
"core.addbookupdp","core","addbookupdp","Delivery Address Book: Update Address - Process","CORE_FrontEnd::CORE_FrontEnd_addbook::addbookupdp()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.affiliatelink","core","affiliatelink","Affiliate Link","CORE_FrontEnd::CORE_FrontEnd_affiliates::affiliatelink()","","1","FrontEnd","CGI","*","","","0","0","0","1","/AffiliateLink/{ID}"
"core.affpay","core","affpay","Affiliate Payments","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_affpay","1","BackEnd","CGI","superuser, admin","*","User Accounts","1","1","0","1",""
"core.affpayment","core","affpayment","Generate Affiliate Payments","CORE_BackEnd::CORE_BackEnd_userperms::affpayment()","","1","BackEnd","CGI","superuser, admin","*","User Accounts","1","1","0","1",""
"core.affpaymentdo","core","affpaymentdo","Generate Affiliate Payment","CORE_BackEnd::CORE_BackEnd_userperms::affpaymentdo()","","1","BackEnd","CGI","superuser, admin","*","User Accounts","0","0","0","1",""
"core.affpaymentdop","core","affpaymentdop","Generate Affiliate Payment - Process","CORE_BackEnd::CORE_BackEnd_userperms::affpaymentdop()","","1","BackEnd","CGI","superuser, admin","*","User Accounts","0","0","0","0",""
"core.ajaxrequest","core","ajaxrequest","Ajax Request","CORE_App::ajaxrequest()","","1","","CGI","*","","","0","0","0","1","/AjaxRequest"
"core.altrdbms","core","altrdbms","Alternate Connections","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_altrdbms","1","BackEnd","CGI","superuser","*","Database","1","1","0","0",""
"core.altrdbmsconfig","core","altrdbmsconfig","Configure Database Connection","CORE_BackEnd::CORE_BackEnd_altrdbms::altrdbmsconfig()","","1","BackEnd","CGI","superuser","*","Database","0","0","0","0",""
"core.altrdbmsconfigp","core","altrdbmsconfigp","Configure Database Connection - Process","CORE_BackEnd::CORE_BackEnd_altrdbms::altrdbmsconfigp()","","1","BackEnd","CGI","superuser","*","Database","0","0","0","0",""
"core.altrdbmspick","core","altrdbmspick","Select Database For New Connection","CORE_BackEnd::CORE_BackEnd_altrdbms::altrdbmspick()","","1","BackEnd","CGI","superuser","*","Database","0","1","0","0",""
"core.altrdbmstest","core","altrdbmstest","Test Database Connection","CORE_BackEnd::CORE_BackEnd_altrdbms::altrdbmstest()","","1","BackEnd","CGI","superuser","*","Database","0","0","0","0",""
"core.appover","core","appover","Component Selector","CORE_BackEnd::CORE_BackEnd_apps::appover()","","1","BackEnd","INTERNAL","superuser, admin, reports","*","","0","0","0","1",""
"core.beaccountconf","core","beaccountconf","Confirmation","beaccountconf.php","","1","BackEnd","CGI","superuser, admin, reports","*","","0","1","0","1",""
"core.beaccountmaint","core","beaccountmaint","Update Account Profile","CORE_BackEnd::CORE_BackEnd_accounts::accountmaint_disp()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","1","0","1",""
"core.beaccountmaint_proc","core","beaccountmaint_proc","Update Account Profile - Process","CORE_BackEnd::CORE_BackEnd_accounts::accountmaint_proc()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","0","0","0",""
"core.bechangeemail","core","bechangeemail","Change Email Address","CORE_BackEnd::CORE_BackEnd_accounts::changeemail_disp()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","1","0","1",""
"core.bechangeemail_proc","core","bechangeemail_proc","Change Email Address - Process","CORE_BackEnd::CORE_BackEnd_accounts::changeemail_proc()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","0","0","0",""
"core.bechangepass","core","bechangepass","Change Password","CORE_BackEnd::CORE_BackEnd_accounts::changepass_disp()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","1","0","1",""
"core.bechangepass_proc","core","bechangepass_proc","Change Password - Process","CORE_BackEnd::CORE_BackEnd_accounts::changepass_proc()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","0","0","0",""
"core.bechangeusername","core","bechangeusername","Change Username","CORE_BackEnd::CORE_BackEnd_accounts::changeusername_disp()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","1","0","1",""
"core.bechangeusername_proc","core","bechangeusername_proc","Change Email Address - Process","CORE_BackEnd::CORE_BackEnd_accounts::changeusername_proc()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","0","0","0",""
"core.begenericconf","core","begenericconf","Confirmation","begenericconf.php","","1","BackEnd","CGI","*","","","0","0","0","1",""
"core.belogin","core","belogin","Account Login","CORE_BackEnd::CORE_BackEnd_accounts::login_disp()","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.beloginchangepass","core","beloginchangepass","Change Password","CORE_BackEnd::CORE_BackEnd_accounts::loginchangepass_disp()","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.beloginchangepass_proc","core","beloginchangepass_proc","Change Password - Process","CORE_BackEnd::CORE_BackEnd_accounts::loginchangepass_proc()","","1","BackEnd","CGI","*","","","0","0","0","1",""
"core.belogindevauth","core","belogindevauth","Device Authorization","CORE_BackEnd::CORE_BackEnd_accounts::logindevauth_disp()","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.belogindevauth_proc","core","belogindevauth_proc","Device Authorization - Process","CORE_BackEnd::CORE_BackEnd_accounts::logindevauth_proc()","","1","BackEnd","CGI","*","","","0","0","0","1",""
"core.belogin_postauth","core","belogin_postauth","Account Login Authorization","CORE_BackEnd::CORE_BackEnd_accounts::login_postauth()","","1","BackEnd","INTERNAL","*","","","0","0","0","1",""
"core.belogin_proc","core","belogin_proc","Account Login - Process","CORE_BackEnd::CORE_BackEnd_accounts::login_proc()","","1","BackEnd","CGI","*","","","0","0","0","1",""
"core.belogout_proc","core","belogout_proc","Logout - Process","CORE_BackEnd::CORE_BackEnd_accounts::logout_proc()","","1","BackEnd","CGI","superuser, admin, reports","*","","0","0","0","1",""
"core.beresetpass","core","beresetpass","New Password","CORE_BackEnd::CORE_BackEnd_accounts::resetpass_disp()","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.beresetpassreq","core","beresetpassreq","Forgotten Password","CORE_BackEnd::CORE_BackEnd_accounts::resetpassreq_disp()","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.beresetpassreq_proc","core","beresetpassreq_proc","Forgotten Password - Process","CORE_BackEnd::CORE_BackEnd_accounts::resetpassreq_proc()","","1","BackEnd","CGI","*","","","0","0","0","0",""
"core.beresetpass_proc","core","beresetpass_proc","New Password - Process","CORE_BackEnd::CORE_BackEnd_accounts::resetpass_proc()","","1","BackEnd","CGI","*","","","0","0","0","0",""
"core.changeemail","core","changeemail","Change Email Address","CORE_FrontEnd::CORE_FrontEnd_accounts::changeemail_disp()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","1","0","1","/AccountChangeEmail"
"core.changeemail_proc","core","changeemail_proc","Change Email Address - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::changeemail_proc()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","0",""
"core.changepass","core","changepass","Change Password","CORE_FrontEnd::CORE_FrontEnd_accounts::changepass_disp()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","1","0","1","/AccountChangePassword"
"core.changepass_proc","core","changepass_proc","Change Password - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::changepass_proc()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","0",""
"core.changeusername","core","changeusername","Change Username","CORE_FrontEnd::CORE_FrontEnd_accounts::changeusername_disp()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","1","0","1","/AccountChangeUsername"
"core.changeusername_proc","core","changeusername_proc","Change Username - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::changeusername_proc()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","0",""
"core.contact","core","contact","Contact Us","CORE_FrontEnd::CORE_FrontEnd_contact::contact_disp()","","1","FrontEnd","CGI","*","","","0","1","0","1","/Contact"
"core.contact_proc","core","contact_proc","Contact Us - Process","CORE_FrontEnd::CORE_FrontEnd_contact::contact_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.cookieinfoaccept","core","cookieinfoaccept","Cookie Information Acceptance","CORE_FrontEnd::CORE_FrontEnd_cookieinfo::cookieinfoaccept()","","1","FrontEnd","CGI","*","","","0","0","0","1","/CookieInformationAcceptance"
"core.createaccount","core","createaccount","Create New Account","CORE_FrontEnd::CORE_FrontEnd_accounts::createaccount_disp()","","1","FrontEnd","CGI","*","","","0","1","0","1","/AccountCreate"
"core.createaccountauth","core","createaccountauth","New Account Authorization","CORE_FrontEnd::CORE_FrontEnd_accounts::createaccountauth_disp()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.createaccountauth_proc","core","createaccountauth_proc","New Account Authorization - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::createaccountauth_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.createaccount_proc","core","createaccount_proc","Create New Account - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::createaccount_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.currencyswitch","core","currencyswitch","Currency Switch","CORE_FrontEnd::CORE_FrontEnd_currencyswitch::currencyswitch()","","1","FrontEnd","CGI","*","","","0","0","0","1","/CurrencySwitch/{ID}"
"core.dbmanager","core","dbmanager","Database Table Manager","CORE_BackEnd::CORE_BackEnd_db::db_manager()","","1","BackEnd","INTERNAL","superuser, admin, reports","*","","0","1","0","1",""
"core.dbrelate","core","dbrelate","Related Item Database View","CORE_BackEnd::CORE_BackEnd_db::db_relate()","","1","BackEnd","CGI","superuser, admin","*","","0","0","0","1",""
"core.dbrelateint","core","dbrelateint","Related Item Database View (Internal)","CORE_BackEnd::CORE_BackEnd_db::db_relate()","","1","BackEnd","INTERNAL","superuser, admin","*","","0","0","0","1",""
"core.deletegroup","core","deletegroup","DB Guided Delete Group","CORE_BackEnd::CORE_BackEnd_userperms::deletegroup()","","1","BackEnd","INTERNAL","superuser","*","","0","0","0","1",""
"core.emaillist","core","emaillist","Email List","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillist()","","1","FrontEnd","CGI","*","","","0","1","0","1","/EmailList"
"core.emaillistdbdelete","core","emaillistdbdelete","DB Guided Delete Email List Entry","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillistdbdelete()","","1","BackEnd","INTERNAL","superuser, admin","*","","0","0","0","1",""
"core.emaillistdbinsert","core","emaillistdbinsert","DB Guided Insert Email List Entry","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillistdbinsert()","","1","BackEnd","INTERNAL","superuser, admin","*","","0","0","0","1",""
"core.emaillistdbupdate","core","emaillistdbupdate","DB Guided Update Email List Entry","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillistdbupdate()","","1","BackEnd","INTERNAL","superuser, admin","*","","0","0","0","1",""
"core.emaillistint","core","emaillistint","Internal Email List Function","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillistint()","","1","","INTERNAL","*","","","0","0","0","1",""
"core.emaillistp","core","emaillistp","Email List - Process","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillistp()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.emaillistpop","core","emaillistpop","Email List Modal","emaillistpop.php","","1","","INTERNAL","*","","","0","0","0","1",""
"core.emaillistunsub","core","emaillistunsub","Email List","CORE_FrontEnd::CORE_FrontEnd_emaillist::emaillistunsub()","","1","FrontEnd","CGI","*","","","0","1","0","1","/EmailListUnSubscribe"
"core.genericconf","core","genericconf","Confirmation","genericconf.php","","1","FrontEnd","CGI","*","","","0","1","0","1","/Confirmation"
"core.getaddress","core","getaddress","Get Display Address","CORE_App::get_addressdisp()","","1","","INTERNAL","*","","","0","0","0","1",""
"core.getcompanyinfo","core","getcompanyinfo","Get Company Info","CORE_App::getcompanyinfo()","","1","","INTERNAL","*","","","0","0","0","1",""
"core.getprice","core","getprice","Get Display Price","CORE_App::returnprice()","","1","","INTERNAL","*","","","0","0","0","1",""
"core.helperdatetime","core","helperdatetime","Server Time Check","helperdatetime.php","","1","BackEnd","CGI","superuser","*","Helpers","1","1","0","0",""
"core.helperdbbackup","core","helperdbbackup","Database Backup","helperdbbackup.php","","1","BackEnd","CGI","superuser","*","Helpers","1","1","0","0",""
"core.helperdemodata","core","helperdemodata","Remove Demo Data","helperdemodata.php","","1","BackEnd","CGI","superuser","*","Helpers","1","1","0","0",""
"core.helperhtaccess","core","helperhtaccess","SEO Htaccess Builder","helperhtaccess.php","","1","BackEnd","CGI","superuser","*","Helpers","1","1","0","1",""
"core.helperlocalize","core","helperlocalize","Localization","helperlocalize.php","","1","BackEnd","CGI","superuser","*","Helpers","1","1","0","0",""
"core.home","core","home","Dashboard","CORE_BackEnd::CORE_BackEnd_home::home_disp()","","1","BackEnd","CGI","superuser, admin, reports","*","Component","0","1","0","1",""
"core.insertgroup","core","insertgroup","DB Guided Insert Group","CORE_BackEnd::CORE_BackEnd_userperms::insertgroup()","","1","BackEnd","INTERNAL","superuser","*","","0","0","0","1",""
"core.insertuser","core","insertuser","DB Guided Insert User","CORE_BackEnd::CORE_BackEnd_accounts::insertuser()","","1","BackEnd","INTERNAL","superuser, admin","*","","0","0","0","1",""
"core.installskin","core","installskin","Install New Display Skin","CORE_BackEnd::CORE_BackEnd_skins::skin_installer()","","1","BackEnd","CGI","superuser","*","Displays","1","1","0","1",""
"core.installskinp","core","installskinp","Install New Display Skin - Process","CORE_BackEnd::CORE_BackEnd_skins::skin_installerp()","","1","BackEnd","CGI","superuser","*","Displays","0","0","0","0",""
"core.jslib","core","jslib","JavaScript Library Executor","jslib.php","","1","","INTERNAL","*","","","0","0","0","1",""
"core.jslibajax","core","jslibajax","JavaScript Library Executor (Ajax)","jslibajax.php","","1","","INTERNAL","*","","","0","0","0","1",""
"core.license","core","license","Software License","license.php","","1","BackEnd","CGI","*","","","0","1","0","1",""
"core.load_appsmenu","core","load_appsmenu","Component Menu Loader","CORE_BackEnd::CORE_BackEnd_menus::load_appsmenu()","","1","BackEnd","INTERNAL","*","","","0","0","0","1",""
"core.login","core","login","Account Login","CORE_FrontEnd::CORE_FrontEnd_accounts::login_disp()","","1","FrontEnd","CGI","*","","","0","1","0","1","/AccountLogin"
"core.loginchangepass","core","loginchangepass","Change Password","CORE_FrontEnd::CORE_FrontEnd_accounts::loginchangepass_disp()","","1","FrontEnd","CGI","*","","","0","1","0","1","/LoginChangePassword/{ID}"
"core.loginchangepass_proc","core","loginchangepass_proc","Change Password - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::loginchangepass_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.logindevauth","core","logindevauth","Device Authorization","CORE_FrontEnd::CORE_FrontEnd_accounts::logindevauth_disp()","","1","FrontEnd","CGI","*","","","0","1","0","1","/LoginDeviceAuthorization/{ID}"
"core.logindevauth_proc","core","logindevauth_proc","Device Authorization - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::logindevauth_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.login_postauth","core","login_postauth","Account Login Authorization","CORE_FrontEnd::CORE_FrontEnd_accounts::login_postauth()","","1","FrontEnd","INTERNAL","*","","","0","0","0","1",""
"core.login_proc","core","login_proc","Account Login - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::login_proc()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
"core.logout_proc","core","logout_proc","Logout - Process","CORE_FrontEnd::CORE_FrontEnd_accounts::logout_proc()","","1","FrontEnd","CGI","superuser, admin, reports, users, wholesale, reseller","*","","0","0","0","1","/AccountLogout"
"core.mailsend","core","mailsend","Send Mail Message","CORE_BackEnd::CORE_BackEnd_mail::mailsend()","","1","BackEnd","CGI","superuser, admin","*","Mail","1","1","0","1",""
"core.mailsendp","core","mailsendp","Send Mail Message - Process","CORE_BackEnd::CORE_BackEnd_mail::mailsendp()","","1","BackEnd","CGI","superuser, admin","*","Mail","0","0","0","0",""
"core.mainmenu","core","mainmenu","Main Menu","CORE_BackEnd::CORE_BackEnd_menus::mainmenu()","core","1","BackEnd","CGI","superuser, admin, reports","*","Component","0","1","0","1",""
"core.mainmenu_int","core","mainmenu_int","Main Menu Internal Display","CORE_BackEnd::CORE_BackEnd_menus::mainmenu()","core","1","BackEnd","INTERNAL","superuser, admin, reports","*","","0","0","0","1",""
"core.managecountries","core","managecountries","Countries","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_country","1","BackEnd","CGI","superuser, admin","*","Locations","1","1","0","1",""
"core.manageemaillist","core","manageemaillist","Marketing Email List","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_emaillist","1","BackEnd","CGI","superuser","*","Mail","1","1","0","1",""
"core.managegroups","core","managegroups","User Groups","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_groups","1","BackEnd","CGI","superuser","*","User Accounts","1","1","0","1",""
"core.managemail","core","managemail","Mail Messages","CORE_BackEnd::CORE_BackEnd_db::db_manager()","SELECT {COLS} FROM core_mail WHERE (interface='FrontEnd' OR interface='')","1","BackEnd","CGI","superuser","*","Mail","1","1","0","1",""
"core.managemsg","core","managemsg","System Messages","CORE_BackEnd::CORE_BackEnd_db::db_manager()","SELECT {COLS} FROM core_messages WHERE (interface='FrontEnd' OR interface='')","1","BackEnd","CGI","superuser","*","Displays","1","1","0","1",""
"core.managemultisite","core","managemultisite","MultiSite Sites","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_multisite","1","BackEnd","CGI","superuser","*","MultiSite","1","1","0","1",""
"core.manageredirects","core","manageredirects","Redirects","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_redirects","1","BackEnd","CGI","superuser","*","Helpers","1","1","0","1",""
"core.managesettings","core","managesettings","Settings","CORE_BackEnd::CORE_BackEnd_settings::settings_manager()","","1","BackEnd","CGI","superuser","*","Component","1","1","1","1",""
"core.manageskins","core","manageskins","Display Skins","CORE_BackEnd::CORE_BackEnd_skins::skins_manager()","","1","BackEnd","CGI","superuser","*","Displays","1","1","0","1",""
"core.manageskinwidgets","core","manageskinwidgets","Skin Widgets","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_skinwidgets","1","BackEnd","CGI","superuser","*","Displays","1","1","0","1",""
"core.managestateprov","core","managestateprov","States and Provinces","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_stateprov","1","BackEnd","CGI","superuser, admin","*","Locations","1","1","0","1",""
"core.manageusers","core","manageusers","User Accounts","CORE_BackEnd::CORE_BackEnd_db::db_manager()","core_users","1","BackEnd","CGI","superuser, admin","*","User Accounts","1","1","0","1",""
"core.menu_breadcrumbs","core","menu_breadcrumbs","Menu: Breadcrumbs","CORE_BackEnd::CORE_BackEnd_menus::menu_breadcrumbs()","","1","BackEnd","INTERNAL","*","","","0","0","0","1",""
"core.notfound","core","notfound","404: Not Found","CORE_FrontEnd::CORE_FrontEnd_notfound::notfound()","","1","FrontEnd","CGI","*","","","0","1","0","1","/404"
"core.postcodeanywhere_changeinfo","core","postcodeanywhere_changeinfo","Postal Code Lookup","CORE_FrontEnd::CORE_FrontEnd_postcodeanywhere::changeinfo()","","1","FrontEnd","CGI","*","","","0","1","0","1",""
"core.postcodeanywhere_lookupgateway","core","postcodeanywhere_lookupgateway","Postal Code Lookup Gateway","postcodeanywhere_lookupgateway.php","","1","FrontEnd","INTERNAL","*","","","0","1","0","1",""
"core.postcodeanywhere_lookupproc","core","postcodeanywhere_lookupproc","Postal Code Lookup","CORE_FrontEnd::CORE_FrontEnd_postcodeanywhere::lookupproc()","","1","FrontEnd","CGI","*","","","0","1","0","1",""
"core.postcodeanywhere_lookupshow","core","postcodeanywhere_lookupshow","Postal Code Lookup","CORE_FrontEnd::CORE_FrontEnd_postcodeanywhere::lookupshow()","","1","FrontEnd","CGI","*","","","0","1","0","1",""
"core.print_message","core","print_message","Print Message","CORE_App::print_message()","","1","","INTERNAL","*","","","0","0","0","1",""
"core.rawdb","core","rawdb","Raw Database Admin","CORE_BackEnd::CORE_BackEnd_rawdb::rawdb_admin()","","1","BackEnd","CGI","superuser","*","Database","1","1","0","1",""
"core.redirectadd","core","redirectadd","Add Redirect","CORE_BackEnd::CORE_BackEnd_redirects::redirectadd()","","1","BackEnd","CGI","superuser","*","Helpers","0","1","0","0",""
"core.redirectaddp","core","redirectaddp","Add Redirect - Process","CORE_BackEnd::CORE_BackEnd_redirects::redirectadd_proc()","","1","BackEnd","CGI","superuser","*","Helpers","0","0","0","0",""
"core.remoteskinexporter","core","remoteskinexporter","Remote Skin Exporter","CORE_FrontEnd::CORE_FrontEnd_remoteskinexporter::exec()","","1","FrontEnd","CGI","*","","","0","0","0","1",""
