"id","channelid","xofferid","maptype","xinvid","groupname","quantity","sortorder","regprice","whlprice","compprice","recurprice","loyaltypoints","rebate","cost","taxclass","taxstateprov","taxcountry","datetimestamp","cacheoffername","cacheinvname","cachemanuname"
"DEFAULT-12422-DEFAULT-12422","DEFAULT","12422","DEFAULT","12422","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937363","ASLAN Caress Colour 12422 Orange","ASLAN Caress Colour 12422 Orange","ASLAN"
"DEFAULT-12423-DEFAULT-12423","DEFAULT","12423","DEFAULT","12423","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937385","ASLAN Caress Colour 12423 Magenta","ASLAN Caress Colour 12423 Magenta","ASLAN"
"DEFAULT-12425-DEFAULT-12425","DEFAULT","12425","DEFAULT","12425","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937411","ASLAN Caress Colour 12425 Neon Green","ASLAN Caress Colour 12425 Neon Green","ASLAN"
"DEFAULT-12427-DEFAULT-12427","DEFAULT","12427","DEFAULT","12427","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937424","ASLAN Caress Colour 12427 Grey","ASLAN Caress Colour 12427 Grey","ASLAN"
"DEFAULT-12440-DEFAULT-12440","DEFAULT","12440","DEFAULT","12440","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937434","ASLAN Caress Colour 12440 Green","ASLAN Caress Colour 12440 Green","ASLAN"
"DEFAULT-12492-DEFAULT-12492","DEFAULT","12492","DEFAULT","12492","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748937442","ASLAN Caress Colour 12492 Neon Orange","ASLAN Caress Colour 12492 Neon Orange","ASLAN"
"DEFAULT-13101-DEFAULT-13101","DEFAULT","13101","DEFAULT","13101","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781700814","ASLAN 13101 Polished Rose Gold","Polished Rose Gold","ASLAN"
"DEFAULT-13102-DEFAULT-13102","DEFAULT","13102","DEFAULT","13102","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781695688","ASLAN 13102 Polished Silver","Polished Silver","ASLAN"
"DEFAULT-13103-DEFAULT-13103","DEFAULT","13103","DEFAULT","13103","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747404418","ASLAN 13103 Polished Gold","Polished Gold","ASLAN"
"DEFAULT-13104-DEFAULT-13104","DEFAULT","13104","DEFAULT","13104","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780995012","ASLAN 13104 Brushed Aluminium","Brushed Aluminium","ASLAN"
"DEFAULT-13105-DEFAULT-13105","DEFAULT","13105","DEFAULT","13105","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780995061","ASLAN 13105 Brushed Copper","Brushed Copper","ASLAN"
"DEFAULT-13106-DEFAULT-13106","DEFAULT","13106","DEFAULT","13106","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780995081","ASLAN 13106 Brushed Gold","Brushed Gold","ASLAN"
"DEFAULT-13107-DEFAULT-13107","DEFAULT","13107","DEFAULT","13107","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747404469","ASLAN 13107 Polished Copper","Polished Copper","ASLAN"
"DEFAULT-13109-DEFAULT-13109","DEFAULT","13109","DEFAULT","13109","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780995030","ASLAN 13109 Brushed Steel","Brushed Steel","ASLAN"
"DEFAULT-13111-DEFAULT-13111","DEFAULT","13111","DEFAULT","13111","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747404559","ASLAN 13111 Polished Cherry Red","Polished Cherry Red","ASLAN"
"DEFAULT-13112-DEFAULT-13112","DEFAULT","13112","DEFAULT","13112","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747404581","ASLAN 13112 Polished Emerald Green","Polished Emerald Green","ASLAN"
"DEFAULT-13113-DEFAULT-13113","DEFAULT","13113","DEFAULT","13113","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747404594","ASLAN 13113 Polished Violet","Polished Violet","ASLAN"
"DEFAULT-13114-DEFAULT-13114","DEFAULT","13114","DEFAULT","13114","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747306246","ASLAN 13114 Polished Azure Blue","Polished Azure Blue","ASLAN"
"DEFAULT-13115-DEFAULT-13115","DEFAULT","13115","DEFAULT","13115","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747404607","ASLAN 13115 Polished Magenta","Polished Magenta","ASLAN"
"DEFAULT-13117-DEFAULT-13117","DEFAULT","13117","DEFAULT","13117","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154070","ASLAN 13117 PrintMetal Polished Gold","Polished Gold","ASLAN"
"DEFAULT-13119-DEFAULT-13119","DEFAULT","13119","DEFAULT","13119","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154084","ASLAN 13119 PrintMetal Polished Silver","Polished Silver","ASLAN"
"DEFAULT-13122-DEFAULT-13122","DEFAULT","13122","DEFAULT","13122","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780995513","ASLAN 13122 Polished Steel","Polished Steel","ASLAN"
"DEFAULT-13123-DEFAULT-13123","DEFAULT","13123","DEFAULT","13123","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1747405155","ASLAN 13123 Polished Gun Metal","Polished Gun Metal","ASLAN"
"DEFAULT-13124-DEFAULT-13124","DEFAULT","13124","DEFAULT","13124","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154116","ASLAN 13124 PrintMetal Brushed Aluminium","Brushed Aluminium","ASLAN"
"DEFAULT-13125-DEFAULT-13125","DEFAULT","13125","DEFAULT","13125","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154125","ASLAN 13125 PrintMetal Brushed Copper","Brushed Copper","ASLAN"
"DEFAULT-13126-DEFAULT-13126","DEFAULT","13126","DEFAULT","13126","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154135","ASLAN 13126 PrintMetal Brushed Gold","Brushed Gold","ASLAN"
"DEFAULT-13127-DEFAULT-13127","DEFAULT","13127","DEFAULT","13127","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780935546","ASLAN CRA31 Polished Silver printable film made with 70% post-consumer recycled PET","Polished Silver made with 70% PCRP","ASLAN"
"DEFAULT-13128-DEFAULT-13128","DEFAULT","13128","DEFAULT","13128","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780935510","ASLAN CRA31 Polished Gold printable film made with 70% post-consumer recycled PET","Polished Gold made with 70% PCRP","ASLAN"
"DEFAULT-13129-DEFAULT-13129","DEFAULT","13129","DEFAULT","13129","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154154","ASLAN 13129 PrintMetal Brushed Steel","Brushed Stainless Steel","ASLAN"
"DEFAULT-13136S-Platinum-DEFAULT-13136S-Platinum","DEFAULT","13136S-Platinum","DEFAULT","13136S-Platinum","DEFAULT","1","10","1-24:19.48; 25:17.53","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781096173","ASLAN 13136S Platinum MetalLux Film","Aslan 13136S Platinum MetalLux Film","ASLAN"
"DEFAULT-13140S_Nebula-DEFAULT-13140S_Nebula","DEFAULT","13140S_Nebula","DEFAULT","13140S_Nebula","DEFAULT","1","10","1-49:29.30;50:27.54","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314047","ASLAN SE70 Nebula Transparent Dichroic Film","Nebula :: Transparent Dichroic Film","ASLAN"
"DEFAULT-13141S_Solar-DEFAULT-13141S_Solar","DEFAULT","13141S_Solar","DEFAULT","13141S_Solar","DEFAULT","1","10","1-49:29.30;50:27.54","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780325884","ASLAN SE70 Solar Transparent Dichroic Film","Solar :: Transparent Dichroic Film","ASLAN"
"DEFAULT-13142SPET_Aurora-DEFAULT-13142SPET_Aurora","DEFAULT","13142SPET_Aurora","DEFAULT","13142SPET_Aurora","DEFAULT","1","10","1-24:33.68;25:31.66","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314141","ASLAN SE71 Aurora Opaque Dichroic Film","Aurora PVC Free Opaque Dichroic Film","ASLAN"
"DEFAULT-13142S_Aurora-DEFAULT-13142S_Aurora","DEFAULT","13142S_Aurora","DEFAULT","13142S_Aurora","DEFAULT","1","10","1-24:30.20;25:28.38","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1782806122","ASLAN SE71 Aurora Opaque Dichroic Film","Aurora :: Opaque Dichroic Film","ASLAN"
"DEFAULT-13143SPET_Alpha-DEFAULT-13143S_Alpha","DEFAULT","13143SPET_Alpha","DEFAULT","13143S_Alpha","DEFAULT","1","10","1-24:33.68;25:31.66","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314149","ASLAN SE71 Alpha Opaque Dichroic Film","Alpha :: Opaque Dichroic Film","ASLAN"
"DEFAULT-13143S_Alpha-DEFAULT-13143S_Alpha","DEFAULT","13143S_Alpha","DEFAULT","13143S_Alpha","DEFAULT","1","10","1-24:30.20;25:28.38","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1782806131","ASLAN SE71 Alpha Opaque Dichroic Film","Alpha :: Opaque Dichroic Film","ASLAN"
"DEFAULT-13144S_Andromeda-DEFAULT-13144S_Andromeda","DEFAULT","13144S_Andromeda","DEFAULT","13144S_Andromeda","DEFAULT","1","10","1-24:30.20;25:28.38","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314107","ASLAN SE71 Andromeda Opaque Dichroic Film","Andromeda :: Opaque Dichroic Film","ASLAN"
"DEFAULT-13145S_Plasma-DEFAULT-13145S_Plasma","DEFAULT","13145S_Plasma","DEFAULT","13145S_Plasma","DEFAULT","1","10","1-24:30.20;25:28.38","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314114","ASLAN SE71 Plasma Opaque Dichroic Film","Plasma :: Opaque Dichroic Film","ASLAN"
"DEFAULT-13150S_Silver_Holographic-DEFAULT-13150S_Silver_Holographic","DEFAULT","13150S_Silver_Holographic","DEFAULT","13150S_Silver_Holographic","DEFAULT","1","10","1-24:14.24;25:12.82","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780313074","ASLAN SE72 Silver Holographic PET Film :: 1010mm wide","Silver Holographic PET Film","ASLAN"
"DEFAULT-13152S-DEFAULT-13152S","DEFAULT","13152S","DEFAULT","13152S","DEFAULT","1","10","1-24:14.24;25:12.82","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780313098","ASLAN SE74 Silver HoloStripe PET Film :: 1010mm wide","Silver HoloStripe PET Film","ASLAN"
"DEFAULT-13155S_Luna-DEFAULT-13155S_Luna","DEFAULT","13155S_Luna","DEFAULT","13155S_Luna","DEFAULT","1","10","1-24:37.54;25:33.80","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314211","ASLAN SE77 Luna Translucent Dichroic Film","Luna :: Translucent Dichroic Film","ASLAN"
"DEFAULT-13156S_Nova-DEFAULT-13156S_Nova","DEFAULT","13156S_Nova","DEFAULT","13156S_Nova","DEFAULT","1","10","1-24:37.54;25:33.8","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780314219","ASLAN SE77 Nova Translucent Dichroic Film","Nova :: Translucent Dichroic Film","ASLAN"
"DEFAULT-13158-DEFAULT-13158","DEFAULT","13158","DEFAULT","13158","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1752154043","ASLAN 13158 PrintMetal Polished Rose Gold","Polished Rose Gold","ASLAN"
"DEFAULT-13201S-DEFAULT-13201S","DEFAULT","13201S","DEFAULT","13201S","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1782297354","ASLAN 13201 MetalMatt Matt Rose Gold","Matt Rose Gold","ASLAN"
"DEFAULT-13202S-DEFAULT-13202S","DEFAULT","13202S","DEFAULT","13202S","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781780249","ASLAN 13202 MetalMatt Matt Silver","Matt Silver","ASLAN"
"DEFAULT-13203S-DEFAULT-13203S","DEFAULT","13203S","DEFAULT","13203S","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1782297394","ASLAN 13203 MetalMatt Matt Gold","Matt Gold","ASLAN"
"DEFAULT-13207S-DEFAULT-13207S","DEFAULT","13207S","DEFAULT","13207S","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1781780243","ASLAN 13207 MetalMatt Matt Copper","Matt Copper","ASLAN"
"DEFAULT-14215-Red-DEFAULT-14215-Red","DEFAULT","14215-Red","DEFAULT","14215-Red","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748943615","ASLAN 14215 Red Fluorescent","Red Fluorescent","ASLAN"
"DEFAULT-14216-Yellow-DEFAULT-14216-Yellow","DEFAULT","14216-Yellow","DEFAULT","14216-Yellow","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1748943663","ASLAN 14216 Yellow Fluorescent","Yellow Fluorescent","ASLAN"
"DEFAULT-180-Orange-DEFAULT-180_Orange","DEFAULT","180-Orange","DEFAULT","180_Orange","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409184","Orange Flock Heat Transfer Vinyl","Orange Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-200-Red-DEFAULT-200_Red","DEFAULT","200-Red","DEFAULT","200_Red","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409191","Red Flock Heat Transfer Vinyl","Red Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-210-Signal-Red-DEFAULT-210_Signal_Red","DEFAULT","210-Signal-Red","DEFAULT","210_Signal_Red","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409196","Signal Red Flock Heat Transfer Vinyl","Signal Red Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-250-Magenta-DEFAULT-250_Magenta","DEFAULT","250-Magenta","DEFAULT","250_Magenta","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409203","Magenta Flock Heat Transfer Vinyl","Magenta Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-310-Ice-Blue-DEFAULT-310_Ice_Blue","DEFAULT","310-Ice-Blue","DEFAULT","310_Ice_Blue","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409209","Ice Blue Flock Heat Transfer Vinyl","Ice Blue Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-3101_Smooth_Silver-DEFAULT-3101_Smooth_Silver","DEFAULT","3101_Smooth_Silver","DEFAULT","3101_Smooth_Silver","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1751380239","VinylEfx Indoor Smooth Silver","Smooth Silver","R-Tape"
"DEFAULT-3102_Smooth_Gold-DEFAULT-3102_Smooth_Gold","DEFAULT","3102_Smooth_Gold","DEFAULT","3102_Smooth_Gold","DEFAULT","1","10","0.00","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780918786","VinylEfx Indoor Smooth Gold","Smooth Gold","R-Tape"
"DEFAULT-320-Sky-Blue-DEFAULT-320_Sky_Blue","DEFAULT","320-Sky-Blue","DEFAULT","320_Sky_Blue","DEFAULT","1","10","1-24:11.56;25:10.40","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1780409215","Sky Blue Flock Heat Transfer Vinyl","Sky Blue Flock Heat Transfer Vinyl","Poli-Tape"
"DEFAULT-3M_Blue_Squeegee-DEFAULT-3M_Blue_Squeegee","DEFAULT","3M_Blue_Squeegee","DEFAULT","3M_Blue_Squeegee","DEFAULT","1","10","1-4:2.50;5:2.20","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1764861808","3M Blue Squeegee","3M Blue  Squeegee","3M"
"DEFAULT-3M_Bridge_Line_Knifeless_Tape-DEFAULT-3M_Bridge_Line_Knifeless_Tape","DEFAULT","3M_Bridge_Line_Knifeless_Tape","DEFAULT","3M_Bridge_Line_Knifeless_Tape","DEFAULT","1","10","38.75","0.00","0.00","0.00","0","0.00","0.00","STANDARD","STANDARD","STANDARD","1765199366","3M Bridge Line Knifeless Tape","3M Bridge Line Knifeless Tape","Doro Tape"
