Type,SKU,Regular price,Sale price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_price_tiers,Published,Visibility in catalog,In stock?,Backorders allowed?
variation,12423-sz02,646.75,,12423,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12425-sz01,28.74,,12425,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12425-sz02,646.75,,12425,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12427-sz01,28.74,,12427,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12427-sz02,646.75,,12427,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12440-sz01,28.74,,12440,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12440-sz02,646.75,,12440,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,12492-sz01,28.74,,12492,1370mm wide,per metre,1,1,,1,visible,1,0
variation,12492-sz02,646.75,,12492,1370mm wide,per 25m roll,1,1,,1,visible,1,0
variation,13101-sz01,19.94,,13101,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13101-sz02,449.00,,13101,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13101-sz03,9.97,,13101,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13101-sz04,224.50,,13101,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13102-sz01,19.94,,13102,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13102-sz02,449.00,,13102,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13102-sz03,9.97,,13102,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13102-sz04,224.50,,13102,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13103-sz01,9.97,,13103,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13103-sz02,224.50,,13103,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13103-sz03,19.94,,13103,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13103-sz04,449.00,,13103,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13104-sz01,9.97,,13104,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13104-sz02,224.50,,13104,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13104-sz03,19.94,,13104,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13104-sz04,449.00,,13104,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13105-sz01,9.97,,13105,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13105-sz02,224.50,,13105,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13105-sz03,19.94,,13105,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13105-sz04,449.00,,13105,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13106-sz01,19.94,,13106,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13106-sz02,449.00,,13106,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13106-sz03,9.97,,13106,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13106-sz04,224.50,,13106,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13107-sz01,19.94,,13107,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13107-sz02,449.00,,13107,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13107-sz03,9.97,,13107,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13107-sz04,224.50,,13107,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13109-sz01,19.94,,13109,Size / Format,or 1250mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13109-sz02,449.00,,13109,Size / Format,or 1250mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,13109-sz03,9.97,,13109,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13109-sz04,224.50,,13109,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,13111-sz01,21.26,,13111,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13111-sz02,459.36,,13111,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,1,visible,1,0
variation,13111-sz03,10.63,,13111,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13111-sz04,229.68,,13111,Size / Format,Size / Format — full 24 mtr roll,1,1,,1,visible,1,0
variation,13112-sz01,21.26,,13112,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13112-sz02,459.36,,13112,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,1,visible,1,0
variation,13112-sz03,10.63,,13112,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13112-sz04,229.68,,13112,Size / Format,Size / Format — full 24 mtr roll,1,1,,1,visible,1,0
variation,13113-sz01,21.26,,13113,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13113-sz02,459.36,,13113,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,1,visible,1,0
variation,13113-sz03,10.63,,13113,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13113-sz04,229.68,,13113,Size / Format,Size / Format — full 24 mtr roll,1,1,,1,visible,1,0
variation,13114-sz01,21.26,,13114,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13114-sz02,459.36,,13114,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,1,visible,1,0
variation,13114-sz03,10.63,,13114,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13114-sz04,229.68,,13114,Size / Format,Size / Format — full 24 mtr roll,1,1,,1,visible,1,0
variation,13115-sz01,21.26,,13115,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,13115-sz02,459.36,,13115,Size / Format,or 1220mm wide — full 24 mtr roll,1,1,,1,visible,1,0
variation,13115-sz03,10.63,,13115,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,13115-sz04,229.68,,13115,Size / Format,Size / Format — full 24 mtr roll,1,1,,1,visible,1,0
variation,13117-sz01,25.84,,13117,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13117-sz02,581.50,,13117,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,13119-sz01,25.84,,13119,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13119-sz02,581.50,,13119,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,13122-sz01,23.36,,13122,Size / Format,part roll - price per mtr,1,1,,1,visible,1,0
variation,13122-sz02,504.48,,13122,Size / Format,full 24 mtr roll,1,1,,1,visible,1,0
variation,13123-sz01,23.36,,13123,Size / Format,part roll - price per mtr,1,1,,1,visible,1,0
variation,13123-sz02,504.48,,13123,Size / Format,full 24 mtr roll,1,1,,1,visible,1,0
variation,13124-sz01,25.84,,13124,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13124-sz02,581.50,,13124,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,13125-sz01,25.84,,13125,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13125-sz02,581.50,,13125,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,13126-sz01,25.84,,13126,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13126-sz02,581.50,,13126,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,13127-sz01,109.50,,13127,Choose Roll Size Below,1370mm x 5m roll,1,1,,1,visible,1,0
variation,13127-sz02,493.00,,13127,Choose Roll Size Below,1370mm x 25m roll,1,1,,1,visible,1,0
variation,13128-sz01,109.50,,13128,Choose Roll Size Below,1370mm x 5m roll,1,1,,1,visible,1,0
variation,13128-sz02,493.00,,13128,Choose Roll Size Below,1370mm x 25m roll,1,1,,1,visible,1,0
variation,13129-sz01,25.84,,13129,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13129-sz02,581.50,,13129,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,13158-sz01,25.84,,13158,1250mm wide,part roll - price per mtr,1,1,,1,visible,1,0
variation,13158-sz02,581.50,,13158,1250mm wide,full 25 mtr roll,1,1,,1,visible,1,0
variation,14215-sz01,7.69,,14215,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,14215-sz02,173.00,,14215,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,14215-sz03,15.38,,14215,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,14215-sz04,346.00,,14215,Size / Format,or 1220mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,14215-sz05,0.95,,14215,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,14215-sz06,2.00,,14215,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,14215-sz07,2.98,,14215,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,14215-sz08,2.85,,14215,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,14215-sz09,14.25,,14215,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,14215-sz10,4.25,,14215,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,14215-sz11,21.25,,14215,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,14215-sz12,7.55,,14215,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,14215-sz13,37.75,,14215,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,14216-sz01,7.69,,14216,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,14216-sz02,173.00,,14216,Size / Format,Size / Format — full 25 mtr roll,1,1,,1,visible,1,0
variation,14216-sz03,15.38,,14216,Size / Format,or 1220mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,14216-sz04,346.00,,14216,Size / Format,or 1220mm wide — full 25 mtr roll,1,1,,1,visible,1,0
variation,14216-sz05,0.95,,14216,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,14216-sz06,2.00,,14216,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,14216-sz07,2.98,,14216,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,14216-sz08,2.85,,14216,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,14216-sz09,14.25,,14216,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,14216-sz10,4.25,,14216,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,14216-sz11,21.25,,14216,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,14216-sz12,7.55,,14216,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,14216-sz13,37.75,,14216,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,3101-sz01,5.62,,3101,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,3101-sz02,226.22,,3101,Size / Format,Size / Format — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,3101-sz03,11.24,,3101,Size / Format,or 1220mm wide — part roll - per mtr,1,1,,1,visible,1,0
variation,3101-sz04,452.43,,3101,Size / Format,or 1220mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,3101-sz05,12.58,,3101,Size / Format,or 1370mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,3101-sz06,506.36,,3101,Size / Format,or 1370mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,3101-sz07,0.99,,3101,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,3101-sz08,1.95,,3101,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,3101-sz09,2.79,,3101,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,3101-sz10,2.79,,3101,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,3101-sz11,13.95,,3101,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,3101-sz12,3.99,,3101,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,3101-sz13,19.95,,3101,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,3101-sz14,4.79,,3101,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,3101-sz15,23.95,,3101,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,3102-sz01,5.62,,3102,Size / Format,Size / Format — part roll - price per mtr,1,1,,1,visible,1,0
variation,3102-sz02,226.22,,3102,Size / Format,Size / Format — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,3102-sz03,11.24,,3102,Size / Format,or 1220mm wide — part roll - per mtr,1,1,,1,visible,1,0
variation,3102-sz04,452.43,,3102,Size / Format,or 1220mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,3102-sz05,12.58,,3102,Size / Format,or 1370mm wide — part roll - price per mtr,1,1,,1,visible,1,0
variation,3102-sz06,506.36,,3102,Size / Format,or 1370mm wide — full 45.7 mtr roll,1,1,,1,visible,1,0
variation,3102-sz07,0.99,,3102,Size / Format,or 'Sheet' size here — A4,1,1,,1,visible,1,0
variation,3102-sz08,1.95,,3102,Size / Format,or 'Sheet' size here — 203mm x 500mm,1,1,,1,visible,1,0
variation,3102-sz09,2.79,,3102,Size / Format,or 'Sheet' size here — 305mm x 500mm,1,1,,1,visible,1,0
variation,3102-sz10,2.79,,3102,Size / Format,Size / Format — 203mm x 1m,1,1,,1,visible,1,0
variation,3102-sz11,13.95,,3102,Size / Format,Size / Format — 203mm x 5m,1,1,,1,visible,1,0
variation,3102-sz12,3.99,,3102,Size / Format,Size / Format — 305mm x 1m,1,1,,1,visible,1,0
variation,3102-sz13,19.95,,3102,Size / Format,Size / Format — 305mm x 5m,1,1,,1,visible,1,0
variation,3102-sz14,4.79,,3102,Size / Format,Size / Format — 500mm x 1m,1,1,,1,visible,1,0
variation,3102-sz15,23.95,,3102,Size / Format,Size / Format — 500mm x 5m,1,1,,1,visible,1,0
variation,410S-sz01,7.51,,410S,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,410S-sz02,162.50,,410S,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,410S-sz03,6.60,,410S,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,410S-sz04,2.45,,410S,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,410S-sz05,1.75,,410S,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,410S-sz06,1.20,,410S,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,4212-sz01,9.65,,4212,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,4212-sz02,217.25,,4212,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,4212-sz03,8.69,,4212,Size / Format,Size / Format — 480mm x 1000mm,1,1,,1,visible,1,0
variation,4212-sz04,3.65,,4212,Size / Format,Size / Format — 305mm x 480mm,1,1,,1,visible,1,0
variation,4212-sz05,2.16,,4212,Size / Format,Size / Format — 200mm x 480mm,1,1,,1,visible,1,0
variation,4212-sz06,1.75,,4212,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,4213-sz01,9.65,,4213,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,4213-sz02,217.25,,4213,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,4213-sz03,8.69,,4213,Size / Format,Size / Format — 480mm x 1000mm,1,1,,1,visible,1,0
variation,4213-sz04,3.65,,4213,Size / Format,Size / Format — 305mm x 480mm,1,1,,1,visible,1,0
variation,4213-sz05,2.16,,4213,Size / Format,Size / Format — 200mm x 480mm,1,1,,1,visible,1,0
variation,4213-sz06,1.75,,4213,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,4221-sz01,9.65,,4221,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,4221-sz02,217.25,,4221,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,4221-sz03,8.69,,4221,Size / Format,Size / Format — 480mm x 1000mm,1,1,,1,visible,1,0
variation,4221-sz04,3.65,,4221,Size / Format,Size / Format — 305mm x 480mm,1,1,,1,visible,1,0
variation,4221-sz05,2.16,,4221,Size / Format,Size / Format — 200mm x 480mm,1,1,,1,visible,1,0
variation,4221-sz06,1.75,,4221,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,PG423-sz01,9.97,,PG423,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,PG423-sz02,224.25,,PG423,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,PG423-sz03,9.01,,PG423,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,PG423-sz04,5.50,,PG423,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,PG423-sz05,3.87,,PG423,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,PG423-sz06,2.48,,PG423,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,PG424-sz01,9.97,,PG424,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,PG424-sz02,224.25,,PG424,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,PG424-sz03,9.01,,PG424,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,PG424-sz04,5.50,,PG424,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,PG424-sz05,3.87,,PG424,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,PG424-sz06,2.48,,PG424,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,PG425-sz01,9.97,,PG425,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,PG425-sz02,224.25,,PG425,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,PG425-sz03,9.01,,PG425,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,PG425-sz04,5.50,,PG425,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,PG425-sz05,3.87,,PG425,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,PG425-sz06,2.48,,PG425,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,PG428-sz01,9.97,,PG428,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,PG428-sz02,224.25,,PG428,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,PG428-sz03,9.01,,PG428,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,PG428-sz04,5.50,,PG428,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,PG428-sz05,3.87,,PG428,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,PG428-sz06,2.48,,PG428,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,4280-sz01,10.27,,4280,500mm wide,per metre,1,1,,1,visible,1,0
variation,4280-sz02,231.00,,4280,500mm wide,per 25 metre roll,1,1,,1,visible,1,0
variation,4281-sz01,10.27,,4281,500mm wide,per metre,1,1,,1,visible,1,0
variation,4281-sz02,231.00,,4281,500mm wide,per 25 metre roll,1,1,,1,visible,1,0
variation,4282-sz01,10.27,,4282,500mm wide,per metre,1,1,,1,visible,1,0
variation,4282-sz02,231.00,,4282,500mm wide,per 25 metre roll,1,1,,1,visible,1,0
variation,PG432-sz01,9.97,,PG432,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,PG432-sz02,224.25,,PG432,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,PG432-sz03,9.01,,PG432,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,PG432-sz04,5.50,,PG432,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,PG432-sz05,3.87,,PG432,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,PG432-sz06,2.48,,PG432,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,434-sz01,7.73,,434,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,434-sz02,174.00,,434,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,434-sz03,6.96,,434,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,434-sz04,4.25,,434,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,434-sz05,2.99,,434,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
variation,434-sz06,1.97,,434,Size / Format,Size / Format — A4 Sheet,1,1,,1,visible,1,0
variation,435-sz01,7.73,,435,Size / Format,500mm wide — per metre,1,1,,1,visible,1,0
variation,435-sz02,174.00,,435,Size / Format,500mm wide — per 25 metre roll,1,1,,1,visible,1,0
variation,435-sz03,6.96,,435,Size / Format,Size / Format — 500mm x 1000mm,1,1,,1,visible,1,0
variation,435-sz04,4.25,,435,Size / Format,Size / Format — 305mm x 500mm,1,1,,1,visible,1,0
variation,435-sz05,2.99,,435,Size / Format,Size / Format — 200mm x 500mm,1,1,,1,visible,1,0
