sku,product,basis,evidence
BT3301020,"Blast Tape 330 :: 1000mm x 25m",A,"BT3301020 £419.56 for 1020mm x 25m = £16.45/m² as a roll (£411.33/m² as a metre rate — impossible)"
D-VIEW,"D-View Micro Perforated Vinyl",C,"D-VIEW-SZ01 option ""1370mm-x-5m-roll-3"" is a 5m roll | D-VIEW1370 option ""1370mm-x-50m-roll-4"" is a 50m roll | D-VIEW-SZ03 option ""1520mm-x-5m-roll-2"" is a 5m roll | D-VIEW1520 option ""1520mm-x-50m-roll-3"" is a 50m roll"
11355,"ASLAN CT11355 Yellow Transparent Vinyl",C,"CT113551250 option ""1250mm-x-5m-roll"" is a 5m roll | 11355-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11356,"ASLAN CT11356 Golden Yellow Transparent Vinyl",C,"CT113561250 option ""1250mm-x-5m-roll"" is a 5m roll | 11356-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11357,"ASLAN CT11357 Orange Transparent Vinyl",C,"CT113571250 option ""1250mm-x-5m-roll"" is a 5m roll | 11357-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11359,"ASLAN CT11359 Dark Red Transparent Vinyl",C,"CT113591250 option ""1250mm-x-5m-roll"" is a 5m roll | 11359-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11360,"ASLAN CT11360 Violet Transparent Vinyl",C,"CT113601250 option ""1250mm-x-5m-roll"" is a 5m roll | 11360-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11364,"ASLAN CT11364 Mint Green Transparent Vinyl",C,"CT113641250 option ""1250mm-x-5m-roll"" is a 5m roll | 11364-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11368,"ASLAN CT11368 Dove Grey Transparent Vinyl",C,"CT113681250 option ""1250mm-x-5m-roll"" is a 5m roll | 11368-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11369,"ASLAN CT11369 Medium Grey Transparent Vinyl",C,"CT113691250 option ""1250mm-x-5m-roll"" is a 5m roll | 11369-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11371,"ASLAN CT11371 Bright Yellow Transparent Vinyl",C,"CT113711250 option ""1250mm-x-5m-roll"" is a 5m roll | 11371-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11373,"ASLAN CT11373 Bright Red Transparent Vinyl",C,"CT113731250 option ""1250mm-x-5m-roll"" is a 5m roll | 11373-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11374,"ASLAN CT11374 Red Transparent Vinyl",C,"CT113741250 option ""1250mm-x-5m-roll"" is a 5m roll | 11374-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11377,"ASLAN CT11377 Magenta Transparent Vinyl",C,"CT113771250 option ""1250mm-x-5m-roll"" is a 5m roll | 11377-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11379,"ASLAN CT11379 Ultra Blue Transparent Vinyl",C,"CT113791250 option ""1250mm-x-5m-roll"" is a 5m roll | 11379-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11381,"ASLAN CT11381 Azure Blue Transparent Vinyl",C,"CT113811250 option ""1250mm-x-5m-roll"" is a 5m roll | 11381-SZ02 option ""1250mm-x-25m-roll"" is a 25m roll"
11382,"ASLAN CT11382 Olympic Blue Transparent Vinyl",C,"11382-SZ01 option ""1250mm-x-5m-roll"" is a 5m roll"
11383,"ASLAN CT11383 Light Blue Transparent Vinyl",C,"11383-SZ01 option ""1250mm-x-5m-roll"" is a 5m roll | CT113831250 option ""1250mm-x-25m-roll"" is a 25m roll"
11385,"ASLAN CT11385 Medium Green Transparent Vinyl",C,"11385-SZ01 option ""1250mm-x-5m-roll"" is a 5m roll | CT113851250 option ""1250mm-x-25m-roll"" is a 25m roll"
11388,"ASLAN CT11388 Apple Green Transparent Vinyl",C,"11388-SZ01 option ""1250mm-x-5m-roll"" is a 5m roll | CT113881250 option ""1250mm-x-25m-roll"" is a 25m roll"
11392,"ASLAN CT11392 Blue Transparent Vinyl",C,"11392-SZ01 option ""1250mm-x-5m-roll"" is a 5m roll | CT113921250 option ""1250mm-x-25m-roll"" is a 25m roll"
11395,"ASLAN CT11395 Purple Transparent Vinyl",C,"11395-SZ01 option ""1250mm-x-5m-roll"" is a 5m roll | CT113951250 option ""1250mm-x-25m-roll"" is a 25m roll"
390025,"Doro-Fix 3900",C,"390025-25MMX50M option ""25mm-x-50m"" is a 50m roll | 390050 option ""50mm-x-50m"" is a 50m roll"
90541250,"Doro 9054 Self-adhesive Magnetic Vinyl :: 1250mm x 10m",A,"90541250 £146.00 for 1250mm x 10m = £11.68/m² as a roll (£116.80/m² as a metre rate — impossible)"
89412,"Doro-Bond 894 :: 12mm x 33m",A,"89412 £17.37 for 12mm x 33m = £43.86/m² as a roll (£1447.50/m² as a metre rate — impossible)"
89419,"Doro-Bond 894 :: 19mm x 33m",A,"89419 £26.40 for 19mm x 33m = £42.11/m² as a roll (£1389.47/m² as a metre rate — impossible)"
89425,"Doro-Bond 894 :: 25mm x 33m",A,"89425 £32.48 for 25mm x 33m = £39.37/m² as a roll (£1299.20/m² as a metre rate — impossible)"
89512,"Doro-Bond 895 :: 12mm x 33m",A,"89512 £19.72 for 12mm x 33m = £49.80/m² as a roll (£1643.33/m² as a metre rate — impossible)"
89519,"Doro-Bond 895 :: 19mm x 33m",A,"89519 £31.17 for 19mm x 33m = £49.71/m² as a roll (£1640.53/m² as a metre rate — impossible)"
89525,"Doro-Bond 895 :: 25mm x 33m",A,"89525 £40.04 for 25mm x 33m = £48.53/m² as a roll (£1601.60/m² as a metre rate — impossible)"
390012,"Doro-Fix 3900 :: 12mm x 50m",A,"390012 £2.33 for 12mm x 50m = £3.88/m² as a roll (£194.17/m² as a metre rate — impossible)"
390019,"Doro-Fix 3900 :: 19mm x 50m",A,"390019 £3.54 for 19mm x 50m = £3.73/m² as a roll (£186.32/m² as a metre rate — impossible)"
42012,"Doro-Fix 420 :: 12mm x 50m",A,"42012 £2.33 for 12mm x 50m = £3.88/m² as a roll (£194.17/m² as a metre rate — impossible)"
42019,"Doro-Fix 420 :: 19mm x 50m",A,"42019 £3.54 for 19mm x 50m = £3.73/m² as a roll (£186.32/m² as a metre rate — impossible)"
42025,"Doro-Fix 420 :: 25mm x 50m",A,"42025 £4.66 for 25mm x 50m = £3.73/m² as a roll (£186.40/m² as a metre rate — impossible)"
440212,"Doro-Fix 4402 :: 12mm x 50m",A,"440212 £6.62 for 12mm x 50m = £11.03/m² as a roll (£551.67/m² as a metre rate — impossible)"
440219,"Doro-Fix 4402 :: 19mm x 50m",A,"440219 £9.88 for 19mm x 50m = £10.40/m² as a roll (£520.00/m² as a metre rate — impossible)"
440225,"Doro-Fix 4402 :: 25mm x 50m",A,"440225 £12.95 for 25mm x 50m = £10.36/m² as a roll (£518.00/m² as a metre rate — impossible)"
46512,"Doro-Fix 465 :: 12mm x 50m",A,"46512 £6.37 for 12mm x 50m = £10.62/m² as a roll (£530.83/m² as a metre rate — impossible)"
46519,"Doro-Fix 465 :: 19mm x 50m",A,"46519 £9.68 for 19mm x 50m = £10.19/m² as a roll (£509.47/m² as a metre rate — impossible)"
47012,"Doro-Fix 470 :: 12mm x 50m",A,"47012 £4.96 for 12mm x 50m = £8.27/m² as a roll (£413.33/m² as a metre rate — impossible)"
47019,"Doro-Fix 470 :: 19mm x 50m",A,"47019 £7.54 for 19mm x 50m = £7.94/m² as a roll (£396.84/m² as a metre rate — impossible)"
47025,"Doro-Fix 470 :: 25mm x 50m",A,"47025 £9.92 for 25mm x 50m = £7.94/m² as a roll (£396.80/m² as a metre rate — impossible)"
47050,"Doro-Fix 470 :: 50mm x 50m",A,"47050 £19.84 for 50mm x 50m = £7.94/m² as a roll (£396.80/m² as a metre rate — impossible)"
DFP08,"ASLAN DFP08 UltraTack Matt",C,"DFP08-SZ01 option ""select-length-of-roll-1370mm-x-10m-roll"" is a 10m roll | DFP08-SZ02 option ""select-length-of-roll-1370mm-x-50m-roll"" is a 50m roll | (no sku) option ""1370mm-x-10m-roll-grey-adhesive"" is a 10m roll | (no sku) option ""1370mm-x-50m-roll-grey-adhesive"" is a 50m roll"
DIGI-FABAQ,"Self-adhesive Wallcovering",C,"DIGI-FABAQ610 option ""610mm-x-30m-roll"" is a 30m roll | DIGI-FABAQ914 option ""914mm-x-30m-roll-2"" is a 30m roll | DIGI-FABAQ1067 option ""1067mm-x-30m-roll"" is a 30m roll"
DIGBA450C,"Digi-Banner 450C",C,"DIGBA450C1370 option ""1370mm-x-30m-roll-3"" is a 30m roll | DIGBA450C1600 option ""1600mm-x-30m-roll"" is a 30m roll"
DIGBABO,"Digi-Banner Blockout",C,"DIGBABO1370 option ""1370mm-x-30m-roll-3"" is a 30m roll | DIGBABO1600 option ""1600mm-x-30m-roll"" is a 30m roll"
DIGPA1151370,"Digi-Paper 115",A,"DIGPA1151370 £72.20 for 1372mm x 100m = £0.53/m² as a roll (£52.62/m² as a metre rate — impossible)"
DIGPA140SA,"Digi-Paper 140 Self-Adhesive",A,"DIGPA140SA £137.50 for 1370mm x 30m = £3.35/m² as a roll (£100.36/m² as a metre rate — impossible)"
86525,"Doro-Mount 865 :: 25mm x 50m",A,"86525 £9.76 for 25mm x 50m = £7.81/m² as a roll (£390.40/m² as a metre rate — impossible)"
86612,"Doro-Mount 866 :: 12mm x 50m",A,"86612 £6.12 for 12mm x 50m = £10.20/m² as a roll (£510.00/m² as a metre rate — impossible)"
86619,"Doro-Mount 866 :: 19mm x 50m",A,"86619 £9.28 for 19mm x 50m = £9.77/m² as a roll (£488.42/m² as a metre rate — impossible)"
86625,"Doro-Mount 866 :: 25mm x 50m",A,"86625 £12.21 for 25mm x 50m = £9.77/m² as a roll (£488.40/m² as a metre rate — impossible)"
86712,"Doro-Mount 867 :: 12mm x 50m",A,"86712 £7.35 for 12mm x 50m = £12.25/m² as a roll (£612.50/m² as a metre rate — impossible)"
86719,"Doro-Mount 867 :: 19mm x 50m",A,"86719 £11.14 for 19mm x 50m = £11.73/m² as a roll (£586.32/m² as a metre rate — impossible)"
86725,"Doro-Mount 867 :: 25mm x 50m",A,"86725 £14.65 for 25mm x 50m = £11.72/m² as a roll (£586.00/m² as a metre rate — impossible)"
D-EDGE,"Double Edge-It Tape",A,"D-EDGE £23.70 for 40mm x 25m = £23.70/m² as a roll (£592.50/m² as a metre rate — impossible)"
DRYWIPELAM,"Dry Wipe Film",C,"DRYWIPELAM1040 option ""1040mm-x-100m"" is a 100m roll | DRYWIPELAM1300 option ""1300mm-x-100m"" is a 100m roll | DRYWIPELAM1530 option ""1530mm-x-100m"" is a 100m roll"
D-FABRIC1101370,"D-Fabric 110gsm",A,"D-FABRIC1101370 £168.65 for 1370mm x 45m = £2.74/m² as a roll (£123.10/m² as a metre rate — impossible)"
DIGPA150,"Digi-Paper 150",C,"DIGPA1501370 option ""1370mm-x-61m-roll"" is a 61m roll | DIGPA1501600 option ""1600mm-x-61m-roll"" is a 61m roll"
EDGE2,"Edge-It Tape",A,"EDGE2 £16.80 for 40mm x 25m = £16.80/m² as a roll (£420.00/m² as a metre rate — impossible)"
ENVLAMG1370,"Enviro-Lam Gloss",A,"ENVLAMG1370 £167.00 for 1370mm x 50m = £2.44/m² as a roll (£121.90/m² as a metre rate — impossible)"
ENVLAMM1370,"Enviro-Lam Matt",A,"ENVLAMM1370 £167.00 for 1370mm x 50m = £2.44/m² as a roll (£121.90/m² as a metre rate — impossible)"
ENVPRINTG1370,"Enviro-Print Gloss",A,"ENVPRINTG1370 £188.60 for 1370mm x 50m = £2.75/m² as a roll (£137.66/m² as a metre rate — impossible)"
ENVPRINTM1370,"Enviro-Print Matt",A,"ENVPRINTM1370 £188.60 for 1370mm x 50m = £2.75/m² as a roll (£137.66/m² as a metre rate — impossible)"
EFL,"Essential Floor Laminate",C,"EFL880 option ""880mm-x-50m-roll"" is a 50m roll | EFL1300 option ""1300mm-x-50m"" is a 50m roll"
EGL,"Essential Gloss Laminate",C,"EGL500 option ""500mm-x-50m"" is a 50m roll | EGL760 option ""760mm-x-50m"" is a 50m roll | EGL1370 option ""1370mm-x-50m-2"" is a 50m roll | EGL1520 option ""1520mm-x-50m"" is a 50m roll"
EML,"Essential Matt Laminate",C,"EML760 option ""760mm-x-50m"" is a 50m roll | EML1370 option ""1370mm-x-50m-2"" is a 50m roll | EML1600 option ""1600mm-x-50m"" is a 50m roll"
FJ1151370,"F-Jet 115 Natural Fibers",A,"FJ1151370 £133.50 for 1370mm x 50m = £1.95/m² as a roll (£97.45/m² as a metre rate — impossible)"
FF600,"FF600 Self-adhesive Ferrous Film :: 1000mm x 10m roll",A,"FF600 £105.90 for 1000mm x 10m = £10.59/m² as a roll (£105.90/m² as a metre rate — impossible)"
FF480FERRO,"ASLAN FF480 Printable Self-adhesive Ferrous Film :: 1010mm x 12m roll",A,"FF480FERRO £277.70 for 1010mm x 12m = £22.91/m² as a roll (£274.95/m² as a metre rate — impossible)"
FLATMATT,"Flat Matt Laminate",C,"FLATMATT1300 option ""1300mm-x-50m-roll"" is a 50m roll | FLATMATT1520 option ""1520mm-x-50m-roll-2"" is a 50m roll"
FLOORAPP,Floorappeal,A,"FLOORAPPLT £425.90 for 1370mm x 30m = £10.36/m² as a roll (£310.88/m² as a metre rate — impossible) | FLOORAPPHT £425.90 for 1370mm x 30m = £10.36/m² as a roll (£310.88/m² as a metre rate — impossible) | FLOORAPPHTX £552.25 for 1370mm x 30m = £13.44/m² as a roll (£403.10/m² as a metre rate — impossible)"
603,"Gaffer Tape :: 50mm x 50m",A,"60350 £3.90 for 50mm x 50m = £1.56/m² as a roll (£78.00/m² as a metre rate — impossible)"
GLASSAPP,GlassApeel,C,"GLASSAPPCLEAR option ""transparent-1370mm-x-10m"" is a 10m roll | GLASSAPP-SZ02 option ""transparent-1370mm-x-30m"" is a 30m roll | GLASSAPPWHITE option ""white-1370mm-x-10m"" is a 10m roll | GLASSAPP-SZ04 option ""white-1370mm-x-30m"" is a 30m roll"
PHL,"Jessup Glo-Brite® 7535 Photo Luminescent Vinyl",A,"PHL £354.90 for 1000mm x 10m = £35.49/m² as a roll (£354.90/m² as a metre rate — impossible)"
NES-001228,"Gudy 804",A,"NES-001228 £438.70 for 1300mm x 50m = £6.75/m² as a roll (£337.46/m² as a metre rate — impossible)"
61SL10,"Heat Tape",A,"61SL10 £8.10 for 10mm x 66m = £12.27/m² as a roll (£810.00/m² as a metre rate — impossible)"
165SML,"Kernow 165SML Roll-Up Film",C,"165SML1270 option ""1270mm-x-30m-roll"" is a 30m roll"
180STL,"Kernow Ultimate Lightblock 180STL Textured Roll-Up Film",C,"180STL914 option ""914mm-x-30m-roll"" is a 30m roll | 180STL1270 option ""1270mm-x-30m-roll"" is a 30m roll"
200SGB,"Kernow Opaline 201SGB Backlit Film",C,"200SGB914 option ""914mm-x-30m-roll"" is a 30m roll | 200SGB1270 option ""1270mm-x-30m-roll"" is a 30m roll | 200SGB1370 option ""1370mm-x-30m-roll"" is a 30m roll | 200SGB1524 option ""1524mm-x-30m-roll"" is a 30m roll"
230STL,"Kernow Ultimate Lightblock 230STL Textured Roll-Up Film",C,"230STL914 option ""914mm-x-30m"" is a 30m roll | 230STL1270 option ""1270mm-x-30m-roll"" is a 30m roll | 230STL1524 option ""1524mm-x-30m-roll"" is a 30m roll"
385STL,"Kernow Ultimate Lightblock 385STL Textured Pop-Up Film",C,"385STL1270 option ""1270mm-x-20m-roll"" is a 20m roll"
142SGC,"Kernow Klearview 142SGC Transparent Film",C,"142SGC1370 option ""1370mm-x-30m-roll"" is a 30m roll"
LOWT,"Low Tack Rag on a Roll",A,"LOWT £11.50 for 300mm x 36m = £1.06/m² as a roll (£38.33/m² as a metre rate — impossible)"
DIGI-MESH,Digi-Mesh,C,"DIGI-MESH1370 option ""1370mm-x-30m-roll-3"" is a 30m roll | DIGI-MESH1600 option ""1600mm-x-30m-roll"" is a 30m roll"
MOUNT1300,"General Purpose Mount Film",A,"MOUNT1300 £132.80 for 1300mm x 50m = £2.04/m² as a roll (£102.15/m² as a metre rate — impossible)"
MP326,"ASLAN MP326 Floor Protect Laminate",C,"MP326-SZ01 option ""1370mm-x-5m-roll-4"" is a 5m roll | MP3261370 option ""1370mm-x-25m-roll-3"" is a 25m roll"
EASYDOT,"Neschen Easy Dot - Digital Print Vinyl",A,"EASYDOTWMATT1370 £220.40 for 1370mm x 50m = £3.22/m² as a roll (£160.88/m² as a metre rate — impossible) | EASYDOTCMATT1370 £233.70 for 1370mm x 50m = £3.41/m² as a roll (£170.58/m² as a metre rate — impossible)"
EASYDOTPP,"Neschen UVprint Easy Dot PP - Digital Print Vinyl",A,"EASYDOTPPTRANS £272.60 for 1370mm x 50m = £3.98/m² as a roll (£198.98/m² as a metre rate — impossible)"
PP815,"Poli Print 815 - 4 Year Matt Transparent Digital Vinyl",C,"PP8151370 option ""size-format-1372mm-x-50m"" is a 50m roll"
PP820,"Poli Print 820 - 4 Year Gloss White (Grey adhesive) Digital Vinyl",C,"PP820500 option ""size-format-500mm-x-50m"" is a 50m roll | PP820760 option ""size-format-760mm-x-50m"" is a 50m roll | PP8201372 option ""size-format-1372mm-x-50m"" is a 50m roll | PP8201524 option ""size-format-1524mm-x-50m"" is a 50m roll"
PP1203,"Poli Print 1203 - 5 Year Polymeric Gloss White Digital Vinyl - Grey Air Free Adhesive",C,"PP12031370 option ""size-format-1370mm-x-50m"" is a 50m roll | PP12031600 option ""size-format-1600mm-x-50m"" is a 50m roll"
PP1235,"Poli Print 1235 - 5 Year Polymeric Transparent Matt Digital Vinyl / Laminate",C,"PP12351370 option ""size-format-1370mm-x-50m"" is a 50m roll"
FF200,"FF200 Printable Ferrous Film (Non adhesive) :: 1260mm Wide",C,"FF200FERRO option ""1260mm-x-25m-roll"" is a 25m roll | FF200-SZ02 option ""1260mm-x-50m-roll"" is a 50m roll"
RJO75,"Ri-Jet Optima P75 - 5 Year Polymeric Gloss White Digital Vinyl",C,"RJO751370 option ""size-format-1370mm-x-50m"" is a 50m roll"
RJ100,"Ri-Jet 100 Gloss White Removable - 3 Year Digital Vinyl",C,"RJ1001370 option ""1370mm-x-50m-4"" is a 50m roll"
RJ100AF,"Ri-Jet 100 Gloss White Permanent AirFlow - 3 Year Digital Vinyl",C,"RJ100AF1370 option ""1370mm-x-50m"" is a 50m roll"
RJ100BA,"Ri-Jet 100 Gloss White Blockout Removable - 3 Year Digital Vinyl",C,"RJ100BA1370 option ""1370mm-x-50m-4"" is a 50m roll | RJ100BA1600 option ""1600mm-x-50m-2"" is a 50m roll"
RJ75,"Ritrama Ri-Jet 75 - 7 Year Digital Vinyl",C,"RJ75760 option ""size-format-760mm-x-50m"" is a 50m roll | RJ751600 option ""size-format-1600mm-x-50m"" is a 50m roll"
RJ100CR1370,"Ri-Jet M100 Gloss Clear Removable SB - 3 Year Transparent Digital Vinyl",A,"RJ100CR1370 £183.50 for 1370mm x 50m = £2.68/m² as a roll (£133.94/m² as a metre rate — impossible)"
RJ75HG1370,"Ri-Jet 75 Hi-Grip",A,"RJ75HG1370 £329.70 for 1370mm x 50m = £4.81/m² as a roll (£240.66/m² as a metre rate — impossible)"
SUPA-FLAT,Supa-Flat,C,"SUPA-FLAT914 option ""914mm-x-50m-roll"" is a 50m roll | SUPA-FLAT1070 option ""1070mm-x-50m-roll"" is a 50m roll | SUPA-FLAT1370 option ""1370mm-x-50m-3"" is a 50m roll"
909,"TransPrint for Image Flex Pro :: 500mm x 25m",A,"909HT £51.30 for 500mm x 25m = £4.10/m² as a roll (£102.60/m² as a metre rate — impossible) | 909L £66.00 for 500mm x 25m = £5.28/m² as a roll (£132.00/m² as a metre rate — impossible)"
ULT,Ultracrystaline,C,"ULT1050 option ""1050mm-x-50m-perm-perm"" is a 50m roll | ULT1310 option ""1310mm-x-50m-perm-perm"" is a 50m roll | ULT1310R option ""1310mm-x-50m-perm-removable-reverse-wound"" is a 50m roll | ULT1530 option ""1530mm-x-50m-perm-perm"" is a 50m roll"
VC104,"Reflexite VC104 Vehicle Conspicuity Tape Rigid Grade 50mm x 50m",A,"VC104 £121.58 for 50mm x 50m = £48.63/m² as a roll (£2431.60/m² as a metre rate — impossible)"
46525,"Doro-Fix 465 :: 25mm x 50m",A,"46525 £12.73 for 25mm x 50m = £10.18/m² as a roll (£509.20/m² as a metre rate — impossible)"
