"id","name","prodnum","manufacturer","imgsm","discexclusions","suppressreport","barcode","vendorid","vendoritemid","vendordesc","purchcosteach","avgcosteach","mapprice","acctsysprice","casequantity","casebarcode","acctsysasset","acctsyscogs","acctsysincome","acctsyspri","acctsysalt","acctsysprimod","acctsysaltmod","invtype","notifystock","invlevel","invoversell","invsalesorder","invshipmanager","invpurchord","warehouseloc","delmethod","shipnumbox","servreq","shipmustrate","shipfreethreshtrigger","customship","shiponename","shiponeprice","shiptwoname","shiptwoprice","shipthreename","shipthreeprice","shiplocal","shipint","shiplength","shipwidth","shipheight","shipnest","shipweight","xprodoptions","xprodoptionsdisp","addemtext","customdata","customdispoos","customdispover","purchcostdropeach","mappricewhl","invitemminquan","invitemincquan","invitemmaxquan","invautonegwhl","invautonegchannel","easypick"
"12348","ASLAN Sparkle Colour 12348 Baby Pink","12348","Aslan","12348-Baby-Pink.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12350","ASLAN Sparkle Colour 12350 Silver","12350","Aslan","12350-Silver.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12351","ASLAN Sparkle Colour 12351 Gold","12351","Aslan","12351-Gold.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12355","ASLAN Sparkle Colour 12355 Green","12355","Aslan","12355-Green.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12356","ASLAN Sparkle Colour 12356 Red","12356","Aslan","12356-Red.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12358","ASLAN Sparkle Colour 12358 Black","12358","Aslan","12358-Black.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12381","ASLAN Sparkle Colour 12381 Baby Blue","12381","Aslan","12381-Baby-Blue.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12386","ASLAN Sparkle Colour 12386 Rose Gold","12386","Aslan","12386-Rose-Gold.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12388","ASLAN Sparkle Colour 12388 Rainbow White","12388","Aslan","12388-Rainbow-White.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12389","ASLAN Sparkle Colour 12389 Royal Blue","12389","Aslan","12389-Royal-Blue.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12390","ASLAN Sparkle Colour 12390 Champagne","12390","Aslan","12390-Champagne.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","SC123","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12407","ASLAN Caress Colour 12407 Anthracite","12407","Aslan","12407_Anthracite.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12408","ASLAN Caress Colour 12408 White","12408","Aslan","12408_White.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12409","ASLAN Caress Colour 12409 Red","12409","Aslan","12409_Red.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12413","ASLAN Caress Colour 12413 Blue","12413","Aslan","12413_Blue.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12418","ASLAN Caress Colour 12418 Black","12418","Aslan","12418_Black.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12419","ASLAN Caress Colour 12419 Lemon","12419","Aslan","12419_Lemon.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12420","ASLAN Caress Colour 12420 Neon Yellow","12420","Aslan","12420_Neon_Yellow.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12422","ASLAN Caress Colour 12422 Orange","12422","Aslan","12422_Orange.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12423","ASLAN Caress Colour 12423 Magenta","12423","Aslan","12423_Magenta.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12425","ASLAN Caress Colour 12425 Neon Green","12425","Aslan","12425_Neon_Green.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12427","ASLAN Caress Colour 12427 Grey","12427","Aslan","12427_Grey.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12440","ASLAN Caress Colour 12440 Green","12440","Aslan","12440_Green.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"12492","ASLAN Caress Colour 12492 Neon Orange","12492","Aslan","12492_Neon_Orange.jpg","","0","","DEFAULT","","","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CC124","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13101","Polished Rose Gold","13101","Aslan","13101-Polished-Rose-Gold.png","","0","","DEFAULT","","Polished Rose Gold","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA231250, CA23625","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13102","Polished Silver","13102","Aslan","13102-Polished-Silver.png","","0","","DEFAULT","","Polished Silver","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA231250, CA23625","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13103","Polished Gold","13103","Aslan","13103-Polished-Gold.png","","0","","DEFAULT","","Polished Gold","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA23625, CA231250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13104","Brushed Aluminium","13104","Aslan","13104-Brushed-Aluminium.png","","0","","DEFAULT","","Brushed Aluminium","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA23625, CA231250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13105","Brushed Copper","13105","Aslan","13105-Brushed-Copper.png","","0","","DEFAULT","","Brushed Copper","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA23625, CA231250,","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13106","Brushed Gold","13106","Aslan","13106-Brushed-Gold.png","","0","","DEFAULT","","Brushed Gold","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA231250, CA23625","ADDON, DEFAULT","","","Back in stock soon.  Click to receive an in stock email notification for this item as soon as it becomes available.","","0","0","0","0","0","0","0",""
"13107","Polished Copper","13107","Aslan","13107-Polished-Copper.png","","0","","DEFAULT","","Polished Copper","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA231250, CA23625","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13109","Brushed Steel","13109","Aslan","13109-Brushed-Steel.png","","0","","DEFAULT","","Brushed Steel","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA231250, CA23625","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13111","Polished Cherry Red","13111","Aslan","13111-Cherry.png","","0","","DEFAULT","","Polished Cherry Red","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA241220, CA24610","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13112","Polished Emerald Green","13112","Aslan","13112-Emerald.png","","0","","DEFAULT","","Polished Emerald Green","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA241220, CA24610","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13113","Polished Violet","13113","Aslan","13113-Violet.png","","0","","DEFAULT","","Polished Violet","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA241220, CA24610","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13114","Polished Azure Blue","13114","Aslan","13114-Azure.png","","0","","DEFAULT","","Polished Azure Blue","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA241220, CA24610","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13115","Polished Magenta","13115","Aslan","13115-Magenta.png","","0","","DEFAULT","","Polished Magenta","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA241220, CA24610","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13117","Polished Gold","13117","Aslan","13117-Polished-Gold.png","","0","","DEFAULT","","Polished Silver","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA301250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13119","Polished Silver","13119","Aslan","13119-Polished-Silver.png","","0","","DEFAULT","","Polished Silver","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA301250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13122","Polished Steel","13122","Aslan","13122-Steel.png","","0","","DEFAULT","","Polished Steel","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA251220","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13123","Polished Gun Metal","13123","Aslan","13123-Gun-Metal.png","","0","","DEFAULT","","Polished Gun Metal","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA251220","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13124","Brushed Aluminium","13124","Aslan","13124-Brushed-Aluminium.png","","0","","DEFAULT","","Brushed Aluminium","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALINV","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA301250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13125","Brushed Copper","13125","Aslan","13125-Brushed-Copper.png","","0","","DEFAULT","","Brushed Copper","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA301250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13126","Brushed Gold","13126","Aslan","13126-Brushed-Gold.png","","0","","DEFAULT","","Brushed Gold","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA301250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13127","Polished Silver made with 70% PCRP","13127","Aslan","13127-Silver.jpg","","0","","DEFAULT","","Polished Silver","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","Roll_CRA31","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13128","Polished Gold made with 70% PCRP","13128","Aslan","13128-Gold.jpg","","0","","DEFAULT","","Polished Gold","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","Roll_CRA31","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13129","Brushed Stainless Steel","13129","Aslan","13129-Brushed-Steel.png","","0","","DEFAULT","","Brushed Stainless Steel","0","0","0","1","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","CA301250","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
"13136S-Platinum","Aslan 13136S Platinum MetalLux Film","13136","Aslan","13136-Platinum.png","","0","","DEFAULT","2147","Aslan SE75 Mirror Effect Film :: 1250mm Width","0","0","0","0","1","","asset-inventory","cogs-default","income-invitem","","","0","0","LOCALUNL","","0","0","0","0","0","A1","C","0","0","0","0","UK_EU_WORLDWIDE","Default Carrier","0","","0","","0","UPSTOOLS","UPSTOOLS","1","1","1","0","1","","ADDON, DEFAULT","","","","","0","0","0","0","0","0","0",""
