bucket,product,option,website_code,michael_answer,what_we_need
"C. ONE CODE, SEVERAL LENGTHS","D-View Micro Perforated Vinyl","1520mm x 5m Roll",D-VIEW-sz03,D-VIEW1520,"D-VIEW1520 is already the code for ""D-View Micro Perforated Vinyl - 1520mm x 50m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS",Digi-Fab,"1067mm x 30m Roll",DIGI-FAB-sz02,DIGI-FAB1067,"DIGI-FAB1067 is already the code for ""Digi-Fab - 1067mm x 15m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS",Digi-Fab,"1370mm x 30m Roll",DIGI-FAB-sz04,DIGI-FAB1370,"DIGI-FAB1370 is already the code for ""Digi-Fab - 1370mm x 15m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS",Digi-Fab,"1520mm x 30m Roll",DIGI-FAB-sz06,DIGI-FAB1524,"DIGI-FAB1524 is already the code for ""Digi-Fab - 1520mm x 15m Roll"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","FF200 Printable Ferrous Film (Non adhesive) :: 1260mm Wide","1260mm x 50m Roll",FF200-sz02,FF200FERRO,"FF200FERRO is already the code for ""FF200 Printable Ferrous Film (Non adhesive) :: 1260mm Wide -"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"Z. ALREADY DONE",GlassApeel,"Frosted 1370mm x 10m",GLASSAPP-sz05,GLASSAPPFROST,"No action needed, the site already carries this code."
"A. NOT ANSWERED",GlassApeel,"Frosted 1370mm x 30m",GLASSAPP-sz06,,"This row was left blank. Please give the Sage code, or tell us the option should be removed."
"Z. ALREADY DONE",GlassApeel,"Solar UV 1370mm x 10m",GLASSAPP-sz07,GLASSAPPSOLAR,"No action needed, the site already carries this code."
"A. NOT ANSWERED",GlassApeel,"Solar UV 1370mm x 30m",GLASSAPP-sz08,,"This row was left blank. Please give the Sage code, or tell us the option should be removed."
"Z. ALREADY DONE",GlassApeel,"Transparent 1370mm x 10m",GLASSAPP-sz01,GLASSAPPCLEAR,"No action needed, the site already carries this code."
"A. NOT ANSWERED",GlassApeel,"Transparent 1370mm x 30m",GLASSAPP-sz02,,"This row was left blank. Please give the Sage code, or tell us the option should be removed."
"Z. ALREADY DONE",GlassApeel,"White 1370mm x 10m",GLASSAPP-sz03,GLASSAPPWHITE,"No action needed, the site already carries this code."
"A. NOT ANSWERED",GlassApeel,"White 1370mm x 30m",GLASSAPP-sz04,,"This row was left blank. Please give the Sage code, or tell us the option should be removed."
"C. ONE CODE, SEVERAL LENGTHS","Gold Glitter","1220mm wide — per metre",GL5-sz10,GL5,"GL5 is already the code for ""Gold Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"G. NO USABLE CODE","Graphtec Smart Knives",,GSK-sz05,"THREE OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"C. ONE CODE, SEVERAL LENGTHS","Green Glitter","1220mm wide — per metre",GL12-sz10,GL12,"GL12 is already the code for ""Green Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","M8 Bright Yellow","part roll - price per mtr at 1220mm",M8_Bright_Yellow-sz01,M8,"M8 is already the code for ""M8 Bright Yellow - full roll - 1220mm x 50 mtr"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Magenta Glitter","1220mm wide — per metre",GL13-sz10,GL13,"GL13 is already the code for ""Magenta Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"Y. WE CAN APPLY THIS","Magnetic Tape","Choose quantity — 12.7mm by the roll",MT-sz01,MAGTAP,"No action needed, the site already carries this code."
"Y. WE CAN APPLY THIS","Magnetic Tape","Choose quantity — 25.4mm by the roll",MT-sz03,MAGTAP2,"No action needed, the site already carries this code."
"F. PRICE DOES NOT ADD UP","Magnetic Tape","Select Polarity — Type A Polarity",MT-sz05,MAGTAP3,"Site shows £0.00 but Sage MAGTAP3 is £14.20, which does not divide evenly. Please confirm which is right."
"F. PRICE DOES NOT ADD UP","Magnetic Tape","Select Polarity — Type B Polarity",MT-sz06,MAGTAP4,"Site shows £0.00 but Sage MAGTAP4 is £28.40, which does not divide evenly. Please confirm which is right."
"C. ONE CODE, SEVERAL LENGTHS","Masking Tape :: 25mm x 50m","Carton of 36 rolls",MT1-sz02,MT1,"MT1 is already the code for ""Masking Tape :: 25mm x 50m"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Masking Tape :: 50mm x 50m","Carton of 24 rolls",MT2-sz02,MT2,"MT2 is already the code for ""Masking Tape :: 50mm x 50m"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"G. NO USABLE CODE","Mimaki Smart Knives",,MSK-sz02,"FOUR OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Moka Glitter","per metre",GL16-sz01,GL16,"Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Mutoh Smart Knives",,Mutoh_Smart_Knives-sz02,"THREE OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"C. ONE CODE, SEVERAL LENGTHS","Navy Blue Glitter","1220mm wide — per metre",GL15-sz10,GL15,"GL15 is already the code for ""Navy Blue Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"Z. ALREADY DONE","Neschen UVprint Easy Dot PP – Digital Print Vinyl","Neschen UVprint Easy Dot PP - Digital Print Vinyl - Choose Colour Below — Transparent 6042598",EASYDOTPP-sz01,EASYDOTPPTRANS,"No action needed, the site already carries this code."
"C. ONE CODE, SEVERAL LENGTHS","Pack of 12 Black Banner Bungees","Ball End",Banner_Bungees_Black-sz02,BUNGBALLBLACK,"BUNGBALLBLACK is already the code for ""Pack of 12 White Banner Bungees"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Pack of 12 Black Banner Bungees","T-Bar End",Banner_Bungees_Black-sz01,BUNGTENDBLACK,"BUNGTENDBLACK is already the code for ""Pack of 12 White Banner Bungees"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Pack of 5 Plastic Squeegees","Pack of 250 (53p each)",S-sz02,S,"You gave S here and again on row 69 of your sheet. Only one line can carry it, and which one is your call, not ours."
"C. ONE CODE, SEVERAL LENGTHS","Pack of 5 Plastic Squeegees","Pack of 5 (69p each)",S-sz01,S,"You gave S here and again on row 68 of your sheet. Only one line can carry it, and which one is your call, not ours."
"C. ONE CODE, SEVERAL LENGTHS","Red Glitter","1220mm wide — per metre",GL8-sz10,GL8,"GL8 is already the code for ""Red Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"G. NO USABLE CODE","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1370mm x 5m",RJ50STA/F-sz03,RJ50STA/F1370,"Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 1520mm x 5m",RJ50STA/F-sz05,RJ50STA/F1524,"Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Ri-Jet C50 Ultimate Slide & Tack Airflow","Ri-Jet C50 Ultimate Slide & Tack Airflow - 760mm x 5m",RJ50STA/F-sz01,RJ50STA/F760,"Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"Z. ALREADY DONE","Ri-Mark Event Series Colour Selectors","Ri-Mark Event Series Colour Pocket Swatch",Ri-Mark-Event-Colour-Pocket-Swatch,COLSELEVENTPS,"No action needed, the site already carries this code."
"Z. ALREADY DONE","Ri-Mark Optima Series Colour Selectors","Ri-Mark Optima Series Colour Pocket Swatch",Ri-Mark-Optima-Colour-Pocket-Swatch,COLSELOPTIMAPS,"No action needed, the site already carries this code."
"Z. ALREADY DONE","Ri-Mark Platinum Series Colour Selectors","Ri-Mark Platinum Series Colour Pocket Swatch",Ri-Mark-Platinum-Colour-Pocket-Swatch,COLSELPLATINUMPS,"No action needed, the site already carries this code."
"Z. ALREADY DONE","Ritrama CF01 Pink Fluorescent","Size / Format — part roll - price per mtr",CF01-sz01,CF011220,"No action needed, the site already carries this code."
"G. NO USABLE CODE","Roland Smart Knives","Choose new or exchange knife — Exchange Smart Knife","RSK / MSK-sz06","FOUR OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"B. POINTS AT ANOTHER ROW","Roland Smart Knives","Choose new or exchange knife — New Smart Knife","RSK / MSK-sz05","SEE ABOVE","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"C. ONE CODE, SEVERAL LENGTHS","Salmon Glitter","1220mm wide — per metre",GL18-sz10,GL18,"GL18 is already the code for ""Salmon Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Silver Glitter","1220mm wide — per metre",GL7-sz10,GL7,"GL7 is already the code for ""Silver Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"C. ONE CODE, SEVERAL LENGTHS","Silver Turbo Heat Transfer Vinyl","Size / Format — 500mm x 1000mm",4930-sz03,4930500.0,"4930500 is already the code for ""Silver Turbo Heat Transfer Vinyl - 500mm wide — per metre"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"G. NO USABLE CODE","Summa Smart Knives","Choose new or exchange knife — Exchange Smart Knife",HSK-sz05,"THREE OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"B. POINTS AT ANOTHER ROW","Summa Smart Knives","Choose new or exchange knife — New Smart Knife",HSK-sz04,"SEE ABOVE","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"Z. ALREADY DONE","Swann Morton No:10A Scalpel Blades",,"No: 10A Blades",B,"No action needed, the site already carries this code."
"Z. ALREADY DONE","Swann Morton No:3 Scalpel Handle",,"No: 3 Handle",H,"No action needed, the site already carries this code."
"C. ONE CODE, SEVERAL LENGTHS","Yellow Glitter","1220mm wide — per metre",GL6-sz10,GL6,"GL6 is already the code for ""Yellow Glitter"". Sage cannot put the same stock code on two lines, so this option needs its own code, or it should be sold per metre instead."
"D. OPTIONS NOT BUILT YET","ASLAN 85K",,85K,"85K1250 / 85K625 / TWO OPTIONS, EACH PRICED BY THE METRE","You gave 2 codes (85K1250, 85K625) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN D160 Diffuser",,1023.0,"D1601350 / D160675 / TWO OPTIONS, EACH PRICED BY THE METRE","You gave 2 codes (D1601350, D160675) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN DFP08 UltraTack Matt","Select Length of Roll — 1370mm x 10m Roll",DFP08-sz01,"DFP081370 / DFP08G1370 / TWO OPTIONS, EACH PRICED IN 10M STEPS","You gave 2 codes (DFP081370, DFP08G1370) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN EL300 Dry Apply Glass Etch",,EL300,"EL300630 / EL3001260 / EL3001520 / THREE OPTIONS, EACH PRICED BY THE METRE","You gave 3 codes (EL300630, EL3001260, EL3001520) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN FF410 Self-adhesive Ferrous Film",,FF410,"FF410FERRO / FF410FERRO1370 / TWO SEPERATE PRODUCTS, EACH PRICED BY THE ROLL","You gave 2 codes (FF410FERRO, FF410FERRO1370) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN FF550 Dry Wipe Self-adhesive Ferrous Film",,FF550,"FF550FERRO / FF550FERRO1370 / TWO SEPERATE PRODUCTS, THE FIRST SOLD BY THE ROLL, THE SECOND SOLD BY THE METRE","You gave 2 codes (FF550FERRO, FF550FERRO1370) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN S41",,S41,"S411250 / S41625 / TWO OPTIONS, EACH PRICED BY THE ROLL","You gave 2 codes (S411250, S41625) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN S62",,S62,"S621250 / S62625 / S62416 / THREE OPTIONS, EACH PRICED IN 10M STEPS","You gave 3 codes (S621250, S62625, S62416) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN S64",,S64,"S641250 / S64625 / TWO OPTIONS, EACH PRICED BY THE METRE","You gave 2 codes (S641250, S64625) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN S66",,S66,"S661250 / S66625 / TWO OPTIONS, EACH PRICED BY THE METRE","You gave 2 codes (S661250, S66625) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","ASLAN S68",,S68,"S681250 / S68625 / TWO OPTIONS, EACH PRICED BY THE METRE","You gave 2 codes (S681250, S68625) but the site has one line here. Confirm the full option list and we will build it."
"B. POINTS AT ANOTHER ROW","ASLAN SRL96 rPET Anti-Graffiti Laminate",,SRL96-sz01,"REPEAT ROW 28","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"B. POINTS AT ANOTHER ROW","ASLAN SRL96 rPET Anti-Graffiti Laminate",,(none),"REPEAT ROW 29","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"G. NO USABLE CODE","Graphtec Smart Knives",,GSK-sz04,"FOUR OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"D. OPTIONS NOT BUILT YET","Image Flex Pro Soft White 4030",,4030.0,"IMAPSW500 / IMAPSW750 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (IMAPSW500, IMAPSW750) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Image Flex Turbo Print 4036",,4036.0,"IMATP500 / IMATP750 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (IMATP500, IMATP750) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Image Flex Turbo Print Sub Block 4010",,4010.0,"IMAPSB500 / IMAPSB750 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (IMAPSB500, IMAPSB750) but the site has one line here. Confirm the full option list and we will build it."
"B. POINTS AT ANOTHER ROW","Magnetic Tape","Choose quantity — 12.7mm 1 pack of 5 rolls",MT-sz02,"REPEAT ROWS 55-58","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"B. POINTS AT ANOTHER ROW","Magnetic Tape","Choose quantity — 25.4mm 1 pack of 5 rolls",MT-sz04,"REPEAT ROWS 55-58","Your answer refers to another row, so this line still has no code of its own. Please confirm the code for this specific option."
"G. NO USABLE CODE","Mimaki Smart Knives",,MSK-sz01,"FOUR OPTIONS, EACH PRICED THE SAME BUT EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"G. NO USABLE CODE","Mutoh Smart Knives",,Mutoh_Smart_Knives-sz01,"FOUR OPTIONS, EACH PRICED INDIVIDUALLY AND EACH WITH AN OPTION FOR NEW OR EXCHANGE (PRICED DIFFERENTLY)","Your answer describes how the product works but does not give a Sage stock code. Please give the code for each option."
"D. OPTIONS NOT BUILT YET","Reeded Glass Film :: 1520mm Wide",,RGF,"RGF121520 / RGF061520 / TWO OPTIONS, EACH SOLD BY THE METRE","You gave 2 codes (RGF121520, RGF061520) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Regusign P20",,P20,"P201200 / P20600 / TWO OPTIONS, EACH SOLD BY THE ROLL","You gave 2 codes (P201200, P20600) but the site has one line here. Confirm the full option list and we will build it."
"D. OPTIONS NOT BUILT YET","Regusign PF2",,PF2,"PF2-1200 / PF2-600 / TWO OPTIONS, EACH SOLD BY THE ROLL","You gave 2 codes (PF2-1200, PF2-600) but the site has one line here. Confirm the full option list and we will build it."
