Status,Product,Option,"Website code (old)","Your SKU / Resolution",Price,"What we did / what we need from you"
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas 16x20"" (400mm x 500mm)",,18005,QP1620,5.9,"SKU on the site changed from ""18005"" to your Sage code ""QP1620"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas 20x30"" (500mm x 760mm)",,18006,QP2030,8.6,"SKU on the site changed from ""18006"" to your Sage code ""QP2030"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas 8""x12"" (200mm x 300mm)",,18002,QP812,3.4,"SKU on the site changed from ""18002"" to your Sage code ""QP812"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas 8""x8"" (200mm x 200mm)",,18001,QP88,3.15,"SKU on the site changed from ""18001"" to your Sage code ""QP88"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Backboard 12""x12"" (300mm x 300mm)",,18009,QPB1212,2.25,"SKU on the site changed from ""18009"" to your Sage code ""QPB1212"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Backboard 12""x16"" (300mm x 400mm)",,18010,QPB1216,2.4,"SKU on the site changed from ""18010"" to your Sage code ""QPB1216"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Backboard 16""x20"" (400mm x 500mm)",,18011,QPB1620,3.4,"SKU on the site changed from ""18011"" to your Sage code ""QPB1620"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Backboard 20""x30"" (500mm x 760mm)",,18012,QPB2030,5.0,"SKU on the site changed from ""18012"" to your Sage code ""QPB2030"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Backboard 8""x12"" (200mm x 300mm)",,18008,QPB812,2.1,"SKU on the site changed from ""18008"" to your Sage code ""QPB812"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Backboard 8""x8"" (200mm x 200mm)",,18007,QPB88,1.9,"SKU on the site changed from ""18007"" to your Sage code ""QPB88"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Bracket Stand",,18016,QPB-BB,0.7,"SKU on the site changed from ""18016"" to your Sage code ""QPB-BB"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Float Frame 12""x12"" (300mm x 300mm)",,18013,QPFF1212,13.5,"SKU on the site changed from ""18013"" to your Sage code ""QPFF1212"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Float Frame 12""x16"" (300mm x 400mm)",,18014,QPFF1216,14.3,"SKU on the site changed from ""18014"" to your Sage code ""QPFF1216"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Canvas Float Frame 16""x20"" (400mm x 500mm)",,18015,QPFF1620,16.9,"SKU on the site changed from ""18015"" to your Sage code ""QPFF1620"". No further action needed."
"DONE - SAGE CODE APPLIED","ArtWrap QuickPro Stapler",,18017,QPMSR,17.4,"SKU on the site changed from ""18017"" to your Sage code ""QPMSR"". No further action needed."
"DONE - SAGE CODE APPLIED","ASLAN 13136S Platinum MetalLux Film",,13136,13136S1250,19.48,"SKU on the site changed from ""13136"" to your Sage code ""13136S1250"". No further action needed."
"NEEDS DECISION - MULTIPLE CODES","ASLAN 85K",,85K,"85K1250 / 85K625",3.15,"You listed more than one Sage code here (""85K1250 / 85K625""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN BBL920 PVC FREE Blackboard Film :: 1250mm Wide",,BBL920,,21.7,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN Blockout Film",,1004,"Product need breaking into two seperate products",22.88,"The SKU/Resolution box has an instruction rather than a code (""Product need breaking into two seperate products""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11809 White","or 1250mm wide — full 50 mtr roll",C11809S-sz02,,222.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11809 White","or 1250mm wide — part roll - price per mtr",C11809S-sz01,,4.92,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11809 White","Size / Format — full 50 mtr roll",C11809S-sz04,,111.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11809 White","Size / Format — part roll - price per mtr",C11809S-sz03,,2.46,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11810 Black","or 1250mm wide — full 50 mtr roll",C11810S-sz02,,222.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11810 Black","or 1250mm wide — part roll - price per mtr",C11810S-sz01,,4.92,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11810 Black","Size / Format — full 50 mtr roll",C11810S-sz04,,111.0,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"PLEASE CONFIRM - DELETE FROM SITE?","ASLAN C11810 Black","Size / Format — part roll - price per mtr",C11810S-sz03,,2.46,"Marked red with no SKU/Resolution entered - we read this as ""no longer applicable"". Please confirm we can remove it."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11355 Yellow Transparent Vinyl","1250mm x 25m Roll",11355-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11355 Yellow Transparent Vinyl","1250mm x 5m Roll",11355-sz01,CT113551250,38.1,"SKU on the site changed from ""11355-sz01"" to your Sage code ""CT113551250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11356 Golden Yellow Transparent Vinyl","1250mm x 25m Roll",11356-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11356 Golden Yellow Transparent Vinyl","1250mm x 5m Roll",11356-sz01,CT113561250,38.1,"SKU on the site changed from ""11356-sz01"" to your Sage code ""CT113561250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11357 Orange Transparent Vinyl","1250mm x 25m Roll",11357-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11357 Orange Transparent Vinyl","1250mm x 5m Roll",11357-sz01,CT113571250,38.1,"SKU on the site changed from ""11357-sz01"" to your Sage code ""CT113571250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11359 Dark Red Transparent Vinyl","1250mm x 25m Roll",11359-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11359 Dark Red Transparent Vinyl","1250mm x 5m Roll",11359-sz01,CT113591250,38.1,"SKU on the site changed from ""11359-sz01"" to your Sage code ""CT113591250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11360 Violet Transparent Vinyl","1250mm x 25m Roll",11360-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11360 Violet Transparent Vinyl","1250mm x 5m Roll",11360-sz01,CT113601250,38.1,"SKU on the site changed from ""11360-sz01"" to your Sage code ""CT113601250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11364 Mint Green Transparent Vinyl","1250mm x 25m Roll",11364-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11364 Mint Green Transparent Vinyl","1250mm x 5m Roll",11364-sz01,CT113641250,38.1,"SKU on the site changed from ""11364-sz01"" to your Sage code ""CT113641250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11368 Dove Grey Transparent Vinyl","1250mm x 25m Roll",11368-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11368 Dove Grey Transparent Vinyl","1250mm x 5m Roll",11368-sz01,CT113681250,38.1,"SKU on the site changed from ""11368-sz01"" to your Sage code ""CT113681250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11369 Medium Grey Transparent Vinyl","1250mm x 25m Roll",11369-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11369 Medium Grey Transparent Vinyl","1250mm x 5m Roll",11369-sz01,CT113691250,38.1,"SKU on the site changed from ""11369-sz01"" to your Sage code ""CT113691250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11371 Bright Yellow Transparent Vinyl","1250mm x 25m Roll",11371-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11371 Bright Yellow Transparent Vinyl","1250mm x 5m Roll",11371-sz01,CT113711250,38.1,"SKU on the site changed from ""11371-sz01"" to your Sage code ""CT113711250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11373 Bright Red Transparent Vinyl","1250mm x 25m Roll",11373-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11373 Bright Red Transparent Vinyl","1250mm x 5m Roll",11373-sz01,CT113731250,38.1,"SKU on the site changed from ""11373-sz01"" to your Sage code ""CT113731250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11374 Red Transparent Vinyl","1250mm x 25m Roll",11374-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11374 Red Transparent Vinyl","1250mm x 5m Roll",11374-sz01,CT113741250,38.1,"SKU on the site changed from ""11374-sz01"" to your Sage code ""CT113741250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11377 Magenta Transparent Vinyl","1250mm x 25m Roll",11377-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11377 Magenta Transparent Vinyl","1250mm x 5m Roll",11377-sz01,CT113771250,38.1,"SKU on the site changed from ""11377-sz01"" to your Sage code ""CT113771250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11379 Ultra Blue Transparent Vinyl","1250mm x 25m Roll",11379-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11379 Ultra Blue Transparent Vinyl","1250mm x 5m Roll",11379-sz01,CT113791250,38.1,"SKU on the site changed from ""11379-sz01"" to your Sage code ""CT113791250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11381 Azure Blue Transparent Vinyl","1250mm x 25m Roll",11381-sz02,"CLICKER IN 5'S WITH Q DISC FOR 25",171.5,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11381 Azure Blue Transparent Vinyl","1250mm x 5m Roll",11381-sz01,CT113811250,38.1,"SKU on the site changed from ""11381-sz01"" to your Sage code ""CT113811250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11382 Olympic Blue Transparent Vinyl","1250mm x 5m Roll",11382-sz01,"CLICKER IN 5'S WITH Q DISC FOR 25",38.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11383 Light Blue Transparent Vinyl","1250mm x 25m Roll",11383-sz02,CT113831250,171.5,"SKU on the site changed from ""11383-sz02"" to your Sage code ""CT113831250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11383 Light Blue Transparent Vinyl","1250mm x 5m Roll",11383-sz01,"CLICKER IN 5'S WITH Q DISC FOR 25",38.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11385 Medium Green Transparent Vinyl","1250mm x 25m Roll",11385-sz02,CT113851250,171.5,"SKU on the site changed from ""11385-sz02"" to your Sage code ""CT113851250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11385 Medium Green Transparent Vinyl","1250mm x 5m Roll",11385-sz01,"CLICKER IN 5'S WITH Q DISC FOR 25",38.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11388 Apple Green Transparent Vinyl","1250mm x 25m Roll",11388-sz02,CT113881250,171.5,"SKU on the site changed from ""11388-sz02"" to your Sage code ""CT113881250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11388 Apple Green Transparent Vinyl","1250mm x 5m Roll",11388-sz01,"CLICKER IN 5'S WITH Q DISC FOR 25",38.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11392 Blue Transparent Vinyl","1250mm x 25m Roll",11392-sz02,CT113921250,171.5,"SKU on the site changed from ""11392-sz02"" to your Sage code ""CT113921250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11392 Blue Transparent Vinyl","1250mm x 5m Roll",11392-sz01,"CLICKER IN 5'S WITH Q DISC FOR 25",38.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"DONE - SAGE CODE APPLIED","ASLAN CT11395 Purple Transparent Vinyl","1250mm x 25m Roll",11395-sz02,CT113951250,171.5,"SKU on the site changed from ""11395-sz02"" to your Sage code ""CT113951250"". No further action needed."
"NEEDS DECISION - NOT A SAGE CODE","ASLAN CT11395 Purple Transparent Vinyl","1250mm x 5m Roll",11395-sz01,"CLICKER IN 5'S WITH Q DISC FOR 25",38.1,"The SKU/Resolution box has an instruction rather than a code (""CLICKER IN 5'S WITH Q DISC FOR 25""), so we could not apply it. Please confirm the actual Sage code for this line (and we will handle the pricing/quantity rule separately)."
"NEEDS DECISION - MULTIPLE CODES","ASLAN D160 Diffuser",,1023,"D1601350 / D160675",7.04,"You listed more than one Sage code here (""D1601350 / D160675""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"NEEDS DECISION - MULTIPLE CODES","ASLAN DFP07 UltraTack","1370mm x 10m Roll",DFP07-sz01,"4 X OPTIONS DFP071370",84.0,"You listed more than one Sage code here (""4 X OPTIONS DFP071370""). A single WooCommerce item can only carry one SKU, so this needs splitting into separate products/variations by width or length - same as we did for the VinylEfx 7901. Please confirm the split and which code goes to which."
"CONFLICT - SAME CODE ON TWO LINES","ASLAN DFP07 UltraTack","1370mm x 10m Roll (Grey Adhesive)",DFP07-sz02,DFP07G1370,87.4,"You gave Sage code ""DFP07G1370"" to more than one line in the sheet. SKUs must be unique, so please confirm which line should keep it."
"DONE - SAGE CODE APPLIED","ASLAN DFP07 UltraTack","1370mm x 50m Roll",DFP07-sz03,DFP071370,378.0,"SKU on the site changed from ""DFP07-sz03"" to your Sage code ""DFP071370"". No further action needed."
