Category,Product,Option,"Website code","Website price",Issue,"Closest Sage info","Notes / action needed"
"NEEDS SAGE CODE","Digital Print Media for Eco-Solvent, UV &#038; Latex Inks","Digital Print Media for Eco-Solvent, UV & Latex Inks - 1370mm x 50m Matt White Digital Print Film for Eco Solvent, UV &amp; Latex Inks - PVC FREE",SALE_Digital_Print_Film_Enviroprint_1370,95,"No matching Sage code found",,
"NEEDS SAGE CODE","Graphtec Plotter Cutting Blades",,G09V,13.55,"No matching Sage code found",,
"NEEDS SAGE CODE","HTV &#8211; Heat Transfer Vinyl","HTV - Heat Transfer Vinyl - Gold Star-Flex HTV for heat pressing onto Cotton / Polyester 500mm",SALE_ST492,2.8,"No matching Sage code found",,
"NEEDS SAGE CODE","HTV &#8211; Heat Transfer Vinyl","HTV - Heat Transfer Vinyl - Yellow Flock HTV for heat pressing onto Cotton / Polyester 500mm",SALE_7550,3.9,"No matching Sage code found",,
"NEEDS SAGE CODE","Orajet 3162 &#8211; 4 Year Removable Digital Vinyl","Orajet 3162 - 4 Year Removable Digital Vinyl",Orajet_3162-sz01,81.3,"No matching Sage code found",,
"NEEDS SAGE CODE","Ri-Mark Event 100 Gloss White","Size / Format â full 50 metre roll",L100-sz13,65,"No matching Sage code found","L1001220 â RI-MARK EVENT 100 GLOSS WHITE 1220MM (£2.94)",
"NEEDS SAGE CODE","Ri-Mark Event 100 Gloss White","Size / Format â part roll - price per metre",L100-sz12,1.47,"No matching Sage code found","L1001220 â RI-MARK EVENT 100 GLOSS WHITE 1220MM (£2.94)",
"NEEDS SAGE CODE","Ri-Mark Event 101 Gloss Black","Size / Format â full 50 metre roll",L101-sz13,65,"No matching Sage code found","L1011220 â RI-MARK EVENT 101 GLOSS BLACK 1220MM (£2.94)",
"NEEDS SAGE CODE","Ri-Mark Event 101 Gloss Black","Size / Format â part roll - price per metre",L101-sz12,1.47,"No matching Sage code found","L1011220 â RI-MARK EVENT 101 GLOSS BLACK 1220MM (£2.94)",
"NEEDS SAGE CODE","Ri-Mark Event 145 Gloss Brown","Size / Format â full 50 metre roll",L145-sz13,70,"No matching Sage code found","L1451220 â RI-MARK EVENT 145 GLOSS BROWN 1220MM (£3.18)",
"NEEDS SAGE CODE","Ri-Mark Event 145 Gloss Brown","Size / Format â part roll - price per metre",L145-sz12,1.59,"No matching Sage code found","L1451220 â RI-MARK EVENT 145 GLOSS BROWN 1220MM (£3.18)",
"NEEDS SAGE CODE","Ri-Mark Event 151 Gloss Perfect Purple","Size / Format â full 50 metre roll",L151-sz13,70,"No matching Sage code found","L1511220 â RI-MARK EVENT 151 GLOSS PERFECT PURPLE 1220MM (£3.18)",
"NEEDS SAGE CODE","Ri-Mark Event 151 Gloss Perfect Purple","Size / Format â part roll - price per metre",L151-sz12,1.59,"No matching Sage code found","L1511220 â RI-MARK EVENT 151 GLOSS PERFECT PURPLE 1220MM (£3.18)",
"NEEDS SAGE CODE","Ri-Mark Event 199 Gloss Transparent","Size / Format â full 50 metre roll",L199-sz13,65,"No matching Sage code found","L1991220 â RI-MARK EVENT 199 GLOSS TRANSPARENT 1220MM (£2.94)",
"NEEDS SAGE CODE","Ri-Mark Event 199 Gloss Transparent","Size / Format â part roll - price per metre",L199-sz12,1.47,"No matching Sage code found","L1991220 â RI-MARK EVENT 199 GLOSS TRANSPARENT 1220MM (£2.94)",
"NEEDS SAGE CODE","Ri-Mark Event 304 Matt Grey","Size / Format â full 50 metre roll",M304-sz13,77,"No matching Sage code found","M3041220 â RI-MARK EVENT 304 MATT GREY 1220MM (£3.5)",
"NEEDS SAGE CODE","Ri-Mark Event 304 Matt Grey","Size / Format â part roll - price per metre",M304-sz12,1.75,"No matching Sage code found","M3041220 â RI-MARK EVENT 304 MATT GREY 1220MM (£3.5)",
"NEEDS SAGE CODE","Ri-Mark Event 366 Matt Vivid Blue","Size / Format â full 50 metre roll",M366-sz13,77,"No matching Sage code found","M3661220 â RI-MARK EVENT 366 MATT VIVID BLUE 1220MM (£3.5)",
"NEEDS SAGE CODE","Ri-Mark Event 366 Matt Vivid Blue","Size / Format â part roll - price per metre",M366-sz12,1.75,"No matching Sage code found","M3661220 â RI-MARK EVENT 366 MATT VIVID BLUE 1220MM (£3.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 402 Anthracite","or 1260mm wide here â part roll - price per metre",SC402-sz01,5.5,"No matching Sage code found","SC4021260 â RI-MARK OPTIMA 402 GLOSS ANTHRACITE 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 402 Anthracite","Size / Format â full 50 metre roll",SC402-sz04,119,"No matching Sage code found","SC4021260 â RI-MARK OPTIMA 402 GLOSS ANTHRACITE 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 402 Anthracite","Size / Format â part roll - price per metre",SC402-sz03,2.64,"No matching Sage code found","SC4021260 â RI-MARK OPTIMA 402 GLOSS ANTHRACITE 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 412 Yellow","or 1260mm wide here â part roll - price per metre",SC412-sz01,5.5,"No matching Sage code found","SC4121260 â RI-MARK OPTIMA 412 GLOSS YELLOW 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 412 Yellow","Size / Format â full 50 metre roll",SC412-sz04,119,"No matching Sage code found","SC4121260 â RI-MARK OPTIMA 412 GLOSS YELLOW 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 412 Yellow","Size / Format â part roll - price per metre",SC412-sz03,2.64,"No matching Sage code found","SC4121260 â RI-MARK OPTIMA 412 GLOSS YELLOW 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 420 Orange","or 1260mm wide here â part roll - price per metre",SC420-sz01,5.5,"No matching Sage code found","SC4201260 â RI-MARK OPTIMA 420 GLOSS ORANGE 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 420 Orange","Size / Format â full 50 metre roll",SC420-sz04,119,"No matching Sage code found","SC4201260 â RI-MARK OPTIMA 420 GLOSS ORANGE 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 420 Orange","Size / Format â part roll - price per metre",SC420-sz03,2.64,"No matching Sage code found","SC4201260 â RI-MARK OPTIMA 420 GLOSS ORANGE 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 471 Gold","Size / Format â full 50 metre roll",SC471-sz04,119,"No matching Sage code found","SC4711260 â RI-MARK OPTIMA 471 GLOSS GOLD 1260MM (£5.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 471 Gold","Size / Format â part roll - price per metre",SC471-sz03,2.64,"No matching Sage code found","SC4711260 â RI-MARK OPTIMA 471 GLOSS GOLD 1260MM (£5.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 474 Copper","Size / Format â full 50 metre roll",SC474-sz04,119,"No matching Sage code found","SC4741260 â RI-MARK OPTIMA 474 GLOSS COPPER 1260MM (£5.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 474 Copper","Size / Format â part roll - price per metre",SC474-sz03,2.64,"No matching Sage code found","SC4741260 â RI-MARK OPTIMA 474 GLOSS COPPER 1260MM (£5.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 481 Silver","Size / Format â full 50 metre roll",SC481-sz04,119,"No matching Sage code found","SC4811260 â RI-MARK OPTIMA 481 GLOSS SILVER 1260MM (£5.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 481 Silver","Size / Format â part roll - price per metre",SC481-sz03,2.64,"No matching Sage code found","SC4811260 â RI-MARK OPTIMA 481 GLOSS SILVER 1260MM (£5.5)",
"NEEDS SAGE CODE","Ri-Mark Optima 485 Green","or 1260mm wide here â part roll - price per metre",SC485-sz01,5.5,"No matching Sage code found","SC4851260 â RI-MARK OPTIMA 485 GLOSS GREEN 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 485 Green","Size / Format â full 50 metre roll",SC485-sz04,119,"No matching Sage code found","SC4851260 â RI-MARK OPTIMA 485 GLOSS GREEN 1260MM (£5.12)",
"NEEDS SAGE CODE","Ri-Mark Optima 485 Green","Size / Format â part roll - price per metre",SC485-sz03,2.64,"No matching Sage code found","SC4851260 â RI-MARK OPTIMA 485 GLOSS GREEN 1260MM (£5.12)",
"NEEDS SAGE CODE","Yellow Fluorescent","or 1260mm wide â part roll - price per mtr",7510-sz03,29.86,"No matching Sage code found","7510500 â 7510  PRO-FLOCK BLACK 500MM (£11.56)",
"NEEDS SAGE CODE","Yellow Fluorescent","Size / Format â full 50 mtr roll",7510-sz02,671.75,"No matching Sage code found","7510500 â 7510  PRO-FLOCK BLACK 500MM (£11.56)",
"NEEDS SAGE CODE","Yellow Fluorescent","Size / Format â part roll - price per mtr",7510-sz01,14.93,"No matching Sage code found","7510500 â 7510  PRO-FLOCK BLACK 500MM (£11.56)",
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AA15 Grey Line Oak","full roll - 1220mm x 50 mtr","Cover Styl' AA15-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AA15 Grey Line Oak","part roll - price per mtr at 1220mm","Cover Styl' AA15-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AF03 Line Beige Pine","full roll - 1220mm x 50 mtr","Cover Styl' AF03-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AF03 Line Beige Pine","part roll - price per mtr at 1220mm","Cover Styl' AF03-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AG20 Cream Pine","full roll - 1220mm x 50 mtr","Cover Styl' AG20-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AG20 Cream Pine","part roll - price per mtr at 1220mm","Cover Styl' AG20-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL11 Silver Metal Weaving","full roll - 1220mm x 50 mtr","Cover Styl' AL11-sz02",1922.4,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL11 Silver Metal Weaving","part roll - price per mtr at 1220mm","Cover Styl' AL11-sz01",42.72,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL14 Traditional Oak","full roll - 1220mm x 50 mtr","Cover Styl' AL14-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL14 Traditional Oak","part roll - price per mtr at 1220mm","Cover Styl' AL14-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL15 Yellow Gold","full roll - 1220mm x 50 mtr","Cover Styl' AL15-sz02",1922.4,"Cover Styl' colour not in the Sage export","AL15 â COVER STYL' AL15 DARK GOLD FABRIC 1220MM (£41.25)","Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL15 Yellow Gold","part roll - price per mtr at 1220mm","Cover Styl' AL15-sz01",42.72,"Cover Styl' colour not in the Sage export","AL15 â COVER STYL' AL15 DARK GOLD FABRIC 1220MM (£41.25)","Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL24 Bleach Ash","full roll - 1220mm x 50 mtr","Cover Styl' AL24-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","AL24 Bleach Ash","part roll - price per mtr at 1220mm","Cover Styl' AL24-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","B3 Natural Maple","full roll - 1220mm x 50 mtr","Cover Styl' B3-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","B3 Natural Maple","part roll - price per mtr at 1220mm","Cover Styl' B3-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","B50 Creme","full roll - 1220mm x 50 mtr","Cover Styl' B50-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","B50 Creme","part roll - price per mtr at 1220mm","Cover Styl' B50-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","B6 Cashew Beech","full roll - 1220mm x 50 mtr","Cover Styl' B6-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","B6 Cashew Beech","part roll - price per mtr at 1220mm","Cover Styl' B6-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","CT35 Aged Golden Pine","full roll - 1220mm x 50 mtr","Cover Styl' CT35-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","CT35 Aged Golden Pine","part roll - price per mtr at 1220mm","Cover Styl' CT35-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","D1 Classic Walnut","full roll - 1220mm x 50 mtr","Cover Styl' D1-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","D1 Classic Walnut","part roll - price per mtr at 1220mm","Cover Styl' D1-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","K6 Light Grey","full roll - 1220mm x 50 mtr","Cover Styl' K6-sz02",855,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","K6 Light Grey","part roll - price per mtr at 1220mm","Cover Styl' K6-sz01",19,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","M6 Steel Blue","full roll - 1220mm x 50 mtr","Cover Styl' M6-sz02",855,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","M6 Steel Blue","part roll - price per mtr at 1220mm","Cover Styl' M6-sz01",19,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NE51 Champagne Silver","full roll - 1220mm x 50 mtr","Cover Styl' NE51-sz02",1496.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NE51 Champagne Silver","part roll - price per mtr at 1220mm","Cover Styl' NE51-sz01",33.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NE72 Arabesque","full roll - 1220mm x 50 mtr","Cover Styl' NE72-sz02",1216.8,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NE72 Arabesque","part roll - price per mtr at 1220mm","Cover Styl' NE72-sz01",27.04,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NF06 Blues","full roll - 1220mm x 50 mtr","Cover Styl' NF06-sz02",855,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NF06 Blues","part roll - price per mtr at 1220mm","Cover Styl' NF06-sz01",19,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NH36 Bronze patina","full roll - 1220mm x 50 mtr","Cover Styl' NH36-sz02",1496.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","NH36 Bronze patina","part roll - price per mtr at 1220mm","Cover Styl' NH36-sz01",33.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","Q2 Hard Silver","full roll - 1220mm x 50 mtr","Cover Styl' Q2-sz02",1496.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","Q2 Hard Silver","part roll - price per mtr at 1220mm","Cover Styl' Q2-sz01",33.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","RM04 Brown Chocolate","full roll - 1220mm x 50 mtr","Cover Styl' RM04-sz02",855,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","RM04 Brown Chocolate","part roll - price per mtr at 1220mm","Cover Styl' RM04-sz01",19,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","RM29 Onyx",,"Cover Styl' RM29",,"Cover Styl' colour not in the Sage export",,"Also missing a website price entirely — flagging in case this row needs cleanup regardless of removal."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","U20 Cement Dark","full roll - 1220mm x 50 mtr","Cover Styl' U20-sz02",1496.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","U20 Cement Dark","part roll - price per mtr at 1220mm","Cover Styl' U20-sz01",33.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","W7 Red Brick","full roll - 1220mm x 50 mtr","Cover Styl' W7-sz02",1496.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
"CONFIRMED FOR REMOVAL - COVER STYL' (per your email: obsolete, marked in red)","W7 Red Brick","part roll - price per mtr at 1220mm","Cover Styl' W7-sz01",33.25,"Cover Styl' colour not in the Sage export",,"Proceeding to remove unless you tell us otherwise."
